TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,471546182,439004194,511950323,475299520,491297335,482205562,494126859,415354360,524210400,557076304,459374286,404462208,5725907533,411669416,433453671,481619864,472614873,409487991,502728121,490502299,393843546,508323025,462518840,473764301,406270543,5446796490,436970870,482090410,489119811,494547434,419762156,487857160,418329930,394913597,476527216,462961849,468504061,388100951,5419685445,452972098,459050556,546329924,458335067,504756119,507289380,448189252,463623571,480950534,573082556,508144934,428301967,5831025958,526427466,503089527,581147399,518293538,511166201,524613016,490530473,493959541,491003519,558155916,520360935,410580296,6129327827,527459327,572766933,659044727,653087875,710927627,636587824,664611663,504903798,678659712,647958445,590874713,472136917,7319019561,588282077,530080496,627106798,467132003,453753313,552833982,603184407,465304504,721800940,570976357,592946577,544362542,6717763996,568953980,602998773,724218490,725504103,633818660,728952054,664133371,618500317,663485026,692749788,706027952,647971020,7977313534,635902394,736144498,824496059,709222835,762256646,742004649,658337181,700245050,757289033,761553679,821250787,632352203,8741055014,737509739,751912773,911039546,2075265948,720410839,733763462,662253409,868291565,735606806,1531053965,2765629724,822879149,13315616925,1057453915,749148821,835451879,763999611,786951964,807256564,719804925,602082652,685663365,781976132,788419907,#VALUE!,#VALUE!
Bulgaria,82270216,87948489,95203811,92058551,88757200,103570760,100224964,85700317,91122648,117497293,97672958,79100571,1121127777,78959031,96872994,94709582,92466969,88085116,97931890,96385765,84083332,95735808,105735748,106452206,84338023,1121756465,79363920,92977613,97232359,105835334,94997190,107802917,95815506,100548527,101175742,110388859,102698177,92798661,1181634803,85286468,95298350,118843671,95219895,108133932,107229493,103159884,88004126,101586879,108346889,114449274,95133995,1220692855,102898969,96694274,116808056,105413486,104732234,111495061,115133046,98514931,107450423,122495563,131912282,95270790,1308819116,110488352,111147453,129952209,121155981,118153207,110731187,132339089,93189006,110178559,129476650,127115168,93697727,1387624588,125043676,113986255,116515466,94376708,97832226,117578884,116370762,106011834,119337186,128681677,128900769,97498829,1362134270,108599793,125147457,137584748,137028129,127056558,145573675,138776549,131287782,145868065,148928151,157596918,140746390,1644194218,138348739,160124591,179589046,166219718,187078389,185911296,179028196,171300879,192653512,201680829,210796133,183388508,2156119836,174049389,199361959,212225998,186652339,180770592,204574392,172628597,159902912,192580450,199133283,189683428,159461513,2231024852,154451784,159248490,160113879,163171894,135990538,151213389,169688959,138949045,163014027,183416591,175942812,#VALUE!,#VALUE!
Cyprus,3431231,3423885,3477279,4978574,4509793,3421128,5152441,4123691,3367116,3707759,4897741,2995031,47485669,3700289,4395733,4899166,4319332,3447151,3779132,5859632,4437781,3253101,3133535,4353545,3315239,48893636,3000433,4267637,4250224,4965881,5181426,20304342,5208264,3903617,2954227,4258418,4253322,7124720,69672511,4033103,3890644,5859667,5183271,5428021,4186021,5101941,4595678,5280411,4751607,4235295,2844572,55390231,6508702,4761659,4804936,7892967,5930833,6159366,6070848,4332099,3646639,4803685,5065271,3780371,63757376,4900894,5327974,5256473,6049674,6787697,5167101,4631502,5484971,4243045,5442279,5389978,4405604,63087192,6014638,5974118,4480490,6504435,5771711,7047655,5193611,4386663,4928167,5126964,5904382,4821740,66154574,4567109,6901161,6679547,5516223,8586294,5303238,6133507,5582584,5718550,5630535,7698543,5026795,73344086,5354562,5865127,6772865,7075766,6697248,7535457,6705796,6353567,11364784,6412279,9336018,10128895,89602364,6975008,6315264,8075059,7206543,7321173,7454616,8314201,6963181,6068849,8415090,4797784,6884993,84791761,5710114,6993691,6826127,9183415,11645425,8418410,7448045,6579246,6999095,7956517,8873611,#VALUE!,#VALUE!
Czechia,834372569,902314966,895665721,926803193,875652291,878060476,900738867,734286930,940117998,988447023,907709955,742458024,10526628012,805072020,890467031,966679955,912646121,840943920,939439922,932048873,787103196,1028754490,1054633459,1021955307,866120120,11045864416,835270033,915423539,954049939,957781140,922838791,998500266,835133224,932994890,1041948767,1005005837,1041106655,938502570,11378555651,1001586759,1010340285,1173435424,1007987322,1119858314,1138360589,940509297,1071692250,1179938581,1281750723,1249048404,938428272,13112936219,1125221338,1056402508,1196721801,1114424019,1148345223,1177240347,1044274504,1098139227,1184344412,1348852042,1321644719,944318646,13759928784,1152393089,1107624984,1215137618,1173345861,1196616796,1101863638,1136351235,971331132,1170857794,1262443925,1212765434,992450432,13693181939,1078883510,1073106471,1056238141,798663369,859993241,1035393380,1039668688,905581371,1165706791,1223460843,1246829381,1032378437,12515903623,1042248806,1127322773,1435541683,1299612958,1228880379,1346097071,1230645670,1217115889,1409356168,1345016115,1541706607,1247352249,15470896369,1312853906,1368402152,1680574773,1493955488,1640019944,1609815411,1386585509,1540513010,1612042191,1542245484,1732198696,1327325445,18246532007,1475440964,1508103751,1724911906,1397288516,1575845079,1567564786,1291466270,1392999244,1516706703,1574333951,1576967097,1161969562,17763597830,1434933436,1422736310,1451584800,1433962873,1428048724,1418734821,1378358136,1322838076,1519572115,1612684624,1507160173,1252307580,17182921670
Germany,7607772849,7751316557,8178820879,7936942701,7771798471,7767699556,8314694994,6946567976,8495424720,8606383304,7905594632,7071813773,94354830412,7302625169,7828604099,8754895471,8077378855,7842571087,8432254996,8670067183,7469072540,8934794933,8796192159,8828191105,7198385184,98135032781,7609670509,8324545757,8926870599,8658954651,8067004980,8760544582,8254214750,8077469907,9042088254,8621130840,9102005499,7788962608,1.01E+11,8218458296,8528460262,9520933485,8739672695,9203811365,8848299113,8832174016,8493214958,9480572736,9277341775,9737143131,8217739404,1.07E+11,8925763194,8926380305,9682191770,9673800438,8926818187,9495681045,9563980224,8951928870,9527570252,10284921448,9909692729,8054359457,1.12E+11,9376529624,9511819294,10128309983,9923980897,10140123038,9495225457,9906609854,8520738956,9767755271,10052476797,9567242763,8013132871,1.14E+11,9032318411,9411184371,9153198140,7050398381,7384664447,8541189406,9041232586,7996898601,9497665793,9729236369,9771740229,8197764312,1.05E+11,8583933080,9568165203,11398758336,10173529912,10127030020,10702212802,10706040366,9459488705,11045381830,11126382690,11459638139,10544052560,1.25E+11,10947823794,11552927286,14129866196,12003052618,13170205931,13022013006,13484314352,13303357681,14573166023,12719490327,13510261477,11505760709,1.54E+11,11856448200,11879072541,13656615735,11213971695,12042108660,12257259313,11353406296,10815995723,11697873818,11364543098,11995086740,9566509222,1.40E+11,11241540357,11328011279,11601067753,12217541888,10984092395,10968567543,11809042020,10192720614,11326454728,11876854252,11281129693,#VALUE!,#VALUE!
Denmark,113934993,97796543,104924573,98879363,98340975,95565768,98069109,102602951,117669145,122261946,100022260,94955877,1245023500,100030587,104427073,117577050,96695534,101683434,100606707,98928170,98961265,117861617,127696675,117952746,99239837,1281660694,108618341,121234275,111689998,122810537,103138463,113512182,91970172,110838721,112577954,105739684,122654224,99343948,1324128502,101639861,108505915,117235790,102367027,116146486,126734717,104821107,111893448,121951501,125142447,120435992,103772468,1360646759,125564505,120157022,137762259,119099647,119142545,129710512,113479759,121635585,128622106,142346924,130550322,97126955,1485198143,126413227,116669315,135538879,113774744,131004012,125935707,123736751,110121081,126030176,137895961,117779018,102656547,1467555417,124751172,120010712,128283641,99329381,112378044,120125272,116707581,111327940,145570617,130934509,128213556,120382443,1458014867,116019297,143845984,157321169,135317525,135924780,156711251,131340052,141964946,154520362,159968990,150913924,141551378,1725399660,156685415,151726068,181361912,159682442,164451054,179134876,154151972,176651736,197107094,172671345,165473592,149156836,2008254345,161335997,169673068,188641070,149573083,153924798,168400075,134547016,153038884,156392935,157909707,170023103,120284346,1883744084,147955069,148719478,150549156,159718777,153114808,140664705,154675423,150049752,176521809,179393706,165341463,#VALUE!,#VALUE!
Estonia,11482903,11623142,13326204,14200822,12785859,11399023,15028458,12400276,12818190,11824679,12374435,11441754,150705745,12164873,11624445,14578359,16248492,13991366,13693299,13222482,13545702,13590295,11845137,13765545,13342186,161612181,11917261,12577189,16210887,17001903,16751729,15128049,13247930,15409728,16534266,14776444,16047035,15573957,181176378,14300746,15274859,16141664,15130904,18741791,15172568,15952272,14245306,17964800,17652640,20060171,14976668,195614389,13230937,13153623,15733488,16454279,14936779,17628944,14879171,16227607,17375634,19383586,16767572,13852626,189624246,17254497,16945742,19273210,18966975,21503671,16588292,16247410,16582234,17874943,21238498,18604769,15325370,216405611,17651774,17202010,27083558,21379662,15200560,18060552,19529725,18142719,18409377,19822706,22106534,19691002,234280179,20062336,21493051,24758376,26569698,25164825,25429999,24398203,20760163,26376237,28314598,26643921,22811316,292782723,24792779,29261326,39403989,35920973,32751350,33091316,30544495,29921692,30946904,32898430,29240476,26215394,374989124,23503496,26744612,28816069,25940521,36300913,25093149,24450742,27007756,23963220,24405736,22788553,17758761,306773528,18704433,26037694,22254570,24962463,24135052,24894427,27729464,23254351,25070951,30170002,25165724,21092428,293471559
Spain,293687826,312197891,379502341,315545784,312330606,322786963,325684491,207863128,343040384,358340839,306484640,295131484,3772596377,318979100,315997842,382599233,318587685,329297419,353873510,456421672,235240846,381314296,384416939,371035410,339667907,4187431859,327155645,382407276,408418105,408859463,364768159,443290290,350177940,286451653,419984785,361920031,402010352,371210702,4526654401,355665793,399287415,473681803,328066055,410022157,420500755,339222421,272680959,422916840,387685168,412595143,394673827,4616998336,379160691,367587676,454462391,390608964,435665073,457382047,381596923,305070074,416303327,449883891,432053861,418375367,4888150285,401063845,413187343,482104849,415506384,436991145,425747973,397242329,271255866,416077048,424621507,405425567,373074955,4862298811,379907468,389791188,402103947,243882109,310958444,376113614,374631928,242827624,400382936,409853610,414148591,384056563,4328658022,369441089,395147083,511811711,411843286,421384317,482651870,423323995,314922799,454430724,386252123,426009755,425532859,5022751611,446417065,452149342,586119306,475710621,531120329,556347413,465724080,370065814,553503233,492900518,528061539,496039334,5954158594,517548107,554825501,641032014,521350756,571969694,553940526,497704367,399793248,526951944,543179131,566187328,457524535,6352007151,523170980,561262350,574613350,563730195,548536157,557243983,540061048,394717341,553803455,556516326,525088114,509027896,6407771195
Finland,74394930,76949668,91882959,96745263,92324179,80698658,80680165,70594311,101988224,108360906,85939975,91072814,1051632052,73592986,80401155,91207653,87362469,95037104,99929668,85660967,79650850,101478778,102280118,90331901,97524861,1084458510,66016604,84414959,102445941,92876246,97186528,100933992,83565905,94172174,107066790,105459455,98246868,99423793,1131809255,83246880,93598399,114035296,94792088,112385259,109647220,103393347,98109944,118010976,118254833,109031470,101705759,1256211471,91280449,95616199,106325177,108588056,109135598,110094344,99775355,100292900,117805974,127648100,118278899,116154285,1300995336,93286553,104649146,112961513,111305479,118881225,104832774,107491322,100251650,125216553,138087936,124355449,109383183,1350702783,97510127,104647567,120321853,104317881,109561601,124481978,114100989,105537334,126814489,129645162,124280350,120349930,1381569261,92171067,103214590,138014722,158286348,186191695,187124877,210522776,223785934,253796767,252439863,266501403,245663705,2317713747,95030897,108010086,131522674,120729222,138472086,134096496,132374269,114284383,138473569,141899871,140243306,123744748,1518881607,112463410,104281067,129288081,108363911,123041072,112614873,91574812,99501629,113248197,125074807,116873675,126528818,1362854352,89788429,99748673,98228061,105608349,109310047,98660942,97129696,93252304,103524108,124175212,110887788,#VALUE!,#VALUE!
