TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,73640661.00,82139271.00,89999586.00,83189643.00,80479600.00,91180957.00,86646813.00,74321358.00,95502384.00,107901799.00,82525822.00,87140715.00,1034668609.00,79057881.00,80724364.00,91260587.00,87515878.00,78053716.00,94908768.00,90242985.00,76303932.00,89486188.00,102041554.00,108445841.00,88351543.00,1066393237.00,75467238.00,94295907.00,99052112.00,97939861.00,91123831.00,105535367.00,85895893.00,86638336.00,94578996.00,101924050.00,102794087.00,83783525.00,1119029203.00,86554325.00,91514952.00,118998282.00,95781898.00,120863484.00,100877430.00,107325250.00,91350969.00,100958695.00,114720954.00,114855181.00,94254062.00,1238055482.00,99744329.00,98268100.00,105916658.00,96585795.00,112951814.00,111782862.00,106312176.00,93069175.00,102920565.00,126225574.00,130140172.00,95598123.00,1279515343.00,103818435.00,114481805.00,129232089.00,117280358.00,117198827.00,106238635.00,120662250.00,98036819.00,107923580.00,123357948.00,113908623.00,95469948.00,1347609317.00,113953976.00,113542798.00,114151141.00,83371964.00,93962384.00,115583354.00,106938366.00,100275049.00,106960942.00,111482018.00,119144913.00,90747984.00,1270114889.00,99873803.00,118117315.00,126790485.00,133110899.00,116909704.00,136889934.00,133880158.00,126015783.00,134882290.00,143932829.00,141423820.00,119632826.00,1531459846.00,134135474.00,145490077.00,171696089.00,165882411.00,171406011.00,191266050.00,193467105.00,174233505.00,200103338.00,190795156.00,217768290.00,173436741.00,2129680247.00,171782336.00,184739012.00,202911066.00,162972486.00,179959420.00,198329105.00,175192989.00,148393342.00,190852291.00,188734710.00,173643546.00,138217214.00,2115727517.00,136927549.00,162045653.00,154193514.00,168761811.00,144035143.00,167415230.00,186468102.00,151908339.00,164134695.00,187226871.00,173869152.00,#VALUE!,#VALUE!
Belgium,96483737.00,95688618.00,160397920.00,107383897.00,114373706.00,143409181.00,148763436.00,147500321.00,131853126.00,113078201.00,114319661.00,142604585.00,1515856389.00,129807822.00,129902124.00,151050403.00,138495056.00,146823660.00,111882899.00,150415539.00,125498914.00,127132902.00,123254305.00,136528282.00,128329468.00,1599121374.00,115457742.00,74400708.00,89425331.00,89493569.00,115508688.00,132119807.00,158795316.00,176544095.00,108124662.00,87521124.00,111991097.00,142761614.00,1402143753.00,89707725.00,136438054.00,212577861.00,117410292.00,128525109.00,211782885.00,140229931.00,121058679.00,227600139.00,158674276.00,204047530.00,194065987.00,1942118468.00,130975683.00,178649623.00,172189106.00,100979245.00,108599674.00,167001688.00,178608782.00,144542119.00,121836144.00,126091746.00,175234979.00,201075630.00,1805784419.00,128850831.00,148199001.00,211957811.00,190868315.00,116440073.00,127957990.00,173511419.00,118756583.00,138172932.00,137376879.00,149073141.00,125200078.00,1766365053.00,186106104.00,193764547.00,179956515.00,106449745.00,148822151.00,172489263.00,174272443.00,114074018.00,123006032.00,132465622.00,212493484.00,186013438.00,1929913362.00,186592700.00,214959566.00,242817900.00,164056725.00,124089412.00,169057091.00,101619792.00,122417623.00,142435255.00,207841081.00,264939665.00,248306507.00,2189133317.00,165340494.00,121886402.00,151636708.00,150446412.00,219142225.00,246179354.00,310670109.00,254680411.00,184878802.00,304405028.00,173576817.00,262415544.00,2545258306.00,286456806.00,292931283.00,237340343.00,160950957.00,189427022.00,209804365.00,235089307.00,261901795.00,270728457.00,239806664.00,241531408.00,240819453.00,2866787860.00,197280459.00,249026467.00,187757965.00,179233437.00,136911620.00,161104873.00,234802589.00,214368947.00,144145223.00,155435982.00,178147552.00,#VALUE!,#VALUE!
Bulgaria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cyprus,3235568.00,4220179.00,2412791.00,3184684.00,4903074.00,4451075.00,4887925.00,3859348.00,5249771.00,4279543.00,6394838.00,6886651.00,53965447.00,35356824.00,5635630.00,19619844.00,4568263.00,4667061.00,3542325.00,4536150.00,5545130.00,4563389.00,4252331.00,3436884.00,4148094.00,99871925.00,4301939.00,2822995.00,6748738.00,5015350.00,8801770.00,4873465.00,4921859.00,4290869.00,4798558.00,4342772.00,5985601.00,7357312.00,64261228.00,5325178.00,7562935.00,6219015.00,4786390.00,5378110.00,4969726.00,6298947.00,5800655.00,7582997.00,6835576.00,7297532.00,7816471.00,75873532.00,14301312.00,7756720.00,9720100.00,9470204.00,7394379.00,5731423.00,15804959.00,16956925.00,14820139.00,8925915.00,11102869.00,7667748.00,129652693.00,8529635.00,7858962.00,8371113.00,12040067.00,7761109.00,11061866.00,8031810.00,6012006.00,9279872.00,9358890.00,9011361.00,8909102.00,106225793.00,8792502.00,8200286.00,7703372.00,4670044.00,5358101.00,9460129.00,8096995.00,7743807.00,8488597.00,9575677.00,11324068.00,9456579.00,98870157.00,6658774.00,11633102.00,9204055.00,11477893.00,10484729.00,10185038.00,12672013.00,9706751.00,12067982.00,17193073.00,11831698.00,7779938.00,130895046.00,10719087.00,10162450.00,20563467.00,17748740.00,18239014.00,13579921.00,19784076.00,14155612.00,30879975.00,11337696.00,15617241.00,10678439.00,193465718.00,13837931.00,9195490.00,11207945.00,14858591.00,13168328.00,11712372.00,9427934.00,10458092.00,12125374.00,10156502.00,12372346.00,10400212.00,138921117.00,5861604.00,9205591.00,10961140.00,8923412.00,9356588.00,8935484.00,10364412.00,7777279.00,9783289.00,9193386.00,9835796.00,#VALUE!,#VALUE!
Czechia,55751097.00,69165700.00,80176662.00,79184726.00,90593095.00,87377126.00,83052593.00,83173010.00,74640999.00,79078091.00,91529187.00,68533944.00,942256229.00,64935233.00,68777079.00,99351272.00,90574312.00,82940008.00,95192627.00,91695689.00,76286367.00,92049986.00,96398967.00,84805231.00,76673492.00,1019680260.00,68107188.00,79188154.00,94788967.00,87931655.00,88588276.00,97302427.00,75172392.00,91790073.00,96196103.00,92156998.00,98003706.00,88910603.00,1058136540.00,80883071.00,90241936.00,97297545.00,90745659.00,111636433.00,110165970.00,92416762.00,108208791.00,103835446.00,116850532.00,111273646.00,94006954.00,1207562747.00,121684822.00,102149752.00,117200531.00,111603840.00,117968026.00,125463144.00,102847844.00,119328387.00,120166961.00,155385417.00,168257596.00,115322089.00,1477378409.00,128042051.00,134395832.00,142994076.00,135682784.00,133634786.00,124490131.00,118633083.00,129811399.00,127914744.00,161593397.00,151901133.00,121893121.00,1610986539.00,136358732.00,124980272.00,112348829.00,72805888.00,96643997.00,119989776.00,133829336.00,127003500.00,131332219.00,162915860.00,166101777.00,127462662.00,1511772850.00,134248757.00,133759395.00,180297520.00,149203494.00,136453942.00,146799009.00,126912301.00,119766358.00,152798946.00,141851322.00,171937508.00,128942567.00,1722971122.00,148741646.00,150281181.00,174725807.00,168286185.00,182294991.00,192948028.00,148899341.00,167609998.00,192532792.00,174383936.00,190834183.00,164250831.00,2055788920.00,201559001.00,223469219.00,261197576.00,188894980.00,217280292.00,218176578.00,202409269.00,203881610.00,199006082.00,238228048.00,234291484.00,196474717.00,2584868855.00,199848204.00,234809383.00,217741347.00,240065642.00,201299688.00,196338296.00,219021167.00,214953391.00,219612959.00,283277473.00,260820090.00,230032466.00,2717820108.00
Germany,420992462.00,428892002.00,448142149.00,481461776.00,418966457.00,495397764.00,490630699.00,479893286.00,516444625.00,544213990.00,556801017.00,502727676.00,5784563903.00,504995949.00,525473046.00,533008443.00,533577038.00,559111639.00,559310196.00,530735476.00,452537025.00,522002492.00,508002803.00,578830280.00,446494613.00,6254079000.00,488522686.00,535442399.00,567875948.00,546817943.00,472582775.00,587127647.00,601466149.00,532708112.00,559378462.00,548290441.00,556445476.00,578055989.00,6574714027.00,599751944.00,603597234.00,607132894.00,620727900.00,662343435.00,696794018.00,630774140.00,603125432.00,584818314.00,699648984.00,676457071.00,540696432.00,7525867798.00,727168572.00,635167420.00,720800467.00,716566605.00,667457814.00,684527901.00,674789329.00,680382554.00,694179459.00,721516425.00,667839831.00,580225344.00,8170621721.00,706575517.00,694555631.00,747541433.00,745133822.00,653278811.00,655923340.00,690217823.00,680869622.00,727776677.00,780214165.00,804042924.00,607789900.00,8493919665.00,712513573.00,691772311.00,721308241.00,544201518.00,553847579.00,613428767.00,651035586.00,669260487.00,752850698.00,775014916.00,749480941.00,630012983.00,8064727600.00,709276434.00,757587698.00,940720411.00,772451989.00,830949463.00,790057329.00,800719694.00,777058671.00,883271846.00,807494689.00,876447999.00,736964138.00,9683000361.00,862908360.00,903530416.00,1137241826.00,974080184.00,1066126706.00,1093999794.00,946289648.00,892677342.00,1092625611.00,1014070216.00,1132063279.00,888340970.00,12003954352.00,1001223231.00,972319399.00,1105137857.00,904589180.00,1013256833.00,1042060809.00,1025480782.00,940055410.00,962457668.00,977362119.00,971352383.00,780841717.00,11696137388.00,1034397046.00,911563120.00,1132290976.00,1118331858.00,990466451.00,1103672532.00,965096481.00,990715245.00,1071014002.00,1133872581.00,1091056583.00,#VALUE!,#VALUE!
Denmark,11074839.00,15490926.00,15000864.00,16118643.00,13855113.00,18186608.00,15678770.00,14951830.00,20806391.00,18894477.00,19279479.00,14868659.00,194206598.00,19049546.00,16202834.00,17094724.00,14273760.00,17272432.00,17407249.00,18779432.00,16701028.00,15698902.00,19092339.00,20233014.00,21240633.00,213045892.00,17950589.00,16686389.00,18524609.00,18883764.00,17573808.00,20511030.00,17263535.00,20684001.00,19521702.00,17477167.00,20033174.00,17421816.00,222531582.00,18054249.00,18179666.00,30914735.00,18302661.00,19655049.00,20864164.00,23717521.00,20156822.00,20208055.00,20391067.00,22993901.00,18565581.00,252003472.00,20783517.00,25277268.00,22978782.00,23010579.00,23451023.00,23024022.00,21808530.00,21059083.00,17880574.00,20266823.00,24373012.00,16108725.00,260021936.00,23750264.00,18570492.00,21083449.00,22080870.00,20204543.00,19877049.00,22822895.00,20475124.00,25263113.00,24007186.00,22158783.00,30628687.00,270922455.00,28775878.00,26129796.00,27290188.00,28082971.00,24103229.00,29971588.00,27204533.00,25727733.00,27174782.00,27768314.00,25563800.00,23169211.00,320962025.00,27346251.00,34427903.00,32739961.00,28881106.00,24236592.00,33564400.00,31173453.00,27594273.00,30121769.00,31649794.00,33796344.00,26746238.00,362278083.00,31085366.00,32549300.00,38891216.00,34498734.00,33690371.00,36635524.00,35634618.00,37999604.00,37175716.00,39687546.00,37299775.00,35486032.00,430633802.00,40202287.00,37699491.00,42804040.00,34661380.00,41891310.00,44013336.00,34943110.00,36713119.00,34627914.00,37246433.00,36480778.00,30675788.00,451958987.00,33810132.00,33229277.00,32032329.00,36006747.00,35893945.00,38310167.00,33303112.00,35809492.00,34505485.00,46903845.00,39972935.00,#VALUE!,#VALUE!
Estonia,2054268.00,1651529.00,2267038.00,2283979.00,1655772.00,5621026.00,6630536.00,5857017.00,2720517.00,3049248.00,2764476.00,1965289.00,38520695.00,3227555.00,2288018.00,2626593.00,2254070.00,2429420.00,4477924.00,2645125.00,2986642.00,2379920.00,2882200.00,3424059.00,4315822.00,35937348.00,2861337.00,2752051.00,2190395.00,2715420.00,2992809.00,2627195.00,2316979.00,2995244.00,2701403.00,3485832.00,3343320.00,3306977.00,34288962.00,2879170.00,3085583.00,2831235.00,3799355.00,4649697.00,3265751.00,4289890.00,3581979.00,3776773.00,3251423.00,5407960.00,4766755.00,45585571.00,3665313.00,4361559.00,3428898.00,3796793.00,5672558.00,4468821.00,5309216.00,6038962.00,5400305.00,4069096.00,4557614.00,5217143.00,55986278.00,5916188.00,6422898.00,6068681.00,5379041.00,6544882.00,5210273.00,4626133.00,3180047.00,4881248.00,4835588.00,5100919.00,8428841.00,66594739.00,4970029.00,6177495.00,8085408.00,2899714.00,10291911.00,5726824.00,6280044.00,6365615.00,6317305.00,7591306.00,8466475.00,5118296.00,78290422.00,7034961.00,7418268.00,10661769.00,15119973.00,7173884.00,8559926.00,8137398.00,6753258.00,9953570.00,9290541.00,11739571.00,8173526.00,110016645.00,8610305.00,7786672.00,11292544.00,11822789.00,11688313.00,9468950.00,7565522.00,10120943.00,18524252.00,10382653.00,11699033.00,18432485.00,137394461.00,10710606.00,12071023.00,14557872.00,12498509.00,28160038.00,15183318.00,12653649.00,13240556.00,15167903.00,17114875.00,12035411.00,9799153.00,173192913.00,16197415.00,14110431.00,12009035.00,24449871.00,15822034.00,16667764.00,16387617.00,18453964.00,19241998.00,39302063.00,33536275.00,13667844.00,239846311.00
Spain,178107429.00,96327389.00,106286233.00,114463492.00,103431964.00,91422154.00,226191537.00,142225225.00,179142408.00,154907933.00,163796208.00,67071138.00,1623373110.00,97549259.00,131844725.00,154549558.00,132295980.00,100171617.00,99773839.00,216523998.00,151234613.00,160042128.00,162757760.00,115306331.00,129636390.00,1651686198.00,150064948.00,69857299.00,94615263.00,70796265.00,94638295.00,123470694.00,152727304.00,197025996.00,167738385.00,101545508.00,112067311.00,114916399.00,1449463667.00,170234338.00,95100633.00,219795200.00,135495245.00,140451002.00,195887486.00,141192932.00,369099542.00,187789741.00,342301776.00,197148193.00,121828626.00,2316324714.00,165019614.00,127777046.00,243842483.00,251934602.00,200279179.00,156948545.00,197766795.00,248835863.00,129969855.00,143140458.00,149126269.00,125191316.00,2139832025.00,218080793.00,139184244.00,151739999.00,164431077.00,157521592.00,194110096.00,192213022.00,268404591.00,118338604.00,258290699.00,164335225.00,133067926.00,2159717868.00,92502382.00,120429863.00,124044374.00,78126661.00,74952019.00,114635026.00,121505247.00,126684633.00,120730728.00,136398271.00,125231175.00,112777941.00,1348018320.00,116943310.00,112219917.00,138447150.00,197486341.00,179818556.00,126978708.00,128794043.00,134802468.00,167672701.00,134670835.00,130470731.00,162899316.00,1731204076.00,207468251.00,150241136.00,262758097.00,171832587.00,182673786.00,246676271.00,235527653.00,213543085.00,260747503.00,194009345.00,161290849.00,203868341.00,2490636904.00,195732866.00,173179368.00,262364953.00,145693843.00,201689724.00,224029844.00,237103503.00,231399313.00,196845801.00,229062399.00,204242029.00,140871796.00,2442215439.00,151248753.00,149980844.00,167233682.00,172120420.00,157492115.00,212966170.00,174817856.00,143208682.00,199194343.00,172066875.00,161071387.00,164600585.00,2026001712.00
Finland,6211750.00,8368640.00,8447344.00,7313676.00,6463749.00,8796454.00,14546956.00,14314742.00,14675372.00,16302966.00,20923504.00,8140786.00,134505939.00,5931820.00,7345772.00,9275137.00,8423394.00,16420218.00,13155165.00,8132317.00,13659582.00,10653941.00,11294134.00,14366129.00,11537959.00,130195568.00,11142503.00,8478075.00,8474749.00,9098761.00,10099940.00,7830121.00,8651991.00,8645420.00,9131854.00,8860056.00,10042831.00,8175943.00,108632244.00,7286714.00,7947988.00,11167105.00,9589304.00,8332727.00,9426411.00,8855610.00,9030665.00,11043415.00,9854594.00,11655035.00,11012081.00,115201649.00,9383716.00,10505555.00,10934749.00,9379586.00,9458070.00,10014806.00,10706303.00,10303398.00,13662946.00,15820998.00,13235758.00,11557743.00,134963628.00,10144819.00,11506839.00,12490632.00,13561749.00,10635842.00,10351426.00,9866263.00,10557424.00,10369589.00,13422883.00,16507278.00,9596863.00,139011607.00,9326055.00,9821189.00,12170259.00,10703438.00,11005785.00,19315884.00,11647978.00,14174174.00,12899796.00,13031482.00,12087448.00,9382244.00,145565732.00,10030214.00,11341683.00,14098407.00,12256895.00,14905260.00,17547131.00,13985621.00,11915723.00,12946670.00,13757855.00,13389490.00,26532640.00,172707589.00,14591219.00,15231398.00,17211317.00,12797782.00,15709043.00,16443120.00,14860917.00,18176103.00,24360855.00,20220989.00,20673347.00,16325901.00,206601991.00,17398651.00,16021060.00,18752346.00,23690008.00,15719630.00,16338270.00,13732377.00,18789177.00,19312788.00,18583701.00,21041752.00,15620873.00,215000633.00,19521480.00,14964905.00,15862144.00,17417523.00,17181996.00,17881589.00,17582595.00,14619188.00,16374373.00,20673018.00,19679233.00,#VALUE!,#VALUE!
