TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,130189206.00,133692249.00,148074545.00,137714684.00,117546194.00,132157093.00,151459025.00,118775656.00,149410679.00,155547741.00,144727249.00,128374381.00,1647668702.00,127727212.00,153835688.00,160336319.00,160045945.00,147350459.00,169349787.00,173435556.00,138477676.00,171966083.00,170523385.00,185409756.00,155413248.00,1913871114.00,135860089.00,159918491.00,172550313.00,168179448.00,161586972.00,166594287.00,166317096.00,158869457.00,161077122.00,159599502.00,179807065.00,159450291.00,1949810133.00,156672261.00,161303145.00,187981529.00,157798874.00,184444313.00,170259865.00,172624439.00,163521292.00,171823577.00,172634381.00,172956400.00,136122049.00,2008142125.00,166169952.00,166305829.00,190425232.00,176028026.00,186317713.00,180033004.00,168439040.00,159240897.00,165062757.00,197645919.00,175002778.00,148627730.00,2079298877.00,159130446.00,171079145.00,177352802.00,180260589.00,186590300.00,171264106.00,182277153.00,150613225.00,169522927.00,184220003.00,166631885.00,135984776.00,2034927357.00,170788485.00,177104431.00,175844790.00,136237156.00,141911940.00,160057935.00,176116483.00,171300001.00,195546655.00,193751941.00,186687777.00,162924398.00,2048271992.00,166286884.00,189195137.00,216322220.00,207172455.00,204794342.00,230187197.00,214582005.00,199038651.00,237471681.00,216095649.00,237246072.00,212022884.00,2530415177.00,202397882.00,243458568.00,320134745.00,254545986.00,263638440.00,258297998.00,244685171.00,218828879.00,258275534.00,251438914.00,267145195.00,229835277.00,3012682589.00,223942876.00,269473230.00,322878257.00,239644706.00,270286889.00,262528778.00,241647234.00,207368164.00,244435615.00,247133164.00,239468487.00,220090998.00,2988898398.00,216728237.00,253632823.00,255957327.00,268639521.00,259656479.00,251695168.00,282740667.00,214784683.00,262712395.00,292957903.00,262667747.00,#VALUE!,#VALUE!
Belgium,23072084.00,26144359.00,33180619.00,28099513.00,27921404.00,30635740.00,30907306.00,22503650.00,54045575.00,31761305.00,25951102.00,30146467.00,364369124.00,25542650.00,27798518.00,35448179.00,46237885.00,34233437.00,38659768.00,44510780.00,36595388.00,40826510.00,38364662.00,41539989.00,31937046.00,441694812.00,40080516.00,37910097.00,38193774.00,37270352.00,34894451.00,59868814.00,37894372.00,34909649.00,44657245.00,43623155.00,41771088.00,57309112.00,508382625.00,43377715.00,40065774.00,61730824.00,52066857.00,92064851.00,75704038.00,67867884.00,95161710.00,73896826.00,73768508.00,59910389.00,53019585.00,788634961.00,42243453.00,46613134.00,65541423.00,56133741.00,58415806.00,56374450.00,56534495.00,46600800.00,50350696.00,45984553.00,59650292.00,41546916.00,625989759.00,46134779.00,49686858.00,55082529.00,55521839.00,61538280.00,47619233.00,56303253.00,51572652.00,53740929.00,81763687.00,74390558.00,52183907.00,685538504.00,71275859.00,102532269.00,81108410.00,70571116.00,62575958.00,107433191.00,84948594.00,59248027.00,72944557.00,59878540.00,75674404.00,87163679.00,935354604.00,72846370.00,71267602.00,72297542.00,76998768.00,82648041.00,66583622.00,69235393.00,51750568.00,69170146.00,91497997.00,67821491.00,82248131.00,874365671.00,84731603.00,72614665.00,92681692.00,73776608.00,68884784.00,92324558.00,69085534.00,53925439.00,81562901.00,84188699.00,85328877.00,83360964.00,942466324.00,75200579.00,74682511.00,73979821.00,65105872.00,76505850.00,87000326.00,58619730.00,63623962.00,63394563.00,80566185.00,77952869.00,71289349.00,867921617.00,61822177.00,73642213.00,68566103.00,67971664.00,82616335.00,67601912.00,70786925.00,69561415.00,66387982.00,92496154.00,85711106.00,#VALUE!,#VALUE!
Bulgaria,6641994.00,9357861.00,8780541.00,9641162.00,12494745.00,11477589.00,15333066.00,12747803.00,15819038.00,14121245.00,11936311.00,9927670.00,138279025.00,9243728.00,10961864.00,10040968.00,11248209.00,12126353.00,15250871.00,15404915.00,13230194.00,14349709.00,13742353.00,15408190.00,14204262.00,155211616.00,17613762.00,15127524.00,11025175.00,14160925.00,15814279.00,12899742.00,15399960.00,15567624.00,12153640.00,14438011.00,14015002.00,16486344.00,174701988.00,11716692.00,16180518.00,15535563.00,15690245.00,16943152.00,15488430.00,18600776.00,15784569.00,16759168.00,18958928.00,15760695.00,16262876.00,193681611.00,17085432.00,18878677.00,19534782.00,20647349.00,19369595.00,23007420.00,21515574.00,21277114.00,21652063.00,26591047.00,25318704.00,47709434.00,282587193.00,14442033.00,16982427.00,19284871.00,15392738.00,21912147.00,20744287.00,25386937.00,21014298.00,20035085.00,20124749.00,16837602.00,16882953.00,229040126.00,22404994.00,18907659.00,20596219.00,21059653.00,16841022.00,22269288.00,43608233.00,42511162.00,23454045.00,26795242.00,42554864.00,44666470.00,345668850.00,76748856.00,83553870.00,33519868.00,29601475.00,30983467.00,33939613.00,41359896.00,35688888.00,40853993.00,37330505.00,36591857.00,34839226.00,515011513.00,32899614.00,100089062.00,50442667.00,36445451.00,33560434.00,38471895.00,34507782.00,34733288.00,39330434.00,35372523.00,36163311.00,29208630.00,501225093.00,60661769.00,35338602.00,40194443.00,31079894.00,36257306.00,32007979.00,36791183.00,34994634.00,35177651.00,37950255.00,36861463.00,34788586.00,452103767.00,75739387.00,53734254.00,57836515.00,73798893.00,57972917.00,44621000.00,44071455.00,53406643.00,45792342.00,78678522.00,40439238.00,#VALUE!,#VALUE!
Cyprus,321610.00,250430.00,283852.00,1782189.00,1915772.00,113217.00,162833.00,2078042.00,397894.00,1552848.00,317923.00,869941.00,10046551.00,301352.00,1612534.00,290922.00,349279.00,2512626.00,1514782.00,1187898.00,22166.00,1036788.00,1548230.00,155037.00,293206.00,10824820.00,296054.00,558434.00,8289175.00,464954.00,1936357.00,321649.00,150927.00,1463912.00,469720.00,286707.00,295616.00,317494.00,14850999.00,196487.00,29937499.00,3503257.00,547873.00,1590296.00,1644479.00,1768211.00,2228248.00,199160.00,465442.00,1379412.00,345277.00,43805641.00,841408.00,709225.00,571512.00,1182825.00,1605717.00,341630.00,144305.00,877527.00,196536.00,798110.00,775880.00,456333.00,8501008.00,1175615.00,1582383.00,621970.00,490919.00,1070955.00,529504.00,323982.00,1631687.00,2490188.00,232982.00,579972.00,507456.00,11237613.00,327929.00,1184578.00,603572.00,1587388.00,190080.00,584838.00,2176162.00,668732.00,516406.00,537896.00,849300.00,1527631.00,10754512.00,442519.00,528610.00,683399.00,28603549.00,847197.00,384070.00,1367024.00,524567.00,581239.00,282216.00,426084.00,860942.00,35531416.00,819382.00,1052577.00,27563258.00,539480.00,1097702.00,632174.00,2287166.00,595833.00,981732.00,805690.00,838060.00,2985366.00,40198420.00,2163287.00,1760661.00,1174376.00,1283597.00,1971213.00,1500868.00,2067064.00,1866933.00,10364591.00,3894281.00,2662128.00,1794395.00,32503394.00,2789420.00,2198886.00,2836242.00,2455380.00,2427955.00,2627390.00,1992188.00,2807670.00,2059927.00,7507273.00,3148640.00,#VALUE!,#VALUE!
Czechia,30186998.00,32707798.00,43906752.00,45138881.00,49422146.00,40764595.00,42270877.00,36228861.00,48586064.00,44836810.00,49098033.00,46344851.00,509492667.00,40915064.00,44529407.00,49608580.00,42199676.00,52480000.00,49880496.00,48467200.00,38946365.00,52846476.00,48665311.00,47711167.00,45043326.00,561293069.00,38693139.00,43822103.00,53640815.00,49292380.00,52283644.00,56574551.00,44288229.00,47392148.00,55765319.00,53102104.00,55638125.00,45264650.00,595757207.00,46083002.00,53115487.00,69170826.00,55752741.00,70694100.00,64046679.00,54113549.00,63432528.00,65588093.00,63663800.00,62894079.00,52443954.00,720998835.00,61255983.00,68732677.00,67412423.00,63423946.00,64432164.00,61196063.00,62121781.00,69779629.00,67126901.00,75555453.00,89260838.00,62723311.00,813021170.00,63945915.00,64583312.00,72928281.00,67424731.00,77785973.00,66458508.00,70699615.00,61642442.00,68865760.00,74151610.00,70578501.00,58076281.00,817140929.00,69180075.00,72844746.00,70453822.00,48095826.00,57820012.00,73368380.00,73254319.00,58775996.00,72455880.00,80762111.00,68261537.00,64607089.00,809879792.00,67670270.00,68182525.00,91764071.00,78475373.00,70119979.00,75189943.00,70390844.00,61882956.00,73540955.00,80946654.00,82044109.00,81934669.00,902142349.00,76887544.00,82777840.00,100510050.00,85293494.00,97066474.00,102176733.00,89494892.00,96024299.00,111370835.00,100693020.00,110753958.00,86382295.00,1139431433.00,101445244.00,99292035.00,120337682.00,99894428.00,109158887.00,112085296.00,106602552.00,96729349.00,106375410.00,123085924.00,123736327.00,108419971.00,1307163107.00,103225782.00,112228710.00,116911112.00,130693400.00,127805678.00,114239527.00,115453388.00,111332971.00,114804939.00,127203942.00,124187931.00,102603820.00,1400691200.00
Germany,235613993.00,244769330.00,273269900.00,263901521.00,259117494.00,260636781.00,285024798.00,229433503.00,269643999.00,292533315.00,268892566.00,248899489.00,3131736689.00,255071613.00,290111040.00,340858158.00,298636010.00,320727691.00,306563418.00,333992490.00,287096060.00,347192445.00,352302857.00,349573424.00,308247651.00,3790372857.00,307012078.00,357309610.00,394694359.00,374734917.00,364196582.00,362370447.00,346612928.00,319930335.00,380239739.00,380967125.00,383538649.00,369974951.00,4341581720.00,346791785.00,365376517.00,455921206.00,395745423.00,430146360.00,382459651.00,406725491.00,386776477.00,422049228.00,433953912.00,447479018.00,372950861.00,4846375929.00,419745243.00,413016738.00,469664892.00,464017149.00,464981659.00,444680297.00,456766550.00,407505110.00,440536767.00,471854293.00,486705446.00,408202147.00,5347676291.00,446008791.00,471689495.00,492676238.00,475396891.00,475497532.00,456250678.00,478199452.00,406854009.00,483864565.00,468344904.00,462061964.00,402235658.00,5519080177.00,417749271.00,454620843.00,498294615.00,325857926.00,367226456.00,407260494.00,428762937.00,366647463.00,449264182.00,463712972.00,451526845.00,379932445.00,5010856449.00,391317430.00,433138524.00,518344164.00,461290184.00,491927288.00,491525479.00,501145704.00,449247147.00,518026034.00,526206858.00,554838621.00,490406841.00,5827414274.00,530057655.00,593875069.00,665763622.00,601026336.00,647573346.00,639565708.00,613697971.00,550255902.00,658643484.00,636410039.00,677826715.00,594403486.00,7409099333.00,595946474.00,639183585.00,738884136.00,596470501.00,677385474.00,689794469.00,640418100.00,601000315.00,657462607.00,675424267.00,695452886.00,558536648.00,7765959462.00,672077647.00,694900441.00,701863950.00,708700228.00,696015191.00,644237143.00,709392939.00,585409322.00,671445159.00,724907430.00,673372513.00,#VALUE!,#VALUE!
Denmark,6085038.00,9385711.00,4920669.00,7892354.00,8437213.00,5435626.00,9538396.00,8255904.00,7123258.00,8356435.00,8982348.00,7172233.00,91585185.00,8566976.00,8351784.00,11878852.00,8429055.00,9138316.00,10872298.00,11971816.00,12267271.00,13648238.00,8022882.00,7563490.00,7184672.00,117895650.00,12070288.00,6790320.00,10498148.00,11856213.00,10021881.00,12968580.00,7279603.00,23791831.00,10773782.00,10312059.00,12497403.00,10387058.00,139247166.00,8734897.00,9380877.00,35709034.00,32216417.00,22221795.00,24160607.00,17638534.00,9886021.00,13301545.00,14400177.00,14255486.00,17182968.00,219088356.00,17485781.00,9696458.00,11448311.00,12553346.00,11711640.00,14857807.00,10350470.00,14493251.00,11613132.00,20600239.00,13086433.00,13200918.00,161097786.00,16497805.00,13982643.00,14802572.00,12153528.00,16773879.00,12544379.00,11379828.00,17418253.00,13431626.00,14898046.00,11134061.00,11298483.00,166315102.00,15549795.00,12640206.00,12992663.00,12258533.00,21256155.00,26829405.00,23410152.00,14225148.00,13239293.00,16731228.00,17396041.00,16193341.00,202721960.00,14125585.00,14342046.00,19073035.00,14832305.00,14519325.00,16871845.00,14707410.00,13945528.00,15455948.00,16442013.00,16338463.00,15593649.00,186247151.00,19224010.00,17877443.00,21217894.00,21460878.00,20276675.00,22098042.00,23245388.00,17863033.00,28888124.00,23086230.00,21845740.00,20736805.00,257820262.00,20993541.00,21121341.00,26455208.00,21085782.00,25968135.00,30741521.00,18945092.00,18342264.00,25913934.00,23941520.00,26101470.00,20403483.00,280013289.00,30005176.00,27049799.00,25121413.00,27167071.00,25248137.00,25354054.00,27516087.00,24047048.00,23664535.00,29805341.00,32319395.00,#VALUE!,#VALUE!
Estonia,209020.00,294758.00,311186.00,202074.00,296982.00,885928.00,248617.00,277760.00,240471.00,375025.00,254038.00,181491.00,3777350.00,141927.00,438893.00,117837.00,374802.00,149201.00,327773.00,253503.00,272830.00,139738.00,279649.00,360404.00,275446.00,3132003.00,203580.00,385075.00,369868.00,543428.00,282347.00,223591.00,182719.00,359750.00,358492.00,278600.00,548254.00,519373.00,4255077.00,359439.00,414429.00,655713.00,244125.00,576377.00,363517.00,459567.00,461486.00,612905.00,575592.00,671938.00,248357.00,5643445.00,326389.00,435676.00,2254846.00,1119308.00,616902.00,569987.00,723700.00,444324.00,633416.00,741007.00,555257.00,765489.00,9186301.00,1113438.00,483446.00,950981.00,702274.00,947795.00,649176.00,1340021.00,612189.00,861372.00,2017553.00,2156580.00,992873.00,12827698.00,847658.00,631210.00,994499.00,503632.00,550362.00,979775.00,992528.00,1177800.00,1042453.00,743541.00,927223.00,1295672.00,10686353.00,730050.00,998188.00,1206138.00,1185900.00,1125097.00,1403285.00,1627051.00,1103855.00,1147566.00,1190627.00,1633013.00,2053031.00,15403801.00,1232988.00,2563727.00,2952620.00,3082078.00,1921496.00,3025040.00,1848484.00,2247757.00,2654574.00,2221554.00,1646928.00,2898568.00,28295814.00,2651182.00,1817008.00,3073645.00,3436984.00,1730453.00,2535763.00,3216699.00,2560352.00,2354897.00,2272512.00,1936257.00,2227867.00,29813619.00,2330018.00,2246066.00,3147272.00,3126723.00,4678887.00,2782038.00,3019675.00,2809484.00,2635846.00,2469555.00,2219404.00,3729600.00,35194568.00
Spain,18107503.00,28027123.00,27959758.00,29858207.00,27041137.00,21290569.00,24830266.00,19579477.00,24359533.00,26791854.00,25472869.00,26215467.00,299533763.00,24409440.00,28665934.00,40522198.00,35229250.00,44675101.00,45850129.00,39505988.00,29183846.00,35164512.00,44323309.00,48171193.00,41537460.00,457238360.00,32875167.00,37373855.00,43686102.00,47600476.00,42932062.00,40996801.00,41396353.00,33783155.00,42449720.00,40201961.00,42364470.00,39040179.00,484700301.00,45194464.00,42482913.00,57420037.00,43875240.00,46813738.00,57158346.00,39779498.00,35739214.00,51578129.00,42909047.00,41553102.00,33557299.00,538061027.00,43442027.00,44641201.00,50442698.00,63354892.00,55392983.00,57768781.00,48254636.00,37218260.00,53761296.00,57705828.00,45532638.00,49350230.00,606865470.00,52214849.00,50618635.00,60619753.00,53470276.00,62708231.00,59120115.00,71077937.00,43535506.00,60219544.00,57297873.00,52951902.00,55873798.00,679708419.00,47693633.00,59932421.00,52544767.00,44242325.00,42711121.00,52189056.00,53940434.00,44080082.00,51118045.00,51883549.00,44136727.00,88328251.00,632800411.00,48513030.00,51758241.00,64973685.00,52927041.00,54650635.00,70401574.00,61259538.00,49424181.00,68941423.00,62937529.00,58300283.00,56219907.00,700307067.00,65214710.00,69955786.00,93306744.00,100730169.00,78311485.00,96068879.00,79616448.00,64397328.00,122512857.00,66882714.00,73563609.00,80196211.00,990756940.00,75043524.00,106909954.00,114806273.00,91917200.00,117408146.00,108317275.00,96775988.00,74679115.00,107990542.00,101067273.00,98462988.00,100916946.00,1194295224.00,81387833.00,104819961.00,109731576.00,129196127.00,145916938.00,103888200.00,99841866.00,94450155.00,107313237.00,104554391.00,119658423.00,117622784.00,1318381491.00
Finland,2282914.00,1299969.00,2858145.00,3213963.00,2964238.00,3005458.00,4459269.00,4624090.00,5593672.00,3677783.00,3353163.00,5972013.00,43304677.00,2398358.00,1745721.00,2598787.00,4511560.00,3695681.00,4177768.00,3211909.00,2295730.00,2866077.00,3392577.00,3732046.00,2918805.00,37545019.00,1552088.00,2742545.00,2916848.00,3281181.00,5355503.00,4587404.00,3248149.00,3560602.00,6891015.00,3473079.00,3316506.00,3910999.00,44835919.00,3050733.00,3256365.00,4485080.00,5403876.00,5504302.00,7774282.00,5053339.00,5188221.00,5189019.00,5881033.00,4286124.00,8430137.00,63502511.00,4644320.00,3443079.00,3829097.00,3637939.00,3791870.00,4275058.00,3628895.00,39131222.00,5638795.00,5439904.00,4975884.00,3930101.00,86366164.00,3774626.00,5125196.00,5030609.00,7217310.00,7663182.00,6340554.00,5403132.00,3675795.00,6163299.00,7243133.00,5030252.00,4708405.00,67375493.00,5224347.00,4554369.00,5482376.00,3438601.00,7023995.00,5666283.00,4936533.00,4550548.00,5433640.00,5134870.00,3944830.00,4135133.00,59525525.00,3227022.00,3753862.00,6776844.00,6848329.00,7571527.00,9143602.00,8725097.00,4840627.00,6888484.00,8043047.00,5741419.00,4569526.00,76129386.00,6779706.00,7876123.00,8991333.00,8299948.00,9563225.00,8956004.00,7986239.00,8367664.00,9396341.00,8227885.00,11132609.00,8803489.00,104380566.00,18862709.00,5848776.00,8031396.00,9903935.00,8766239.00,10249285.00,7400055.00,8598055.00,7672936.00,9773403.00,11983343.00,10954807.00,118044939.00,7146990.00,7523839.00,8763712.00,6854863.00,9474368.00,6447090.00,8426831.00,6631549.00,7050110.00,7917568.00,9104548.00,#VALUE!,#VALUE!
