TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,7855270.00,8480537.00,7485961.00,21808880.00,10185925.00,10784116.00,8230514.00,8584368.00,8515261.00,6845303.00,17228084.00,6182167.00,122186386.00,12682284.00,6220427.00,7985738.00,7815178.00,25835764.00,8472497.00,8310272.00,6893686.00,7752676.00,9221141.00,7440384.00,3741695.00,112371742.00,4934702.00,7237773.00,9953489.00,7682697.00,8911520.00,8576694.00,7111571.00,5426609.00,5963728.00,7175882.00,6045690.00,5246028.00,84266383.00,4898519.00,6466694.00,7887811.00,6126855.00,9016970.00,6693416.00,7625447.00,16741737.00,6556437.00,9187989.00,6479258.00,6171404.00,93852537.00,7059565.00,5790970.00,12287151.00,8077801.00,13505852.00,9547170.00,7370747.00,8744074.00,8216424.00,12023372.00,10945565.00,6356828.00,109925519.00,5875855.00,6838251.00,8931952.00,7852390.00,7729250.00,6586644.00,7558559.00,6841105.00,8635355.00,9893208.00,9084762.00,7254715.00,93082046.00,8135352.00,8440407.00,15129970.00,5787075.00,10587370.00,9679164.00,7258838.00,13926645.00,6560440.00,7346952.00,8455503.00,10277099.00,111584815.00,10260604.00,9272373.00,16609945.00,7860060.00,10456546.00,14906023.00,8706063.00,6909626.00,8556814.00,9683001.00,8921165.00,6677252.00,118819472.00,7144436.00,11928002.00,9423580.00,13193396.00,8234621.00,10994480.00,9651292.00,13220100.00,7469759.00,8640227.00,12537590.00,6698858.00,119136341.00,8036802.00,8123696.00,7075256.00,12599773.00,8995639.00,11801925.00,6025130.00,10200964.00,9747722.00,8619175.00,12965938.00,7457023.00,111649043.00,12422802.00,9316007.00,16535510.00,9503029.00,10692278.00,9546319.00,9853594.00,8959738.00,11965891.00,12811451.00,12796093.00,#VALUE!,#VALUE!
Belgium,40664330.00,16452732.00,40094767.00,24856140.00,25643427.00,24650488.00,27236700.00,23374869.00,21291191.00,19758537.00,18082989.00,23526746.00,305632916.00,17143969.00,21672512.00,20425148.00,20022837.00,24637174.00,26375051.00,31120814.00,23049106.00,29871906.00,23675675.00,16238198.00,22794337.00,277026727.00,14484182.00,21390761.00,20346821.00,18628143.00,19727757.00,33774938.00,19291814.00,35452753.00,19247530.00,19536734.00,17388974.00,33843493.00,273113900.00,13044274.00,15404556.00,31214263.00,17703248.00,35967360.00,23196228.00,30774658.00,17432021.00,16693246.00,17642879.00,15872171.00,21137932.00,256082836.00,29358071.00,18351044.00,24547438.00,21317417.00,20635129.00,40498438.00,21364085.00,16994949.00,29359256.00,22128402.00,19965678.00,16835671.00,281355578.00,20643854.00,35699666.00,33863073.00,32081817.00,23534164.00,17096533.00,22030269.00,47544532.00,21669461.00,22450759.00,24183974.00,19129181.00,319927283.00,20808246.00,18931968.00,32976098.00,22164347.00,16845925.00,44014394.00,23742612.00,28353209.00,28136518.00,34532606.00,25135739.00,44233680.00,339875342.00,34278156.00,39868108.00,54979185.00,35376155.00,25750338.00,29780232.00,28759818.00,44149624.00,31624815.00,30241273.00,33354413.00,42873700.00,431035817.00,22658019.00,42928624.00,40620577.00,44630291.00,35514128.00,49171486.00,38155460.00,33889529.00,86664844.00,34621465.00,23842211.00,30337090.00,483033724.00,25484012.00,28917451.00,46705026.00,23103674.00,45786722.00,51039091.00,25216115.00,21837309.00,20484107.00,48963260.00,24800418.00,24739401.00,387076586.00,25135930.00,22250879.00,25693383.00,24082959.00,24331148.00,31224872.00,26011379.00,16474326.00,26451989.00,25165863.00,22690230.00,#VALUE!,#VALUE!
Bulgaria,11685346.00,7886652.00,7751350.00,8289419.00,10157137.00,11917461.00,12527985.00,9626780.00,13034342.00,10093082.00,11894477.00,19731052.00,134595082.00,43794538.00,10498726.00,28516258.00,10580155.00,12251920.00,11896603.00,16338359.00,10583994.00,13909180.00,13775627.00,10860318.00,10856726.00,193862405.00,7692207.00,8507366.00,8967813.00,8037718.00,9261024.00,9350951.00,7972539.00,9323469.00,11114731.00,10569600.00,8570669.00,12248886.00,111616973.00,8213469.00,9033069.00,10246299.00,7904899.00,8411813.00,10018453.00,11904246.00,11643153.00,64520466.00,10216995.00,13130566.00,39642718.00,204886145.00,41374493.00,6778783.00,12118613.00,10887753.00,43303095.00,11049143.00,44248641.00,15245616.00,8793810.00,13085643.00,13124334.00,7323340.00,227333264.00,12674787.00,7237446.00,42462808.00,14235611.00,9237924.00,11782543.00,41469996.00,39447956.00,11785750.00,36363383.00,12293328.00,15964187.00,254955719.00,12493836.00,15500543.00,9307728.00,8137909.00,8428938.00,10666703.00,10921674.00,30330991.00,12415664.00,14908648.00,17551240.00,12304603.00,162968478.00,11717639.00,11756637.00,14296278.00,17101457.00,18979820.00,11903050.00,50708852.00,15656785.00,19061787.00,17726025.00,13684038.00,14232082.00,216824452.00,18014754.00,16752598.00,22338081.00,23722096.00,24344367.00,19585834.00,30628640.00,20618046.00,17606614.00,23006856.00,19527313.00,22782770.00,258927969.00,16959989.00,22430969.00,14542286.00,20921337.00,18481643.00,13968442.00,16557435.00,14196488.00,17299225.00,16355534.00,15123617.00,15469951.00,202306915.00,11188760.00,14228425.00,12038609.00,16591344.00,12829273.00,17004967.00,28681286.00,13544236.00,21551187.00,32485669.00,23218660.00,#VALUE!,#VALUE!
Cyprus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Czechia,9397509.00,14345834.00,18575088.00,11258030.00,9122616.00,9651262.00,12866915.00,11829855.00,15267582.00,15015443.00,16375696.00,13727342.00,157433170.00,12533237.00,14027713.00,15877465.00,16240754.00,12356760.00,12910064.00,10972646.00,10429039.00,13945775.00,11537092.00,14923268.00,14798504.00,160552316.00,12969615.00,13041144.00,14669441.00,16906952.00,14311313.00,13885588.00,11952789.00,15275012.00,12888612.00,15275644.00,15703710.00,10907355.00,167787175.00,13031424.00,9555386.00,12668121.00,8423925.00,12468743.00,12781528.00,9559364.00,7418178.00,9074810.00,10222795.00,10196238.00,10633706.00,126034218.00,8992138.00,10098135.00,8401427.00,7824468.00,7149953.00,8658667.00,6307167.00,8950449.00,14423616.00,8018299.00,8504591.00,9741770.00,107070677.00,8201407.00,11318609.00,11636388.00,11938426.00,13846283.00,9417256.00,12158054.00,11663712.00,12835061.00,12730926.00,13363509.00,12125012.00,141234645.00,13191814.00,10949299.00,11910209.00,8747631.00,9528065.00,9314869.00,11163373.00,10790437.00,9476180.00,10947449.00,12326814.00,9545935.00,127892074.00,7809294.00,10516198.00,12474037.00,9290602.00,11076671.00,9150911.00,12437225.00,10227305.00,9159411.00,12142904.00,12247926.00,10453667.00,126986154.00,11472792.00,12654182.00,12473360.00,18612983.00,11943869.00,10708539.00,10365949.00,13548187.00,14374044.00,13440573.00,14111837.00,11895143.00,155601460.00,13111592.00,16100928.00,16998101.00,10638989.00,14693769.00,13351844.00,14474662.00,13792032.00,17340628.00,15367875.00,14710833.00,10290631.00,170871882.00,18027475.00,17179862.00,18073144.00,12639154.00,11021403.00,8424700.00,8877904.00,9426901.00,16976925.00,11622020.00,13006488.00,12062206.00,157338182.00
Germany,50304495.00,54311674.00,60838407.00,57602279.00,61178791.00,61125231.00,71813897.00,59916522.00,71559161.00,59876973.00,56826344.00,71273231.00,736627005.00,47906237.00,53381178.00,59668366.00,52525494.00,64002394.00,61344315.00,77763976.00,51812169.00,62090446.00,56025901.00,61867951.00,51342711.00,699731138.00,57329027.00,56144454.00,65513443.00,61328295.00,72002409.00,67791159.00,168790140.00,58127986.00,64296102.00,63227597.00,64095862.00,58550542.00,857197016.00,51803400.00,63792095.00,62490419.00,61396476.00,64314867.00,57504564.00,65873011.00,71704464.00,65734987.00,67889242.00,70423411.00,57671615.00,760598551.00,63452902.00,78623751.00,66663655.00,68691558.00,71244672.00,65625452.00,63977759.00,76322413.00,58816589.00,64099921.00,69733853.00,59425839.00,806678364.00,59140136.00,60363030.00,64531027.00,61962978.00,62082637.00,76189022.00,64344844.00,63696986.00,68027610.00,66860247.00,66436632.00,61280413.00,774915562.00,57436247.00,257898000.00,52221563.00,46207884.00,48952178.00,65917292.00,66085910.00,55043281.00,56190735.00,58638000.00,70037356.00,74592556.00,909221002.00,61733109.00,62697798.00,73934477.00,80647511.00,68916825.00,84228019.00,131232256.00,69672621.00,62830070.00,65434086.00,66136008.00,73504510.00,900967290.00,94106408.00,138412919.00,107414650.00,72216012.00,75978209.00,76446772.00,84354403.00,70454871.00,78339050.00,83006984.00,85336203.00,108710746.00,1074777227.00,76205350.00,78761475.00,109716675.00,72037849.00,96279979.00,91412991.00,79998926.00,76901708.00,78133218.00,80430103.00,86490181.00,69522843.00,995891298.00,81331787.00,83418604.00,78502052.00,84336659.00,98995151.00,78845464.00,91023455.00,75775858.00,81176183.00,84827350.00,85909349.00,#VALUE!,#VALUE!
Denmark,4016310.00,3396962.00,4183435.00,3617280.00,4808614.00,4810339.00,4859203.00,2940324.00,5077697.00,3664257.00,5590112.00,4846716.00,51811249.00,3662875.00,5008590.00,4736752.00,3998323.00,3904831.00,5303295.00,6125807.00,4393584.00,11733663.00,5026537.00,4103384.00,3546663.00,61544306.00,2804466.00,4018139.00,4133323.00,4568111.00,4204979.00,4629924.00,4357019.00,3824295.00,4999658.00,3492542.00,5663477.00,4084182.00,50780117.00,3194545.00,4162042.00,4682725.00,4583745.00,5890661.00,5416769.00,4858102.00,5762263.00,4562268.00,6317989.00,5471575.00,6151334.00,61054020.00,4743974.00,5048433.00,4978661.00,9242533.00,6980835.00,25545015.00,8559015.00,5733462.00,11093229.00,7308169.00,4534132.00,6021544.00,99789005.00,5795599.00,5698222.00,5030973.00,7081180.00,6991697.00,8723596.00,8823552.00,4879412.00,5561950.00,24650418.00,7810763.00,87020216.00,178067579.00,24456619.00,8420182.00,6364453.00,6260906.00,5851247.00,6881550.00,5994287.00,15989358.00,5383775.00,6294639.00,19505888.00,4330994.00,115733896.00,4234233.00,5819560.00,6349615.00,6968660.00,6413467.00,10760492.00,9333574.00,6967074.00,5084884.00,6266924.00,5954640.00,5952122.00,80105246.00,6061117.00,6410363.00,9101378.00,8980674.00,5934553.00,8076369.00,6465216.00,26277447.00,7822014.00,8074387.00,6919056.00,6312254.00,106434827.00,9089363.00,10281020.00,6966472.00,5885200.00,9117572.00,8283047.00,7317889.00,8289084.00,8432385.00,10248004.00,9454742.00,6211266.00,99576046.00,5664896.00,7414387.00,8168417.00,8044828.00,8487478.00,9798694.00,5718222.00,4996149.00,5545978.00,19102442.00,9640115.00,#VALUE!,#VALUE!
Estonia,1275755.00,882359.00,1083580.00,1872517.00,1843145.00,1683953.00,1889886.00,1739960.00,1953256.00,3473129.00,2497105.00,3236563.00,23431208.00,2217467.00,2139974.00,1992749.00,3401724.00,1358067.00,1832743.00,1448409.00,1293680.00,1306468.00,1623465.00,2681716.00,1915707.00,23212169.00,1626784.00,1380984.00,1016781.00,1523210.00,1106837.00,1992785.00,1507941.00,1545277.00,1619102.00,1922087.00,2282768.00,2713367.00,20237923.00,3179416.00,4024173.00,2462209.00,3750628.00,10618829.00,4798694.00,2422986.00,2296239.00,4787709.00,2198323.00,3121358.00,3864569.00,47525133.00,1425689.00,1552088.00,1276183.00,1533403.00,1580484.00,1641185.00,1195636.00,1330702.00,1302208.00,1436303.00,1219707.00,1070229.00,16563817.00,1157606.00,1261041.00,1383103.00,1861127.00,1504452.00,1201138.00,1594707.00,1201444.00,1548588.00,2416200.00,1554135.00,1677220.00,18360761.00,1335561.00,1019735.00,1331675.00,1426825.00,1418764.00,1412506.00,1888056.00,1402553.00,1586513.00,1665492.00,1478691.00,1564012.00,17530383.00,1498872.00,1692081.00,2169948.00,1668998.00,1836249.00,2140395.00,3364251.00,1920587.00,2593300.00,1940619.00,2675603.00,2536476.00,26037379.00,1441637.00,1962032.00,2042161.00,986073.00,1791904.00,2062321.00,2671703.00,2500474.00,4409677.00,2810273.00,2236616.00,3333212.00,28248083.00,1395230.00,1692298.00,1784730.00,2651868.00,2572454.00,3581947.00,1481092.00,1756659.00,1236118.00,1920923.00,1180524.00,1119861.00,22373704.00,981599.00,1582882.00,1553066.00,1054900.00,1825681.00,1105585.00,2268844.00,2833291.00,1077748.00,1869953.00,1712677.00,3731850.00,21598076.00
Spain,21441088.00,24389802.00,77464145.00,24187157.00,23391330.00,21726379.00,20038224.00,16639318.00,35283838.00,18022600.00,18537890.00,21520131.00,322641902.00,49736855.00,18501565.00,24533872.00,19881556.00,19104361.00,23667800.00,24040256.00,18252302.00,26958978.00,20773734.00,25307263.00,22971326.00,293729868.00,19954565.00,20460956.00,26848994.00,30149465.00,24762625.00,18375119.00,23749455.00,16580128.00,23730458.00,19824325.00,22360919.00,19296985.00,266093994.00,21022874.00,22944486.00,38565470.00,23715969.00,28209253.00,23298202.00,24158164.00,19309635.00,28314672.00,24874171.00,26425573.00,26843647.00,307682116.00,27136685.00,35173110.00,64549455.00,27449330.00,35505900.00,40617352.00,34437908.00,51424445.00,46168336.00,45819468.00,37989274.00,41337185.00,487608448.00,47189696.00,29324717.00,64129066.00,32445489.00,26366209.00,36116150.00,35241158.00,33359373.00,39022290.00,25938963.00,26387150.00,22939770.00,418460031.00,32841639.00,50885625.00,29299487.00,35822807.00,23955594.00,34202543.00,37219916.00,40003978.00,38949098.00,35724090.00,25146321.00,25759662.00,409810760.00,21628173.00,25871869.00,34527834.00,31802775.00,45946931.00,37356938.00,30028771.00,23831964.00,34685978.00,33724735.00,33808034.00,35362044.00,388576046.00,34840503.00,30433550.00,66371782.00,35077890.00,35654733.00,37926797.00,50709871.00,27509342.00,32991149.00,34838828.00,35452507.00,48711173.00,470518125.00,33162625.00,50756212.00,59975543.00,64076848.00,45169860.00,35575255.00,71734834.00,70909912.00,79450367.00,91002596.00,47227544.00,65446046.00,714487642.00,48680624.00,57134848.00,66059642.00,68758713.00,54474222.00,68021385.00,65985576.00,69341466.00,79776013.00,54146279.00,48705214.00,65157116.00,746241098.00
Finland,1511103.00,1152778.00,1284932.00,2733247.00,1432096.00,1612363.00,1347144.00,1214445.00,1904933.00,1451963.00,1178274.00,1216586.00,18039864.00,1104351.00,1676387.00,1039414.00,2392058.00,1909304.00,1562595.00,1229747.00,1619957.00,3214663.00,1408848.00,1682998.00,1048496.00,19888818.00,1142959.00,3394556.00,1967776.00,1289791.00,1948257.00,1263493.00,1378460.00,1248765.00,2330630.00,1652812.00,1106786.00,1699507.00,20423792.00,1659786.00,1225082.00,114923167.00,2009685.00,1914332.00,102627075.00,1792696.00,16557371.00,1508844.00,113421386.00,1611631.00,1741800.00,360992855.00,129976909.00,2345597.00,3108104.00,2537329.00,2931212.00,2019170.00,2269108.00,2042316.00,1072126.00,2360067.00,3577358.00,937229.00,155176525.00,1632366.00,2352420.00,1883088.00,1621277.00,2195769.00,2187102.00,6474933.00,126798293.00,2599125.00,1465480.00,1504754.00,4685917.00,155400524.00,1499642.00,2051188.00,3729300.00,2245000.00,2551664.00,2372577.00,3630397.00,2959152.00,2882315.00,2342212.00,2997092.00,2262406.00,31522945.00,1503122.00,2245936.00,2636133.00,1594327.00,3079660.00,6738548.00,3169728.00,2201197.00,5085437.00,1972540.00,1387482.00,2049028.00,33663138.00,1952111.00,2186512.00,6830283.00,2618616.00,5390837.00,5252339.00,2923134.00,2364788.00,1715970.00,2475192.00,2302407.00,3589706.00,39601895.00,2384487.00,1266444.00,3456026.00,2739355.00,3508021.00,3155386.00,1885136.00,2072024.00,4035443.00,2283005.00,2586735.00,2046348.00,31418410.00,4582674.00,3330242.00,1734240.00,3738349.00,3382146.00,3433892.00,2886873.00,3599554.00,2374963.00,6386630.00,1874928.00,#VALUE!,#VALUE!
