TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,12780356.00,12166079.00,13067672.00,15174922.00,12824572.00,12157871.00,15173920.00,9878503.00,11982082.00,13336500.00,12696147.00,13284108.00,154522732.00,12266289.00,11364764.00,13414764.00,14094845.00,22077653.00,15678070.00,13112960.00,12973627.00,14314690.00,14085248.00,14888818.00,13497244.00,171768972.00,23362142.00,16349608.00,18441430.00,17990739.00,18697733.00,15983821.00,16648317.00,11803413.00,14935765.00,15994635.00,16610062.00,15668104.00,202485769.00,13348051.00,16153584.00,14977991.00,14193486.00,21261637.00,15554226.00,19426602.00,13065230.00,15493650.00,18215427.00,16885610.00,19820006.00,198395500.00,13839344.00,15060969.00,17860884.00,19949118.00,15380484.00,20995464.00,18565361.00,19054504.00,19296916.00,23984079.00,37207626.00,16186035.00,237380784.00,17971993.00,18738803.00,21209463.00,20292088.00,21047696.00,17910932.00,17898308.00,16711818.00,19246744.00,24807613.00,18325468.00,17652864.00,231813790.00,19032879.00,19177320.00,29748891.00,26432447.00,26596042.00,22565581.00,21827313.00,20872742.00,21370527.00,20895243.00,21408425.00,22414820.00,272342230.00,24004004.00,23519696.00,26806674.00,28065058.00,28096490.00,28089623.00,23983919.00,22374171.00,27710883.00,28849938.00,30724543.00,25289594.00,317514593.00,24160937.00,24214915.00,38969634.00,26718144.00,31337015.00,33766931.00,28093920.00,26993527.00,29566316.00,26418254.00,25337684.00,25115832.00,340693109.00,23424230.00,20209977.00,27816465.00,23950076.00,27642052.00,25770634.00,21292201.00,22880854.00,24513024.00,26788359.00,20523379.00,23705955.00,288517206.00,22067711.00,25645680.00,22316088.00,24802005.00,23179539.00,25313426.00,27238408.00,25051629.00,24360367.00,30166666.00,25696472.00,#VALUE!,#VALUE!
Belgium,36413260.00,43567977.00,52517467.00,49877272.00,47200559.00,66738221.00,43057270.00,48852912.00,49005016.00,52181146.00,50292602.00,35815893.00,575519595.00,31945357.00,30148836.00,51294340.00,42367076.00,36291886.00,35207853.00,37479877.00,32806219.00,42678586.00,36191938.00,40739959.00,36850120.00,454002047.00,43727132.00,42536745.00,53931363.00,45812101.00,45360649.00,50721307.00,36105766.00,40283785.00,46348110.00,35567948.00,41747444.00,44507821.00,526650171.00,47541661.00,46727615.00,47927345.00,40127431.00,43848357.00,44981716.00,39784279.00,40279816.00,45023382.00,48315244.00,49597079.00,41721064.00,535874989.00,50834471.00,47067563.00,52890734.00,47660157.00,45357519.00,44197551.00,40353798.00,42945231.00,44969032.00,47483125.00,40636060.00,32723548.00,537118789.00,45922828.00,42982578.00,57742861.00,43857690.00,53595367.00,63071037.00,48807489.00,47154229.00,51270334.00,65092150.00,64922685.00,58211065.00,642630313.00,49694044.00,52870561.00,47936515.00,39892208.00,44327084.00,42319755.00,39240857.00,45880044.00,56206443.00,57919965.00,45500194.00,43848673.00,565636343.00,44244360.00,46201720.00,59163079.00,86704943.00,55521749.00,64129607.00,49663269.00,47691096.00,60989752.00,62516030.00,63334352.00,66446776.00,706606733.00,77286084.00,73882035.00,65159049.00,96205751.00,75825168.00,89294879.00,55444713.00,61136586.00,57813288.00,80759484.00,109459052.00,69458730.00,911724819.00,61337834.00,94398358.00,101466329.00,118119941.00,61896901.00,92342108.00,75100505.00,111443917.00,116353265.00,68101412.00,102539027.00,67771359.00,1070870956.00,72327163.00,82446146.00,61081954.00,129743665.00,151959853.00,171229332.00,60090743.00,60253516.00,54746708.00,77512854.00,73883954.00,#VALUE!,#VALUE!
Bulgaria,2262833.00,1733722.00,1975944.00,2296986.00,1862565.00,1882463.00,5995316.00,6006096.00,2382811.00,6786431.00,4122300.00,2048497.00,39355964.00,2058240.00,2431985.00,2999430.00,2671760.00,1891464.00,2210696.00,2688332.00,2167061.00,4316432.00,3895419.00,2442924.00,2720845.00,32494589.00,3492632.00,2202147.00,2294174.00,2624977.00,3173540.00,3929163.00,2653817.00,2995658.00,3861298.00,3352746.00,3177945.00,4604586.00,38362683.00,2970042.00,3414938.00,3329291.00,4179433.00,4008832.00,5317679.00,4115515.00,3491807.00,3377283.00,3970718.00,12212878.00,3906096.00,54294513.00,3673588.00,4783087.00,4094210.00,3556499.00,5976400.00,4271683.00,5058040.00,4080992.00,4885991.00,5144731.00,4590657.00,5396049.00,55511930.00,5434590.00,6283539.00,5126684.00,4579464.00,5543122.00,4500705.00,4164343.00,3787516.00,4355435.00,4652422.00,3677075.00,3566267.00,55671162.00,4946304.00,3830578.00,4180913.00,3453184.00,2865632.00,3435692.00,4059648.00,3537999.00,4676235.00,4859515.00,4126140.00,3786253.00,47758094.00,4292901.00,5005213.00,8270290.00,8477336.00,8050697.00,7023734.00,6366680.00,6203012.00,6140740.00,5352738.00,7286790.00,7120988.00,79591120.00,6882897.00,6188516.00,9245962.00,10056247.00,7964884.00,8507542.00,8225475.00,9445977.00,10381006.00,9823720.00,13908803.00,12553517.00,113184545.00,30740363.00,16324214.00,11474534.00,9838947.00,7712245.00,20872542.00,8070120.00,6665343.00,9030716.00,7910311.00,8120170.00,6612054.00,143371559.00,14017357.00,12877564.00,12461809.00,18493141.00,12793563.00,14826661.00,12894795.00,14690357.00,17592234.00,29645569.00,31427892.00,#VALUE!,#VALUE!
Cyprus,630348.00,737036.00,716507.00,232962.00,104475.00,228093.00,160092.00,202696.00,276804.00,245288.00,74255.00,360875.00,3969431.00,510446.00,1446713.00,1560958.00,1186700.00,1254146.00,13053314.00,990082.00,1106881.00,1001220.00,1348516.00,2010314.00,1151125.00,26620415.00,1015262.00,616807.00,1271432.00,484721.00,681205.00,1186340.00,1057355.00,596510.00,733846.00,266670.00,638193.00,420620.00,8968961.00,385874.00,465106.00,734891.00,643911.00,967737.00,375753.00,975793.00,314127.00,870863.00,694178.00,1019626.00,901486.00,8349345.00,1057765.00,963372.00,847392.00,660146.00,1407182.00,858304.00,1225616.00,3267664.00,822552.00,1109667.00,1283754.00,794507.00,14297921.00,650893.00,862152.00,1958359.00,705954.00,729673.00,4780977.00,1566498.00,915903.00,1035609.00,817168.00,874740.00,1114445.00,16012371.00,990348.00,497515.00,629657.00,1244524.00,977892.00,959787.00,1245828.00,1917844.00,301736.00,744955.00,424683.00,842109.00,10776878.00,548598.00,595632.00,383263.00,4701668.00,554871.00,535092.00,471492.00,663687.00,985232.00,966308.00,1849326.00,703430.00,12958599.00,4973653.00,947715.00,1936001.00,1177352.00,917178.00,866195.00,1027712.00,553066.00,946743.00,1755217.00,1576186.00,613018.00,17290036.00,453935.00,548337.00,850241.00,913082.00,887961.00,1515063.00,701312.00,277007.00,655098.00,836819.00,709900.00,386789.00,8735544.00,395397.00,922095.00,822480.00,1203009.00,404029.00,892935.00,765387.00,1100914.00,327697.00,935954.00,767705.00,#VALUE!,#VALUE!
Czechia,20148241.00,20018045.00,22861419.00,22246059.00,22795572.00,23582450.00,24198376.00,18866467.00,23906834.00,26965025.00,23517478.00,22269841.00,271375809.00,20105123.00,25666328.00,28946515.00,25718851.00,27811905.00,21472732.00,23448257.00,21651458.00,29156088.00,26335517.00,23898533.00,20882689.00,295093995.00,22681481.00,23249685.00,25891866.00,26499206.00,26927899.00,35921475.00,21228070.00,27208452.00,31138602.00,29460625.00,28412824.00,27198704.00,325818889.00,24572042.00,30813745.00,32041141.00,25305877.00,31447035.00,29756968.00,22990026.00,29596789.00,30174743.00,31072141.00,35792633.00,32739097.00,356302237.00,33427077.00,32848349.00,38010535.00,38406729.00,38501394.00,39640531.00,29755341.00,33292618.00,36560369.00,46471158.00,40508989.00,31973411.00,439396501.00,33966891.00,32983723.00,35815067.00,34124691.00,43582893.00,41967596.00,37095900.00,38335126.00,40450878.00,43789645.00,40412711.00,31745349.00,454270471.00,33216049.00,36110397.00,30501693.00,24024636.00,26391650.00,32516274.00,32601299.00,28117793.00,44754308.00,41627910.00,38589044.00,39510427.00,407961477.00,35077224.00,34089839.00,42099460.00,40724362.00,41527436.00,43084710.00,43970336.00,34863803.00,41102848.00,40380897.00,41947140.00,39142148.00,478010203.00,46691130.00,49280215.00,48951321.00,53470694.00,50758108.00,55211156.00,47625684.00,47923456.00,64921716.00,52645799.00,57474245.00,48244417.00,623197941.00,51472114.00,61675987.00,77540904.00,59891907.00,63064013.00,70335384.00,61105284.00,55793635.00,61758649.00,65093663.00,89482400.00,63202163.00,780416102.00,57942864.00,57776978.00,59499538.00,65696710.00,60438067.00,81235815.00,60427100.00,76303157.00,81078633.00,102505872.00,94075276.00,58200568.00,855180578.00
Germany,176449980.00,230134686.00,181023579.00,198667871.00,190728400.00,189814346.00,195807370.00,180323401.00,199454538.00,198387237.00,183976294.00,151796442.00,2276564144.00,162609110.00,167236326.00,189966692.00,194996128.00,184453163.00,191125196.00,192795892.00,174708689.00,189580881.00,191447968.00,178703610.00,156172936.00,2173796591.00,167055432.00,180096506.00,211970160.00,207992820.00,199269139.00,190168190.00,191746676.00,181577072.00,201376817.00,200257479.00,207770515.00,185748980.00,2325029786.00,195308037.00,193240520.00,228781471.00,223691491.00,227792832.00,201392134.00,207319806.00,210040162.00,224390678.00,224705783.00,224525970.00,211090806.00,2572279690.00,234159711.00,219009581.00,252612246.00,238417112.00,308022133.00,242458893.00,303385014.00,225398648.00,205943304.00,245913803.00,229579195.00,191419407.00,2896319047.00,239515054.00,221856687.00,246213675.00,248093483.00,226016431.00,216540623.00,221078622.00,208472773.00,228072664.00,223819472.00,217042613.00,192410629.00,2689132726.00,208585445.00,210239172.00,224668771.00,189446941.00,180603152.00,213631102.00,212663876.00,209840572.00,239692461.00,232344944.00,265300164.00,300084345.00,2687100945.00,215902698.00,229793271.00,282421821.00,260675418.00,274905229.00,275231536.00,250592780.00,265590906.00,281685641.00,290395408.00,293947609.00,244303884.00,3165446201.00,265691575.00,279214851.00,336192717.00,307646708.00,331742110.00,319638052.00,312795039.00,311100539.00,344152393.00,341452608.00,335030432.00,308975017.00,3793632041.00,324454315.00,308578054.00,340940682.00,318053796.00,370021978.00,366886373.00,301151805.00,297035681.00,320175863.00,292057020.00,320474973.00,233924358.00,3793754898.00,263490533.00,275115621.00,301594900.00,318299211.00,297295448.00,281673843.00,285655866.00,275937807.00,287432953.00,303667925.00,278984000.00,#VALUE!,#VALUE!
Denmark,38226703.00,47132085.00,46794700.00,42171315.00,46250732.00,42233797.00,31190746.00,38548522.00,43876017.00,48400033.00,39116515.00,52542792.00,516483956.00,41734129.00,39696603.00,49837274.00,43201417.00,43460603.00,42905099.00,45061563.00,36472466.00,41476899.00,39352584.00,45028181.00,48337629.00,516564449.00,47558345.00,44281808.00,46687323.00,49014320.00,59118092.00,43080398.00,40659380.00,42603529.00,47413726.00,44903370.00,51732760.00,51613005.00,568666055.00,57107395.00,60099635.00,56607934.00,42980970.00,49366521.00,52130726.00,39679848.00,49014386.00,44027604.00,57570451.00,55862965.00,54830720.00,619279155.00,64969732.00,54067678.00,56756429.00,55597301.00,50082120.00,49513546.00,41581119.00,49330735.00,48754311.00,55318935.00,58271138.00,44466190.00,628709233.00,53360056.00,56272115.00,57537506.00,53358626.00,50822380.00,42896897.00,35951262.00,41849591.00,47486915.00,65060681.00,53051088.00,50407605.00,608054720.00,51130766.00,54497671.00,58361310.00,41227250.00,40373890.00,45723789.00,37820996.00,40712874.00,46049794.00,57802598.00,55690759.00,49309212.00,578700906.00,44622641.00,59150373.00,73528650.00,57260809.00,55303025.00,73536282.00,46019309.00,52739519.00,53455475.00,67968754.00,68163208.00,54982073.00,706730115.00,62165566.00,65853071.00,85971000.00,71774882.00,70415150.00,91489165.00,53384913.00,67861147.00,79095650.00,85210461.00,75779363.00,93339480.00,902339850.00,69850418.00,77396604.00,130093698.00,75712556.00,73461164.00,85590427.00,54995542.00,95732276.00,84829153.00,77063393.00,78421879.00,66879567.00,970026678.00,78327951.00,82392665.00,93534489.00,84089905.00,78088898.00,76270261.00,53740836.00,59203620.00,69224858.00,77468323.00,93068122.00,#VALUE!,#VALUE!
Estonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spain,13323842.00,141326466.00,32500443.00,12902404.00,17600275.00,79811596.00,41659459.00,200355713.00,65615219.00,151947580.00,47698407.00,65899928.00,870641332.00,17659413.00,39599619.00,35044660.00,16525148.00,25175794.00,36978593.00,39448428.00,23221859.00,25738322.00,23400048.00,27744283.00,26457302.00,336993469.00,18507407.00,21246368.00,36025102.00,26509345.00,29077079.00,24494042.00,24448571.00,22096326.00,28063497.00,19995948.00,24875569.00,31545190.00,306884444.00,23936847.00,21645554.00,24648713.00,29921248.00,49418208.00,33889894.00,26027637.00,20216632.00,25112005.00,35891948.00,32702726.00,33646725.00,357058137.00,25428123.00,23481868.00,29290332.00,23236164.00,28087157.00,33026267.00,43121431.00,21700777.00,24941645.00,29533337.00,30025046.00,42211304.00,354083451.00,25791484.00,39104335.00,28642300.00,25762464.00,31506836.00,63538942.00,40393142.00,21073867.00,30980292.00,39628945.00,24248056.00,29226432.00,399897095.00,22853959.00,25351577.00,28862540.00,20246218.00,25165959.00,35505486.00,26581640.00,23478040.00,47444661.00,32218615.00,30540408.00,33750927.00,352000030.00,28944706.00,30091966.00,39589539.00,30659716.00,35426151.00,41268060.00,33859422.00,22309548.00,49947219.00,53481159.00,34805906.00,43286962.00,443670354.00,31435137.00,46492843.00,42604812.00,34303828.00,42226603.00,55794971.00,47787013.00,58418791.00,44786602.00,41505376.00,42239776.00,60955226.00,548550978.00,57006320.00,55844442.00,42281410.00,43236961.00,50593328.00,54037665.00,49929187.00,37161148.00,37129335.00,55049360.00,70096684.00,59384491.00,611750331.00,45372744.00,66132548.00,46577327.00,64537252.00,54057881.00,51947368.00,44836561.00,34144710.00,46912419.00,50706748.00,43886866.00,46059796.00,595172220.00
Finland,267581220.00,256686950.00,282215410.00,302916565.00,293665453.00,290180679.00,265767782.00,260431822.00,321904856.00,315306724.00,282640526.00,281721585.00,3421019572.00,235828220.00,243495744.00,286226627.00,276138648.00,272150729.00,280820570.00,256462982.00,254555274.00,281758029.00,289626119.00,284126820.00,263181853.00,3224371615.00,231292759.00,260353700.00,300589777.00,288674098.00,287427876.00,278989134.00,244241527.00,270609023.00,286723401.00,276555495.00,291251237.00,255408211.00,3272116238.00,475294641.00,257865615.00,328840032.00,279429272.00,313873080.00,302482831.00,275894254.00,297431204.00,295436572.00,318071920.00,315098768.00,278765871.00,3738484060.00,289903130.00,306835235.00,315514297.00,350558387.00,347821878.00,334750414.00,293952717.00,328029343.00,317756391.00,363295649.00,349986795.00,287552418.00,3885956654.00,306175978.00,295469125.00,344237322.00,325980590.00,353384231.00,322756306.00,326365426.00,323972947.00,344519656.00,369803857.00,317783009.00,297500295.00,3927948742.00,321074099.00,317256163.00,367291387.00,325482223.00,317359669.00,311683511.00,308629341.00,289241865.00,344820774.00,365038977.00,354338415.00,332637020.00,3954853444.00,301366280.00,339569451.00,406541197.00,370308484.00,355026145.00,394699007.00,376856061.00,395598510.00,496726018.00,488377481.00,524285419.00,497221421.00,4946575474.00,525419942.00,479669001.00,539231627.00,560700381.00,580969429.00,605029396.00,543229791.00,657404606.00,677674812.00,583873633.00,636692656.00,866918559.00,7256813833.00,519679254.00,508473389.00,563744427.00,494160770.00,513300339.00,507852982.00,392093804.00,519580171.00,467109036.00,466510800.00,451094795.00,399795122.00,5803394889.00,414184310.00,363030202.00,372144063.00,465224571.00,467470999.00,439328031.00,395271109.00,457192101.00,442463204.00,478438814.00,407320274.00,#VALUE!,#VALUE!
