TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,721074773.00,723184065.00,1203858696.00,864998268.00,714849448.00,750855418.00,757111758.00,530478609.00,812930761.00,944722436.00,1187260161.00,863798745.00,10075123138.00,678758934.00,720266226.00,797700530.00,747758175.00,669911039.00,789435765.00,745142421.00,567095436.00,765204364.00,789624385.00,1220227242.00,1132205778.00,9623330295.00,666740729.00,768329579.00,797944104.00,743534012.00,714365671.00,818561660.00,670162008.00,573927304.00,790379206.00,746363465.00,782510361.00,947998629.00,9020816728.00,1534182099.00,726823073.00,896510728.00,872772908.00,958650825.00,785282998.00,768508900.00,592729044.00,767864487.00,1218083337.00,983891819.00,707995323.00,10813295541.00,790040425.00,790184088.00,1200062692.00,964311999.00,787325167.00,1018105494.00,900378638.00,637773243.00,782982183.00,930489191.00,897033956.00,870575832.00,10569262908.00,1016744485.00,1330066418.00,901131985.00,889161168.00,845622478.00,797989273.00,845532441.00,597055021.00,855059103.00,1097175159.00,893709985.00,749643294.00,10818890810.00,905523043.00,850081294.00,1114998365.00,1010031515.00,617073862.00,779961554.00,794844302.00,579127594.00,808512127.00,834493683.00,871617771.00,743514326.00,9909779436.00,767486641.00,837926089.00,995869240.00,922086561.00,866232341.00,950076700.00,873827279.00,663706603.00,951610676.00,985721625.00,1025719417.00,895649850.00,10735913022.00,1005357796.00,955231059.00,1152396215.00,981230469.00,1044658857.00,1077096605.00,963769091.00,841903125.00,1547504708.00,1071238577.00,1178392519.00,967252732.00,12786031753.00,1024415939.00,1020976784.00,1227766314.00,1041296787.00,1024884720.00,1244316110.00,1014336971.00,726752205.00,984754288.00,1014735973.00,1070949599.00,965622719.00,12360808409.00,956037011.00,1352158259.00,1009679456.00,979648313.00,1153916955.00,1031128376.00,985254333.00,674244525.00,985631112.00,1068130544.00,997921962.00,#VALUE!,#VALUE!
Belgium,7505314235.00,7326547869.00,7783976649.00,7573680117.00,7117323742.00,7430233465.00,7569039076.00,6243563802.00,8223372064.00,8319588337.00,7374568416.00,7189416039.00,89656623811.00,7221977255.00,7296603437.00,7865930399.00,7351570326.00,6669840114.00,8044754441.00,7275661842.00,5852555770.00,7706250213.00,7892065486.00,7206026035.00,7039171119.00,87422406437.00,6820870038.00,7344837548.00,7838265714.00,7253269871.00,7200584804.00,7791318345.00,6718792919.00,6427148795.00,7634214987.00,7395878826.00,7700529498.00,7510673218.00,87636384563.00,7382678945.00,7547378029.00,8581282949.00,7385787489.00,7725359657.00,7965656972.00,7345288391.00,6501822027.00,7791750017.00,8109634964.00,7999233334.00,7131799779.00,91467672553.00,7756106116.00,7553792164.00,8445726873.00,7499010817.00,7641909442.00,8429575372.00,8082019447.00,6679837147.00,7691730686.00,8605216375.00,8062175022.00,7225913613.00,93673013074.00,7730100696.00,7564406085.00,8504191992.00,8417609438.00,8267686584.00,7851098561.00,8466518065.00,6577199214.00,8064437268.00,8325561478.00,7474910904.00,7408933451.00,94652653736.00,8177097284.00,7744534997.00,7024228059.00,5440305536.00,6000771137.00,7304779685.00,7067774101.00,6125906367.00,7969607421.00,8086280410.00,7302486456.00,7356714304.00,85600485757.00,7704740957.00,7990120755.00,9419672530.00,8418931360.00,8040272295.00,9482924401.00,8485576131.00,8012717694.00,9549541727.00,9831059194.00,9790599156.00,11476266169.00,108202422369.00,10235573698.00,9983888262.00,12796498620.00,9888846620.00,10758027703.00,11300851654.00,10796848137.00,11087476475.00,12371197439.00,10590543014.00,11915497340.00,11509356827.00,133234605789.00,10671624249.00,10123291434.00,11808935109.00,10531514695.00,10180074539.00,11258838814.00,10178225977.00,8947029002.00,10186886764.00,10197050685.00,9670412750.00,8600270741.00,122354154759.00,9461148126.00,9249937199.00,9852501627.00,10188005136.00,9236706746.00,9739629286.00,9919032429.00,7817649357.00,9281230403.00,9953730897.00,9455769713.00,#VALUE!,#VALUE!
Bulgaria,131219237.00,147744190.00,139698502.00,135935880.00,139885415.00,152712360.00,170515712.00,140029858.00,135904555.00,162072357.00,144350710.00,141794925.00,1741863701.00,138382640.00,140977117.00,142529290.00,138430406.00,136482335.00,175085907.00,187787286.00,131614345.00,144650228.00,178018811.00,159975939.00,135378239.00,1809312542.00,145942493.00,157981810.00,164917237.00,151778099.00,147773518.00,168578278.00,170061918.00,137889995.00,170940873.00,163639405.00,158693448.00,149335397.00,1887532471.00,153114461.00,158419016.00,190166539.00,135301354.00,152450937.00,166373926.00,177328514.00,153818057.00,164256724.00,172993876.00,184242349.00,156186417.00,1964652169.00,173188784.00,159192644.00,183504101.00,162135488.00,154976363.00,177572936.00,174570388.00,144104067.00,153826174.00,191470933.00,195205980.00,138805266.00,2008553124.00,182018224.00,174846454.00,203268927.00,170317529.00,178487051.00,179395974.00,201288442.00,150846866.00,156986860.00,173281265.00,187231059.00,180812914.00,2138781567.00,173733548.00,175092511.00,165733321.00,127144859.00,151866533.00,190708351.00,167397316.00,143099075.00,160642910.00,170296652.00,179015233.00,156877791.00,1961608100.00,165126332.00,177811274.00,209961215.00,185616921.00,186237078.00,196541175.00,195522378.00,157885220.00,204447445.00,205408222.00,218748481.00,194918610.00,2298224350.00,189643995.00,218220574.00,275276807.00,232539958.00,266142398.00,254085963.00,217422160.00,203297679.00,213270439.00,232001652.00,253118526.00,222006387.00,2777026537.00,254373618.00,227421762.00,274084012.00,203436769.00,226217926.00,250712957.00,236111554.00,193577509.00,215064285.00,229195188.00,255146601.00,201846012.00,2767188194.00,209713504.00,234327412.00,217254882.00,228988830.00,213973092.00,225381908.00,236886106.00,170707358.00,199425572.00,221091165.00,224871465.00,#VALUE!,#VALUE!
Cyprus,25819113.00,9076675.00,30118997.00,15022286.00,20508058.00,26554790.00,18107358.00,45699538.00,28735861.00,31656925.00,26763102.00,29478902.00,307541605.00,22073930.00,21576952.00,12300933.00,14227266.00,11108886.00,25280166.00,17071739.00,19586138.00,9844588.00,24095956.00,13528801.00,11400240.00,202095595.00,18190426.00,17391763.00,19463607.00,18822820.00,33078644.00,40491581.00,35718442.00,31191944.00,11941889.00,22697204.00,45967840.00,14254554.00,309210714.00,38742836.00,11849313.00,30039569.00,15057941.00,29198287.00,39147292.00,31406928.00,23892864.00,26837183.00,25176700.00,27555935.00,24494513.00,323399361.00,30174767.00,15187904.00,13894340.00,22217534.00,17800196.00,16178448.00,30345704.00,11839367.00,14066533.00,16397514.00,20245125.00,15806652.00,224154084.00,14346817.00,15158918.00,44544377.00,16584921.00,28265919.00,33723515.00,14544337.00,27711377.00,27047976.00,32216403.00,29285358.00,17583781.00,301013699.00,14958475.00,12436715.00,14803462.00,11887102.00,20619715.00,77792513.00,25831345.00,11819155.00,15851846.00,20588625.00,23988891.00,15567346.00,266145190.00,11888073.00,12624559.00,17594044.00,17424701.00,18332489.00,19928838.00,17871774.00,17080315.00,16417047.00,16121991.00,18099612.00,15303020.00,198686463.00,15299656.00,15729246.00,18181646.00,15937412.00,25036533.00,39493784.00,17844298.00,36637297.00,23220591.00,18011782.00,19903547.00,22018206.00,267313998.00,50020380.00,20043095.00,29049847.00,23394395.00,23984131.00,22856729.00,27421361.00,23809433.00,21388539.00,30834722.00,19675950.00,26778012.00,319256594.00,31147960.00,33976146.00,20145696.00,25905559.00,26331471.00,31885265.00,30057095.00,19854394.00,18085396.00,26161823.00,35175871.00,#VALUE!,#VALUE!
Czechia,873095994.00,841716446.00,890903346.00,873674482.00,785698565.00,881135994.00,910807299.00,653216687.00,961910868.00,995983493.00,889539700.00,783350964.00,10341033839.00,863843149.00,876692020.00,1017360218.00,948560649.00,827859965.00,1040707922.00,948532146.00,678342953.00,1018427662.00,1077493994.00,998743569.00,824686045.00,11121250292.00,905797704.00,991914704.00,1029711440.00,1016494150.00,973418371.00,1055425956.00,901729539.00,793410465.00,1027074998.00,1034899951.00,1060419655.00,853290692.00,11643587623.00,1058175866.00,1012845066.00,1151160869.00,969100855.00,1070297855.00,1188300504.00,984033500.00,867003578.00,1132062463.00,1243253652.00,1181133352.00,936997361.00,12794364923.00,1163827257.00,1095338680.00,1215416731.00,1125443393.00,1107824694.00,1244320901.00,1094857678.00,923821328.00,1110982496.00,1301483057.00,1222832244.00,962470028.00,13568618487.00,1212386488.00,1166661116.00,1325631005.00,1236885299.00,1217538277.00,1164067759.00,1208426906.00,897343332.00,1213178052.00,1302612448.00,1241229016.00,957670657.00,14143630356.00,1222661023.00,1196178316.00,998640237.00,565633960.00,697279775.00,1094465171.00,1039767024.00,853274463.00,1159295663.00,1297416495.00,1258592222.00,1095268181.00,12478472529.00,1133643573.00,1078547968.00,1334864379.00,1247338257.00,1185842037.00,1272514046.00,1108745330.00,886328537.00,1176148678.00,1157553278.00,1305150506.00,1186696409.00,14073373001.00,1299302363.00,1264546381.00,1459508683.00,1298994795.00,1430992712.00,1530954157.00,1345357604.00,1205271695.00,1591337286.00,1526764209.00,1578859269.00,1312878791.00,16844767944.00,1550408043.00,1375841663.00,1661505866.00,1413641524.00,1501522123.00,1618458318.00,1296842501.00,1134573841.00,1447544267.00,1649543176.00,1627004068.00,1293041053.00,17569926445.00,1484515040.00,1519084696.00,1521869823.00,1597893702.00,1443441703.00,1482204705.00,1486441744.00,1187746993.00,1528642865.00,1678447022.00,1597674783.00,1179602973.00,17707566048.00
Germany,14229693030.00,14883322157.00,15421574559.00,14575534643.00,12999205525.00,15577184259.00,14807969992.00,11344432313.00,15178914872.00,15219937607.00,14577709532.00,13187146413.00,172002624902.00,14381579457.00,15241238612.00,15790204258.00,14878179648.00,14048186064.00,15387364660.00,14368686597.00,11168162013.00,15265679329.00,15925334332.00,14948602524.00,13111806789.00,174515024283.00,13890822400.00,14955159755.00,15088779653.00,14903811612.00,14006278273.00,15075576795.00,13894963976.00,11856081276.00,14767627425.00,14540973400.00,14774786170.00,13041443826.00,170796304561.00,14510665463.00,14346483561.00,15558834314.00,14130670088.00,14977336978.00,14867374136.00,14120708966.00,13050940868.00,14740482927.00,15432696840.00,15808950050.00,13191495088.00,174736639279.00,14830561882.00,14272223439.00,15647792016.00,15214741397.00,13826440859.00,15464216164.00,15141591453.00,12074584589.00,14355569533.00,15221232609.00,15109815718.00,13165081444.00,174323851103.00,14683942212.00,15095139105.00,16039060621.00,15124775628.00,14878994635.00,14568269785.00,15099752423.00,12085437696.00,15348582993.00,15773086963.00,15239670373.00,12541062458.00,176477774892.00,14081181247.00,14716534486.00,13289691368.00,8302049183.00,10192985509.00,12400568745.00,12321243651.00,10883091734.00,13468399912.00,13998534099.00,14474929426.00,12111830338.00,150241039698.00,12567203862.00,13387501855.00,15873305902.00,13800319794.00,13453904137.00,15006774759.00,14034368251.00,11785669117.00,14274020817.00,14798402604.00,15505338655.00,14133023905.00,168619833658.00,14613939178.00,15102419640.00,17665891892.00,15016679364.00,16460848605.00,17142987249.00,15668179809.00,14492549639.00,17669897459.00,16375223584.00,17023830414.00,15507410135.00,192739856968.00,16292719219.00,16393405535.00,18628143280.00,15359873118.00,16532617971.00,17801833974.00,15689993310.00,14019213539.00,16435978548.00,16547914111.00,17385796592.00,14659498144.00,195746987341.00,16593019002.00,16855283575.00,16476529360.00,17388773792.00,15107648156.00,15766432842.00,16163077748.00,13375131695.00,15501686002.00,16747669540.00,15395589547.00,#VALUE!,#VALUE!
Denmark,453489983.00,462079416.00,479630751.00,468659925.00,464109096.00,489039225.00,469237194.00,426466550.00,477244524.00,489861768.00,421127728.00,427175288.00,5528121448.00,440268922.00,426455388.00,522795462.00,431301840.00,394982805.00,488122628.00,401395777.00,384772124.00,522426598.00,466267399.00,455343597.00,440106474.00,5374239013.00,457981473.00,455330854.00,497897047.00,493852957.00,456058512.00,489667378.00,402789078.00,388048823.00,484151887.00,458131313.00,483923094.00,458348359.00,5526180773.00,451477639.00,438449271.00,592074450.00,461114770.00,496037649.00,580228916.00,486442481.00,444497321.00,510878630.00,496052631.00,497881653.00,429922913.00,5885058323.00,493304238.00,507094825.00,533456748.00,479435780.00,518278724.00,538682996.00,500434302.00,480028043.00,491265354.00,566081972.00,544881108.00,473263586.00,6126207676.00,522564937.00,493075267.00,556546361.00,543136688.00,527334016.00,560570144.00,536122785.00,467561701.00,544495080.00,563961111.00,544462187.00,486999232.00,6346829511.00,556849613.00,532187514.00,557600486.00,367404464.00,448174208.00,563341625.00,538750248.00,454120460.00,561768437.00,587172689.00,567949730.00,563016985.00,6298336459.00,564833090.00,560441034.00,700514305.00,572285096.00,568079426.00,601866425.00,585287327.00,528303740.00,661024647.00,620421590.00,689719930.00,604390028.00,7257166638.00,615078003.00,656623271.00,895430688.00,639607741.00,636126721.00,756457922.00,589102544.00,613437402.00,802764501.00,769537016.00,738852204.00,654680967.00,8367698980.00,743953898.00,663814849.00,825770247.00,657037810.00,682362610.00,810325062.00,623589119.00,618541444.00,704850832.00,686214652.00,714863389.00,645038634.00,8376362548.00,714485971.00,718766193.00,760391296.00,752329534.00,725138760.00,689445528.00,661523131.00,582925849.00,709406845.00,763841486.00,766070212.00,#VALUE!,#VALUE!
Estonia,35934625.00,36868321.00,39908143.00,40787614.00,39423707.00,37203533.00,38489467.00,32355079.00,38249226.00,54669939.00,36242408.00,33257233.00,463389295.00,32689058.00,34421050.00,41625577.00,37847312.00,36179970.00,39969959.00,32711756.00,34032952.00,38067912.00,43050454.00,38235196.00,35925107.00,444756303.00,33661421.00,34816387.00,36162842.00,43607485.00,36504137.00,44631962.00,35785638.00,31980150.00,42508121.00,39131257.00,50576356.00,50264558.00,479630314.00,38995064.00,43833721.00,54097476.00,47345021.00,50254812.00,60265457.00,50650375.00,44060452.00,46003246.00,51778460.00,50587071.00,48640229.00,586511384.00,44432162.00,38578979.00,48200445.00,53497719.00,49915777.00,60560542.00,49505970.00,45876717.00,52745861.00,57829679.00,62211042.00,68604323.00,631959216.00,53257489.00,45378120.00,65792557.00,53140063.00,53852948.00,56998179.00,59565230.00,42299163.00,63597516.00,70341805.00,51815584.00,44818748.00,660857402.00,52256471.00,54003324.00,42249866.00,31812961.00,32612184.00,48447525.00,47779194.00,41675488.00,46557598.00,51786836.00,51354949.00,74191863.00,574728259.00,56561358.00,49714487.00,60716560.00,54809441.00,50908570.00,63148728.00,59572956.00,59682929.00,64995470.00,68685476.00,55740233.00,98388315.00,742924523.00,64843104.00,65059895.00,74280153.00,58170696.00,72740864.00,68823764.00,62632777.00,65009547.00,67195485.00,67197241.00,60796961.00,62454158.00,789204645.00,57741456.00,59750290.00,78230151.00,60355404.00,71211221.00,65971402.00,63677946.00,48669012.00,50094358.00,65489267.00,62558309.00,69689564.00,753438380.00,50338188.00,58680069.00,56397336.00,72355687.00,63882290.00,65910725.00,66366179.00,56616017.00,83528317.00,79371637.00,66384086.00,81740580.00,801571111.00
Spain,5986124317.00,5622876802.00,6274717867.00,5702929275.00,5723503973.00,6591900494.00,6299719345.00,4119686379.00,6430146312.00,6223193985.00,5718286360.00,5707813461.00,70400898570.00,5670474465.00,6041997365.00,6866843365.00,5891107004.00,5843745321.00,7074519204.00,6412350494.00,4084124416.00,6760267391.00,6196326518.00,5952520770.00,6064512339.00,72858788652.00,5642912441.00,6104075306.00,6749991207.00,6406656145.00,6185310024.00,7190147983.00,5875611722.00,4398049416.00,6742325860.00,6066036540.00,6723924485.00,6422561557.00,74507602686.00,6547717861.00,6311224005.00,7669669638.00,5954984677.00,6970322717.00,7681649960.00,6118418466.00,4491265770.00,7042691125.00,6989798306.00,7130549725.00,7052293263.00,79960585513.00,6808081627.00,6639630144.00,7823820989.00,6886429040.00,7227771917.00,8110254528.00,7072227054.00,4937001005.00,7103741549.00,7475721421.00,7143105311.00,6592659650.00,83820444235.00,6729427309.00,6820752948.00,7641393157.00,6824050845.00,7045761571.00,7351253738.00,7266893688.00,4672377109.00,7167498093.00,7469226108.00,7067501445.00,6926144537.00,82982280548.00,6810943148.00,6848493261.00,6312245437.00,3816505289.00,4485467793.00,6955717148.00,6829493548.00,4718637769.00,7564131077.00,7418225897.00,7077805721.00,7091000619.00,75928666707.00,6389393415.00,6820864303.00,8467609124.00,7500153300.00,7243653284.00,8231307336.00,7206614699.00,5364785724.00,8129292545.00,7846008805.00,8190072903.00,8466736594.00,89856492032.00,7969212940.00,8289355989.00,9997884593.00,8117775498.00,9121971659.00,10190100823.00,8526682058.00,7204261202.00,10264158717.00,8840314405.00,9605760628.00,9191490253.00,107318968765.00,8577077986.00,8989511024.00,10062828714.00,8426638570.00,9166468960.00,9869901287.00,8362721368.00,6674415558.00,8777152685.00,9189850337.00,9630682244.00,8333840033.00,106061088766.00,8938827705.00,8828194078.00,9092025288.00,9042534770.00,8508974635.00,8897688730.00,8566067842.00,6339885904.00,8433951794.00,9180314459.00,8177255110.00,7838284594.00,101844004909.00
Finland,247180266.00,306676665.00,282712705.00,335193252.00,265647326.00,266414811.00,233775964.00,217807225.00,298022215.00,281624116.00,237857317.00,265894943.00,3238806805.00,249532810.00,254518800.00,283695975.00,269930970.00,239535692.00,263402964.00,243465294.00,217222831.00,253781458.00,404168067.00,263564050.00,545671323.00,3488490234.00,222764007.00,294203332.00,424323830.00,407513364.00,314476736.00,403740730.00,235454885.00,244137384.00,394743165.00,290611408.00,263587882.00,269187561.00,3764744284.00,247652658.00,250814562.00,338831571.00,397279527.00,279055041.00,633409805.00,280300219.00,246802824.00,481281958.00,310343694.00,316006481.00,268696460.00,4050474800.00,290145418.00,284243816.00,339640373.00,295236682.00,300070064.00,296302162.00,278533753.00,258262398.00,302632943.00,334097333.00,306673993.00,402280829.00,3688119764.00,291203538.00,462552663.00,313628922.00,495574740.00,353201249.00,296665014.00,271321923.00,242873109.00,323505065.00,344020555.00,302779231.00,283139754.00,3980465763.00,282091675.00,436454111.00,316991063.00,236134784.00,254913833.00,265951765.00,259022979.00,248492058.00,471426852.00,297923850.00,292742408.00,295736304.00,3657881682.00,254258958.00,288602249.00,321256184.00,331253576.00,312934129.00,307146710.00,282412746.00,278789129.00,325750993.00,338111427.00,336081737.00,344463647.00,3721061485.00,352859168.00,331552905.00,382182730.00,360583044.00,395476356.00,396438156.00,334258216.00,333579808.00,395037185.00,392622981.00,363582350.00,387339471.00,4425512370.00,376662906.00,298400063.00,527085983.00,349544141.00,431913432.00,388118145.00,322763226.00,342635138.00,393482294.00,375818302.00,354535751.00,317550850.00,4478510231.00,346958644.00,349532059.00,314647841.00,386641339.00,377131501.00,381073282.00,344927077.00,319766583.00,342268034.00,364570743.00,335410513.00,#VALUE!,#VALUE!
