TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,7590279685.00,7901173410.00,8542785428.00,8270651508.00,7902399571.00,7714151225.00,8427178265.00,6918221166.00,8516612953.00,8747120500.00,8035645520.00,7190716387.00,95756935618.00,7293278459.00,7836951718.00,9066533405.00,8291930084.00,7478307715.00,8696192422.00,8771319423.00,7502421101.00,8938628494.00,8725356627.00,8870754180.00,7515634412.00,98987308040.00,7354967913.00,8530868632.00,9073172687.00,8809952723.00,7993625597.00,9002572404.00,8068257113.00,8061550356.00,9092889110.00,8607559761.00,9192649314.00,7826528563.00,101614594173.00,8280648741.00,8718643226.00,10134661269.00,8643579446.00,9523844232.00,9072974057.00,8817050051.00,8681742481.00,9472770578.00,9407562541.00,10066842500.00,8194531064.00,109014850186.00,9144321758.00,9032273014.00,10150035554.00,9413184201.00,9259471090.00,9820476345.00,9557220941.00,8993738905.00,9365127017.00,10552235931.00,10204314831.00,7966665550.00,113459065137.00,9429105428.00,9412132193.00,10206275806.00,9751743461.00,9812853196.00,8875663003.00,9938934989.00,8311913711.00,9573982174.00,10324766703.00,9565807971.00,8051452961.00,113254631596.00,9072570852.00,9138656955.00,9491057911.00,7147661003.00,7554834320.00,8794575033.00,9366200733.00,7847904377.00,9606564721.00,9838826658.00,9988595592.00,8430336800.00,106277784955.00,8499525697.00,9582252956.00,11885813359.00,10740338977.00,10070163300.00,10944481129.00,10586615630.00,9468455973.00,11076297341.00,10632931315.00,11666269573.00,10225059180.00,125378204430.00,10189801531.00,11210197802.00,13144844833.00,11485874659.00,12513664391.00,12115997772.00,11789781360.00,11702507840.00,13155617669.00,12376174735.00,13219575164.00,11116627721.00,144020665477.00,11510482991.00,12037712615.00,13692201725.00,11300733687.00,12084990211.00,12284792859.00,11316210844.00,10772893182.00,11791059794.00,11505703348.00,12110910502.00,9503033979.00,139910725737.00,10918711930.00,11366235697.00,11868032910.00,11837027055.00,10930865876.00,11178252566.00,11930390060.00,10015899538.00,11314104593.00,12248085819.00,11705846680.00,#VALUE!,#VALUE!
Belgium,8625627309.00,8560393769.00,9127090652.00,8886549105.00,8584179192.00,8567783962.00,8706198608.00,8227737464.00,9188328979.00,9320823045.00,8599276275.00,7612296917.00,104006285277.00,7839109320.00,8415033399.00,9433812423.00,8869009367.00,7990817672.00,9072927309.00,8624200439.00,8128625674.00,9031319889.00,9056614384.00,8684275855.00,8032899554.00,103178645285.00,8746111271.00,8800928371.00,9583206704.00,8878667841.00,8178805387.00,9611211073.00,8416524014.00,8549804533.00,9019543043.00,8584220339.00,9286925525.00,8554080989.00,106210029090.00,8777026373.00,9165653715.00,11469462007.00,8892265744.00,10399533051.00,9799072231.00,8681587047.00,9536689235.00,9144994497.00,9649112954.00,9854864375.00,8780312841.00,114150574070.00,10544024055.00,9721222759.00,10914827973.00,10023930045.00,9766990349.00,10787260586.00,10399653941.00,9494413844.00,9696445265.00,10501686845.00,10403276418.00,9086253854.00,121339985934.00,11178651331.00,10541376428.00,10416509565.00,10416585768.00,11516622435.00,10016000403.00,10414295871.00,8949838341.00,9981557787.00,10490988300.00,10173556333.00,8666436509.00,122762419071.00,10191248185.00,9898219593.00,10272447277.00,7701743326.00,7954932700.00,9357607333.00,8998702695.00,8642805499.00,9918929359.00,10130159006.00,10105310253.00,9641427058.00,112813532284.00,10328347433.00,10144876417.00,12863112967.00,12777744052.00,12681136396.00,14586376876.00,12205731653.00,11740821695.00,12617146841.00,15494079057.00,13430038848.00,13334703386.00,152204115621.00,13125748056.00,13834955533.00,16877724424.00,15121073027.00,16535491045.00,15690194600.00,17289479423.00,17275069660.00,18931855713.00,15522865060.00,15556065406.00,15563637223.00,191324159170.00,14513293317.00,14125870715.00,15423800870.00,12941480724.00,13739905889.00,13717509012.00,13098275683.00,12141842468.00,12072436667.00,12877419128.00,12833145420.00,11020690988.00,158505670881.00,12177842798.00,11831403478.00,12656972340.00,12784080515.00,12344125051.00,12166405404.00,12927523743.00,11042967770.00,12687715587.00,13366751113.00,12282867034.00,#VALUE!,#VALUE!
Bulgaria,458892013.00,450548663.00,463405376.00,452397086.00,448918855.00,490105055.00,504050351.00,464779049.00,496382770.00,559016058.00,569777283.00,510011774.00,5868284333.00,513798966.00,505466551.00,545079702.00,543006377.00,479671663.00,582940036.00,525416896.00,486540370.00,503110769.00,562550669.00,569267985.00,472283385.00,6289133369.00,460529349.00,524905445.00,562769621.00,541380792.00,498879692.00,556372778.00,596373168.00,575763523.00,575174759.00,612517356.00,588731910.00,545971924.00,6639370314.00,566995305.00,534906963.00,618406701.00,572542999.00,640427399.00,618776450.00,611653260.00,612629001.00,607509067.00,694644713.00,680898953.00,535192533.00,7294583343.00,710648489.00,601958286.00,722261023.00,694274946.00,696780570.00,683724589.00,690981599.00,688242140.00,675600928.00,731103926.00,692616637.00,569703132.00,8157896266.00,698896598.00,670924084.00,702823293.00,716163056.00,700683333.00,650442989.00,711418886.00,702798979.00,719573245.00,814189361.00,770137639.00,604158076.00,8462209536.00,676021743.00,713307260.00,720936820.00,628102984.00,606126798.00,613951236.00,669275672.00,673108075.00,764397061.00,734086375.00,751174934.00,648730402.00,8199219359.00,758116911.00,742161194.00,878737744.00,931510048.00,771554189.00,839724225.00,835661039.00,839399654.00,876995428.00,827241073.00,896522063.00,786308020.00,9983931589.00,875534616.00,952860357.00,1163185861.00,1041084299.00,1125937765.00,1058461302.00,991991721.00,1064405184.00,1108132609.00,1160302650.00,1229344383.00,881952011.00,12653192756.00,1043486007.00,1002128761.00,1151395945.00,947867442.00,1018370384.00,1027910865.00,1004648508.00,1013133281.00,991039690.00,1051667007.00,1020528989.00,883645602.00,12155822481.00,915824690.00,971806026.00,1033420030.00,1122260375.00,1014639272.00,1045302227.00,1022697799.00,988696449.00,1029333183.00,1155722038.00,1139455778.00,#VALUE!,#VALUE!
Cyprus,33677769.00,27761572.00,88599520.00,35252035.00,32614017.00,34592384.00,57633214.00,33486230.00,35633765.00,36508580.00,56398785.00,37376084.00,509533955.00,57695574.00,43521144.00,35434555.00,48680264.00,58261977.00,34876086.00,39459215.00,39842327.00,32816475.00,37740869.00,45947998.00,44769264.00,519045748.00,39939851.00,36757350.00,39315534.00,39454065.00,614031062.00,143969246.00,60378245.00,33062757.00,40371917.00,39817403.00,47377230.00,91434533.00,1225909193.00,44011765.00,38823297.00,67692683.00,78935734.00,52984028.00,44975596.00,69974816.00,80672567.00,41801472.00,85421513.00,38953019.00,46003986.00,690250476.00,39032606.00,41628187.00,51016960.00,76163124.00,57384731.00,97221677.00,60623533.00,36294330.00,41196911.00,43452918.00,45984354.00,37468460.00,627467791.00,43918273.00,35775835.00,44730452.00,47008408.00,45543305.00,72840071.00,46606388.00,38870767.00,42118348.00,46399695.00,39567053.00,47214528.00,550593123.00,56110059.00,43749839.00,42033715.00,45289554.00,36997082.00,44435841.00,67874308.00,36053064.00,60833736.00,36588904.00,41729655.00,49881875.00,561577632.00,55621591.00,42508076.00,45845208.00,56986143.00,77193639.00,62464693.00,60323559.00,42079969.00,41422657.00,49118585.00,66085625.00,42329767.00,641979512.00,68295873.00,44343041.00,83093463.00,51962860.00,62063316.00,61489241.00,52882174.00,48887982.00,68671312.00,48245331.00,71068011.00,59430466.00,720433070.00,59871759.00,61814271.00,67671234.00,73411103.00,81713025.00,68057398.00,57962691.00,63956392.00,61624408.00,82989225.00,68340814.00,69354650.00,816766970.00,56506408.00,68267896.00,56857744.00,68694386.00,64252052.00,69388574.00,79533092.00,61282035.00,65969508.00,64869722.00,57447316.00,#VALUE!,#VALUE!
Czechia,6309241245.00,6182247485.00,6584508363.00,6477623931.00,6330152494.00,6259165699.00,6628522140.00,5495897048.00,7215893362.00,7047818052.00,6768383524.00,5829299710.00,77128753051.00,6295717062.00,6562833740.00,7459474790.00,6924971251.00,6403792157.00,7247655327.00,7150853425.00,6055718601.00,7723902354.00,7945677834.00,7714056600.00,6364426417.00,83849079561.00,6821348246.00,7268812264.00,7543176218.00,7386860652.00,7097949564.00,7668801175.00,6350625110.00,7138116183.00,7617586490.00,7437138185.00,8054947495.00,6680516706.00,87065878288.00,7561544638.00,7434599613.00,8724708577.00,7417487071.00,8335447788.00,8137697503.00,6974494178.00,7929483766.00,8322516794.00,8733984003.00,9131217841.00,7013436436.00,95716618209.00,8520568580.00,7886380411.00,8527314842.00,8305986346.00,8444999743.00,8701355276.00,7803898942.00,8068958986.00,8288848470.00,9799362907.00,9685743690.00,7008152081.00,101041570274.00,8452197267.00,8177235603.00,8794243205.00,8791343918.00,8861428190.00,8132042078.00,8381065201.00,7902877902.00,9092138819.00,9448505248.00,9322576326.00,7161419008.00,102517072762.00,8568848332.00,8363846702.00,8123052736.00,5511004311.00,6325101137.00,7851370870.00,7965576973.00,7272493138.00,8780607122.00,9628791577.00,10045161468.00,8311408197.00,96747262563.00,8325600515.00,8710683665.00,10415483366.00,9561038590.00,9239988341.00,9853875109.00,8467384860.00,8201444595.00,9484430963.00,9474968533.00,10845796547.00,9283247925.00,111863943010.00,9923015905.00,10001211801.00,12003440533.00,10713891945.00,11864829185.00,12061528295.00,10205078854.00,11364418269.00,12426728487.00,12269573950.00,13411537902.00,10296832495.00,136542087621.00,11668995586.00,11109064817.00,12667876557.00,10628249928.00,11602006360.00,11833915619.00,9932000238.00,10657219231.00,10959856080.00,11946508817.00,12357575578.00,9127689601.00,134490958413.00,11359603902.00,10934398582.00,10966098695.00,11923577339.00,10970238179.00,10658822475.00,10484139793.00,10431091912.00,11325700784.00,12216131221.00,12204056973.00,9420220299.00,132894080156.00
Germany,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Denmark,2453404845.00,2451845837.00,2640210235.00,2472714884.00,2507547605.00,2482943456.00,2475016880.00,2422073989.00,2844457126.00,2774819021.00,2617065661.00,2366348428.00,30508447968.00,2464299938.00,2634501952.00,2882720708.00,2770739130.00,2447880190.00,2609412833.00,2462603448.00,2534516494.00,2589288997.00,2801873459.00,2652687101.00,2385709479.00,31236233727.00,2253034184.00,2438012009.00,2705107865.00,2709187582.00,2450859139.00,2568604871.00,2310033252.00,2525956721.00,2694236513.00,2636244542.00,2791479704.00,2637926837.00,30720683219.00,2500043316.00,2484850150.00,2971034345.00,2442278384.00,2647825390.00,2633327020.00,2348691558.00,2688477048.00,2751400339.00,2889023595.00,2762901255.00,2355909553.00,31475761951.00,2603388782.00,2535842875.00,2900466909.00,3795034487.00,2810680705.00,3016886006.00,2711335582.00,2884174271.00,2744772842.00,2962683084.00,2915745314.00,2354833256.00,34235844114.00,2664442673.00,2571678091.00,2788446819.00,2809524725.00,2987617807.00,2837467622.00,2899404294.00,3101809172.00,2869223373.00,2874831393.00,2778053810.00,2355194240.00,33537694020.00,2672570678.00,2592679748.00,2943769202.00,2293732879.00,2480381826.00,2648658538.00,2506811912.00,2518561778.00,2886012500.00,2955899330.00,2879715828.00,2621825866.00,32000620086.00,2553591750.00,2623392921.00,3264342643.00,2822054502.00,2846174128.00,3169893851.00,2844574668.00,2919434559.00,3238140896.00,3257107586.00,3522094110.00,3349108878.00,36409910492.00,3247687287.00,3214448578.00,4281242361.00,3446515572.00,3743914495.00,3858380383.00,3657828643.00,3985279386.00,4020788276.00,3756614143.00,3825271412.00,3479894338.00,44517864874.00,3433801726.00,3334303906.00,3748299419.00,3013549470.00,3328003900.00,3550494978.00,3105168175.00,3604433854.00,3442216657.00,3373308199.00,3443563413.00,2928827848.00,40305971547.00,3220155373.00,3381633972.00,3289544009.00,3420065289.00,3512355696.00,3396505203.00,3201536102.00,3365120144.00,3383418695.00,3484803774.00,3384686011.00,#VALUE!,#VALUE!
Estonia,172796901.00,178851669.00,190120232.00,179297774.00,189936832.00,178089518.00,190631059.00,172232654.00,187733913.00,200895297.00,174611785.00,146226517.00,2161424151.00,142559751.00,147904412.00,189049756.00,181130816.00,166030931.00,176906816.00,179853102.00,158737077.00,183082748.00,179626726.00,169612606.00,157241938.00,2031736679.00,145852303.00,168992837.00,201440214.00,199056240.00,183031229.00,175746071.00,172213352.00,181014611.00,193076548.00,192233478.00,193492429.00,182552996.00,2188702308.00,169841272.00,169518475.00,233329758.00,202674391.00,212891448.00,198119999.00,195119304.00,206223129.00,240275648.00,253488828.00,238253642.00,199348070.00,2519083964.00,201221831.00,209105991.00,242323919.00,236893588.00,219282462.00,223395600.00,213851156.00,203335874.00,199187941.00,228820907.00,224011273.00,179662037.00,2581092579.00,216446804.00,213589040.00,236742232.00,234383775.00,231900522.00,196248400.00,212874263.00,198194022.00,205889005.00,214005631.00,201790956.00,169455188.00,2531519838.00,196318638.00,203122888.00,224927680.00,179153479.00,168992001.00,184484949.00,226595809.00,181960211.00,225536590.00,239165813.00,226006113.00,195602633.00,2451866804.00,202601402.00,226892684.00,273277923.00,247395918.00,261595472.00,254269823.00,256341091.00,242923520.00,278921337.00,269719295.00,292176295.00,239224424.00,3045339184.00,265757469.00,260982925.00,328115562.00,298651318.00,318589571.00,312560076.00,287340504.00,319138528.00,323357897.00,315465896.00,308215414.00,316597275.00,3654772435.00,284407006.00,282295209.00,344701017.00,287681289.00,348614735.00,329488672.00,275695883.00,292205529.00,292744715.00,323660809.00,329091663.00,266753744.00,3657340271.00,274324482.00,291512649.00,331170839.00,343325599.00,307996835.00,271937378.00,291598497.00,282869067.00,295801810.00,325145924.00,311099324.00,296966801.00,3623749205.00
Spain,4791815702.00,5042523965.00,5550003517.00,4883398317.00,5280352511.00,5456092878.00,5236889120.00,3476724106.00,5514733142.00,5556305650.00,5365685120.00,5104415392.00,61258939420.00,5186887580.00,5515857405.00,6292128898.00,5478192313.00,5481082388.00,6301973025.00,6002145685.00,3862244911.00,6309926403.00,6013097407.00,6139746593.00,5777096902.00,68360379510.00,5229108968.00,5953205104.00,6442066326.00,6093096156.00,5870836860.00,6533094798.00,5465012410.00,4429389338.00,6518928251.00,5864121776.00,6704944380.00,6234723055.00,71338527422.00,5894025747.00,6083831898.00,7669530223.00,5401410533.00,6838984125.00,7092196783.00,5751802667.00,4888946091.00,6919714485.00,6290839805.00,6725722298.00,6365788394.00,75922793049.00,6430209364.00,6209556098.00,7372740144.00,6467211264.00,6761521674.00,7307088934.00,6198355348.00,4912779972.00,6426005881.00,6508890838.00,6647069820.00,6541579301.00,77783008638.00,6380497674.00,6213509073.00,7289188771.00,6404844820.00,7091682396.00,6744599497.00,6367036509.00,4775708273.00,6566028608.00,6737901891.00,6486898976.00,5960688114.00,77018584602.00,6208520691.00,6623945943.00,6303698478.00,3596529129.00,4424980728.00,6057753275.00,6071108316.00,4248178146.00,6519853063.00,6659451564.00,6668570773.00,6277611526.00,69660201632.00,5810134014.00,6179533198.00,7640511184.00,6503606593.00,6495389968.00,7012460133.00,6341855016.00,4911648761.00,6656222356.00,6198027809.00,7347714163.00,6839751248.00,77936854443.00,6620400992.00,6955678550.00,8170101256.00,7001467570.00,7972423687.00,7816252239.00,6971872189.00,5838078883.00,8576301602.00,7533254550.00,8464521956.00,7552968854.00,89473322328.00,7486909841.00,8166091378.00,9365551610.00,7290052909.00,8608745754.00,8479673779.00,7621238369.00,6380818114.00,7847043145.00,8154263754.00,8947047462.00,6863583156.00,95211019271.00,8003329931.00,8747922642.00,8329408869.00,8384691963.00,8009469847.00,8473514377.00,8012766986.00,5992861027.00,8087916121.00,8446966884.00,8017557125.00,7371258260.00,95877664032.00
Finland,1170493222.00,1201159671.00,1309726751.00,1208145471.00,1687552761.00,1231428687.00,1196453348.00,1143652646.00,1383428543.00,1405152714.00,1297109301.00,1282955119.00,15517258234.00,1173892277.00,1277653992.00,1473418115.00,1372328671.00,1738914592.00,1405203936.00,1394748160.00,1242452781.00,1474906887.00,1465806434.00,1394092831.00,1327778013.00,16741196689.00,1138736394.00,1394006155.00,1377165479.00,1272279738.00,1321238008.00,1814703919.00,1151930981.00,1198270884.00,1384607469.00,1388200088.00,1430820258.00,1232240515.00,16104199888.00,1226122120.00,1337409594.00,1593821698.00,1381276326.00,2093165701.00,1536962406.00,1740710904.00,1653229148.00,1740610196.00,1857366975.00,1815122124.00,1539303030.00,19515100222.00,1660198584.00,1671220573.00,1894193078.00,2344673428.00,1811495776.00,1938196851.00,1603016098.00,1451189701.00,1642902984.00,1855019924.00,1850364418.00,1523103964.00,21245575379.00,2168174930.00,1634258864.00,1779907420.00,1827686538.00,1900989247.00,1685719804.00,1735823712.00,1522027435.00,1850314258.00,1890434583.00,1615090016.00,1445610264.00,21056037071.00,1489747764.00,1564118749.00,1796658903.00,1203971678.00,1167149146.00,1429264585.00,1459780270.00,1429517113.00,1736113761.00,1751884453.00,1740144426.00,1609239787.00,18377590635.00,1356141583.00,1644809434.00,1905421968.00,1701680087.00,1591424387.00,1954975857.00,1720651125.00,1477556920.00,1840304938.00,1902542563.00,2088015583.00,1953217083.00,21136741528.00,1669823771.00,1770253398.00,2245997849.00,1959847396.00,2078793490.00,2068733163.00,1764959550.00,1921442951.00,1976962411.00,1877941428.00,1965432481.00,1596747773.00,22896935661.00,1565358557.00,1405112036.00,2214608902.00,1794221823.00,1776715346.00,1716753510.00,1433491043.00,1629671785.00,1612553568.00,1624689769.00,1777107151.00,1431129398.00,19981412888.00,1587417048.00,1561013397.00,1352262874.00,1684556287.00,1612770905.00,2238564001.00,1568175348.00,1571969298.00,1706013627.00,1689073518.00,1560173985.00,#VALUE!,#VALUE!
