TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,43278353.00,43248935.00,47609776.00,42812130.00,50936428.00,49478336.00,56499234.00,38548652.00,50846934.00,48273836.00,45475351.00,45085783.00,562093748.00,45738463.00,48665267.00,48669243.00,46487784.00,49158199.00,55607206.00,36869448.00,36654000.00,39340666.00,42961775.00,43120013.00,39217190.00,532489254.00,43162199.00,50195401.00,56034154.00,55135006.00,42492091.00,48843248.00,44231653.00,43473208.00,47751594.00,47484487.00,54684805.00,49027807.00,582515653.00,43977155.00,43392165.00,54918095.00,44244356.00,58791846.00,53628242.00,56673925.00,44611495.00,54480690.00,58248733.00,53633617.00,50688306.00,617288625.00,53279108.00,47091621.00,60282136.00,49299379.00,50230964.00,60155441.00,56846757.00,47578328.00,46639357.00,55860910.00,48624512.00,40644161.00,616532674.00,57346771.00,57692083.00,55425812.00,55737876.00,65144821.00,56201341.00,61236146.00,55132818.00,61381021.00,68582882.00,62636609.00,55699599.00,712217779.00,63439613.00,60731200.00,60637083.00,42515362.00,48493030.00,60273307.00,68395294.00,53782132.00,59820336.00,69276300.00,66178289.00,64044868.00,717586814.00,53434335.00,62396565.00,90900613.00,68130362.00,71197736.00,69398194.00,80777015.00,70544824.00,76030473.00,68258591.00,77643088.00,77572835.00,866284631.00,79313661.00,74988560.00,91398700.00,81050708.00,93477989.00,96752079.00,91380432.00,82059989.00,90858709.00,91786462.00,83169663.00,73483262.00,1029720214.00,84795881.00,81776109.00,99353359.00,73709644.00,89696583.00,87367948.00,77224152.00,75571995.00,77235605.00,89030064.00,99969790.00,84745195.00,1020476325.00,98012461.00,80809891.00,79072353.00,106744596.00,102132174.00,119847538.00,125465991.00,72379084.00,96757732.00,89418052.00,85766706.00,#VALUE!,#VALUE!
Belgium,144061317.00,123020303.00,149290844.00,142754046.00,175804999.00,124931843.00,163173650.00,123717286.00,155746063.00,159264468.00,137688796.00,127449433.00,1726903048.00,130475259.00,149036340.00,160260881.00,177696505.00,142830941.00,178639455.00,138852219.00,113279331.00,152070388.00,180382486.00,150545164.00,148081843.00,1822150812.00,153574101.00,159461962.00,188916334.00,164473454.00,161174704.00,174616440.00,185081176.00,146501153.00,175852284.00,168788917.00,186427280.00,149734749.00,2014602554.00,159123671.00,188710738.00,239946233.00,139975933.00,180880706.00,203867562.00,181217398.00,180615880.00,174478700.00,161642163.00,147371319.00,152441364.00,2110271667.00,182066721.00,160274780.00,172735648.00,164535764.00,203229492.00,207129731.00,190296364.00,143835034.00,157004360.00,199596265.00,190749673.00,129478657.00,2100932489.00,189351067.00,205649434.00,149763428.00,184701324.00,163948137.00,194470482.00,191912051.00,139658767.00,187531635.00,188912615.00,187432904.00,141503937.00,2124835781.00,200707655.00,187963635.00,170232080.00,167382142.00,142736004.00,209469632.00,166279714.00,154720604.00,155133968.00,190047982.00,153148847.00,155615627.00,2053437890.00,181618285.00,186222348.00,228483099.00,209921865.00,186755858.00,273851381.00,214348609.00,202251852.00,228228717.00,244811788.00,211404013.00,252339254.00,2620237069.00,221346309.00,235952488.00,333028470.00,302188186.00,300962038.00,243579259.00,252175639.00,216475143.00,255928346.00,250147054.00,242049884.00,266536191.00,3120369007.00,267311944.00,245683226.00,277087942.00,224508264.00,279846250.00,296846304.00,254809141.00,223646659.00,261877695.00,237110262.00,246212799.00,199180187.00,3014120673.00,255984401.00,272778208.00,280440310.00,279006635.00,272940177.00,242497942.00,257807274.00,235991219.00,252111346.00,271033881.00,252549060.00,#VALUE!,#VALUE!
Bulgaria,193568296.00,197003610.00,218420771.00,242270528.00,207115694.00,222303896.00,290143088.00,205329312.00,253763405.00,264784038.00,266754175.00,257283233.00,2818740041.00,205129089.00,211729611.00,241195356.00,211535055.00,225642008.00,255711455.00,241703779.00,202181303.00,235414092.00,251335479.00,246693028.00,250381740.00,2778651997.00,183166058.00,191759012.00,238102637.00,236134109.00,231307944.00,273896634.00,256285861.00,218373511.00,267129229.00,259500618.00,287261821.00,266785038.00,2909702472.00,206886845.00,207485480.00,271537921.00,251734523.00,257938854.00,273898087.00,267723522.00,231006346.00,258402996.00,275394495.00,290145348.00,259479530.00,3051633947.00,241464629.00,240004122.00,283736830.00,246338558.00,277480545.00,271200791.00,284879160.00,243548870.00,283877996.00,335603588.00,323207702.00,258220940.00,3289563732.00,264631143.00,274440295.00,279377855.00,288278891.00,361105531.00,321308267.00,336890697.00,240605349.00,277915264.00,312386487.00,324496139.00,274257808.00,3555693726.00,326029396.00,297250578.00,286124131.00,219833276.00,250346689.00,275689729.00,324193031.00,247815729.00,293987767.00,287429861.00,294832082.00,272727269.00,3376259538.00,273620509.00,285476814.00,334424440.00,331629291.00,397911888.00,350668768.00,364902637.00,313714494.00,498087369.00,459475843.00,456654290.00,511231001.00,4577797343.00,399136353.00,426028424.00,653099178.00,460983999.00,636356155.00,563901397.00,559881500.00,567906497.00,535682942.00,485343309.00,574783493.00,477620842.00,6340724090.00,398821910.00,366690635.00,455046545.00,363650189.00,416716059.00,402369853.00,387908036.00,349728378.00,347524025.00,399845559.00,397539941.00,331019873.00,4616861003.00,423161574.00,364375320.00,399424021.00,422507681.00,360006634.00,381654936.00,419524941.00,317827697.00,369959992.00,428052242.00,455617102.00,#VALUE!,#VALUE!
Cyprus,115836699.00,108788806.00,118390401.00,115126362.00,125279174.00,142088196.00,139155633.00,91783245.00,126144287.00,123981084.00,128998861.00,109893638.00,1445466386.00,108552951.00,106269464.00,137051516.00,114609833.00,122029469.00,126572011.00,144632264.00,117886410.00,137365268.00,127127354.00,120627752.00,141482243.00,1504206535.00,104622506.00,158698735.00,114357929.00,125281693.00,122899175.00,122423681.00,127069541.00,109633606.00,128398392.00,138954464.00,143912074.00,153199576.00,1549451372.00,119206945.00,143545591.00,162116580.00,129752628.00,164622455.00,142522983.00,157230394.00,132227300.00,152984989.00,154548041.00,157363176.00,164447014.00,1780568096.00,139005413.00,157918201.00,161252184.00,163707080.00,181624899.00,159136791.00,174883536.00,136331209.00,147981091.00,184880530.00,153081001.00,140430197.00,1900232132.00,146623985.00,140278946.00,164278668.00,151131212.00,184201726.00,159613081.00,175761339.00,110282363.00,155996808.00,183592875.00,167824742.00,145440375.00,1885026120.00,169336848.00,157094148.00,151664090.00,105106888.00,167311390.00,191404225.00,158161114.00,147371568.00,161562051.00,161392904.00,156022434.00,157774566.00,1884202226.00,142871749.00,170418088.00,189954322.00,207006232.00,173582357.00,220965209.00,230684097.00,143220462.00,219955458.00,233531787.00,241020483.00,204468891.00,2377679135.00,188580339.00,220651411.00,268615559.00,235802291.00,271636414.00,286367423.00,248666923.00,236918135.00,260207063.00,264012193.00,273870851.00,231119362.00,2986447964.00,211331784.00,214152224.00,262708022.00,229913022.00,237055284.00,239316758.00,308738686.00,314322258.00,289278385.00,300431945.00,287383496.00,280143604.00,3174775468.00,243567617.00,251026256.00,264471187.00,276383119.00,266845936.00,259487885.00,300605414.00,235429989.00,285546251.00,301183613.00,283792378.00,#VALUE!,#VALUE!
Czechia,31591348.00,32790382.00,34009885.00,34387795.00,31523011.00,35702430.00,39133061.00,27733993.00,35294755.00,37334328.00,42751479.00,41548814.00,423801282.00,37313684.00,38294736.00,40022286.00,36841067.00,39000917.00,46329237.00,27545379.00,28461499.00,37894480.00,39611723.00,41487804.00,42750500.00,455553312.00,35406909.00,39655691.00,43862094.00,39224281.00,43203278.00,45926545.00,39894800.00,36968856.00,40815059.00,36284645.00,41478184.00,36648326.00,479368669.00,39082821.00,41737830.00,52502390.00,44887329.00,45640904.00,52169645.00,42748835.00,41637844.00,50550693.00,45879281.00,46105758.00,42351635.00,545294965.00,50745775.00,50741283.00,61446846.00,46791631.00,55301786.00,46745035.00,43199841.00,45890601.00,53072330.00,59592284.00,62818583.00,45627153.00,621973149.00,61201116.00,49569171.00,54016496.00,57205181.00,60737921.00,46994321.00,54951184.00,47528788.00,62886275.00,77572116.00,66888044.00,56048276.00,695598888.00,59743141.00,62851810.00,49501444.00,40770457.00,50493247.00,57399874.00,58141873.00,49595086.00,68787553.00,57964254.00,60187452.00,47116815.00,662553008.00,52988089.00,58056187.00,72601530.00,71917433.00,65677968.00,64905601.00,64256419.00,52672283.00,69256905.00,69422875.00,78455984.00,65242195.00,785453467.00,66710790.00,75074518.00,88569269.00,74725032.00,80355278.00,76643455.00,76016481.00,77198079.00,87380854.00,78657541.00,87136028.00,75871840.00,944339165.00,83320839.00,84065260.00,93786997.00,73319868.00,86069588.00,87513681.00,76251404.00,67075692.00,86276046.00,92901558.00,89594696.00,76252058.00,996427688.00,89347876.00,90619735.00,79773401.00,79134343.00,81917592.00,71574177.00,85666155.00,68882101.00,90769949.00,92956122.00,93915031.00,78326783.00,1002883263.00
Germany,563864090.00,518215331.00,511270809.00,527170787.00,525308320.00,557445426.00,576306442.00,451403382.00,530830982.00,645218541.00,527534850.00,555843178.00,6490412138.00,535689911.00,542378387.00,593352312.00,525550284.00,563770976.00,570800719.00,469856339.00,423266075.00,572413679.00,552909781.00,578451823.00,514682089.00,6443122375.00,508368506.00,560862437.00,601969940.00,609788826.00,544358080.00,616044082.00,578572631.00,504532866.00,592564587.00,540673908.00,612966977.00,545832468.00,6816535308.00,616062838.00,558942243.00,611410268.00,565604561.00,593820168.00,605977802.00,617325717.00,524291884.00,635816047.00,601673263.00,619044997.00,564281528.00,7114251316.00,621555138.00,616064452.00,638384174.00,605502828.00,684651823.00,678690140.00,657438694.00,566367726.00,659208524.00,663532532.00,682078981.00,575372211.00,7648847223.00,685207092.00,717834363.00,738025134.00,635936259.00,741903651.00,666113370.00,737742534.00,610034141.00,652904425.00,713838768.00,681530584.00,574296842.00,8155367163.00,700096857.00,697391740.00,658854494.00,612006008.00,584281566.00,718960339.00,669831594.00,613805875.00,768598647.00,789592717.00,729826180.00,681061630.00,8224307647.00,729436220.00,732690850.00,886262032.00,764474052.00,765690749.00,870229036.00,895321628.00,788629191.00,891463670.00,848422818.00,949623406.00,812726795.00,9934970447.00,861150573.00,811206406.00,1089041775.00,788242887.00,958661476.00,1101208551.00,997890480.00,901413355.00,1187838090.00,972261453.00,978847640.00,967011136.00,11614773822.00,990638233.00,984068133.00,1151986684.00,846786676.00,961664847.00,1022131451.00,954602969.00,838003902.00,893514789.00,941517619.00,1125813452.00,738630719.00,11449359474.00,1009276769.00,975194080.00,1003914143.00,1124299681.00,1091589847.00,940952865.00,1038379410.00,803880962.00,959788393.00,969219957.00,1028273083.00,#VALUE!,#VALUE!
Denmark,46820365.00,44534672.00,39506575.00,41703795.00,39439669.00,55474108.00,43337818.00,32462704.00,38443358.00,41281668.00,74308528.00,39168507.00,536481766.00,43451784.00,49966325.00,44353451.00,40161249.00,37116660.00,35301705.00,31657469.00,34351177.00,43910922.00,46301631.00,33866683.00,37187037.00,477626092.00,49066399.00,48562539.00,39076809.00,42477401.00,48206443.00,48018088.00,43740953.00,34478362.00,43522632.00,46506888.00,53188098.00,43964253.00,540808866.00,58546757.00,49370241.00,54845272.00,56079230.00,58091976.00,60936255.00,53124194.00,44204710.00,44303413.00,42820174.00,58104711.00,45847765.00,626274697.00,46814502.00,56093187.00,57652413.00,49970015.00,50478257.00,56823966.00,41621721.00,40840417.00,43778894.00,75765414.00,50169168.00,39904207.00,609912161.00,62385434.00,52402512.00,52726836.00,60984633.00,71042712.00,62512150.00,63446531.00,45234284.00,46205729.00,51395473.00,46860758.00,54052908.00,669249960.00,73145872.00,59086883.00,51237354.00,53161475.00,52804693.00,50468182.00,61260842.00,43509886.00,74452057.00,52906346.00,88394419.00,40101534.00,700529540.00,64559135.00,52695701.00,64630906.00,50245183.00,41848746.00,116321244.00,49880856.00,41336036.00,52517910.00,50325772.00,45310458.00,43494420.00,673166365.00,41802728.00,52667477.00,58949380.00,47624085.00,50111792.00,60028724.00,80019419.00,48896106.00,66460232.00,77694762.00,53496938.00,46338724.00,684090367.00,52282849.00,52147757.00,75323919.00,51095010.00,55234558.00,61045540.00,61196975.00,67310341.00,57117127.00,50848438.00,53344820.00,46842448.00,683789783.00,60729645.00,64946708.00,57927593.00,82867182.00,68622985.00,64261962.00,66733458.00,51309947.00,57872255.00,61820722.00,64102687.00,#VALUE!,#VALUE!
Estonia,1198265.00,742060.00,1547503.00,1385230.00,1221381.00,1187830.00,1493131.00,1619575.00,1480722.00,1960652.00,761823.00,1078236.00,15676408.00,708962.00,891930.00,1567508.00,1344086.00,1488355.00,1370372.00,869743.00,820439.00,1254913.00,1303878.00,1285429.00,1120265.00,14025880.00,777381.00,858914.00,1182111.00,1242519.00,1615665.00,1516355.00,1509821.00,1022768.00,937575.00,1096849.00,1335754.00,969104.00,14064816.00,964402.00,1232694.00,1614186.00,1808323.00,3240272.00,2185721.00,1859747.00,1688928.00,2169033.00,1937367.00,1715731.00,1806519.00,22222923.00,1443142.00,1404778.00,3435904.00,1997518.00,4627720.00,1981845.00,1850311.00,1254342.00,1299144.00,1565975.00,2038473.00,1678101.00,24577253.00,1764798.00,2201126.00,9003706.00,6782085.00,2677152.00,2528689.00,3830260.00,2109606.00,2615368.00,2689626.00,1889938.00,1497230.00,39589584.00,1782121.00,2231078.00,2222341.00,2860949.00,3238556.00,4633275.00,2001230.00,1529377.00,1991277.00,2395392.00,5730366.00,2027604.00,32643566.00,1559211.00,1623543.00,2652324.00,3505254.00,5664235.00,3468774.00,18054545.00,2429351.00,2813725.00,3273022.00,3289443.00,3519287.00,51852714.00,2477039.00,3844351.00,3769373.00,3925403.00,4127756.00,4489851.00,57846087.00,3885894.00,4398756.00,3640949.00,3823012.00,11361087.00,107589558.00,7652016.00,8703069.00,11784944.00,8852816.00,7194856.00,4284559.00,6149244.00,2939640.00,3594677.00,3385243.00,3636381.00,3513130.00,71690575.00,11500464.00,3784229.00,4523628.00,4658355.00,5592527.00,4646524.00,11608114.00,3149515.00,12686540.00,3777664.00,3950413.00,4349209.00,74227182.00
Spain,192364502.00,186748407.00,230523975.00,213074716.00,191208496.00,206316067.00,264827913.00,231597914.00,281130048.00,252251200.00,221012762.00,232510713.00,2703566713.00,194264482.00,234713655.00,286490516.00,243974700.00,253037973.00,231599572.00,187761367.00,155408867.00,241817462.00,244073292.00,214549952.00,184612789.00,2672304627.00,181545814.00,185963467.00,241430369.00,206958142.00,204458609.00,209507133.00,199070971.00,183550080.00,210029133.00,230218104.00,201103678.00,201507921.00,2455343421.00,220953315.00,212362569.00,269914907.00,242978815.00,258398167.00,221381269.00,259029723.00,240262418.00,270727077.00,246589871.00,242947648.00,220467066.00,2906012845.00,257610575.00,272232346.00,355538689.00,344111859.00,284929631.00,259196043.00,250134650.00,281185841.00,307915061.00,342630183.00,321226252.00,277184961.00,3553896091.00,330830358.00,258410395.00,333877407.00,339060767.00,318540747.00,293650354.00,262059630.00,269979982.00,298031422.00,320996036.00,278120163.00,255250619.00,3558807880.00,282176190.00,275952321.00,254017970.00,211830089.00,205501832.00,254152445.00,271914735.00,226831547.00,250089646.00,251684556.00,232761057.00,246991671.00,2963904059.00,251989427.00,257248713.00,310142350.00,287132904.00,326943982.00,273218751.00,333063388.00,283317046.00,384772712.00,303478776.00,374702397.00,335554417.00,3721564863.00,330865536.00,357603961.00,452209220.00,404029971.00,448844818.00,402786675.00,350703690.00,397422348.00,393361377.00,360247818.00,452678965.00,485001455.00,4835755834.00,427796757.00,491673497.00,498242176.00,441437984.00,449234012.00,545733685.00,397270807.00,444986699.00,420697332.00,432260960.00,505394777.00,421095229.00,5475823915.00,372883236.00,417087070.00,426325149.00,458167929.00,446306674.00,447268438.00,384914156.00,336219930.00,395899569.00,388750798.00,454013298.00,385912216.00,4913748463.00
Finland,30530821.00,21201516.00,24176973.00,22170833.00,21666936.00,22295188.00,21313018.00,23533262.00,23195010.00,26305251.00,28372893.00,33498815.00,298260516.00,27276135.00,22747584.00,26587390.00,24747675.00,20532271.00,22053507.00,18667036.00,18365892.00,15500562.00,26829361.00,25795239.00,30959059.00,280061711.00,33584463.00,21450405.00,21284123.00,27888022.00,18096664.00,17659435.00,19832002.00,17464392.00,19707558.00,18309409.00,24690599.00,20796012.00,260763084.00,11458586.00,21912622.00,29682279.00,20789379.00,24677085.00,24165473.00,22263493.00,16642106.00,13505516.00,23582527.00,20930502.00,14129163.00,243738731.00,22654415.00,31794165.00,16196893.00,33518636.00,16454606.00,23824722.00,23197746.00,31418558.00,19649070.00,27039970.00,24723108.00,26561647.00,297033536.00,23172272.00,22821978.00,17695877.00,22463069.00,32676283.00,28989947.00,24309463.00,14793518.00,22397573.00,18786045.00,23703009.00,28303878.00,280112912.00,24639956.00,15491056.00,15580547.00,22409180.00,14356592.00,23337580.00,18565625.00,21957545.00,16307266.00,26823592.00,16527036.00,18725782.00,234721757.00,15836064.00,31527952.00,30816727.00,29987660.00,14217247.00,43839632.00,18962479.00,27252117.00,17781631.00,18294555.00,37728936.00,31049860.00,317294860.00,43176590.00,29420159.00,42830467.00,25846905.00,27110845.00,42198438.00,29103878.00,18996672.00,22316166.00,21318169.00,27869342.00,38111277.00,368298908.00,45235149.00,18720410.00,40664030.00,25012834.00,25847401.00,53096079.00,14065432.00,18968476.00,20402852.00,21069865.00,22312470.00,34343012.00,339738010.00,27696155.00,31629294.00,20818042.00,24987151.00,28230214.00,28625868.00,23951017.00,20594587.00,22221786.00,26302850.00,56706351.00,#VALUE!,#VALUE!
