TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,51800071.00,47963898.00,76575346.00,57740864.00,60890750.00,64091934.00,54650191.00,39121625.00,53393431.00,60250745.00,58896495.00,58836828.00,684212178.00,61379390.00,61728784.00,63880907.00,72875243.00,43752016.00,69691207.00,49392272.00,60823180.00,58639039.00,66224979.00,79250696.00,66043435.00,753681148.00,75219489.00,53829482.00,67854624.00,64538118.00,52838973.00,66872843.00,58211246.00,55944460.00,63049499.00,82688677.00,85836528.00,78402764.00,805286703.00,76887511.00,77302472.00,73756000.00,58144926.00,87698294.00,72128542.00,65882496.00,63085107.00,68369799.00,68491072.00,110572422.00,78836995.00,901155636.00,102462537.00,70977762.00,71191722.00,66575145.00,71510437.00,80984194.00,71763470.00,66938596.00,71056920.00,83532538.00,93405058.00,67173712.00,917572091.00,84772105.00,65424973.00,71426198.00,64567330.00,62612493.00,66350748.00,91992129.00,65437689.00,79958966.00,84492248.00,99188545.00,90654931.00,926878355.00,76905366.00,65913034.00,67440133.00,50584024.00,84274580.00,80397544.00,85397274.00,76783907.00,94897342.00,97603556.00,118843432.00,81590118.00,980630310.00,84648794.00,83762827.00,95634028.00,95994631.00,83770859.00,93377557.00,77804130.00,79067165.00,95587673.00,82713814.00,96909935.00,87605054.00,1056876467.00,73092582.00,69479147.00,93062044.00,75784529.00,89673410.00,97290526.00,94834761.00,97036582.00,125101531.00,129351936.00,119239459.00,120458465.00,1184404972.00,98123019.00,99810927.00,509703807.00,294142825.00,112044938.00,120725355.00,158517823.00,95994149.00,140662170.00,129288767.00,115698649.00,117271525.00,1991983954.00,237380633.00,109398830.00,112741523.00,87271752.00,91520912.00,93123117.00,93211660.00,90937154.00,105664236.00,118767954.00,118870084.00,#VALUE!,#VALUE!
Belgium,875369980.00,1251733602.00,1328550856.00,980194520.00,1302865099.00,1029378914.00,961713207.00,1140848226.00,1423919340.00,1480784992.00,1422910082.00,1094413820.00,14292682638.00,1143516091.00,1247473965.00,1432507956.00,1706521138.00,1337552977.00,1744378533.00,1387178333.00,1564531462.00,1367719411.00,1433526504.00,1993745737.00,1143797772.00,17502449879.00,1401561846.00,1901107665.00,1332143398.00,1219706950.00,1157160845.00,1406117745.00,1108749488.00,1472915042.00,1384298820.00,1706860907.00,1552655829.00,1325943511.00,16969222046.00,1564057861.00,1355922055.00,1584394745.00,1183386770.00,1502835847.00,1402447303.00,1411576315.00,919454471.00,1378287812.00,1538453394.00,1087909801.00,1931066584.00,16859792958.00,1590159995.00,1859109785.00,1893981630.00,1629514143.00,1668715232.00,1686284992.00,2042055778.00,2074676872.00,2098346735.00,1318921455.00,2275803969.00,1955815980.00,22093386566.00,2645561483.00,1971334221.00,1480783948.00,1885689904.00,1425290006.00,1620072219.00,1750239426.00,1156780415.00,1082229984.00,2062101012.00,1211220443.00,1277715464.00,19569018525.00,2223526341.00,1695420471.00,2297688796.00,1564237499.00,1334460707.00,2293536806.00,1522514803.00,2267495619.00,1408594740.00,754448328.00,1716301886.00,1384485080.00,20462711076.00,1896433527.00,1433981009.00,1612878793.00,1530171653.00,1619317817.00,1973668675.00,2101675842.00,2078979093.00,2434240907.00,2825401206.00,4479270866.00,2566657079.00,26552676467.00,2488779934.00,1421246221.00,2173606429.00,2240347649.00,1859831914.00,1930078582.00,1946837887.00,2754611902.00,2083993268.00,2409808284.00,1985032645.00,1349207342.00,24643382057.00,1959701145.00,2169404721.00,1762926569.00,2680793290.00,1844688694.00,2275569258.00,2041830745.00,2345754069.00,2506743972.00,1951070269.00,1997641961.00,1798571589.00,25334696282.00,1674029620.00,1529144777.00,2345779246.00,2400153336.00,1335052697.00,1855997246.00,1919814810.00,1820960113.00,3291333943.00,2252441873.00,1728404632.00,#VALUE!,#VALUE!
Bulgaria,7834865.00,6239329.00,9811563.00,8792382.00,8330140.00,9120702.00,9387136.00,8116450.00,9375967.00,19167579.00,12240229.00,40813089.00,149229432.00,6812612.00,8001453.00,10116248.00,8753888.00,7906698.00,10086417.00,8738575.00,8879533.00,9917561.00,15443363.00,7692203.00,8884709.00,111233259.00,7540249.00,6566401.00,8795523.00,10467174.00,10985166.00,11367282.00,9355166.00,11799859.00,11400945.00,16998909.00,13258455.00,13582916.00,132118047.00,13907468.00,13845516.00,13203886.00,12980181.00,10965798.00,11594099.00,10485949.00,17531507.00,12311146.00,14835163.00,14461425.00,14664422.00,160786561.00,15119153.00,13877143.00,17319916.00,11630982.00,14099528.00,19418764.00,18426354.00,32348097.00,21779125.00,36148802.00,18771630.00,16631479.00,235570972.00,13321367.00,19746870.00,16173503.00,23541541.00,25533185.00,19900455.00,29837201.00,20270069.00,25507777.00,26603453.00,25066754.00,19952640.00,265454814.00,18676695.00,19187590.00,30595004.00,12953596.00,20631053.00,20636270.00,27934167.00,26058408.00,16078583.00,19515325.00,21703302.00,17841758.00,251811752.00,30968175.00,20617519.00,25666081.00,29560082.00,26287067.00,25962396.00,21880400.00,31244404.00,27216775.00,26105664.00,34017159.00,20358816.00,319884538.00,28167797.00,32803515.00,25659318.00,26006309.00,25711002.00,25857956.00,30968233.00,22278570.00,29789400.00,27986783.00,26003454.00,26865851.00,328098188.00,25266336.00,29937815.00,30194838.00,25063971.00,29701120.00,26426558.00,24924042.00,31218583.00,26637638.00,25603142.00,27257663.00,28991964.00,331223669.00,21815800.00,25779188.00,24887328.00,34077558.00,26729213.00,36748025.00,33673309.00,29885855.00,28572559.00,33321141.00,31849369.00,#VALUE!,#VALUE!
Cyprus,1917951.00,1080985.00,1481299.00,782871.00,1095346.00,1842947.00,1328300.00,917268.00,2282164.00,1082396.00,843181.00,1775675.00,16430383.00,159196367.00,812581.00,1298346.00,1352819.00,1556032.00,2073338.00,1547881.00,1917653.00,1134407.00,4169356.00,1391141.00,2172379.00,178622300.00,1018210.00,1603632.00,2134465.00,1713175.00,1828270.00,1547670.00,1755382.00,2062444.00,1715145.00,1791153.00,1804886.00,2040097.00,21014529.00,1511993.00,1228894.00,1876709.00,2241186.00,2715069.00,2127048.00,2394720.00,1836422.00,2014165.00,1770178.00,1495078.00,1534496.00,22745958.00,1135648.00,2075645.00,1834103.00,1926162.00,3358118.00,3018123.00,2123405.00,2112356.00,1392422.00,95296487.00,18438403.00,1947271.00,134658143.00,2009796.00,2033840.00,1971175.00,1880748.00,2313544.00,2082449.00,2325382.00,2309656.00,1899177.00,5014215.00,1635735.00,1392085.00,26867802.00,2321506.00,2703199.00,2625207.00,2596643.00,2749433.00,2091885.00,2634476.00,1380552.00,1326868.00,2626832.00,3682284.00,2360213.00,29099098.00,1813549.00,4272010.00,5422148.00,24972552.00,19489045.00,2816174.00,13493701.00,2875586.00,11581426.00,3675297.00,12033879.00,12940963.00,115386330.00,2337373.00,25004946.00,4208156.00,34678459.00,24910187.00,7952956.00,47788022.00,10626582.00,3840313.00,5908750.00,5011386.00,16102393.00,188369523.00,8527515.00,7481294.00,9842791.00,5846092.00,8327967.00,10570621.00,7449719.00,7743366.00,7540474.00,7366768.00,8281010.00,3755671.00,92733288.00,37860958.00,9343559.00,9051015.00,9855833.00,5740196.00,8631681.00,7424056.00,47004919.00,6085870.00,7159498.00,8872366.00,#VALUE!,#VALUE!
Czechia,110020004.00,87724766.00,82551382.00,91482455.00,68401075.00,100501932.00,91478734.00,87817012.00,101134889.00,119722422.00,139088444.00,159760805.00,1239683921.00,132506029.00,138220887.00,116253602.00,138648116.00,130425294.00,139702276.00,116822010.00,135528369.00,168301447.00,192069839.00,191824921.00,291088474.00,1891391263.00,229799330.00,155118524.00,166283393.00,130961914.00,131979141.00,163818968.00,114237951.00,112228869.00,125687127.00,219695878.00,260172474.00,160309929.00,1970293500.00,239368304.00,182100808.00,141091263.00,188555701.00,160295212.00,124108570.00,178305901.00,147184340.00,139083097.00,305280673.00,276463379.00,299218369.00,2381055616.00,301176539.00,160630647.00,220822685.00,215867241.00,233597960.00,227936135.00,207388569.00,204792755.00,321854128.00,381853686.00,422061338.00,209334075.00,3107315758.00,314454436.00,217164818.00,190226072.00,281771533.00,196425034.00,180131989.00,201445085.00,214473558.00,227124167.00,323525544.00,388016862.00,315162448.00,3049921545.00,261800860.00,178731098.00,221876831.00,166994617.00,178620855.00,212404137.00,247885807.00,276348822.00,242458725.00,261318969.00,385227504.00,403139692.00,3036807915.00,307352936.00,233693537.00,277458066.00,299752111.00,311415016.00,190016993.00,171873961.00,201891115.00,256786494.00,261840625.00,336302984.00,395478991.00,3243862828.00,245762213.00,249368942.00,329230631.00,269861796.00,269273638.00,329130613.00,229752899.00,279479205.00,322088316.00,367776327.00,456058456.00,329046670.00,3676829705.00,332461267.00,287178793.00,360784691.00,271199250.00,227675325.00,254453646.00,209604043.00,214865813.00,235035442.00,352561569.00,324777216.00,268436940.00,3339033995.00,268257517.00,230640366.00,223807211.00,233280294.00,217944647.00,257413017.00,202988860.00,289011158.00,271100592.00,366807670.00,274612738.00,253854336.00,3089718404.00
Germany,1000975660.00,932769608.00,991692564.00,978756242.00,1018418534.00,979847307.00,1022521627.00,921693147.00,993940599.00,1042630861.00,1153219965.00,1124594439.00,12161060553.00,1108214975.00,1219612504.00,1338524117.00,1323713675.00,1250578287.00,1472974457.00,1482217534.00,1307181236.00,1132517523.00,1400560864.00,1488009958.00,1366708946.00,15890814076.00,1249779329.00,1423267259.00,1399301810.00,1273677135.00,1318250427.00,1307268533.00,1278212130.00,1266759996.00,1270343089.00,1336159029.00,1469608756.00,1355669730.00,15948297223.00,1409716255.00,1381224085.00,1632412424.00,1597566707.00,1553186113.00,1407378152.00,1463477350.00,1572497849.00,1635644878.00,1648252564.00,1680795148.00,1729877613.00,18712029138.00,1690566887.00,1850523016.00,1939246759.00,1983274316.00,1776868597.00,2333638218.00,2008426020.00,2307313596.00,2244815305.00,1683570350.00,1689474573.00,1858308925.00,23366026562.00,2006874898.00,1848567725.00,1815139480.00,2102183070.00,2118970495.00,1977255284.00,2259800055.00,2001139795.00,1628799924.00,2711068075.00,2355889211.00,1751215485.00,24576903497.00,2249232162.00,2183076864.00,2729574617.00,2005395598.00,2164416606.00,2596751914.00,2291252452.00,2169328027.00,3058982072.00,2398782649.00,2303888452.00,2836688288.00,28987369701.00,2153930095.00,2333072476.00,3120329299.00,2187702162.00,3078336077.00,2790425567.00,2359129295.00,2487987864.00,2384918815.00,2287373626.00,2535066935.00,2682178267.00,30400450478.00,3106055469.00,4073315043.00,4545774061.00,4550576224.00,5041355887.00,3355352630.00,2704063163.00,4896801232.00,4253590112.00,3115030325.00,2722288234.00,3493953513.00,45858155893.00,3608701372.00,3347532746.00,3393788125.00,2161324348.00,3220302506.00,2581088638.00,2614614069.00,2463221026.00,3302341837.00,2994121004.00,3681488409.00,2119989648.00,35488513728.00,3493847006.00,2894571296.00,2992682083.00,3025570393.00,2872008152.00,2292247593.00,3482194265.00,2504996576.00,2570502935.00,2966504608.00,2515304326.00,#VALUE!,#VALUE!
Denmark,137454339.00,144234745.00,115609434.00,116745977.00,102172381.00,168318408.00,125990253.00,94811991.00,102196390.00,127566543.00,114077810.00,118957344.00,1468135615.00,97828769.00,108315754.00,140233021.00,138107261.00,116816918.00,109411306.00,139119636.00,106685053.00,157006545.00,134248515.00,114989015.00,128766061.00,1491527853.00,137514297.00,121496802.00,125847117.00,157644780.00,115779763.00,174966413.00,142621268.00,160900386.00,185351036.00,183925615.00,160097643.00,169500624.00,1835645744.00,130724124.00,103289518.00,165214780.00,126883971.00,107676063.00,132927381.00,128967489.00,122237044.00,120879379.00,145382333.00,140443513.00,110631028.00,1535256626.00,124053915.00,102240584.00,121419108.00,105543335.00,116520174.00,104109791.00,105021807.00,124292957.00,107545418.00,172141340.00,164091285.00,135134724.00,1482114438.00,150066259.00,115789891.00,134406761.00,122102407.00,144460333.00,106365624.00,137581589.00,137127492.00,95527435.00,141793203.00,138598547.00,108694336.00,1532513879.00,126790724.00,103101739.00,132231818.00,99507402.00,111772422.00,158436762.00,128440796.00,109297543.00,123359022.00,128091462.00,118630195.00,116818299.00,1456478183.00,106854017.00,112639974.00,126184138.00,118948501.00,133006306.00,128439194.00,130467503.00,119295223.00,119129176.00,151172292.00,132256704.00,141957516.00,1520350546.00,159691952.00,138446565.00,165965674.00,149917478.00,140845996.00,131090559.00,119699445.00,148271612.00,143899967.00,147373315.00,146673291.00,159610639.00,1751486491.00,168311372.00,144697197.00,197890527.00,129296383.00,137616421.00,142354176.00,122940184.00,146774935.00,162651957.00,127106753.00,165841391.00,148001506.00,1793482802.00,168846762.00,145839724.00,156517940.00,132586629.00,137850959.00,129830630.00,149945195.00,118044642.00,136368833.00,145155849.00,139778068.00,#VALUE!,#VALUE!
Estonia,4559925.00,5193960.00,5176338.00,6711712.00,4521692.00,4763619.00,4781972.00,3535620.00,5132673.00,5460074.00,6808277.00,4571506.00,61217368.00,5756252.00,5699052.00,6292147.00,4996290.00,4899176.00,5084303.00,3743070.00,4623073.00,5208066.00,6257976.00,6377304.00,4927768.00,63864477.00,4445183.00,4164835.00,5003804.00,5183768.00,3937407.00,9129458.00,5432316.00,5189149.00,5575787.00,6509504.00,8065826.00,4568676.00,67205713.00,6284268.00,5880983.00,4598450.00,13529918.00,4380753.00,13119392.00,13301378.00,3642145.00,6591677.00,5651381.00,5999025.00,6723012.00,89702382.00,6319610.00,4383990.00,5549117.00,4767710.00,5933293.00,6259764.00,4901295.00,4978445.00,7286027.00,7352740.00,6711622.00,14058657.00,78502270.00,5439184.00,5833834.00,5113040.00,4223899.00,5937186.00,4895634.00,5843586.00,5289295.00,5046794.00,9194130.00,9576774.00,5813481.00,72206837.00,3590388.00,3057747.00,3445263.00,2886179.00,5657399.00,4339921.00,3203823.00,2985675.00,4613437.00,3004917.00,3825547.00,3017741.00,43628037.00,3500262.00,3543868.00,6827408.00,5849409.00,5698694.00,5268047.00,5400170.00,3964425.00,7445666.00,5599700.00,9859225.00,6720132.00,69677006.00,3740988.00,3562169.00,5135287.00,4953363.00,4551258.00,6197979.00,6521549.00,5260114.00,5071966.00,6081588.00,4436385.00,4563657.00,60076303.00,4978240.00,4975138.00,6048423.00,6050940.00,9665047.00,5349920.00,5193489.00,5410846.00,5006594.00,6144150.00,5204808.00,4336762.00,68364357.00,8129695.00,11184720.00,6611624.00,4783914.00,7240662.00,4970968.00,5567051.00,5095624.00,5557534.00,8179560.00,5598719.00,5298262.00,78218333.00
Spain,359162020.00,303886187.00,308951805.00,324564357.00,348644125.00,382320660.00,388747960.00,289628735.00,348842101.00,384321770.00,457236310.00,450194739.00,4346500769.00,453672862.00,473592281.00,513572947.00,427060277.00,492995516.00,506041823.00,544751035.00,367874006.00,409993197.00,482710500.00,524507916.00,537292535.00,5734064895.00,438611934.00,464637922.00,478306153.00,489618732.00,536942218.00,464319702.00,466144855.00,361415439.00,469156253.00,444036194.00,539346777.00,513304655.00,5665840834.00,366602129.00,444489983.00,471397429.00,368534532.00,467356291.00,478695759.00,420467553.00,329592037.00,418232058.00,426002306.00,426921308.00,416465837.00,5034757222.00,467047888.00,379726980.00,408470416.00,398357784.00,436876337.00,466596322.00,356007320.00,277038472.00,345600865.00,359002569.00,343910324.00,381295263.00,4619930540.00,299467682.00,324901030.00,415630189.00,364943637.00,441354365.00,400683631.00,387178687.00,313258900.00,430389178.00,446840609.00,370489862.00,342180621.00,4537318391.00,420660364.00,379739542.00,527063878.00,293800689.00,337637673.00,496140849.00,430220779.00,320505628.00,402247545.00,407773368.00,380017304.00,426963864.00,4822771483.00,347744206.00,360775612.00,496871831.00,426107253.00,416054243.00,495439356.00,446327591.00,353950209.00,436069871.00,413875095.00,451750590.00,485338839.00,5130304696.00,428019001.00,451731976.00,544431933.00,495131186.00,607461577.00,832324281.00,707844681.00,456408713.00,614104410.00,770014622.00,661552602.00,776451437.00,7345476419.00,538914357.00,623557988.00,602697395.00,491213042.00,673180784.00,731139405.00,591708733.00,458573324.00,519602730.00,599973748.00,572304128.00,610303613.00,7013169247.00,594130258.00,547324145.00,674836856.00,571139825.00,581943587.00,1030861554.00,583044701.00,1010523861.00,540230480.00,566573839.00,670424990.00,496423456.00,7867457552.00
Finland,49136095.00,36162470.00,47563839.00,41963318.00,38462234.00,58184604.00,41955370.00,39726059.00,47403231.00,46277342.00,46775744.00,53037747.00,546648053.00,40574995.00,50750171.00,50921865.00,54755671.00,56254825.00,52618369.00,64087387.00,48817348.00,40736544.00,176258885.00,96681458.00,233703909.00,966161427.00,56322376.00,46415006.00,40889755.00,38326161.00,42420678.00,43588852.00,36677289.00,47970447.00,166787336.00,54717546.00,46406790.00,43233057.00,663755293.00,53021081.00,46035180.00,61315442.00,56929257.00,195126742.00,52381064.00,47393871.00,39479608.00,63773974.00,60029093.00,52667866.00,51101827.00,779255005.00,39097019.00,47957919.00,58428314.00,38073505.00,62756867.00,44341834.00,43360004.00,37508014.00,35916432.00,50181729.00,56820529.00,44976579.00,559418745.00,50482722.00,76702059.00,53294780.00,58882566.00,67068559.00,44513440.00,49562363.00,43356394.00,43019484.00,45643010.00,59507125.00,56611324.00,648643826.00,47625110.00,58465675.00,49689372.00,54662729.00,37927314.00,39445436.00,45818558.00,37062575.00,48195029.00,48928583.00,55393735.00,169486701.00,692700817.00,40651444.00,44819749.00,63326801.00,56504778.00,51122781.00,59555756.00,53332490.00,52581678.00,440935870.00,60431943.00,59653527.00,201562323.00,1184479140.00,56241407.00,57494936.00,67017268.00,68205546.00,73670417.00,65970762.00,63788275.00,85074718.00,81793850.00,61949927.00,82010153.00,94022923.00,857240182.00,73781319.00,74338305.00,76001940.00,67964778.00,71807109.00,81721559.00,59669847.00,62059307.00,57897026.00,68541091.00,84263225.00,59813799.00,837859305.00,52640478.00,56160553.00,81729549.00,48568971.00,59640875.00,40725784.00,51987273.00,46232292.00,61641580.00,50252365.00,59822910.00,#VALUE!,#VALUE!
