TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,14046110.00,12755787.00,14401079.00,14895934.00,13177527.00,14025253.00,16848919.00,12206654.00,17382930.00,21206155.00,16490826.00,16185500.00,183622674.00,9764540.00,13518346.00,17190682.00,17525721.00,15334357.00,15638705.00,17762802.00,11925884.00,17234956.00,13851105.00,18604856.00,15613923.00,183965877.00,10435013.00,13581488.00,18941565.00,14403116.00,12170701.00,13991040.00,12910913.00,13435931.00,11732393.00,13453907.00,11330568.00,21951250.00,168337885.00,9340357.00,10105569.00,14349639.00,9769752.00,14419731.00,14244695.00,15377819.00,14593320.00,12255151.00,21227328.00,14698705.00,18744012.00,169126078.00,13029784.00,13928730.00,18231632.00,16880869.00,18182897.00,15826399.00,17997008.00,17826180.00,16184209.00,21391454.00,20268618.00,16507350.00,206255130.00,14799849.00,19156857.00,19301421.00,17875586.00,18843352.00,14850642.00,18053053.00,17588116.00,15358289.00,19155182.00,19048822.00,16177539.00,210208708.00,16988750.00,24065403.00,16309239.00,14642635.00,14031028.00,17489799.00,15944061.00,13721339.00,17954342.00,17992449.00,17806781.00,16652852.00,203598678.00,14022598.00,15707907.00,20631945.00,18361435.00,18420952.00,18693553.00,16685372.00,18906910.00,21706463.00,20623700.00,20447385.00,19970619.00,224178839.00,21386283.00,21542840.00,24035352.00,24690477.00,25335209.00,26253270.00,25492502.00,22310442.00,26841924.00,27602614.00,25751786.00,24153356.00,295396055.00,24601507.00,24533489.00,32963489.00,26596659.00,24446121.00,26860074.00,23695345.00,23600260.00,29331613.00,24693644.00,26913218.00,27139526.00,315374945.00,25298662.00,27096316.00,20923673.00,22944220.00,24052635.00,21430639.00,23575169.00,22622857.00,22590918.00,25626372.00,23497553.00,#VALUE!,#VALUE!
Belgium,34922621.00,33771462.00,38358558.00,34865144.00,30542000.00,33276430.00,31498382.00,28026668.00,35866524.00,36644110.00,28807778.00,34996456.00,401576133.00,31308373.00,35021110.00,49153641.00,42255904.00,37173356.00,42989702.00,37249756.00,30092985.00,38167138.00,62905396.00,41794958.00,28328129.00,476440448.00,47384658.00,36614280.00,50190572.00,46929667.00,35008307.00,42641575.00,39360065.00,30821884.00,39983296.00,40963715.00,32322119.00,39461048.00,481681186.00,30272322.00,37542679.00,42270528.00,35165030.00,39539501.00,41391823.00,31922622.00,33092914.00,37691539.00,38506935.00,40595573.00,33707511.00,441698977.00,40078286.00,37388453.00,43073971.00,38741740.00,39588648.00,45344893.00,39885197.00,37864604.00,36441209.00,41290314.00,35875976.00,30347951.00,465921242.00,36696476.00,37936454.00,43721993.00,38903865.00,42537132.00,39408334.00,42511125.00,38561865.00,46688139.00,46803751.00,58374829.00,34566423.00,506710386.00,42592177.00,39926324.00,44094481.00,33974210.00,32967224.00,39989776.00,40862189.00,37565562.00,41209828.00,60557974.00,40698991.00,50613836.00,505052572.00,41075246.00,54373833.00,63637672.00,49148359.00,51825218.00,74462767.00,49513823.00,48219946.00,55592831.00,49508183.00,65772919.00,67741186.00,670871983.00,69397657.00,51688551.00,64826256.00,66791903.00,80097806.00,77666133.00,65350046.00,58342704.00,57084184.00,63606816.00,58774019.00,52731958.00,766358033.00,60233558.00,55791342.00,68815359.00,48143408.00,47099088.00,57777737.00,52110743.00,46542870.00,60409534.00,47484275.00,51183149.00,55312364.00,650903427.00,56167079.00,49318126.00,77944390.00,53024844.00,61161759.00,52688539.00,53075965.00,42916943.00,45891305.00,48740202.00,48320270.00,#VALUE!,#VALUE!
Bulgaria,2415241.00,2646509.00,3558608.00,2411978.00,2333183.00,3485306.00,3587258.00,2488791.00,2832890.00,3771590.00,3727257.00,4822307.00,38080918.00,2725412.00,3068121.00,3747331.00,4977068.00,4297289.00,4931643.00,5079825.00,4418469.00,3542988.00,8878205.00,4950916.00,3799025.00,54416295.00,3288213.00,3721340.00,4219078.00,5065650.00,5898067.00,6539179.00,3423849.00,7296854.00,4538081.00,6183551.00,7376707.00,5199808.00,62750376.00,7024313.00,4751275.00,8541827.00,3338013.00,3680459.00,7312410.00,3539719.00,6019653.00,3498312.00,8375354.00,3926309.00,5547536.00,65555182.00,6795919.00,3403414.00,8808835.00,7042979.00,5397409.00,4782684.00,7528184.00,3251882.00,5577108.00,8375694.00,5314747.00,5466333.00,71745187.00,4128651.00,3852483.00,4266972.00,3630411.00,4960675.00,4590995.00,10187140.00,4889279.00,5509949.00,5238725.00,5616709.00,4787121.00,61659110.00,4734552.00,5006444.00,4376849.00,4808314.00,5184851.00,5900981.00,7531074.00,5379789.00,6951069.00,5149867.00,6797487.00,7872435.00,69693713.00,5241632.00,4960218.00,5971878.00,5182992.00,5087126.00,5404765.00,6204812.00,7158139.00,6570732.00,6352681.00,5617008.00,6570169.00,70322154.00,4754167.00,5759317.00,7422021.00,15584199.00,8101819.00,13605879.00,8352596.00,8005464.00,7496927.00,9842334.00,10556358.00,8627177.00,108108260.00,9404862.00,7682908.00,8284101.00,6770737.00,7818516.00,9888053.00,9933399.00,6870995.00,7268952.00,9324647.00,9579817.00,8017307.00,100844294.00,6214947.00,7919326.00,9245794.00,9254819.00,6579835.00,7089516.00,7833612.00,7427219.00,7285636.00,8210558.00,8754238.00,#VALUE!,#VALUE!
Cyprus,809109.00,530690.00,492990.00,476718.00,802519.00,546373.00,638256.00,411454.00,380397.00,339977.00,708250.00,355552.00,6492285.00,401034.00,641155.00,679794.00,11515914.00,707593.00,411169.00,456591.00,535227.00,425841.00,583252.00,701744.00,445019.00,17504333.00,744337.00,705272.00,354899.00,1208875.00,1521879.00,657062.00,724883.00,395429.00,669800.00,324234.00,643245.00,3523960.00,11473875.00,1162029.00,901943.00,717684.00,736073.00,685421.00,454141.00,624802.00,634397.00,622739.00,229052.00,728576.00,2169142.00,9665999.00,484970.00,452831.00,883336.00,715395.00,652655.00,775636.00,416646.00,360505.00,610663.00,941441.00,928009.00,579197.00,7801284.00,563174.00,457162.00,400906.00,466394.00,650093.00,904073.00,752153.00,626153.00,517650.00,722819.00,880366.00,557861.00,7498804.00,1588896.00,314750.00,521936.00,718474.00,544800.00,673161.00,707224.00,1110746.00,553427.00,761454.00,543783.00,293115.00,8331766.00,921230.00,448549.00,483695.00,1005343.00,616957.00,1025911.00,526671.00,685416.00,979357.00,743111.00,1511503.00,685986.00,9633729.00,476786.00,716319.00,911747.00,1022593.00,823370.00,899836.00,969359.00,1437926.00,1032167.00,1165321.00,910989.00,748627.00,11115040.00,1164539.00,1511318.00,601497.00,559725.00,3033880.00,730477.00,676990.00,586758.00,525320.00,474863.00,928931.00,911611.00,11705909.00,419675.00,885741.00,1648257.00,772902.00,904407.00,660544.00,617086.00,830559.00,1055575.00,1293227.00,1547267.00,#VALUE!,#VALUE!
Czechia,18550180.00,23406890.00,23063162.00,24209778.00,20927228.00,22321332.00,27605392.00,25421746.00,25631967.00,29293444.00,35277946.00,24133166.00,299842229.00,23801604.00,28292514.00,27654445.00,29506980.00,30388870.00,29747133.00,33067210.00,24490268.00,31126661.00,30641312.00,26558529.00,25938740.00,341214268.00,21594848.00,28352052.00,29536108.00,27819667.00,28877372.00,29483901.00,38359079.00,31452192.00,35252365.00,30012074.00,34019559.00,28501921.00,363261137.00,27477006.00,27838464.00,33029970.00,33101302.00,32577530.00,32508382.00,33781687.00,34008201.00,33882761.00,37369910.00,42208917.00,33320810.00,401104939.00,37139102.00,32961148.00,31013875.00,32872743.00,30810701.00,35161895.00,28579870.00,29745339.00,34401546.00,47581860.00,49027771.00,31552923.00,420848772.00,34841196.00,37250012.00,32761789.00,35272782.00,36343288.00,31325332.00,36534859.00,32860355.00,35620595.00,37468344.00,36495126.00,37459631.00,424233310.00,31840532.00,35057380.00,39284875.00,27573995.00,29171099.00,34525110.00,38629872.00,27631814.00,33722912.00,38593871.00,37774350.00,36936702.00,410742511.00,40784536.00,42535412.00,51536238.00,46449129.00,47511987.00,39072283.00,46728275.00,40319781.00,48486660.00,56774496.00,48832772.00,43877078.00,552908649.00,44264113.00,44014424.00,47589982.00,45840560.00,44072579.00,51194402.00,44708953.00,45730599.00,56946505.00,54753765.00,60384280.00,56768323.00,596268486.00,55694128.00,53291066.00,57613880.00,52467643.00,55121395.00,61602306.00,42348792.00,54851934.00,56149558.00,54363851.00,63354628.00,50849206.00,657708388.00,51466448.00,52174305.00,55020272.00,61186329.00,59367507.00,52122975.00,52799244.00,45893634.00,50488599.00,50214841.00,48709259.00,94366324.00,673809738.00
Germany,172393346.00,175177952.00,163860229.00,189823071.00,174596208.00,187863710.00,185735651.00,181889493.00,188832569.00,199984364.00,176218601.00,159881015.00,2156256209.00,160532533.00,159597842.00,192544658.00,195177164.00,187687546.00,207445117.00,221601671.00,181363021.00,199567982.00,194119882.00,193166379.00,172394880.00,2265198675.00,171292312.00,189525876.00,199854749.00,208607632.00,193214228.00,211953582.00,197074581.00,197135390.00,231631849.00,239878797.00,228345938.00,186458294.00,2454973228.00,195944978.00,204515250.00,220575852.00,225185407.00,227800554.00,227533088.00,228630284.00,224333991.00,236118993.00,230884079.00,235982590.00,199300380.00,2656805446.00,218872815.00,222007754.00,238778183.00,228849476.00,247684277.00,254037322.00,238390460.00,233422281.00,232178008.00,244672300.00,243436461.00,198712600.00,2801041937.00,192832724.00,197774401.00,237399937.00,236880788.00,212982290.00,226227659.00,215321712.00,227693192.00,218253989.00,234523947.00,250774646.00,178579949.00,2629245234.00,230286717.00,213613528.00,215573949.00,177323808.00,171818368.00,185358513.00,209777923.00,210764536.00,228100366.00,226047347.00,221072487.00,191138900.00,2480876442.00,195215024.00,218848944.00,255903996.00,272979124.00,263548872.00,242038840.00,263789480.00,262750219.00,281107340.00,279167296.00,308136748.00,263840614.00,3107326497.00,277195565.00,289221042.00,333927890.00,293793801.00,322960209.00,329805737.00,304149600.00,329891808.00,337521986.00,307483254.00,327103156.00,264323753.00,3717377801.00,311351055.00,306919253.00,345755335.00,306034622.00,301792017.00,328750978.00,294040317.00,293780170.00,303251148.00,303632745.00,306738109.00,277590966.00,3679636715.00,293713429.00,304071946.00,316622148.00,312771311.00,298143030.00,286559819.00,307977979.00,305106148.00,303448720.00,308031181.00,295452429.00,#VALUE!,#VALUE!
Denmark,59862223.00,52684298.00,58209113.00,57082551.00,57987738.00,47202610.00,46621347.00,47601241.00,55509117.00,60636924.00,54497196.00,59743665.00,657638019.00,60559596.00,53326946.00,63887777.00,63804148.00,66006566.00,52508342.00,50852253.00,49708535.00,52040068.00,59700893.00,55970213.00,73949238.00,702314576.00,50496929.00,61125072.00,70421036.00,57450372.00,57397321.00,54141243.00,44315110.00,68010701.00,65390963.00,59761673.00,59402968.00,62270346.00,710183734.00,64055863.00,58947870.00,70147833.00,60616394.00,56756951.00,57546503.00,48571351.00,60474876.00,58116529.00,65140779.00,66573912.00,53953123.00,720901984.00,69619112.00,59805218.00,65523321.00,63932881.00,64859712.00,70330169.00,65084809.00,73909070.00,68050185.00,68860075.00,82826570.00,68641981.00,821443105.00,61353316.00,68576482.00,75196394.00,67675217.00,65020004.00,60287839.00,55857260.00,59879698.00,62151818.00,68041245.00,67627068.00,63691935.00,775358278.00,73880960.00,71580246.00,85860768.00,62334212.00,62721546.00,64527637.00,63060285.00,70313081.00,73135575.00,79350471.00,78353910.00,73406519.00,858525210.00,72965909.00,86971146.00,102961278.00,86236069.00,93158336.00,96773177.00,81399700.00,85097303.00,95354361.00,93650644.00,97656289.00,92095233.00,1084319448.00,95105144.00,129301964.00,118319013.00,102345193.00,99676997.00,119589119.00,92022402.00,119357984.00,126782585.00,115733750.00,113945572.00,104232933.00,1336412656.00,107823676.00,100394514.00,119273763.00,84350011.00,115666081.00,99907979.00,75377114.00,88436634.00,91321099.00,92108834.00,104544798.00,87841229.00,1167045730.00,110149192.00,96958381.00,125250665.00,108865979.00,120633981.00,79458733.00,87942806.00,77078787.00,82666796.00,86771039.00,93027538.00,#VALUE!,#VALUE!
Estonia,193103404.00,190295132.00,207217388.00,217717918.00,194728562.00,187737137.00,217371146.00,203525396.00,210458392.00,220635079.00,204110685.00,195577455.00,2442477694.00,170391547.00,160877827.00,190234034.00,183633596.00,192901209.00,194788233.00,207216523.00,192407263.00,196500017.00,202926565.00,196202424.00,174498195.00,2262577433.00,160036813.00,171389219.00,191867127.00,185579160.00,190602519.00,173272214.00,171248079.00,192539026.00,206941158.00,189935501.00,194781443.00,179858147.00,2208050406.00,168246212.00,165834200.00,205677909.00,186325701.00,201632105.00,197212353.00,185378511.00,218727628.00,207655918.00,216150300.00,227057217.00,203364332.00,2383262386.00,208113530.00,200699553.00,209675200.00,233060686.00,240413401.00,245075404.00,211136736.00,232401421.00,226917068.00,243864551.00,245596755.00,208311557.00,2705265862.00,227130143.00,207086361.00,246386028.00,230060849.00,238089077.00,216159632.00,228578591.00,207186503.00,220463199.00,244806271.00,228082637.00,221450939.00,2715480230.00,223763391.00,215627820.00,226234880.00,173089231.00,194530569.00,218539228.00,248228681.00,224740407.00,240154153.00,240184803.00,254950682.00,236459098.00,2696502943.00,215200082.00,224220833.00,264154790.00,262565336.00,259183417.00,279063667.00,296909852.00,301778336.00,333498722.00,338080284.00,351461752.00,406123501.00,3532240572.00,374101180.00,330062484.00,438269110.00,383678427.00,464893444.00,458612020.00,488214453.00,606785368.00,582148043.00,517497837.00,502585686.00,520223538.00,5667071590.00,434261790.00,434899991.00,413677850.00,340027705.00,384130376.00,357395168.00,322098570.00,364915830.00,368940982.00,353162519.00,350190132.00,318463234.00,4442164147.00,341517868.00,306038585.00,311467652.00,324262231.00,382012428.00,340391140.00,315382965.00,354005287.00,355890480.00,386322832.00,366158751.00,374657016.00,4158107235.00
Spain,29069735.00,19133798.00,58302783.00,62771326.00,78977166.00,32111800.00,92615475.00,43884566.00,30616756.00,47872656.00,62941169.00,26040743.00,584337973.00,23309995.00,17680089.00,20745923.00,20266199.00,21957758.00,28599650.00,28175760.00,18531522.00,31599187.00,29333573.00,24481372.00,32477583.00,297158611.00,20852196.00,21518576.00,19831195.00,24028138.00,20562395.00,20749050.00,23280954.00,15988792.00,42119979.00,63504463.00,24610185.00,40305449.00,337351372.00,49252183.00,23113105.00,28588534.00,21129489.00,28011238.00,33829473.00,20370281.00,22428454.00,33213130.00,32381629.00,38864254.00,25958234.00,357140004.00,30335819.00,30716410.00,31412682.00,58794362.00,40391252.00,27383307.00,25694299.00,25380488.00,27243858.00,27608924.00,31811326.00,38657462.00,395430189.00,25936021.00,31547021.00,31761798.00,34922234.00,37301833.00,39968766.00,31798812.00,29110393.00,45161327.00,43974368.00,34597251.00,37509092.00,423588916.00,39469566.00,30775309.00,34443892.00,25183048.00,34785495.00,35306862.00,31022575.00,23807526.00,35385558.00,32897945.00,36032749.00,36630379.00,395740904.00,27081850.00,27831321.00,42479106.00,31645569.00,32939549.00,40596346.00,35551320.00,32834948.00,50777908.00,37116490.00,54299356.00,64162510.00,477316273.00,45775460.00,74031997.00,62697438.00,30894751.00,64065235.00,57170614.00,55924821.00,36753617.00,77667795.00,45537683.00,70119402.00,74155145.00,694793958.00,50934948.00,44728134.00,64827610.00,53102297.00,65049487.00,63215140.00,36787141.00,43665846.00,61218325.00,47238322.00,49448108.00,64286811.00,644502169.00,46044098.00,63966211.00,51073234.00,46124757.00,48064362.00,39798785.00,37621081.00,42797310.00,42503916.00,44281964.00,57224734.00,50020451.00,569520903.00
Finland,73653474.00,62845595.00,67694577.00,79235109.00,69266393.00,69915052.00,77800446.00,80654100.00,91494682.00,101607637.00,75835575.00,62457088.00,912459728.00,54243409.00,60293330.00,65439326.00,69484132.00,68244273.00,71214318.00,76171316.00,76306614.00,71389083.00,79605678.00,63348730.00,59986127.00,815726336.00,48921047.00,50531221.00,63072959.00,61660051.00,62528188.00,66555474.00,61075301.00,62483849.00,64927957.00,63337228.00,69292347.00,70443272.00,744828894.00,62864474.00,53679082.00,65928563.00,58022664.00,81280291.00,68421786.00,62738017.00,76419945.00,77899212.00,74885161.00,77463829.00,72183242.00,831786266.00,70273866.00,69442938.00,69531534.00,73252076.00,81682855.00,79156741.00,73838559.00,81178137.00,74066439.00,79010808.00,79380006.00,77970063.00,908784022.00,74856059.00,69763185.00,82475394.00,84975560.00,83605940.00,70577083.00,73829235.00,80739738.00,80545045.00,86132713.00,72432372.00,75407801.00,935340125.00,71045124.00,63906190.00,77158185.00,68581918.00,65293971.00,73611022.00,77904261.00,70132888.00,81384906.00,86674616.00,79087629.00,73621464.00,888402174.00,65893761.00,72092988.00,84235177.00,80664207.00,83404702.00,86310768.00,84201581.00,86674460.00,93314050.00,93868957.00,93894457.00,92099582.00,1016654690.00,88866625.00,86009333.00,107611691.00,101790023.00,107349722.00,117801537.00,96559533.00,110469387.00,132483244.00,125732487.00,121138373.00,104466989.00,1300278944.00,109720216.00,115150574.00,126209034.00,112867338.00,118425322.00,115156986.00,92263962.00,107900658.00,114030950.00,114082251.00,112339317.00,95303761.00,1333450369.00,98601487.00,102584270.00,113191955.00,115566024.00,116693867.00,98721551.00,101176601.00,123766781.00,132532180.00,163431337.00,135448954.00,#VALUE!,#VALUE!
