TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,20845963.00,19518318.00,19399240.00,22881781.00,18644691.00,21411480.00,25423078.00,18221923.00,20093701.00,22148575.00,20787470.00,18288375.00,247664595.00,17518516.00,19352951.00,26713871.00,23041756.00,18112379.00,17081732.00,21696948.00,20032385.00,23680646.00,22357409.00,26486931.00,19112916.00,255188440.00,17643900.00,22352737.00,27256558.00,22307806.00,21967585.00,22219008.00,26908596.00,23527783.00,24778097.00,26861990.00,27705884.00,26185917.00,289715861.00,24321352.00,24334508.00,30960231.00,26466716.00,27981406.00,26323894.00,27992029.00,28133114.00,32746711.00,32510762.00,31250775.00,26690675.00,339712173.00,31989249.00,31764243.00,33362104.00,32678122.00,29673316.00,29855902.00,31028192.00,32481824.00,34232610.00,33675995.00,33030841.00,29304362.00,383076760.00,31896655.00,33825976.00,31417302.00,43372089.00,33742742.00,39196342.00,44465347.00,44200553.00,40312305.00,46161582.00,37644370.00,31949824.00,458185087.00,39683677.00,41998282.00,47696680.00,39380172.00,41470046.00,44991028.00,50165500.00,42910504.00,41072792.00,50370982.00,46172004.00,44276644.00,530188311.00,43680237.00,50780389.00,57208785.00,52377908.00,57226998.00,58159893.00,56686531.00,55546243.00,59291373.00,63496336.00,56504040.00,53231561.00,664190294.00,57246166.00,57327264.00,71739427.00,59968964.00,67882615.00,63055519.00,72056342.00,60726732.00,62219286.00,60483585.00,65046095.00,62970983.00,760722978.00,61703229.00,62209076.00,62926774.00,54314447.00,55135513.00,62742907.00,53023459.00,59220700.00,60530419.00,65880478.00,63555439.00,56640544.00,717882985.00,61220103.00,64797012.00,61312832.00,57395963.00,55610879.00,53935426.00,55906398.00,58582714.00,54499651.00,60281415.00,59722618.00,#VALUE!,#VALUE!
Belgium,89647119.00,87208180.00,123015497.00,128993640.00,81999569.00,84638581.00,103212750.00,93417008.00,93390256.00,95604694.00,82877637.00,83441451.00,1147446382.00,76450402.00,88053295.00,114445980.00,96732522.00,86910892.00,105032485.00,90151475.00,94137763.00,93241123.00,104657310.00,91816162.00,97239143.00,1138868552.00,86784502.00,99148445.00,98007621.00,93819971.00,90324136.00,90717070.00,79888233.00,87537152.00,87059416.00,91524612.00,92402102.00,95987763.00,1093201023.00,107379796.00,98293211.00,129253996.00,104238194.00,98618955.00,106618060.00,94267808.00,97987655.00,113610769.00,204306106.00,113867251.00,151713249.00,1420155050.00,176924250.00,123749061.00,113893686.00,102986328.00,180942194.00,125109762.00,115342397.00,106567965.00,108592823.00,114085518.00,112732014.00,125886958.00,1506812956.00,104725516.00,101061132.00,123768976.00,110543871.00,105361115.00,112994342.00,118308096.00,97312590.00,107691388.00,112526834.00,112444399.00,91564699.00,1298302958.00,117913026.00,100108592.00,112045014.00,83524714.00,79148608.00,108408979.00,83710081.00,131264221.00,104100936.00,124426864.00,112393065.00,103664852.00,1260708952.00,105451826.00,110654944.00,193038487.00,125138960.00,125866169.00,151365520.00,132469068.00,132581157.00,141648519.00,146195503.00,192334281.00,198460268.00,1755204702.00,122617631.00,155292455.00,162230647.00,186169538.00,162815427.00,149318038.00,132528847.00,245163987.00,178824090.00,154355826.00,149639296.00,154032394.00,1952988176.00,145037867.00,118053072.00,155414472.00,128463959.00,117173583.00,143964917.00,106333998.00,102103410.00,137494740.00,184592350.00,136120496.00,106611650.00,1581364514.00,105506067.00,119022700.00,123438511.00,146824364.00,179594135.00,132738469.00,142236996.00,116222389.00,136600063.00,158852905.00,128826503.00,#VALUE!,#VALUE!
Bulgaria,6303416.00,6461489.00,7506898.00,7419463.00,7459040.00,6906668.00,7568705.00,7592191.00,7638282.00,8663146.00,8865791.00,7661292.00,90046383.00,5708852.00,7280577.00,7049246.00,6933440.00,8942579.00,7450193.00,6709524.00,6061976.00,8005448.00,10004935.00,10825992.00,8878980.00,93851741.00,6960641.00,7066088.00,7831422.00,6690216.00,6864200.00,7695909.00,6970725.00,17612096.00,9646331.00,10463748.00,10263100.00,9990254.00,108054731.00,8273746.00,8873099.00,11356603.00,7635674.00,9672877.00,9787106.00,10765041.00,9912913.00,9145694.00,12056007.00,11342252.00,8247145.00,117068154.00,9399892.00,9543048.00,10456983.00,10203658.00,10462515.00,12480999.00,12183250.00,11964982.00,15179750.00,14231795.00,15059633.00,10364605.00,141531110.00,10495675.00,13614637.00,12763524.00,11966623.00,11871972.00,11980549.00,12455284.00,11463580.00,11788679.00,14085708.00,13483678.00,11420540.00,147390448.00,12229640.00,10409496.00,13985526.00,9445745.00,10044624.00,14119294.00,13495183.00,13104857.00,13691125.00,14476818.00,16515149.00,13159686.00,154677144.00,11113323.00,11925650.00,16953407.00,15063802.00,13717213.00,14266730.00,14894505.00,14489799.00,14895084.00,18003118.00,17694317.00,14322214.00,177339162.00,17029465.00,14600612.00,18552383.00,18297116.00,19222605.00,21812073.00,23665504.00,22827499.00,20222541.00,34068772.00,33202485.00,18589331.00,262090386.00,19262981.00,20928191.00,24456840.00,19360231.00,18130362.00,20716636.00,20601383.00,20556667.00,20065597.00,22921089.00,23401500.00,18694572.00,249096049.00,15124743.00,18019298.00,19402434.00,24740355.00,18277759.00,22280159.00,22650523.00,18438481.00,21097090.00,22387244.00,20693984.00,#VALUE!,#VALUE!
Cyprus,16935716.00,716944.00,897404.00,903512.00,748888.00,671155.00,647761.00,636324.00,457179.00,797629.00,789512.00,8814767.00,33016791.00,663044.00,1009810.00,58723309.00,614260.00,748370.00,504643.00,883300.00,1184728.00,676432.00,1011758.00,682428.00,1183108.00,67885190.00,1019933.00,1552992.00,1869148.00,899503.00,894856.00,1113330.00,761436.00,881103.00,928589.00,1830052.00,1536633.00,1670949.00,14958524.00,1617689.00,1160016.00,1531605.00,1285081.00,1387744.00,1090364.00,781357.00,1037900.00,1257227.00,876172.00,1136906.00,1132152.00,14294213.00,926210.00,880568.00,1148418.00,1024564.00,1809474.00,2024856.00,1000850.00,1776571.00,1713597.00,1521113.00,1939763.00,2539294.00,18305278.00,2113549.00,1356888.00,913569.00,1798169.00,1423503.00,1863298.00,1743052.00,1403039.00,1552070.00,1780470.00,1507526.00,1301774.00,18756907.00,2076411.00,626155.00,2260782.00,1120747.00,291617.00,1149497.00,742398.00,1504546.00,1568492.00,1898897.00,2040985.00,2112799.00,17393326.00,744982.00,1394922.00,1379517.00,1308939.00,1716483.00,1855916.00,1337353.00,2152374.00,1824656.00,2357550.00,1374313.00,1995012.00,19442017.00,1524307.00,4669321.00,1599942.00,2762956.00,2708305.00,2251292.00,3105612.00,3464133.00,1539997.00,1880188.00,1831775.00,1790465.00,29128293.00,2926855.00,1327584.00,2153210.00,1945793.00,2164166.00,1595233.00,2351096.00,2038428.00,4532932.00,1764969.00,2022555.00,1672783.00,26495604.00,1447072.00,1877081.00,1849834.00,2022171.00,2627475.00,1385143.00,1622640.00,1657962.00,1804089.00,1663842.00,1203360.00,#VALUE!,#VALUE!
Czechia,48573842.00,49578587.00,60222096.00,63181212.00,55866632.00,51082322.00,56377314.00,57799494.00,54556893.00,55765704.00,60630020.00,48993234.00,662627347.00,45343384.00,46952437.00,53604494.00,52953881.00,56986571.00,55443489.00,59779436.00,48434644.00,56555734.00,58486671.00,60114373.00,56544614.00,651199728.00,46737169.00,51945416.00,54397699.00,56027952.00,52395296.00,57028530.00,51417185.00,53708254.00,69729479.00,62105491.00,65826604.00,53720359.00,675039434.00,56793501.00,57639192.00,74399475.00,60272618.00,70795108.00,80438225.00,73845180.00,80043932.00,83719328.00,93894535.00,85322091.00,66657429.00,883820613.00,68474235.00,67776070.00,68751639.00,75172098.00,82117735.00,83640866.00,73005734.00,77802128.00,77501527.00,97282964.00,91283684.00,67992174.00,930800853.00,84243180.00,74521236.00,79980746.00,88902648.00,83381538.00,76505573.00,96295712.00,82683269.00,97559245.00,112121736.00,107041731.00,76980091.00,1060216705.00,96091902.00,82741190.00,83652535.00,64470453.00,64901374.00,90143386.00,114940179.00,97587336.00,91929938.00,100263198.00,106413812.00,93235349.00,1086370651.00,81841700.00,77996032.00,108803412.00,109193869.00,101747568.00,107243057.00,93155526.00,86629316.00,101338029.00,120904958.00,107083216.00,100572089.00,1196508774.00,113393934.00,103127488.00,125991873.00,111847172.00,124992239.00,142143511.00,111568033.00,129137327.00,157275135.00,139443250.00,153048190.00,118869211.00,1530837361.00,118462968.00,123601769.00,124883695.00,133677181.00,128735605.00,118192256.00,112907537.00,125416770.00,129945946.00,126418829.00,124098340.00,102605962.00,1468946859.00,127173240.00,120321380.00,116039626.00,150140449.00,118415918.00,127411115.00,139152608.00,123692123.00,140189660.00,147335215.00,142482339.00,129594478.00,1581948150.00
Germany,303496705.00,327288622.00,343141390.00,347662973.00,336241280.00,347339837.00,392262478.00,332457672.00,401947571.00,410016954.00,348648342.00,315964371.00,4206468195.00,288864236.00,352546734.00,399499865.00,379138283.00,393916791.00,378172794.00,370667019.00,351165618.00,414911448.00,413092009.00,371087015.00,306749269.00,4419811081.00,310865387.00,375191779.00,405085683.00,472301986.00,454675391.00,403914638.00,379203191.00,386399005.00,417060348.00,395041039.00,382163706.00,335205928.00,4717108081.00,345797829.00,389386110.00,466372416.00,400735002.00,429334803.00,437846389.00,438477037.00,439449654.00,430527510.00,448557325.00,487753227.00,404692018.00,5118929320.00,448839953.00,413150403.00,468140831.00,460251281.00,430484217.00,451298460.00,490732591.00,452585095.00,443221166.00,491123272.00,480311848.00,407706749.00,5437845866.00,420096235.00,415536663.00,501627022.00,456661488.00,460235563.00,458181508.00,494518424.00,452710369.00,531929228.00,535098153.00,499794082.00,405518733.00,5631907468.00,489882151.00,474003484.00,474912616.00,383467303.00,376022928.00,465979898.00,495016853.00,470656602.00,526671063.00,509849138.00,552478407.00,441457644.00,5660398087.00,442250251.00,507585924.00,637667596.00,531276565.00,589870969.00,599321913.00,572361828.00,638501734.00,650573834.00,675376766.00,660228534.00,641036401.00,7146052315.00,604037904.00,639361749.00,729771728.00,664092763.00,684797316.00,695696615.00,679775549.00,753192781.00,804680102.00,832362445.00,743118510.00,668885786.00,8499773248.00,679057934.00,655863590.00,802849052.00,653372266.00,747051663.00,715562826.00,652016422.00,663138787.00,680085618.00,722824387.00,745414879.00,570441314.00,8287678738.00,669889699.00,651018116.00,683221562.00,700154386.00,663801795.00,642421266.00,667936266.00,656774611.00,727042437.00,703583185.00,681515350.00,#VALUE!,#VALUE!
Denmark,71989585.00,66783268.00,70463626.00,110672552.00,65834294.00,66404040.00,60047455.00,62129850.00,62634243.00,67613135.00,72107165.00,71236362.00,847915576.00,101741064.00,70684027.00,88183181.00,76876658.00,67892270.00,76476596.00,57537927.00,65402293.00,66514781.00,68839937.00,71098323.00,69023460.00,880270520.00,66861565.00,66248313.00,82514763.00,83817316.00,87955618.00,71582408.00,56923892.00,62061470.00,61818605.00,64002086.00,77533048.00,73984192.00,855303278.00,75872236.00,68963680.00,90223665.00,85384051.00,78820572.00,81176936.00,63909835.00,74904332.00,85650706.00,84524679.00,86923407.00,78310697.00,954664798.00,92331765.00,82343502.00,103690946.00,88653912.00,114411473.00,90137503.00,73048876.00,89310612.00,98269037.00,103782985.00,97421409.00,82810838.00,1116212858.00,115236785.00,83779349.00,108964543.00,98163553.00,90790841.00,77925368.00,89959722.00,79267604.00,82713821.00,85723196.00,90126169.00,83328470.00,1085979421.00,90159658.00,91353836.00,102691919.00,88555597.00,72405376.00,84570407.00,89321120.00,86577184.00,90879575.00,86481130.00,84119945.00,92432728.00,1059548475.00,94534303.00,91174860.00,125724514.00,107116168.00,97741886.00,106222401.00,95243449.00,102863469.00,110032415.00,116688339.00,121039319.00,112865816.00,1281246938.00,121219477.00,122179198.00,139837978.00,114197815.00,127127944.00,143466582.00,106727822.00,113983627.00,131899114.00,141601463.00,140857049.00,139122505.00,1542220575.00,115215241.00,129875763.00,161075757.00,115141836.00,131312942.00,121922942.00,97758357.00,112385997.00,116862582.00,124376606.00,117600415.00,123016102.00,1466544540.00,125185693.00,128823885.00,131368770.00,137665822.00,120946319.00,118307023.00,101447078.00,113426839.00,111042429.00,142653884.00,117928740.00,#VALUE!,#VALUE!
Estonia,117041451.00,127856614.00,149063092.00,156352817.00,142470718.00,140364922.00,149732110.00,140576646.00,148863737.00,155795540.00,134730493.00,132845306.00,1695693446.00,124646618.00,125562309.00,162703418.00,155316537.00,158258976.00,168838162.00,154349581.00,158952737.00,170413110.00,167175922.00,162320205.00,171481252.00,1880018827.00,140213744.00,135600592.00,158290997.00,163123027.00,164561412.00,164305008.00,151102479.00,167287170.00,171941748.00,169328122.00,173388271.00,157612793.00,1916755363.00,164107667.00,136695867.00,172458795.00,156417136.00,183531683.00,169753065.00,152697938.00,177142864.00,181680587.00,197709225.00,187306844.00,175510587.00,2055012258.00,154900806.00,146874119.00,173838507.00,171815068.00,204637926.00,197437670.00,184249708.00,209924402.00,194389473.00,215458537.00,208530493.00,176896383.00,2238953092.00,165666196.00,156746572.00,184862831.00,195135717.00,220270087.00,209491006.00,217215568.00,197726561.00,217375621.00,238169647.00,224358947.00,208001880.00,2435020633.00,168273677.00,159027001.00,193229692.00,154363486.00,156711023.00,162539166.00,193734838.00,184750658.00,194234059.00,197818803.00,199991374.00,211331957.00,2176005734.00,178803871.00,177131596.00,238433901.00,222435695.00,242819576.00,240329125.00,229263678.00,234119833.00,239146339.00,287858796.00,273220889.00,258929486.00,2822492785.00,258651483.00,261330861.00,323308126.00,353244804.00,346961752.00,278006635.00,324215725.00,357044855.00,322210130.00,335371798.00,334749664.00,282598242.00,3777694075.00,272089453.00,270949464.00,317105612.00,291494272.00,318993827.00,319013394.00,280248540.00,324756799.00,314895151.00,332560654.00,329499994.00,298189010.00,3669796170.00,290962412.00,282737804.00,324537339.00,338840157.00,312730248.00,293728154.00,301340543.00,302138363.00,298009225.00,299849172.00,302047675.00,281620122.00,3628541214.00
Spain,36736439.00,41313715.00,47203549.00,44703980.00,42656482.00,40215501.00,47513955.00,37221963.00,56902760.00,58402466.00,58244980.00,51455513.00,562571303.00,46395677.00,45791896.00,59924691.00,59451242.00,63437846.00,63961391.00,71596247.00,50554681.00,57276675.00,66590345.00,58391407.00,71816861.00,715188959.00,36365579.00,41452018.00,51836759.00,53172978.00,52685494.00,60562174.00,62083445.00,50639329.00,83459761.00,64388295.00,67414917.00,60383419.00,684444168.00,43095111.00,71328169.00,59126288.00,49391047.00,65149162.00,59591094.00,51332985.00,46345934.00,82518708.00,63628354.00,59908004.00,68729834.00,720144690.00,52553491.00,45073339.00,67294263.00,49574126.00,60448408.00,56005215.00,55095902.00,65184946.00,57767297.00,74760539.00,59885453.00,68503893.00,712146872.00,55776247.00,54493015.00,64172553.00,50122199.00,59205579.00,55590381.00,56911793.00,63409292.00,95373113.00,69013334.00,85859061.00,66322307.00,776248874.00,63790387.00,77879350.00,67569397.00,54095245.00,44848274.00,53673719.00,58578380.00,55592847.00,85878381.00,90410170.00,73451100.00,77268936.00,803036186.00,54915548.00,52166586.00,112798450.00,72174644.00,60634679.00,78987476.00,66681853.00,62239766.00,99356374.00,67517630.00,100092801.00,126159536.00,953725343.00,65350740.00,102554080.00,170830448.00,124163862.00,130043034.00,113851350.00,81345967.00,70942051.00,96106114.00,90491721.00,85272475.00,99354692.00,1230306534.00,104490439.00,86206024.00,140273517.00,77875329.00,122215897.00,95490502.00,81330480.00,75828570.00,104177417.00,133584750.00,112235795.00,98385570.00,1232094290.00,95340385.00,95881703.00,98163496.00,89671334.00,87436064.00,99016021.00,91575840.00,85450571.00,115419855.00,100187913.00,99000664.00,106697991.00,1163841837.00
Finland,59235792.00,55639801.00,50655872.00,54221781.00,53590905.00,51574467.00,68375791.00,62891187.00,62173379.00,55196706.00,58582817.00,66471800.00,698610298.00,53300321.00,56520703.00,58413742.00,56754607.00,58217922.00,71606192.00,63140129.00,58548729.00,57394431.00,58332985.00,60907814.00,81497025.00,734634600.00,48764059.00,49481921.00,57338319.00,60869225.00,65979642.00,72600251.00,56842344.00,67421855.00,66251528.00,63032734.00,64935822.00,86511439.00,760029139.00,75807775.00,68452079.00,80316275.00,67170885.00,78592237.00,94647295.00,74840406.00,73195200.00,70465710.00,74031477.00,77917548.00,98639257.00,934076144.00,81068086.00,80530591.00,81346723.00,80784761.00,82844318.00,101712383.00,76163131.00,87593013.00,84299655.00,92595989.00,107837308.00,93347668.00,1050123626.00,93872711.00,88123735.00,89912926.00,89123308.00,107174502.00,86018086.00,92370495.00,88024168.00,92141668.00,88669754.00,96726307.00,99848826.00,1112006486.00,90701326.00,82583686.00,94697465.00,77369750.00,96019560.00,98328928.00,101404573.00,79184923.00,91125337.00,107982172.00,109983489.00,120813827.00,1150195036.00,102776613.00,113772670.00,137315000.00,109194360.00,113139964.00,106130814.00,116813813.00,103423684.00,113455389.00,109177394.00,134993384.00,138362832.00,1398555917.00,140006448.00,117565668.00,154291976.00,134521541.00,152924243.00,186513448.00,143443470.00,154048355.00,149160289.00,155844904.00,146523401.00,150420370.00,1785264113.00,128091184.00,142262207.00,142432540.00,120675610.00,153417466.00,126244792.00,118859756.00,131441915.00,122020828.00,139205394.00,131383466.00,118437161.00,1574472319.00,116611121.00,103052572.00,115645311.00,119871013.00,161089616.00,125091515.00,122895073.00,124727615.00,131035505.00,132566865.00,121246940.00,#VALUE!,#VALUE!
