TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,41243451.00,35859119.00,42340173.00,48687778.00,44023443.00,42994267.00,44295400.00,45245444.00,46507441.00,48072028.00,38097082.00,39261789.00,516627415.00,50275584.00,43256981.00,48420908.00,49348498.00,39728110.00,46732592.00,45597925.00,37773853.00,43625841.00,48347111.00,42610792.00,33137160.00,528855355.00,38481823.00,37414949.00,48443884.00,48768845.00,43796865.00,45473111.00,46134538.00,40018518.00,45192411.00,42934466.00,43291792.00,40848320.00,520799522.00,64446562.00,48033992.00,52722643.00,51761015.00,54309473.00,49704624.00,47309177.00,43013585.00,43739475.00,55419231.00,52796790.00,36505156.00,599761723.00,53137254.00,52087539.00,53075852.00,50457546.00,57207921.00,56714572.00,64220306.00,49360306.00,48875734.00,55883999.00,65579838.00,46911848.00,653512715.00,58249084.00,53737393.00,55241365.00,54919238.00,56135984.00,53658541.00,52025497.00,45055363.00,52349112.00,54131953.00,51444038.00,44771040.00,631718608.00,49877269.00,49385411.00,45154920.00,40976806.00,40512575.00,51847810.00,41883171.00,36993091.00,63097128.00,51141958.00,50519664.00,43761860.00,565151663.00,42655076.00,52342766.00,57839876.00,54964265.00,49304694.00,55306437.00,52303711.00,51123750.00,53074342.00,62288397.00,71241188.00,53847515.00,656292017.00,53825027.00,64917287.00,82239055.00,88573532.00,89892208.00,86842915.00,70433261.00,69974292.00,79945814.00,64700666.00,68644339.00,61703349.00,881691745.00,62718968.00,62318982.00,80545678.00,72249364.00,71024199.00,77193671.00,70795071.00,62444793.00,62314161.00,66469524.00,58963929.00,55802363.00,802840703.00,61082074.00,64462347.00,65319678.00,59511124.00,56641289.00,66355426.00,70647277.00,69419640.00,67738530.00,63405216.00,60891812.00,#VALUE!,#VALUE!
Belgium,628477777.00,665727167.00,718415860.00,680404665.00,659733710.00,648115040.00,688204771.00,585878709.00,682053583.00,700195906.00,683302487.00,734511316.00,8075020991.00,637247220.00,693189178.00,782515527.00,696970989.00,677590966.00,744298838.00,695595665.00,575856162.00,706918557.00,679332616.00,676104593.00,703286386.00,8268906697.00,592481272.00,649968555.00,719669029.00,689072745.00,666460074.00,734117940.00,615627355.00,539413756.00,678520064.00,697319732.00,736207637.00,684876460.00,8003734619.00,681512635.00,696849230.00,786346691.00,717720071.00,797383417.00,705615606.00,647539994.00,631174992.00,687662072.00,743335662.00,737133536.00,627973977.00,8460247883.00,711636682.00,718915163.00,831502060.00,767968252.00,775367996.00,736462493.00,715341700.00,600854880.00,633015388.00,767670460.00,698212261.00,655776678.00,8612724013.00,727753637.00,688246931.00,765258386.00,752918733.00,765134802.00,694005874.00,683126414.00,611618523.00,691708590.00,726724893.00,690897772.00,719170123.00,8516564678.00,703142081.00,670025779.00,625832175.00,401033902.00,489773227.00,655661981.00,657552521.00,529020350.00,656930259.00,688781774.00,632977590.00,676192333.00,7386923972.00,633803907.00,644412162.00,849229659.00,713859616.00,699621084.00,774221253.00,778823182.00,656174004.00,737165683.00,834700875.00,853240587.00,860931038.00,9036183050.00,832676578.00,835112459.00,1084079282.00,852158488.00,900275192.00,913610102.00,806070538.00,880852597.00,966088676.00,859958212.00,896310285.00,915364858.00,10742557267.00,864827487.00,836651657.00,933063997.00,774958203.00,794044294.00,851446634.00,735071682.00,722441520.00,749658371.00,842447808.00,784663579.00,740041413.00,9629316645.00,755212271.00,751142910.00,792397042.00,740837115.00,703270167.00,776219221.00,658076228.00,616628252.00,650141421.00,737403360.00,694038160.00,#VALUE!,#VALUE!
Bulgaria,5047963.00,5318253.00,7199559.00,4971646.00,6549253.00,7128842.00,5008259.00,6521611.00,7413886.00,10157196.00,6124742.00,7215844.00,78657055.00,8469206.00,7909170.00,7373335.00,7242333.00,3868201.00,5666317.00,6802274.00,7659338.00,7873039.00,10333128.00,6369555.00,5554986.00,85120882.00,11188223.00,5650424.00,6469757.00,7532825.00,7701665.00,7909983.00,7621807.00,7347817.00,6545846.00,10705651.00,6275847.00,8521188.00,93471033.00,8823813.00,9007789.00,10573792.00,10285660.00,10091474.00,7394921.00,9833324.00,9468227.00,6757518.00,8089234.00,4842976.00,6480266.00,101648991.00,7311682.00,5197392.00,6907726.00,5474757.00,4466725.00,6839121.00,4667207.00,4118081.00,3214405.00,5486991.00,4298588.00,3478122.00,61460798.00,6167820.00,3896135.00,3534180.00,6763727.00,3521966.00,3511021.00,4906651.00,3969799.00,5486246.00,5536489.00,4689329.00,4373938.00,56357301.00,4655987.00,5044195.00,4224951.00,3401790.00,3855120.00,4096823.00,4558973.00,3353393.00,5660781.00,5344843.00,5556041.00,4337167.00,54090066.00,7494275.00,7175042.00,7598614.00,8347475.00,5203257.00,5554959.00,5859927.00,5915223.00,8126564.00,13269427.00,15661441.00,21438680.00,111644884.00,3479333.00,4832426.00,6422677.00,5062623.00,5411636.00,5979465.00,4382983.00,5174296.00,4141184.00,3522720.00,3576298.00,3861374.00,55847014.00,3981813.00,5089822.00,5472065.00,3401802.00,4996592.00,3509905.00,4059835.00,3816503.00,3741984.00,5270879.00,3060243.00,3725970.00,50127412.00,4313029.00,5187428.00,4427912.00,3546098.00,4662203.00,4308138.00,4437398.00,3240555.00,6745001.00,3367956.00,3648737.00,#VALUE!,#VALUE!
Cyprus,193487.00,258845.00,236450.00,222052.00,260999.00,199291.00,859655.00,84628.00,100554.00,284483.00,163153.00,142507.00,3006104.00,61520.00,115025.00,225047.00,187107.00,117102.00,227461.00,174000.00,395212.00,494245.00,78065.00,236225.00,173217.00,2484226.00,205865.00,198982.00,1408879.00,684132.00,1027138.00,442374.00,12289317.00,650317.00,283364.00,2611983.00,1777455.00,1346140.00,22925946.00,237250.00,594782.00,342065.00,664974.00,112063.00,1374312.00,575832.00,263472.00,311709.00,520609.00,673521.00,1163460.00,6834049.00,588133.00,1705501.00,72487.00,211144.00,523604.00,172941.00,86449.00,528516.00,411944.00,611363.00,244620.00,393123.00,5549825.00,1333067.00,252643.00,189839.00,2713698.00,699237.00,268945.00,221014.00,361390.00,560580.00,110385.00,385999.00,221724.00,7318521.00,222386.00,623542.00,554215.00,164200.00,194804.00,89435.00,638154.00,743025.00,445048.00,442456.00,493159.00,386881.00,4997305.00,158864.00,267591.00,1330761.00,205708.00,7476377.00,601890.00,196658.00,278351.00,193540.00,176566.00,356501.00,323558.00,11566365.00,131368.00,216516.00,383800.00,1359029.00,323051.00,454630.00,345588.00,401204.00,393655.00,355344.00,523077.00,426048.00,5313310.00,255869.00,418454.00,1308209.00,376868.00,585920.00,634402.00,424495.00,272025.00,504926.00,401515.00,468980.00,783035.00,6434698.00,1006494.00,328370.00,812140.00,347288.00,547725.00,900269.00,252150.00,405568.00,1392602.00,461483.00,270964.00,#VALUE!,#VALUE!
Czechia,28045360.00,31154161.00,34596240.00,34907182.00,39387429.00,36227855.00,40817040.00,27528235.00,35367322.00,38957303.00,40940216.00,34187894.00,422116238.00,28116614.00,29250970.00,36281829.00,65633492.00,31247142.00,40528516.00,34294504.00,33865150.00,34275833.00,40491552.00,35156829.00,30744359.00,439886791.00,31268016.00,38654745.00,37687630.00,40914906.00,37593711.00,40715696.00,30375464.00,33177763.00,37876789.00,36489882.00,44007668.00,32263336.00,441025605.00,39857448.00,33608436.00,40525340.00,37757912.00,40767620.00,39491190.00,32493244.00,34029141.00,44237475.00,45183609.00,44404723.00,34231304.00,466587441.00,41660741.00,40245340.00,45426735.00,41022667.00,41037877.00,50770468.00,43446088.00,41112199.00,37963813.00,45737640.00,39352763.00,32228457.00,500004787.00,45695342.00,43798539.00,49742791.00,41215960.00,38267178.00,32444356.00,32109583.00,34953122.00,39987632.00,45267989.00,37930571.00,30528686.00,471941748.00,38482886.00,43346011.00,40104389.00,22862760.00,33199679.00,32998142.00,36466316.00,29910562.00,40642903.00,42780332.00,54450787.00,41826094.00,457070858.00,37039639.00,40660556.00,55671609.00,57573310.00,56276534.00,48771780.00,45579113.00,46829256.00,42618517.00,49783451.00,54950051.00,34900878.00,570654696.00,42442413.00,47898551.00,54433301.00,54207264.00,56334242.00,61461906.00,63864392.00,65972407.00,65888855.00,58582623.00,81030496.00,65864166.00,717980616.00,63601333.00,62755895.00,74538671.00,58827618.00,56035758.00,62377574.00,52564697.00,57960263.00,66785083.00,72588082.00,70693326.00,56092948.00,754821247.00,58200630.00,63165759.00,64351607.00,64824865.00,62324992.00,59280194.00,66348360.00,62121347.00,70552321.00,81512947.00,77684296.00,63404872.00,793772191.00
Germany,731336247.00,731950242.00,756046294.00,772535045.00,727534803.00,771322220.00,813848452.00,687040727.00,789641293.00,781337902.00,770916569.00,683679216.00,9017189010.00,696381035.00,716360584.00,817471313.00,805711860.00,795179493.00,826829830.00,853318252.00,690496897.00,800244981.00,830649548.00,841313215.00,682973497.00,9356930505.00,678633371.00,778669618.00,796396655.00,832656242.00,781831192.00,818805483.00,812826301.00,736002686.00,803819821.00,801511253.00,821770735.00,732657104.00,9395580461.00,793638970.00,799962105.00,869568204.00,836089871.00,840123150.00,898677623.00,862014755.00,780202162.00,833222598.00,835290821.00,879930220.00,748994334.00,9977714813.00,801728595.00,878580290.00,922045973.00,914823656.00,866637576.00,893808164.00,933099497.00,811488918.00,840458875.00,889078778.00,865104758.00,743812077.00,10360667157.00,890442088.00,831674128.00,902909286.00,933627559.00,856567540.00,824614121.00,845971897.00,763641524.00,820400025.00,880955771.00,819226901.00,726234365.00,10096265205.00,796748797.00,813289206.00,793429233.00,575683029.00,663419736.00,765342680.00,827096738.00,786972493.00,789113033.00,810837799.00,901414481.00,731240156.00,9254587381.00,763284147.00,830329521.00,1001120715.00,875504507.00,902767389.00,926323811.00,931190476.00,847304656.00,916810690.00,988539601.00,995451179.00,990965410.00,10969592102.00,981985896.00,1043666548.00,1243782366.00,1128937490.00,1119748403.00,1135841602.00,1100178086.00,1080291255.00,1182948442.00,1032244409.00,1053517836.00,978924510.00,13082066843.00,981939325.00,976603239.00,1108873321.00,930745679.00,951550986.00,950773547.00,1034574035.00,874128821.00,882679067.00,902859556.00,942987339.00,821888633.00,11359603548.00,914795244.00,1003712830.00,970039026.00,1014054588.00,888807098.00,880745847.00,911409201.00,852789919.00,889704895.00,964037883.00,937396021.00,#VALUE!,#VALUE!
Denmark,13811757.00,17277579.00,16770740.00,16235981.00,14878575.00,14240686.00,17085730.00,15468061.00,15778694.00,18111479.00,14788500.00,17225797.00,191673578.00,17225585.00,21710987.00,24449600.00,17689163.00,17780038.00,20686635.00,18783421.00,19033123.00,16731484.00,20919741.00,18791055.00,16348211.00,230149043.00,18225794.00,28104142.00,22188405.00,21262642.00,17608700.00,16433744.00,12406356.00,16163378.00,17082084.00,26548690.00,20260905.00,16658733.00,232943572.00,17860376.00,14916534.00,21721673.00,23351253.00,16424586.00,17672152.00,15446745.00,18602411.00,19276839.00,13317860.00,14744229.00,12316780.00,205651437.00,12901430.00,17264519.00,21327148.00,20767987.00,21200526.00,14477375.00,16806722.00,19077205.00,20108790.00,22611703.00,35105824.00,20471064.00,242120293.00,21578099.00,16782672.00,24083123.00,20611161.00,21957444.00,32828328.00,16867037.00,20006771.00,30773286.00,23209356.00,21117473.00,14836915.00,264651665.00,18677014.00,20155499.00,19219329.00,14285629.00,23160142.00,18978759.00,27001570.00,19477575.00,15848078.00,20344717.00,21603141.00,30519613.00,249271064.00,15617261.00,21082553.00,20460806.00,20593797.00,20818449.00,26288369.00,18130279.00,20644506.00,19022415.00,20033589.00,26377879.00,23372533.00,252442438.00,24298230.00,24988179.00,30996503.00,32500546.00,29255723.00,33925050.00,27506805.00,30940520.00,39490658.00,38321328.00,33897228.00,31816929.00,377937700.00,30743568.00,25319632.00,36076422.00,24743462.00,26114841.00,27477421.00,20064003.00,22368497.00,26627684.00,26680159.00,27725649.00,20031932.00,313973271.00,23173822.00,24790255.00,22098745.00,59190842.00,40906385.00,26962258.00,26115896.00,28075030.00,26116945.00,35337269.00,25781079.00,#VALUE!,#VALUE!
Estonia,1497555.00,1201032.00,1400143.00,1285535.00,1351255.00,1540563.00,1304524.00,1288998.00,6472209.00,1346005.00,853837.00,742828.00,20284484.00,1127770.00,902436.00,801327.00,1186340.00,820145.00,1534463.00,1256622.00,1284938.00,1276009.00,858700.00,1097907.00,474659.00,12621316.00,867275.00,972226.00,846971.00,1068467.00,1127274.00,1008200.00,925354.00,992509.00,1068642.00,841597.00,650686.00,567663.00,10936864.00,1313162.00,1305989.00,1094910.00,723202.00,900670.00,1118063.00,1432075.00,1947859.00,954758.00,787666.00,864232.00,720643.00,13163229.00,1434796.00,840957.00,1210582.00,1224123.00,1590824.00,1234514.00,990019.00,1766278.00,872920.00,2022947.00,1387193.00,943440.00,15518593.00,1299950.00,1610307.00,1834523.00,1345113.00,1590889.00,1029087.00,1691208.00,824556.00,1027278.00,948870.00,800598.00,890971.00,14893350.00,1208201.00,766404.00,1024244.00,1296710.00,927131.00,1159320.00,773592.00,796071.00,1189690.00,894647.00,911819.00,490687.00,11438516.00,698704.00,1380547.00,913703.00,1153399.00,1903222.00,1061946.00,1837001.00,1273034.00,901209.00,1089179.00,1168976.00,1914399.00,15295319.00,1978702.00,2136912.00,1835342.00,2920213.00,2495335.00,2352871.00,2068571.00,3376315.00,1669402.00,2563685.00,2054396.00,2330394.00,27782138.00,2938418.00,1716194.00,5238480.00,2315734.00,1511447.00,2668935.00,3677176.00,1091942.00,1138131.00,1468924.00,1273715.00,2127106.00,27166202.00,695702.00,2134372.00,1324397.00,1783844.00,1739430.00,1490816.00,1668564.00,1400392.00,1461514.00,1734329.00,3345467.00,722236.00,19501063.00
Spain,62939738.00,63455499.00,67247307.00,63984516.00,66454973.00,76047795.00,73403275.00,57851755.00,71842154.00,85744729.00,81188459.00,67823517.00,837983717.00,68893854.00,83946853.00,73318347.00,74216111.00,73375940.00,89173181.00,103308147.00,57498368.00,74184758.00,78159165.00,73165721.00,86784562.00,936025007.00,76586667.00,77034038.00,113810982.00,79649641.00,60807398.00,68882374.00,70872543.00,65174702.00,69955418.00,56923473.00,67703712.00,71448903.00,878849851.00,57698343.00,70037886.00,91154368.00,69652467.00,75579686.00,82540054.00,74637298.00,44154882.00,94839332.00,70459271.00,69254372.00,71742574.00,871750533.00,64544442.00,71116955.00,79135409.00,68972783.00,74401299.00,77079333.00,74446506.00,47234177.00,60187418.00,70162118.00,63674434.00,65438773.00,816393647.00,69997110.00,76849650.00,83568155.00,82575314.00,79926683.00,79558367.00,74242034.00,47651468.00,75022651.00,77805325.00,104082389.00,74308905.00,925588051.00,55195697.00,57378902.00,73703607.00,35897238.00,49338748.00,80890138.00,67060427.00,51279031.00,88534692.00,203744036.00,80760349.00,78104549.00,921887414.00,69162529.00,100677569.00,92510919.00,70996409.00,66034532.00,87510601.00,76724550.00,54738349.00,95773325.00,81699231.00,83756744.00,96425734.00,976010492.00,77851186.00,80840755.00,98858183.00,87700366.00,108074439.00,106514193.00,85471374.00,76701170.00,101557336.00,91491016.00,90870749.00,90617949.00,1096548716.00,95056398.00,97253124.00,111542418.00,88192542.00,101709996.00,117354536.00,103229304.00,71268920.00,101063108.00,98307459.00,112897069.00,127977992.00,1225852866.00,103682633.00,90847009.00,111869476.00,97957632.00,97308755.00,122926921.00,98581636.00,69999908.00,103217428.00,96270901.00,84651321.00,119052157.00,1196365777.00
Finland,6653924.00,6949739.00,7522551.00,9265701.00,9441176.00,7771009.00,6430117.00,7009285.00,7773260.00,8257113.00,7007879.00,9588491.00,93670245.00,26347858.00,6913503.00,10049030.00,8265976.00,6655394.00,9633114.00,8940396.00,6899991.00,9104356.00,8422535.00,8013066.00,8481824.00,117727043.00,7013519.00,6337873.00,10080415.00,8085147.00,8432189.00,8260124.00,7008278.00,8404075.00,9496848.00,9668136.00,10761487.00,7393586.00,100941677.00,9730851.00,10558039.00,10566442.00,8562796.00,9717833.00,8162188.00,10323309.00,10236601.00,8825797.00,11694503.00,9379136.00,8331224.00,116088719.00,7469830.00,8217142.00,12106572.00,7762142.00,11090712.00,10193587.00,7793228.00,8472046.00,8658425.00,8558517.00,10052025.00,7565870.00,107940096.00,11734861.00,11819410.00,11127100.00,12882141.00,10776982.00,10360787.00,10245766.00,10280156.00,9214732.00,13003132.00,8729859.00,6902598.00,127077524.00,9095414.00,8344543.00,9915301.00,8621856.00,10538129.00,10424191.00,9709340.00,8621390.00,10246378.00,9502466.00,11330591.00,10438192.00,116787791.00,8083893.00,9675888.00,14419661.00,12234728.00,11525680.00,16957066.00,11254995.00,11739884.00,13793325.00,17070058.00,17299605.00,20361984.00,164416767.00,16939339.00,18570321.00,18037558.00,15799902.00,20217131.00,19106480.00,17371862.00,21918295.00,19653759.00,17320248.00,15891222.00,15890423.00,216716540.00,21097924.00,16502959.00,20648577.00,15611872.00,19717443.00,19076022.00,13655639.00,27046850.00,18714225.00,17350164.00,16152948.00,12945582.00,218520205.00,12750608.00,12789764.00,10418926.00,14012125.00,15929590.00,11488088.00,14801231.00,14261226.00,10911890.00,14764102.00,13719591.00,#VALUE!,#VALUE!
