TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,3739793.00,3980761.00,4019554.00,4925823.00,5318703.00,4561569.00,4709851.00,2687433.00,4903659.00,10805454.00,4997103.00,4426375.00,59076078.00,4599124.00,3329959.00,3773348.00,3899643.00,4809337.00,6082112.00,4142341.00,4085666.00,5203967.00,5193530.00,6720953.00,6024510.00,57864490.00,3328490.00,5249533.00,4720928.00,5343760.00,3916660.00,6456256.00,4755239.00,2929408.00,4560464.00,5082642.00,5550323.00,3688445.00,55582148.00,10819625.00,4584964.00,4593995.00,6380589.00,4896338.00,4257232.00,5924220.00,4109375.00,4331923.00,10422458.00,3395995.00,3318330.00,67035044.00,4829142.00,4669688.00,4402595.00,4751107.00,4314915.00,3971066.00,4524143.00,4332648.00,3881582.00,10026196.00,5663952.00,5071347.00,60438381.00,20129787.00,6752019.00,17675730.00,11226505.00,4462505.00,5729757.00,6066912.00,4027634.00,7940235.00,7226663.00,3215569.00,3728016.00,98181332.00,3197073.00,3691515.00,4786393.00,2036284.00,4286488.00,3417521.00,2709040.00,2867412.00,5205758.00,6310869.00,3758683.00,4338864.00,46605900.00,3370063.00,5559375.00,6008175.00,3736791.00,3275754.00,4047117.00,5944926.00,8619009.00,6048092.00,5436618.00,9571637.00,5373702.00,66991259.00,5734412.00,6485379.00,6181030.00,8100609.00,10113582.00,8673486.00,10845178.00,6939003.00,6547303.00,8749493.00,8131205.00,10549977.00,97050657.00,6501576.00,4582615.00,8672888.00,6004796.00,6812531.00,6360250.00,5292536.00,6085078.00,6094873.00,7438554.00,16064205.00,3593486.00,83503388.00,4597454.00,5940946.00,5124188.00,5479584.00,4956231.00,4001260.00,5090895.00,3172189.00,3715055.00,4487812.00,3029365.00,#VALUE!,#VALUE!
Belgium,10054817.00,10471205.00,13721420.00,17872176.00,25397018.00,9078205.00,14436406.00,8863563.00,11933123.00,12700553.00,10551785.00,14072589.00,159152860.00,10443604.00,13300326.00,14468035.00,13547794.00,14319145.00,11511365.00,13026785.00,11399266.00,20046970.00,13244562.00,22727854.00,21408889.00,179444595.00,15280561.00,15500046.00,15339902.00,17871151.00,18727838.00,11044815.00,15808110.00,12198151.00,20532854.00,13972525.00,18336022.00,20587940.00,195199915.00,14126855.00,18253069.00,18218113.00,11392358.00,14382672.00,15515248.00,12674108.00,20709608.00,12785183.00,38216440.00,21396293.00,57163982.00,254833929.00,21666793.00,15148228.00,18223679.00,15826186.00,14573693.00,15016708.00,33004446.00,12049995.00,12379568.00,45726756.00,19705180.00,11215319.00,234536551.00,15312093.00,14605170.00,11289922.00,11875304.00,15602391.00,16834164.00,25785651.00,15772623.00,15560237.00,16230848.00,20933859.00,10205553.00,190007815.00,18894803.00,16112336.00,20691646.00,12173161.00,21725321.00,11404827.00,12592637.00,11408218.00,16468803.00,19463708.00,12115402.00,10509843.00,183560705.00,12532162.00,27132786.00,17749854.00,18319055.00,17119265.00,22966938.00,16688854.00,46022855.00,18490895.00,32332108.00,16168396.00,18892368.00,264415536.00,18820530.00,16721577.00,17685373.00,18361873.00,40213806.00,15667614.00,14461456.00,14933288.00,17230241.00,15863152.00,17544718.00,17185195.00,224688823.00,40001726.00,13576719.00,34173960.00,15622947.00,13928073.00,27595656.00,18766621.00,14787118.00,14905469.00,18844808.00,16620432.00,12577012.00,241400541.00,22539399.00,29187536.00,32490387.00,34120114.00,31293332.00,25252408.00,24343731.00,16373233.00,24572131.00,33052255.00,22977097.00,#VALUE!,#VALUE!
Bulgaria,3604166.00,51682409.00,2675397.00,3325730.00,3505763.00,4904042.00,20250752.00,1651170.00,3736393.00,5400163.00,3529780.00,4423748.00,108689514.00,9771926.00,4083503.00,7813892.00,4366931.00,4193509.00,3741512.00,4111018.00,4319822.00,4058802.00,3515473.00,5774470.00,5961334.00,61712192.00,4827923.00,5345574.00,4964371.00,11504404.00,3335928.00,6378828.00,4389424.00,2695794.00,3524701.00,1935883.00,3426288.00,2222629.00,54551748.00,5279419.00,1682206.00,3100806.00,1636399.00,2564294.00,2637187.00,1190962.00,1595988.00,2517069.00,30017419.00,2638229.00,2061084.00,56921061.00,35296778.00,3018430.00,2568518.00,4108926.00,2193137.00,2821225.00,2535950.00,2171357.00,39951666.00,39625668.00,2957349.00,1894201.00,139143205.00,4571190.00,2817775.00,3377114.00,3767565.00,3430490.00,2452687.00,3858982.00,2957931.00,3507962.00,5601810.00,6862725.00,4271413.00,47477643.00,5424770.00,4440351.00,4094326.00,3784458.00,2973299.00,2158343.00,5173507.00,4386576.00,11128440.00,5561974.00,3069920.00,2396804.00,54592769.00,2349327.00,3194274.00,3121180.00,2662953.00,2043760.00,4693523.00,2416335.00,3558927.00,2903903.00,3520025.00,4529133.00,7980272.00,42973612.00,2342940.00,2244263.00,3930484.00,3302549.00,3165767.00,3695521.00,3261632.00,4318966.00,2248171.00,3161816.00,2731078.00,1832082.00,36235268.00,4186770.00,2358669.00,3649435.00,2136417.00,2843827.00,3580289.00,3605899.00,2170454.00,3077393.00,2409593.00,1675423.00,1605722.00,33299891.00,3103086.00,2570501.00,2510482.00,2532250.00,2881789.00,1861322.00,2408865.00,1766819.00,1596012.00,2067826.00,2296509.00,#VALUE!,#VALUE!
Cyprus,463462.00,465141.00,855136.00,13849972.00,778841.00,6699237.00,955601.00,2115178.00,821854.00,25696265.00,657030.00,556650.00,53914367.00,526306.00,3455748.00,887593.00,6086504.00,22462209.00,8983545.00,42366404.00,2253608.00,773667.00,838006.00,5612826.00,45673829.00,139920245.00,9519695.00,14125490.00,5875187.00,1208928.00,1276426.00,4020971.00,622935.00,705649.00,892606.00,10001790.00,6521716.00,2119194.00,56890587.00,1005120.00,2774711.00,8935922.00,15923293.00,41755558.00,11489794.00,8123022.00,744009.00,1394490.00,1164723.00,1243414.00,1134119.00,95688175.00,982791.00,1076038.00,1193020.00,6928301.00,9607890.00,1019399.00,2163922.00,969295.00,933310.00,1196419.00,1141726.00,1158019.00,28370130.00,1390801.00,16068293.00,14216278.00,1121637.00,8348465.00,12294936.00,13274443.00,831033.00,973989.00,719193.00,1411013.00,2690704.00,73340785.00,1430673.00,12097472.00,667011.00,952090.00,1788952.00,3310145.00,1637588.00,1999045.00,2329113.00,1581924.00,1646523.00,3357074.00,32797610.00,783348.00,994191.00,2486238.00,1842886.00,1494272.00,24611298.00,43978922.00,8236676.00,25304327.00,1436689.00,4560479.00,11385111.00,127114437.00,31311266.00,1028855.00,1380030.00,1037696.00,17184110.00,1058885.00,804236.00,46675189.00,1457631.00,779083.00,1879763.00,14135676.00,118732420.00,970453.00,5097728.00,1942189.00,2424742.00,3454486.00,26696452.00,16945553.00,966406.00,1835996.00,1133902.00,1838188.00,1188271.00,64494366.00,918326.00,1503610.00,1331149.00,2114297.00,1693802.00,24292000.00,2263420.00,1499571.00,17821920.00,879091.00,1554836.00,#VALUE!,#VALUE!
Czechia,7488759.00,6782131.00,7229106.00,6990827.00,4967625.00,6448859.00,6262744.00,5253799.00,5578303.00,6290727.00,6667583.00,6569898.00,76530361.00,7345855.00,7964757.00,9051098.00,6993740.00,12927129.00,11453096.00,7403950.00,7445871.00,7799515.00,8725277.00,8442022.00,6333954.00,101886264.00,9968088.00,7822141.00,9117395.00,8914267.00,7599706.00,4132328.00,4530985.00,5600640.00,3651624.00,3856648.00,3932338.00,3783726.00,72909887.00,4342935.00,4551381.00,5451875.00,4851247.00,7024490.00,5562473.00,5100539.00,5846922.00,4175533.00,6721017.00,5354398.00,3088758.00,62071569.00,5766381.00,4717780.00,5366693.00,5400506.00,5960009.00,5901520.00,6212442.00,7406715.00,5781484.00,4979022.00,5355610.00,3481078.00,66329242.00,5445381.00,6224495.00,4843247.00,5266339.00,4957242.00,4557487.00,8072738.00,6159293.00,7246532.00,5136354.00,4694141.00,5544549.00,68147799.00,6567534.00,7046589.00,6293831.00,4178373.00,6463118.00,5835070.00,4089061.00,3604834.00,4563658.00,5546925.00,8167322.00,3062514.00,65418830.00,5475262.00,12270899.00,19136288.00,15770023.00,7950451.00,10749772.00,9790100.00,14511098.00,6535269.00,13719136.00,5917320.00,8075822.00,129901437.00,12746899.00,6616515.00,14917031.00,10215442.00,8338427.00,10792716.00,12009120.00,14581713.00,15874444.00,14136027.00,17214637.00,14520555.00,151963527.00,8403205.00,10270760.00,19920794.00,4911447.00,17073701.00,11996845.00,6116549.00,16447667.00,7012435.00,26731461.00,10428145.00,5096626.00,144409636.00,14638042.00,6360744.00,16539458.00,14338630.00,19548492.00,14657502.00,18976783.00,7909026.00,13549196.00,7521750.00,6202395.00,5613520.00,145855538.00
Germany,69319087.00,71626250.00,76935312.00,71815290.00,68166827.00,99052323.00,70592264.00,76289621.00,62525846.00,124994950.00,75552543.00,64927890.00,931798203.00,76325416.00,70687944.00,91559691.00,76415538.00,74825445.00,84691115.00,73372600.00,65803851.00,102611177.00,100514710.00,86458410.00,134851575.00,1038117472.00,99649860.00,109325879.00,118831486.00,74287713.00,86732199.00,85707947.00,79031825.00,73805413.00,82231648.00,90021307.00,80062538.00,73568630.00,1053256445.00,87625364.00,67846129.00,85801770.00,99074493.00,94832497.00,106408006.00,80175408.00,84753335.00,78429558.00,103128315.00,82377892.00,78752214.00,1049204981.00,109020354.00,81639452.00,112427192.00,101653459.00,101039485.00,93542046.00,86947195.00,76758433.00,104412672.00,121416050.00,99059582.00,68840751.00,1156756671.00,119864277.00,93760345.00,155148315.00,103263548.00,101928475.00,93848546.00,202516547.00,79871980.00,158691471.00,125992409.00,93726868.00,76162348.00,1404775129.00,90313035.00,100716534.00,103538969.00,68604222.00,61945383.00,73561351.00,69065475.00,68661220.00,72126914.00,80887817.00,82186896.00,70876445.00,942484261.00,74338272.00,76276737.00,85817193.00,93662769.00,85435803.00,156890016.00,154698099.00,72320027.00,76859544.00,87467384.00,84090256.00,71743603.00,1119599703.00,73709240.00,74456546.00,108787283.00,76976846.00,102514203.00,870832758.00,123314132.00,100773712.00,130322081.00,250474002.00,167565440.00,105357012.00,2185083255.00,188936168.00,129745095.00,160731877.00,122549917.00,153163841.00,160248707.00,157208523.00,343215134.00,201497838.00,134142182.00,147113534.00,133210912.00,2031763728.00,171582866.00,160519945.00,191662885.00,208383124.00,155058226.00,134048009.00,160865396.00,115851607.00,135839867.00,108962560.00,99946680.00,#VALUE!,#VALUE!
Denmark,2147145.00,6369182.00,2733476.00,16156527.00,2718687.00,5049491.00,6100113.00,5967358.00,3485931.00,3665287.00,5961241.00,4516461.00,64870898.00,14846765.00,4026783.00,24884556.00,3447687.00,2908640.00,2982105.00,2838748.00,3496223.00,3909770.00,4882130.00,4601876.00,4930784.00,77756065.00,3497218.00,4674005.00,8430302.00,6887134.00,6185839.00,6963017.00,8034192.00,20968009.00,8554057.00,6876395.00,6249324.00,5992699.00,93312190.00,21054380.00,2977167.00,6378455.00,6164016.00,5468187.00,4431661.00,4097071.00,4213449.00,5573210.00,9733902.00,5076211.00,3924167.00,79091876.00,4272916.00,4006504.00,3451996.00,7013129.00,4639619.00,3310979.00,2982491.00,2905660.00,4012147.00,5262496.00,7933683.00,3164873.00,52956492.00,5909359.00,4928386.00,5708847.00,14044182.00,7061246.00,5089910.00,4195654.00,7370668.00,6905287.00,16476781.00,7882207.00,12189619.00,97762147.00,4716016.00,5863164.00,4688903.00,4475453.00,3191480.00,3601281.00,4613825.00,5209054.00,5255277.00,4038116.00,6283103.00,4527857.00,56463529.00,12772885.00,5646711.00,4885943.00,4738277.00,6632570.00,5746258.00,5481285.00,4722308.00,5941573.00,4896920.00,5699696.00,4514862.00,71679286.00,9564394.00,4554686.00,5984692.00,5834858.00,8545052.00,6797292.00,6517450.00,5915683.00,9669374.00,7092418.00,5601297.00,6747494.00,82824692.00,6561046.00,4700126.00,9685786.00,27272869.00,29458173.00,7443469.00,7143924.00,8323462.00,5804242.00,6489189.00,8847741.00,4629077.00,126359103.00,5458092.00,7862271.00,7890199.00,9805244.00,5321314.00,47252522.00,6820159.00,5390403.00,5659420.00,7308247.00,5969836.00,#VALUE!,#VALUE!
Estonia,224600.00,271766.00,249789.00,212683.00,225171.00,9592303.00,373597.00,707600.00,347828.00,278063.00,374557.00,952748.00,13810705.00,132193.00,449278.00,183919.00,186847.00,199722.00,720552.00,173681.00,92927.00,801024.00,202184.00,383173.00,303787.00,3829287.00,192312.00,297502.00,126972.00,224828.00,230591.00,4653988.00,380128.00,7406338.00,431189.00,208469.00,366043.00,642269.00,15160629.00,305851.00,220069.00,418944.00,393931.00,344459.00,177778.00,304600.00,305728.00,396447.00,297228.00,384986.00,392200.00,3942221.00,344156.00,190629.00,464777.00,193108.00,316456.00,7855007.00,1067879.00,1132103.00,1427291.00,1533755.00,1263259.00,1293447.00,17081867.00,1301069.00,962788.00,1133312.00,1119524.00,1507247.00,914396.00,300667.00,11428963.00,2485747.00,511351.00,464032.00,407976.00,22537072.00,436964.00,643195.00,1476259.00,3386818.00,688864.00,1175537.00,1005369.00,406379.00,732913.00,722403.00,1509311.00,742080.00,12926092.00,727669.00,674274.00,703708.00,16367988.00,521018.00,1006619.00,1018583.00,691513.00,494311.00,634029.00,745994.00,838098.00,24423804.00,339656.00,1334392.00,611430.00,326759.00,558643.00,672975.00,301540.00,1432991.00,733333.00,733892.00,1022237.00,593898.00,8661746.00,997231.00,477042.00,425776.00,420624.00,1010788.00,804681.00,624841.00,1260313.00,1077135.00,1045739.00,771258.00,986039.00,9901467.00,734692.00,3368542.00,614169.00,2998373.00,910600.00,1767196.00,669752.00,1846550.00,671786.00,794474.00,573708.00,589033.00,15538875.00
Spain,14799408.00,15906582.00,17808630.00,16922300.00,37465292.00,20491216.00,41147791.00,11386817.00,17568033.00,21054637.00,68521520.00,24681730.00,307753956.00,22855748.00,19009355.00,24086507.00,48033424.00,37101074.00,62419251.00,36166247.00,26441290.00,33271069.00,30703808.00,61054217.00,30312291.00,431454281.00,23309865.00,24175988.00,21192194.00,21798496.00,34058441.00,68408881.00,53514512.00,32942595.00,29393443.00,35484437.00,46433218.00,51254138.00,441966208.00,35368785.00,28491034.00,36976636.00,44169448.00,35507552.00,30606141.00,48346916.00,47614450.00,55181623.00,36164035.00,45160736.00,48280113.00,491867469.00,69754857.00,55218944.00,49910233.00,24606187.00,61164030.00,55391005.00,65023051.00,43433546.00,28589538.00,43427995.00,24589612.00,20412470.00,541521468.00,32657343.00,24249233.00,41303309.00,38021674.00,50510315.00,61033623.00,39974070.00,38210502.00,44055078.00,69839273.00,75698085.00,36183986.00,551736491.00,59619647.00,48350283.00,40817836.00,19984449.00,41468189.00,29026435.00,24831192.00,27515566.00,66198541.00,42269858.00,59855498.00,53759386.00,513696880.00,25977238.00,24643245.00,42245067.00,40655457.00,28230790.00,39250600.00,29878409.00,26273426.00,46459935.00,66985111.00,44638932.00,33296855.00,448535065.00,63596122.00,74517550.00,31472219.00,30226654.00,34385214.00,93439084.00,37079496.00,59765310.00,69629134.00,34227267.00,112793035.00,35509936.00,676641021.00,46509729.00,58169736.00,79403108.00,42702653.00,63514247.00,62520740.00,133658175.00,168403308.00,88927065.00,60331831.00,75550248.00,101368496.00,981059336.00,140194897.00,102539373.00,128460016.00,121078180.00,71841800.00,83935118.00,44811953.00,56078613.00,83166367.00,98845028.00,115721759.00,103802068.00,1150475172.00
Finland,600738.00,564092.00,360741.00,457461.00,417278.00,668026.00,400807.00,11054132.00,303386.00,511550.00,397509.00,17619609.00,33355329.00,368224.00,804911.00,650897.00,458977.00,466912.00,1514252.00,409098.00,383065.00,282290.00,18816274.00,545621.00,489298.00,25189819.00,306173.00,775938.00,760512.00,874675.00,32017935.00,755175.00,6790873.00,1299136.00,597383.00,5179813.00,1866508.00,551460.00,51775581.00,1001674.00,315693.00,671118.00,647106.00,550420.00,11926338.00,61911676.00,6048968.00,996246.00,830621.00,640668.00,2369443.00,87909971.00,1145108.00,1039509.00,1773585.00,1013893.00,1334462.00,5137115.00,1543654.00,1513119.00,1711261.00,2421197.00,1312666.00,6536505.00,26482074.00,1201948.00,7652977.00,6268437.00,3311310.00,4153572.00,1749086.00,1341264.00,1552151.00,1541324.00,2481701.00,1307110.00,1400374.00,33961254.00,1705700.00,2065384.00,1525523.00,2010987.00,1281563.00,6511100.00,1816912.00,1807920.00,1516205.00,2978936.00,1957401.00,2216134.00,27393765.00,2165116.00,2119294.00,2293529.00,1788944.00,1927313.00,1766873.00,1304638.00,1802295.00,24646631.00,1671846.00,2418856.00,3889390.00,47794725.00,4225731.00,2294903.00,2114501.00,2236350.00,2726624.00,2819638.00,2206828.00,3944725.00,3543069.00,4160630.00,3536102.00,3420688.00,37229789.00,2972949.00,929421.00,1532684.00,2331939.00,2522670.00,2061552.00,4366539.00,2155363.00,4029624.00,1662298.00,1751940.00,968012.00,27284991.00,1108893.00,2512756.00,842576.00,2416243.00,2622992.00,8289830.00,1408085.00,42448785.00,3384352.00,2778190.00,2156250.00,#VALUE!,#VALUE!
