TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,645324484.00,653819593.00,723937870.00,682352764.00,634182910.00,594432587.00,620966714.00,586504318.00,690340774.00,689013018.00,652399113.00,600266633.00,7773540778.00,616591783.00,658299658.00,733213281.00,658161010.00,633622838.00,689948387.00,645606727.00,560217255.00,692321190.00,672012096.00,684065632.00,611368543.00,7855428400.00,580540242.00,671172344.00,751419997.00,659748611.00,648794055.00,692730773.00,662530142.00,619899490.00,766763035.00,663613980.00,773929295.00,670426622.00,8161568586.00,709482594.00,740451472.00,870799269.00,731094296.00,802545616.00,766566020.00,723176273.00,700074005.00,793873176.00,844966090.00,852723975.00,715188527.00,9250941313.00,805635218.00,770851937.00,936388209.00,804399968.00,818415126.00,879555676.00,818078791.00,808548860.00,822257002.00,973896139.00,1046195070.00,791725915.00,10275947911.00,877854981.00,842685168.00,875126582.00,860385760.00,903799208.00,779038049.00,842543456.00,783604831.00,871946953.00,952652549.00,874747774.00,785749062.00,10250134373.00,855518688.00,868665426.00,846137575.00,686120599.00,689170487.00,764282240.00,772234070.00,700762341.00,879998019.00,865718228.00,930625449.00,826991555.00,9686224677.00,796281057.00,858158496.00,1062013089.00,916248596.00,895524785.00,998398523.00,943732270.00,877531922.00,1064799757.00,1058908290.00,1111270994.00,1023509927.00,11606377706.00,1202992930.00,1135295080.00,1358393824.00,1165126926.00,1381978781.00,1352337305.00,1146688517.00,1202116280.00,1296560626.00,1267182742.00,1380304954.00,1200704553.00,15089682518.00,1317398575.00,1247162770.00,1414143539.00,1168045412.00,1227320098.00,1206895704.00,1056102860.00,1122061775.00,1147800590.00,1212544169.00,1265310829.00,1003278282.00,14388064603.00,1139949276.00,1169896716.00,1160919679.00,1146084524.00,1090485919.00,1144816001.00,1206387413.00,1067733211.00,1206564031.00,1258650371.00,1190245154.00,#VALUE!,#VALUE!
Belgium,9525863884.00,8919632107.00,9670371875.00,9574535818.00,9054719482.00,9169662401.00,8855553293.00,8627062664.00,9624860158.00,9722216689.00,8655982618.00,8780911910.00,110181372899.00,7767832444.00,7916445695.00,8673092093.00,8212267075.00,8107183783.00,8899940588.00,8305362038.00,7535135289.00,8010073959.00,8126187930.00,7810570467.00,8222788479.00,97586879840.00,7320028145.00,7153838623.00,7919643611.00,7615089743.00,7744899292.00,8323216285.00,7535159531.00,9819916590.00,8020572655.00,8403888112.00,8559033661.00,9058624854.00,97473911102.00,9030076548.00,8539670290.00,9767623680.00,8543807749.00,8991715461.00,8712730935.00,8242453271.00,8746936632.00,9078484258.00,9264793645.00,9938496068.00,9714262412.00,108571050949.00,9959408596.00,9056078981.00,9783509736.00,8696812355.00,9710344885.00,10079283929.00,9679805431.00,9711948503.00,10130477835.00,11102685883.00,10460466557.00,9592493204.00,117963315895.00,9514277403.00,9191782893.00,10063952323.00,9899201443.00,9952665331.00,9331597044.00,9161068833.00,8698457091.00,9458423787.00,9871678637.00,9547343974.00,9683015935.00,114373464694.00,9735013640.00,9097986040.00,8689958142.00,6912983841.00,7122052061.00,8208011257.00,8049023111.00,7911158151.00,8851032326.00,8589216242.00,9013228631.00,9601577325.00,101781240767.00,9547194068.00,9328359204.00,11460280483.00,10336548797.00,10942358738.00,11423253801.00,11309017253.00,11288677182.00,12707898955.00,13541399589.00,13967199229.00,14774615006.00,140626802305.00,13239975151.00,13403585701.00,16875608898.00,14946613069.00,16599467047.00,17451141239.00,16584292338.00,17783215091.00,17325028642.00,15993768066.00,15605333371.00,15738144471.00,191546173084.00,14350515476.00,13740529658.00,15016283635.00,13522256754.00,14035659835.00,14027268131.00,12709510580.00,13342692585.00,13790474048.00,14004714012.00,13733154164.00,12849789718.00,165122848596.00,13558153236.00,12843421639.00,14047713887.00,14544738610.00,14077260713.00,13699264008.00,13231907726.00,12440700816.00,12833731524.00,14180058470.00,13608789955.00,#VALUE!,#VALUE!
Bulgaria,98072560.00,89180671.00,92722170.00,96550234.00,94807804.00,100654758.00,101960469.00,97545269.00,118799067.00,107340428.00,105414601.00,111465281.00,1214513315.00,106125884.00,101602878.00,120100057.00,134089224.00,106552310.00,120032889.00,110840987.00,110027967.00,113978802.00,141747414.00,133085684.00,125470698.00,1423654795.00,110339276.00,119839554.00,134567051.00,126461499.00,112786896.00,127894672.00,137974342.00,129853237.00,126855303.00,168580223.00,166888697.00,131355159.00,1593395908.00,147993352.00,135840640.00,151961851.00,124946296.00,134258202.00,134075953.00,138385288.00,143137780.00,138005510.00,188586088.00,184877534.00,150808848.00,1772877343.00,173719000.00,138116885.00,155015029.00,147492736.00,157086212.00,145433039.00,182295785.00,178981708.00,161397480.00,192339566.00,203403848.00,156273242.00,1991554532.00,154272953.00,157943094.00,145141588.00,170390045.00,174490953.00,137925458.00,182766446.00,127156479.00,157142455.00,237590799.00,187932536.00,130227258.00,1962980063.00,187425746.00,155402007.00,155922882.00,137738306.00,138859008.00,163416262.00,176006892.00,159947281.00,202560124.00,163960395.00,170207272.00,143125624.00,1954571800.00,160414657.00,186062882.00,201184360.00,182231890.00,173983974.00,245037796.00,263139247.00,157503403.00,203086660.00,229396056.00,248150377.00,283686054.00,2533877355.00,307921649.00,217675220.00,259394854.00,291360791.00,262727964.00,441803026.00,271917776.00,261100041.00,281640830.00,338389003.00,347905546.00,247105476.00,3528942176.00,201893076.00,269378580.00,270953638.00,251317428.00,267158410.00,230604518.00,253910464.00,254430086.00,248565296.00,230923816.00,228820661.00,204226327.00,2912182298.00,207181365.00,213582385.00,240559409.00,228737302.00,187425158.00,201655727.00,208327719.00,195433156.00,186718233.00,278987408.00,257340365.00,#VALUE!,#VALUE!
Cyprus,14854163.00,12625599.00,28321700.00,23198304.00,83017630.00,51342122.00,220164320.00,101460223.00,48742813.00,22036509.00,37684701.00,23005581.00,666453665.00,14731647.00,101826096.00,23113070.00,16602276.00,19324506.00,35358869.00,22909304.00,24392470.00,17388806.00,32928780.00,110958880.00,27876257.00,447410961.00,23044245.00,17023416.00,17447374.00,32718881.00,21668085.00,35299778.00,18244812.00,20454712.00,17028862.00,21065641.00,21398609.00,21329448.00,266723863.00,20762741.00,15458197.00,27180601.00,21119892.00,137945664.00,25583688.00,23300205.00,59071987.00,32323901.00,25957885.00,75582530.00,23739659.00,488026950.00,26276518.00,32108065.00,26287310.00,24352699.00,28445875.00,43348252.00,26595599.00,43733119.00,42322168.00,58621896.00,26058815.00,24792814.00,402943130.00,398046019.00,20504552.00,40040600.00,35298168.00,33928623.00,36545164.00,35811857.00,27244060.00,25341818.00,47322277.00,31735149.00,28048875.00,759867162.00,51805917.00,29335946.00,27195954.00,32114901.00,19369509.00,24976493.00,54266784.00,24560866.00,28205191.00,141423644.00,45113500.00,34218055.00,512586760.00,31465738.00,22074783.00,30188881.00,56993730.00,51498432.00,41482084.00,50979512.00,41507978.00,29520774.00,38708853.00,43908350.00,61011635.00,499340750.00,52418279.00,25025987.00,32156142.00,34929382.00,42798462.00,32997272.00,40512823.00,42732168.00,57935162.00,45468537.00,65426375.00,51569591.00,523970180.00,38184022.00,35622802.00,61187312.00,44114385.00,44803628.00,43323789.00,53462294.00,37733218.00,36965926.00,41146670.00,39902726.00,41840215.00,518286987.00,35077245.00,64219837.00,45842275.00,44999374.00,37213664.00,38198079.00,42455901.00,42464591.00,40479586.00,45684927.00,45277721.00,#VALUE!,#VALUE!
Czechia,781813395.00,782277709.00,867029133.00,834925911.00,809839102.00,847636727.00,851829722.00,734392108.00,908526639.00,926410730.00,976912412.00,863459616.00,10185053203.00,786878241.00,871364464.00,1043047214.00,831009470.00,782543726.00,996605567.00,773621616.00,751175355.00,950392611.00,965444600.00,1020427855.00,973285918.00,10745796637.00,845637163.00,895221640.00,1019545870.00,898230442.00,850441047.00,933728891.00,779423534.00,851329102.00,958765761.00,915254970.00,1049822280.00,945323950.00,10942724651.00,968331828.00,985664426.00,1152202678.00,1034202363.00,1077171144.00,1157506988.00,977455997.00,1053865678.00,1091000446.00,1176713251.00,1259651354.00,1118848905.00,13052615057.00,1234669461.00,1110240802.00,1285207150.00,1060650842.00,1183638077.00,1210385357.00,1092819378.00,1185845625.00,1248409932.00,1402294464.00,1338687235.00,1195837827.00,14548686152.00,1413198247.00,1245407361.00,1403429676.00,1401561336.00,1416959902.00,1306469824.00,1363210180.00,1288323810.00,1388812778.00,1500654533.00,1500847907.00,1376144886.00,16605020439.00,1436468354.00,1300178495.00,1505424257.00,1404700602.00,1217974076.00,1482351749.00,1303827963.00,1240012474.00,1374671346.00,1470740566.00,1571923609.00,1520269081.00,16828542569.00,1396613157.00,1361294346.00,1716878717.00,1553642198.00,1530440446.00,1621669692.00,1490888774.00,1350952678.00,1584339209.00,1538454785.00,1829979649.00,1609231889.00,18584385539.00,1766163423.00,1684255980.00,1840733968.00,1666327785.00,1852518291.00,1998067438.00,1686893783.00,1734403984.00,2000860020.00,1944725467.00,2038892601.00,1694988267.00,21908831007.00,1775709625.00,1660600106.00,2159154307.00,1612130987.00,1663096268.00,1839441124.00,1491527312.00,1605251782.00,1772369339.00,1809255420.00,1816279963.00,1591526303.00,20796342534.00,1599757338.00,1594189477.00,1762845346.00,1671540146.00,1772243032.00,1718835577.00,1681668513.00,1626013961.00,1788699216.00,1881541636.00,1898894126.00,1571003924.00,20567232293.00
Germany,17046280465.00,16425619535.00,16687552972.00,16633948370.00,16028183433.00,16054409316.00,16245256041.00,15398886706.00,16838332626.00,17248205817.00,17043871135.00,15762702583.00,197413248999.00,15961584575.00,16316333374.00,18369825149.00,17257506583.00,17178441996.00,18210023903.00,17859638454.00,16266128827.00,18496408834.00,18183560496.00,17819217613.00,16232980659.00,208151650463.00,15985162583.00,16541873429.00,17560461399.00,16646659421.00,16460547329.00,17386059527.00,16691868015.00,16500118349.00,17678176368.00,17415076076.00,18125619381.00,17897658670.00,204889280547.00,18015625527.00,18163057895.00,19847946625.00,18482550832.00,18925308104.00,17876806683.00,18405756737.00,18102348769.00,18861027773.00,19598992832.00,20648278737.00,19482274168.00,226409974682.00,19855907721.00,19629143188.00,21962735177.00,19639898937.00,19969530611.00,19943829686.00,20603302836.00,19906430033.00,19991017831.00,21747496840.00,21498188676.00,19482474355.00,244229955891.00,20267535111.00,21064574006.00,22096763876.00,20248220023.00,20434623098.00,19759719291.00,19973551737.00,19460850393.00,21607972419.00,21241803809.00,21026375371.00,18909467640.00,246091456774.00,20288338326.00,20165147763.00,20658586537.00,16441959258.00,16450414299.00,17406863250.00,17743658588.00,17140139984.00,19467626136.00,19859305731.00,20050433805.00,19703142319.00,225375615996.00,18065118339.00,19211794090.00,22900111040.00,20173091309.00,20847319185.00,22001737485.00,21000323202.00,20230788344.00,22484914111.00,23553185568.00,24511999595.00,25257474736.00,260237857004.00,24803900798.00,23822470196.00,28774873756.00,25811689128.00,28212580574.00,28170684807.00,27638392233.00,27355990099.00,29076846675.00,28820898162.00,29181657175.00,25692729070.00,327362712673.00,26760046274.00,24980330139.00,29297248087.00,23673057936.00,26352519130.00,27093380074.00,25084291601.00,23973732927.00,24724538638.00,25779323297.00,25874127366.00,23442702446.00,307035297915.00,25390007014.00,25197796420.00,26615358498.00,26343026081.00,24386361557.00,24535208815.00,25874974332.00,24206981778.00,24893599264.00,25302622751.00,24620061339.00,#VALUE!,#VALUE!
Denmark,813665282.00,753342296.00,755757678.00,799784664.00,767242992.00,752245282.00,755399470.00,695182954.00,810293339.00,839650498.00,816598917.00,834047554.00,9393210926.00,812751185.00,760650726.00,871306752.00,928810671.00,873839802.00,899000443.00,749951022.00,788424576.00,795473810.00,791748810.00,915312180.00,900655208.00,10087925187.00,827389009.00,905381797.00,869380562.00,937611819.00,863054546.00,987922604.00,903945743.00,763562463.00,843275032.00,852131834.00,907205720.00,922268819.00,10583129945.00,810482745.00,806068918.00,965779387.00,749292892.00,940906976.00,867757769.00,750156494.00,829773688.00,882982814.00,932523534.00,959727694.00,872938216.00,10368391128.00,960464029.00,860119142.00,912023940.00,862455407.00,972202185.00,926719105.00,854631619.00,862862617.00,915847416.00,994306597.00,1053290672.00,968591935.00,11143514663.00,1064192702.00,1030200586.00,1004874357.00,944707941.00,983555876.00,981551659.00,934066207.00,1040389199.00,989863697.00,1153350447.00,1096999577.00,1004394149.00,12228146400.00,1212567067.00,1030947463.00,1150536476.00,1063097192.00,1171715120.00,1280331520.00,1133364212.00,1037661443.00,1004236047.00,1039662551.00,1077158350.00,1029466666.00,13230744108.00,1096740658.00,1096442001.00,1339789575.00,1199095669.00,1129140203.00,1258033922.00,1050959143.00,1153212477.00,1350128008.00,1378580679.00,1524198714.00,1458759381.00,15035080433.00,1398247358.00,1428815625.00,1714179406.00,1496316889.00,1654658364.00,1828211750.00,1632945679.00,1678950868.00,1712094434.00,1651214389.00,1736761034.00,1488492910.00,19420888706.00,1615660163.00,1432784859.00,1609567216.00,1402045021.00,1482143387.00,1771054344.00,1320669886.00,1516495678.00,1673083141.00,1747028817.00,1664412474.00,1397040402.00,18631985389.00,1328498063.00,1361438220.00,1428357007.00,1694485749.00,1709237063.00,1660967035.00,1597863924.00,1452739407.00,1582543921.00,1688760180.00,1594015358.00,#VALUE!,#VALUE!
Estonia,75171893.00,75595233.00,97843534.00,70868743.00,102138194.00,97597103.00,98039176.00,61138819.00,102496679.00,122250973.00,97060095.00,97794436.00,1097994878.00,98612033.00,109618962.00,101334607.00,95465413.00,85831108.00,80032257.00,89245811.00,85667618.00,85235485.00,91643474.00,95081326.00,74528279.00,1092296373.00,80873732.00,85519537.00,91648776.00,100489930.00,95131256.00,83547995.00,97424863.00,82991650.00,123823247.00,153755544.00,93220523.00,89529562.00,1177956615.00,115611292.00,121397729.00,130586089.00,117024442.00,103978383.00,129073747.00,88450060.00,122190210.00,89958979.00,113866349.00,110441437.00,105319820.00,1347898537.00,136002371.00,95157912.00,81686363.00,113938563.00,111228799.00,100423107.00,94323706.00,114428810.00,85573581.00,101325990.00,90521927.00,75473021.00,1200084150.00,73289207.00,102766591.00,87171645.00,117020013.00,124496598.00,99085195.00,79345844.00,86033976.00,93936419.00,90604137.00,102972093.00,92819208.00,1149540926.00,114302625.00,106447700.00,100839328.00,77450882.00,83339502.00,80204474.00,90049365.00,82547012.00,95476220.00,115518681.00,127284131.00,161161063.00,1234620983.00,154778399.00,115946966.00,110539907.00,163255912.00,140054289.00,147310774.00,187298155.00,213811078.00,200659791.00,172353166.00,174463706.00,159217839.00,1939689982.00,217133313.00,172201761.00,177230087.00,134950430.00,141832759.00,167702801.00,116292077.00,122074628.00,138578111.00,214093218.00,190215731.00,173169639.00,1965474555.00,173493208.00,181947859.00,155527432.00,142200655.00,161378010.00,145356115.00,152005198.00,138229436.00,157693637.00,147097733.00,131950652.00,110493495.00,1797373430.00,121618912.00,145680737.00,135808748.00,163386360.00,165483468.00,144637382.00,142077175.00,175721838.00,143895297.00,168337838.00,153852065.00,142841939.00,1803341759.00
Spain,1902249074.00,1597449215.00,1954904885.00,1713830736.00,1774069254.00,1843703658.00,1786102434.00,1320554041.00,1742958560.00,1975739563.00,1723702475.00,1871990662.00,21207254557.00,1749939654.00,1775503495.00,2180388266.00,1805512148.00,1697432858.00,2116261819.00,1988860727.00,1501191899.00,2053574814.00,1980897137.00,1953822951.00,2084222228.00,22887607996.00,1767002467.00,1851004478.00,2086190682.00,1831557863.00,1891018412.00,2139314115.00,1797266583.00,1690172590.00,2121616617.00,1987139131.00,2129298883.00,2362893993.00,23654475814.00,2033726600.00,1998627457.00,2508449409.00,1920745405.00,2199063288.00,2437130437.00,1887924969.00,1981925238.00,2263785200.00,2301966143.00,2497328626.00,2439847845.00,26470520617.00,2288192783.00,2035144290.00,2401050048.00,2276724395.00,2339313323.00,2495215527.00,2225369214.00,2083733822.00,2466265875.00,2753661633.00,2616639604.00,2317412438.00,28298722952.00,2229564545.00,2253967723.00,2615020714.00,2285613590.00,2569619523.00,2577369818.00,2361901978.00,1933480945.00,2393518495.00,2616970614.00,2712090207.00,2615722109.00,29164840261.00,2495435229.00,2261006561.00,2550966162.00,1731204514.00,1864731850.00,2189520448.00,2345465248.00,1982676615.00,2508904655.00,2371966066.00,2568116353.00,2761791475.00,27631785176.00,2243235312.00,2325131506.00,3227736906.00,2864294421.00,2630074270.00,3099706349.00,2830013110.00,2381811358.00,3141949874.00,2898392818.00,3222914407.00,3497008510.00,34362268841.00,3057809794.00,3026222966.00,3892745526.00,3401349123.00,3722972687.00,3797126152.00,3807757920.00,3330071183.00,3789979991.00,3578175324.00,3708999513.00,3703933929.00,42817144108.00,3384859434.00,3539506423.00,4231035848.00,3373807656.00,3581245033.00,3655400891.00,3099498262.00,3019464483.00,3291955881.00,3629495085.00,3731134037.00,3348114773.00,41885517806.00,3379964615.00,3452052012.00,3797081856.00,3397791200.00,3642898651.00,3832464937.00,3301258919.00,2935129305.00,3925504915.00,3812714604.00,4004115101.00,3895278133.00,43376254248.00
Finland,712811064.00,634859324.00,665988934.00,695642816.00,760859410.00,717958805.00,684537553.00,673298807.00,718207164.00,758453299.00,667416794.00,753207815.00,8443241785.00,687441603.00,736105386.00,800833822.00,737927308.00,709275353.00,693018028.00,692403004.00,615130074.00,671001461.00,638415775.00,777837263.00,700547334.00,8459936411.00,588780183.00,614225091.00,750599666.00,656362630.00,656784959.00,681726891.00,657850827.00,630835921.00,654822340.00,742922356.00,839500514.00,767024297.00,8241435675.00,795530044.00,800721874.00,878085547.00,702150039.00,804410856.00,724517730.00,851680252.00,793906230.00,747499859.00,785877818.00,882757847.00,815557209.00,9582695305.00,816922855.00,720692278.00,932877746.00,744341616.00,879164406.00,887344409.00,789171787.00,861046497.00,783178310.00,952802334.00,855323994.00,802810622.00,10025676854.00,791915177.00,787490001.00,843935679.00,800756979.00,920979090.00,754911797.00,728876628.00,773773174.00,723318998.00,776149561.00,722323490.00,701170322.00,9325600896.00,829359305.00,756128339.00,787633964.00,749244903.00,700545849.00,694026235.00,712023427.00,678182949.00,736912252.00,815233635.00,760590663.00,815339585.00,9035221106.00,785065031.00,714255792.00,912373970.00,835735696.00,792753367.00,887571596.00,924237636.00,961458231.00,1003961640.00,932792405.00,1018611660.00,1070910233.00,10839727257.00,1007564720.00,1000136766.00,1358001621.00,1303537879.00,1279307776.00,1161514017.00,1160415228.00,1173822813.00,1175526057.00,1122682090.00,1115603757.00,1241189306.00,14099302030.00,1036383553.00,912295975.00,1441209516.00,1072768088.00,1213597840.00,1052619872.00,955578423.00,1022842204.00,1065063093.00,1110038502.00,1181371451.00,1050073035.00,13113841552.00,989496039.00,992721394.00,1009586818.00,1141901812.00,1129109142.00,1053676826.00,1096195799.00,1014022772.00,1106735586.00,1058630632.00,943129605.00,#VALUE!,#VALUE!
