TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,490176945.00,495209727.00,528096728.00,548382394.00,548032734.00,537720879.00,570106238.00,465751009.00,595882663.00,630281136.00,568317007.00,501366209.00,6479323669.00,540558327.00,560969009.00,630095124.00,605577614.00,580238712.00,620683713.00,639539405.00,554296481.00,614138802.00,657431729.00,633118473.00,544046693.00,7180694082.00,547021866.00,604369518.00,631480775.00,595930491.00,586238658.00,646479470.00,578528063.00,551489549.00,625579817.00,636076178.00,677523350.00,593774414.00,7274492149.00,590710864.00,586401289.00,716720720.00,582007007.00,641636874.00,645909666.00,645067985.00,645428342.00,706545589.00,777401407.00,797963437.00,689464394.00,8025257574.00,723234123.00,669074940.00,766231262.00,717271480.00,692651418.00,769713315.00,743367607.00,644852007.00,750623273.00,880001923.00,835228475.00,694127631.00,8886377454.00,830362434.00,795708545.00,835514053.00,848789406.00,854610393.00,764688173.00,860452219.00,743152999.00,824590567.00,1000909236.00,849375664.00,742849450.00,9951003139.00,870519158.00,888345211.00,871516215.00,671403930.00,725652841.00,794153192.00,885750745.00,840048679.00,956127653.00,1055026851.00,1041622715.00,929179393.00,10529346583.00,920624946.00,972352802.00,1153350511.00,1033326022.00,1069953742.00,1094917108.00,1074835382.00,1041112032.00,1121176322.00,1154969730.00,1270750607.00,1135372151.00,13042741355.00,1122462774.00,1187719024.00,1363288813.00,1261347691.00,1331488399.00,1299201618.00,1252985392.00,1203430892.00,1290339843.00,1266765131.00,1416374766.00,1137927907.00,15133332250.00,1134554429.00,1131229138.00,1432878357.00,1232781153.00,1292066981.00,1278280299.00,1099094466.00,1094564518.00,1224386545.00,1292350922.00,1340541730.00,1014824453.00,14567552991.00,1144473483.00,1128331844.00,1219912499.00,1167642861.00,1071361556.00,1249421615.00,1224131716.00,942004286.00,1143272515.00,1400327951.00,1311670993.00,#VALUE!,#VALUE!
Belgium,833711864.00,797194477.00,888723866.00,870730302.00,816749653.00,869537151.00,783707512.00,745897566.00,893736015.00,900566037.00,764306322.00,737345268.00,9902206033.00,760279615.00,807965297.00,956337281.00,871247558.00,851049487.00,960519509.00,857112243.00,779903948.00,949708240.00,957470367.00,865266732.00,824031545.00,10440891822.00,794699551.00,880324822.00,958735971.00,964688259.00,881843624.00,1008567592.00,843433722.00,855856947.00,990958039.00,944063571.00,960556539.00,924493236.00,11008221873.00,911946248.00,987696631.00,1188287756.00,924706018.00,1032787339.00,1098350433.00,962883653.00,981057802.00,1094412972.00,1163318358.00,1142858898.00,974775597.00,12463081705.00,1090419850.00,1033018742.00,1213103918.00,1086208797.00,1102045670.00,1157880745.00,1024791517.00,1018218211.00,1086469011.00,1228846846.00,1184375448.00,1001025839.00,13226404594.00,1157113807.00,1073464447.00,1289918690.00,1290488749.00,1257764314.00,1174104697.00,1198295642.00,1027027531.00,1230265521.00,1310894069.00,1209917228.00,1042540844.00,14261795539.00,1268073649.00,1229425747.00,1298912321.00,898070959.00,1020052967.00,1167948111.00,1188519599.00,1123494249.00,1348706643.00,1372824679.00,1348408119.00,1283557564.00,14547994607.00,1322565629.00,1387124932.00,1786164192.00,1508811664.00,1520516040.00,1667303947.00,1511419940.00,1415371476.00,1796150504.00,1685554649.00,1657510638.00,1748314754.00,19006808365.00,1726013230.00,1748046416.00,1921687103.00,1714541256.00,1702953576.00,1727147252.00,1551475753.00,1787066596.00,2030257847.00,2068513471.00,1934852312.00,1800347134.00,21712901946.00,1880599595.00,1840836483.00,2149023269.00,1868403747.00,1941072788.00,2043390611.00,1696974131.00,1686635611.00,1728624760.00,1805111643.00,1686356461.00,1494981845.00,21822010944.00,1786363851.00,1719749273.00,1794548729.00,1768956702.00,1750018945.00,1716737164.00,1713905139.00,1506842947.00,1770846710.00,1895012009.00,1811338631.00,#VALUE!,#VALUE!
Bulgaria,85140527.00,92450479.00,102496682.00,102602357.00,88092124.00,98305922.00,97344462.00,95643160.00,105993519.00,105296662.00,93114075.00,99171293.00,1165651263.00,79020923.00,98551517.00,108503018.00,119558622.00,101939235.00,111011555.00,111727552.00,111705507.00,131180835.00,132132621.00,128349312.00,118064878.00,1351745575.00,92869251.00,111309877.00,123742432.00,123994161.00,131722942.00,136022298.00,122777549.00,134779510.00,174011410.00,174002600.00,165922165.00,151079256.00,1642233452.00,131223136.00,125171563.00,158270313.00,123953644.00,151198333.00,148337493.00,150411940.00,136259419.00,141399886.00,159473648.00,161346023.00,135289761.00,1722335159.00,139452951.00,121260484.00,141383676.00,131709202.00,133770279.00,132815693.00,152552637.00,148514447.00,141507468.00,170841389.00,167515104.00,139819239.00,1721142571.00,137720977.00,140162116.00,158704439.00,148569809.00,147892529.00,134164236.00,155752598.00,142855925.00,145794525.00,173320951.00,168842046.00,139168080.00,1792948231.00,154359562.00,155604031.00,155634611.00,109956969.00,119710354.00,143762514.00,156119220.00,142761265.00,176281153.00,185362713.00,179842711.00,152938431.00,1832333536.00,146062998.00,178279828.00,205097590.00,187414232.00,169490188.00,186214288.00,189224909.00,183427026.00,204342085.00,212487744.00,228886483.00,187079737.00,2278007107.00,206069186.00,213994591.00,252755558.00,241781261.00,248921480.00,247903777.00,232461259.00,220329295.00,262688351.00,270288057.00,269548798.00,232413502.00,2899155117.00,236602635.00,279611555.00,291635866.00,244873481.00,265918652.00,228986373.00,235789046.00,222526824.00,227470011.00,264849130.00,255148915.00,217363499.00,2970775986.00,220201921.00,258504725.00,230398721.00,251720446.00,228268281.00,237406944.00,253537135.00,229478089.00,262023223.00,304807993.00,272878934.00,#VALUE!,#VALUE!
Cyprus,1784903.00,1698438.00,3165253.00,3420348.00,3122733.00,2468236.00,3573372.00,2242071.00,2227654.00,2034268.00,2275751.00,4987015.00,33000042.00,2131391.00,1983165.00,3340099.00,2854763.00,2870540.00,2836317.00,3654548.00,4195308.00,4444136.00,4590004.00,4191535.00,5390300.00,42482106.00,3678657.00,4684704.00,4964471.00,4891397.00,5199077.00,4862537.00,4723499.00,5256548.00,7583020.00,3925005.00,3917687.00,4088143.00,57774745.00,3853179.00,3536386.00,7526115.00,5157274.00,4830235.00,4967803.00,4947439.00,5352578.00,4365161.00,4448042.00,4403667.00,5017283.00,58405162.00,4366689.00,5395628.00,7219229.00,6170891.00,5844073.00,6109645.00,5925691.00,4093658.00,6175726.00,5181996.00,5017900.00,4228976.00,65730102.00,6514567.00,5032138.00,6877662.00,8023186.00,5859022.00,6356489.00,5316283.00,5257812.00,3737853.00,5159597.00,9365056.00,4596502.00,72096167.00,5187861.00,6306644.00,6944541.00,6942698.00,6131765.00,5382364.00,8069354.00,5652709.00,4581139.00,4898235.00,6951854.00,5870311.00,72919475.00,34182407.00,7373577.00,7620907.00,39243632.00,8385069.00,8722118.00,10682033.00,6555311.00,7697041.00,7045938.00,7189811.00,7268819.00,151966663.00,7794266.00,6089028.00,9724774.00,9432095.00,11737565.00,8359643.00,8291721.00,9534467.00,8108295.00,7897878.00,9303281.00,8424009.00,104697022.00,8373484.00,7542397.00,12429393.00,11675298.00,11488322.00,12602571.00,9992074.00,10503581.00,8362165.00,11295073.00,10687203.00,10789665.00,125741226.00,8606158.00,10259382.00,10563937.00,11980897.00,9749922.00,10356265.00,10241468.00,9121942.00,9760182.00,7730514.00,10105696.00,#VALUE!,#VALUE!
Czechia,1341840584.00,1384861114.00,1485490129.00,1449746309.00,1373312983.00,1449434731.00,1526731178.00,1296026276.00,1678152012.00,1755880315.00,1647692917.00,1437386435.00,17826554984.00,1431356813.00,1517292943.00,1724507566.00,1617611531.00,1588820851.00,1693620711.00,1602899849.00,1409968109.00,1800756268.00,1896125710.00,1824918000.00,1731495753.00,19839374103.00,1664553861.00,1782423337.00,1862241335.00,1733084129.00,1715399396.00,1842443487.00,1422758494.00,1689367172.00,1846922293.00,1782191381.00,1928551756.00,1655818814.00,20925755453.00,1772155297.00,1763954706.00,2077170434.00,1738087370.00,1988669196.00,1972283586.00,1564911108.00,1848858042.00,1972336974.00,2176403825.00,2156504930.00,1804747823.00,22836083293.00,2049584838.00,1936736861.00,2078087723.00,1993688184.00,2048518078.00,2091149378.00,1828609329.00,1994794321.00,2123142235.00,2490607457.00,2291893529.00,1748733808.00,24675545742.00,2062684499.00,1973341924.00,2169419071.00,2158359902.00,2182668246.00,2019009665.00,1994080878.00,1907919865.00,2264148282.00,2406753525.00,2247613262.00,1812714658.00,25198713775.00,2130377587.00,2072265907.00,1953156392.00,1308914540.00,1532516782.00,1869375767.00,1950593510.00,1957613922.00,2247425104.00,2324855202.00,2289827222.00,2040293563.00,23677215502.00,2040805776.00,2168919778.00,2622427473.00,2434523314.00,2497413378.00,2604313593.00,2301484871.00,2318956297.00,2541758454.00,2587001555.00,2875428888.00,2542441929.00,29535475306.00,2710417653.00,2719345601.00,3133998001.00,2924285950.00,3268512676.00,3259284382.00,2767004656.00,3053615558.00,3440592531.00,3261914513.00,3608456198.00,2841184072.00,36988611790.00,3112975654.00,3062262136.00,3411094186.00,3029354964.00,3294893720.00,3225056025.00,2693843544.00,2937808602.00,3119387497.00,3484481530.00,3425708397.00,2650799868.00,37447666123.00,3189861093.00,3136141744.00,3135880857.00,3298931802.00,3160296254.00,3063428768.00,3093360859.00,2948961336.00,3165107405.00,3589179971.00,3514464142.00,2907926374.00,38203540604.00
Germany,6889775274.00,7087033893.00,7412485346.00,7333947495.00,7072614219.00,7281733809.00,7691201675.00,6776911139.00,8069879127.00,8558812590.00,7913710780.00,7353528416.00,89441633763.00,7359937790.00,8012006492.00,8632617016.00,8013352950.00,8100037516.00,8356304522.00,8599142138.00,7528924489.00,9014968704.00,9097046164.00,8964835379.00,7957596251.00,99636769411.00,7792963235.00,8513028789.00,9039185176.00,8793915190.00,8316700509.00,8816261959.00,8310113127.00,8409553865.00,9338162469.00,9004340924.00,9401513554.00,8423412024.00,104159150821.00,8750490227.00,8948351434.00,9863482885.00,9153891125.00,9402609656.00,9391379225.00,9103045552.00,9403464599.00,9979457508.00,10238356894.00,10621175433.00,9087966403.00,113943670941.00,9922204620.00,9629351403.00,10228110995.00,10013814374.00,9711206381.00,10449689972.00,10318986028.00,10278820856.00,10511004250.00,11593745816.00,11279386566.00,9274691180.00,123211012441.00,10270469218.00,10259165710.00,11134383449.00,10376331153.00,10786207509.00,10561293833.00,10505471525.00,10274894251.00,11406142994.00,11939591900.00,12057979399.00,9818124940.00,129390055881.00,11115969516.00,11008906397.00,11190135793.00,8058522033.00,8692146070.00,10105322606.00,10705980894.00,10871167504.00,12012843657.00,12719575512.00,12996530794.00,11534469868.00,131011570644.00,11509264964.00,12375982307.00,14112326016.00,12388516164.00,12855316533.00,13461262500.00,12630058662.00,12165353463.00,13368288975.00,14140509629.00,14530366237.00,13771785250.00,157309030700.00,13482427399.00,14270981421.00,16402284106.00,14364078066.00,15834476390.00,15734613767.00,14904340762.00,15247697290.00,16836017283.00,16287386199.00,17090156460.00,14431367831.00,184885826974.00,15096745002.00,15358795277.00,17412349654.00,14195070558.00,15591415238.00,15972070346.00,14799324190.00,14878401989.00,15399192156.00,15972153142.00,17014611729.00,13320505683.00,185010634964.00,15843387730.00,15549903588.00,16057734639.00,16045033717.00,15029694722.00,14916692482.00,15244148197.00,14774210546.00,15872167306.00,16747848679.00,16427751819.00,#VALUE!,#VALUE!
Denmark,403753317.00,377465918.00,412898764.00,412345599.00,411883270.00,394440276.00,384064180.00,386609709.00,414387295.00,407947180.00,384337912.00,381904347.00,4772037769.00,413458345.00,426834805.00,469387945.00,411186494.00,386922742.00,451427609.00,376030908.00,418127422.00,470628345.00,438400929.00,432737118.00,413640236.00,5108782899.00,382478536.00,453126262.00,461663845.00,464815910.00,457911736.00,456307579.00,378312322.00,472462182.00,498499134.00,493841057.00,530694154.00,471857778.00,5521970496.00,464152619.00,458197506.00,554462528.00,470868013.00,529436430.00,519032187.00,438694865.00,492564814.00,517791524.00,536250281.00,565365231.00,487367525.00,6034183521.00,526878704.00,506656636.00,525393492.00,535089725.00,527369627.00,529946326.00,477167018.00,523619524.00,501532219.00,575251355.00,566603368.00,473741292.00,6269249288.00,558491286.00,535252056.00,581013712.00,565628476.00,599591263.00,535779696.00,552269976.00,545161402.00,589990420.00,662590472.00,678699788.00,564874745.00,6969343292.00,624235311.00,641820879.00,694694418.00,587520712.00,572271979.00,616617419.00,586495736.00,577573117.00,654975476.00,672531812.00,650247612.00,598131083.00,7477115555.00,607921428.00,671922941.00,777274161.00,640787370.00,660014514.00,732119344.00,617903465.00,686715962.00,759260575.00,728224904.00,835618623.00,739716726.00,8457480011.00,751285771.00,777442037.00,931752398.00,840165850.00,857907565.00,890794489.00,790865876.00,855439979.00,909182102.00,1009834337.00,934454414.00,864544078.00,10413668898.00,889869701.00,893047819.00,1029763008.00,869353552.00,903914765.00,988538548.00,859664969.00,968116234.00,939320445.00,891850065.00,951364088.00,753584298.00,10938387492.00,892660842.00,876613622.00,879228711.00,951918152.00,927214478.00,867394208.00,840987392.00,873345108.00,943415551.00,1071558599.00,953202231.00,#VALUE!,#VALUE!
Estonia,76368675.00,90498650.00,109552601.00,98291070.00,103591180.00,111105182.00,113146774.00,99711749.00,121437938.00,122989549.00,114672144.00,108608441.00,1269973953.00,102020990.00,98480807.00,109665011.00,105931695.00,105476716.00,111984187.00,101902537.00,102067779.00,107979262.00,109564499.00,99060147.00,87051516.00,1241185146.00,105103208.00,102249822.00,114680151.00,119980693.00,95625345.00,102093651.00,87869616.00,95195849.00,105990311.00,100521665.00,103319951.00,103658905.00,1236289167.00,124132623.00,97160771.00,123698976.00,131760737.00,111543454.00,110974556.00,107530089.00,103537439.00,113056516.00,108447365.00,124988643.00,102456515.00,1359287684.00,100527475.00,98588900.00,114845548.00,107734250.00,112044556.00,113089452.00,105748030.00,105921557.00,107327096.00,119456797.00,115523057.00,96109684.00,1296916402.00,109250270.00,107547758.00,116364168.00,115291022.00,125076586.00,112757427.00,116801275.00,120101931.00,117596825.00,123417306.00,123086100.00,108998932.00,1396289600.00,109161154.00,117048629.00,132626532.00,105715301.00,102025154.00,121048454.00,132225372.00,114862979.00,144354695.00,136897678.00,140073545.00,121564750.00,1477604243.00,117898266.00,124643962.00,156877271.00,152166563.00,158986428.00,171353095.00,155748578.00,140758388.00,159947544.00,160279757.00,167496865.00,163290037.00,1829446754.00,152594208.00,165124184.00,216562064.00,196464200.00,202906099.00,193279785.00,164096781.00,196737922.00,217452541.00,204867998.00,185517363.00,181433265.00,2277036410.00,182552737.00,166888367.00,215131846.00,183243629.00,214717430.00,197783180.00,169886040.00,179377782.00,185224018.00,188450574.00,192184602.00,158116722.00,2233556927.00,166099759.00,178597465.00,186815879.00,203500668.00,204005133.00,179603527.00,188179132.00,184125746.00,211149721.00,232838676.00,210531774.00,184153932.00,2329601412.00
Spain,592453103.00,631975628.00,730947105.00,622171884.00,694806387.00,738897104.00,671898795.00,515520434.00,770778019.00,773903342.00,689851969.00,706794796.00,8139998566.00,726112107.00,757093411.00,894358446.00,752270773.00,825225792.00,817509511.00,815465019.00,583208119.00,881925632.00,833997697.00,784958461.00,781124959.00,9453249927.00,736217273.00,795736898.00,924836014.00,878106986.00,877870913.00,917047265.00,800098138.00,604735607.00,875938768.00,935236439.00,926233949.00,845485933.00,10117544183.00,841795282.00,921151374.00,1070400921.00,812052856.00,938789056.00,984425213.00,830876627.00,697862605.00,1000686241.00,1046798358.00,1068816894.00,957860618.00,11171516045.00,937066601.00,923270284.00,1117861959.00,940809734.00,1029985132.00,1010516676.00,909438526.00,733166764.00,990871398.00,1067844872.00,1078760589.00,864365413.00,11603957948.00,980120068.00,1017656449.00,1153516500.00,1013510690.00,1081824472.00,1047556208.00,992798739.00,794888868.00,1067018033.00,1151206930.00,1095670043.00,958320999.00,12354087999.00,1093775223.00,1079945470.00,1068348212.00,622550491.00,757310144.00,944876383.00,963278895.00,765956987.00,1183686152.00,1202843440.00,1239451436.00,1142210673.00,12064233506.00,1063537218.00,1177393958.00,1367975956.00,1137400887.00,1214064075.00,1309524919.00,1177571500.00,1031771402.00,1352896007.00,1286883433.00,1307409413.00,1243320204.00,14669748972.00,1246655291.00,1361041418.00,1554385344.00,1329038101.00,1502053888.00,1538219130.00,1356187320.00,1196383422.00,1597916402.00,1485094459.00,1628503338.00,1479942027.00,17275420140.00,1469361003.00,1517598904.00,1739231355.00,1458533061.00,1628831885.00,1697502422.00,1431359261.00,1218890424.00,1508033125.00,1728147345.00,1806381848.00,1415142332.00,18619012965.00,1599875748.00,1604354368.00,1644867361.00,1681037619.00,1692440647.00,1627368583.00,1567206648.00,1297458207.00,1689073928.00,1847771505.00,1706217394.00,1527134399.00,19484806407.00
Finland,289481040.00,229472861.00,235240497.00,237051064.00,237041805.00,231023839.00,233000693.00,200637171.00,252355609.00,260655654.00,234702106.00,241458301.00,2882120640.00,216651967.00,208456350.00,262649519.00,230335003.00,226189618.00,226664731.00,224971349.00,206904028.00,245560161.00,235447010.00,233763226.00,246043795.00,2763636757.00,220385720.00,238113136.00,237584428.00,263176044.00,250819239.00,244049904.00,248638964.00,239622988.00,257621741.00,239454873.00,242957026.00,252515134.00,2934939197.00,263063840.00,245695650.00,303969409.00,248222143.00,305699843.00,291332575.00,267038149.00,264865877.00,273076127.00,275009041.00,280733605.00,262864496.00,3281570755.00,284275194.00,277485259.00,306246909.00,303453319.00,300366747.00,322267325.00,318420610.00,295186711.00,278294069.00,322834016.00,297096204.00,286912641.00,3592839004.00,306416073.00,286376194.00,317064122.00,327834941.00,337872872.00,319048160.00,293134789.00,294679675.00,294053324.00,313924717.00,297799979.00,272690251.00,3660895097.00,298593531.00,301329674.00,313827292.00,257030205.00,265389594.00,276117285.00,283296762.00,261567603.00,311270237.00,302862640.00,312537116.00,313105360.00,3496927299.00,279386669.00,333440861.00,373242785.00,334566669.00,351295232.00,373214283.00,359602039.00,337298093.00,405576030.00,412294258.00,394672993.00,419057695.00,4373647607.00,395821450.00,402864981.00,507209127.00,478939240.00,484218260.00,513410643.00,484368720.00,435844042.00,466763385.00,470394668.00,474791075.00,439036683.00,5553662274.00,454700389.00,396302509.00,561923642.00,418751700.00,466011885.00,440742205.00,434258547.00,459991941.00,422046211.00,495967210.00,414538133.00,348377574.00,5313611946.00,386284661.00,372572538.00,392771764.00,433217902.00,452261437.00,401394953.00,511699587.00,428907597.00,413210148.00,466614800.00,476132141.00,#VALUE!,#VALUE!
