TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,43271921.00,50893766.00,50043307.00,49218907.00,48780558.00,47359812.00,59591392.00,31588310.00,50563345.00,56140020.00,48288687.00,42644295.00,578384320.00,40036820.00,44532640.00,49088434.00,54023325.00,47064833.00,47690033.00,57670718.00,36779237.00,45028043.00,58861976.00,46176011.00,40441570.00,567393640.00,40426031.00,53841156.00,64375984.00,56622213.00,55796025.00,58740490.00,54633823.00,35331037.00,48600915.00,47943629.00,56241652.00,46574443.00,619127398.00,50888695.00,50966491.00,60394177.00,55846314.00,56353053.00,50746474.00,59648362.00,42429685.00,63969627.00,61251134.00,59559886.00,47269016.00,659322914.00,52923213.00,58955590.00,70435568.00,69008520.00,63620844.00,67113630.00,66887680.00,57136871.00,54368744.00,70987968.00,70793661.00,60079803.00,762312092.00,74530402.00,80395381.00,71039875.00,66262021.00,70428747.00,60561997.00,66616734.00,51406542.00,60549583.00,73448885.00,60122594.00,55206105.00,790568866.00,58247050.00,86886653.00,55943971.00,46178914.00,40256164.00,42622848.00,55958445.00,50694736.00,64197302.00,65128222.00,66207349.00,46366716.00,678688370.00,56121748.00,64690978.00,93340173.00,67974095.00,65053417.00,72556750.00,70119581.00,48530535.00,63394747.00,79610609.00,72474868.00,59717282.00,813584783.00,69140975.00,70336448.00,87347095.00,70629370.00,79921761.00,76645987.00,80302484.00,61141500.00,82232175.00,73306233.00,72856963.00,69506602.00,893367593.00,66129243.00,74914837.00,102187033.00,70205909.00,87913920.00,79078893.00,77972297.00,57757755.00,75349389.00,76486072.00,73256632.00,59836403.00,901088383.00,73968770.00,77385088.00,80283031.00,90820663.00,81076823.00,85441010.00,81750571.00,65331913.00,83615876.00,83775803.00,86841770.00,#VALUE!,#VALUE!
Belgium,249688096.00,230910027.00,271762271.00,260242777.00,238466689.00,232187620.00,253651871.00,200298648.00,251121594.00,275954326.00,282074759.00,218078332.00,2964437010.00,233749244.00,240032800.00,293156109.00,248928775.00,235946492.00,260684807.00,273020731.00,213098599.00,244686175.00,255503171.00,236570945.00,249058741.00,2984436589.00,253570810.00,278262298.00,280162541.00,242901517.00,255768064.00,273004526.00,258549337.00,212671639.00,299755003.00,293837401.00,254444257.00,263604217.00,3166531610.00,279501669.00,247172986.00,302650891.00,261597742.00,294476834.00,309261929.00,268798222.00,249663044.00,261979968.00,285789382.00,290640120.00,263254847.00,3314787634.00,326711512.00,257020808.00,308332487.00,275630544.00,308223231.00,310192690.00,323816328.00,276980860.00,293810522.00,282336821.00,303728993.00,251190897.00,3517975693.00,331689642.00,267846526.00,358664907.00,305293110.00,324511711.00,293734921.00,360496357.00,282812744.00,291627817.00,339102975.00,301314794.00,274045896.00,3731141400.00,315625304.00,303305289.00,258352037.00,186875058.00,228289498.00,241313951.00,279094616.00,242042375.00,277242229.00,308330911.00,290511155.00,278896020.00,3209878443.00,337933110.00,322730075.00,381092591.00,329988774.00,369380243.00,379013379.00,335833564.00,344790389.00,353196945.00,390109297.00,407707155.00,367859173.00,4319634695.00,389466251.00,377664475.00,542340344.00,433020725.00,450529403.00,449132033.00,437531829.00,415559380.00,472987210.00,454072471.00,449505244.00,420383866.00,5292193231.00,439176965.00,457117104.00,470114209.00,402515653.00,430511717.00,509744040.00,355876806.00,363261080.00,460158093.00,390086176.00,398052193.00,390400058.00,5067014094.00,452386242.00,466388904.00,453236379.00,416766193.00,416173379.00,413083322.00,364657682.00,337152123.00,381390060.00,508770142.00,505637408.00,#VALUE!,#VALUE!
Bulgaria,11533501.00,14383084.00,4478579.00,15121097.00,5000201.00,12073124.00,13933972.00,13297011.00,16548424.00,5384636.00,27096810.00,17828309.00,156678748.00,15730730.00,14519332.00,6097252.00,12482265.00,8729608.00,13465357.00,9400911.00,12750095.00,14966267.00,7399338.00,17537304.00,17443169.00,150521629.00,10075966.00,13737781.00,12571068.00,18452524.00,8214471.00,15555119.00,11394706.00,12831896.00,8107319.00,18966342.00,11844076.00,8550360.00,150301626.00,8843364.00,15155748.00,10008324.00,15580444.00,9793721.00,10983072.00,19263910.00,23856540.00,15967850.00,21482887.00,10263748.00,9230679.00,170430288.00,18172856.00,16508921.00,20332548.00,9260005.00,10147386.00,16566977.00,21697468.00,25963739.00,7795599.00,16897569.00,10325280.00,12839502.00,186507850.00,27416317.00,18889613.00,19407247.00,11520123.00,25825621.00,22583983.00,39780116.00,24889428.00,11550658.00,18078510.00,20074779.00,9782036.00,249798431.00,10961699.00,12678332.00,15766015.00,12373238.00,7454573.00,16880857.00,27357108.00,10389239.00,12832455.00,13111683.00,18326525.00,11045355.00,169177080.00,21155046.00,14564865.00,16088848.00,18599868.00,25379378.00,14512193.00,25392619.00,22122191.00,10332488.00,30212550.00,27302226.00,25522981.00,251185252.00,14987655.00,13373438.00,24526630.00,28492410.00,29147610.00,25703758.00,18175134.00,13196904.00,16559141.00,15198505.00,27001081.00,14124610.00,240486875.00,16183699.00,16659362.00,17831604.00,15060876.00,25561280.00,18554265.00,30716096.00,23324583.00,15091016.00,19633965.00,17292465.00,16583728.00,232492939.00,15189378.00,24818990.00,15453806.00,23383472.00,18786118.00,18466930.00,28766178.00,22479303.00,14524007.00,16140424.00,16763654.00,#VALUE!,#VALUE!
Cyprus,1293105.00,2962818.00,1812340.00,1863299.00,1083523.00,11588978.00,2008234.00,1592929.00,1040686.00,1558204.00,997656.00,1168691.00,28970463.00,816606.00,987898.00,1191322.00,1463056.00,1502066.00,780449.00,1336973.00,1212182.00,1216835.00,2209550.00,1909953.00,1141351.00,15768241.00,1217414.00,989394.00,1727597.00,1895662.00,1454765.00,903134.00,1545470.00,1423519.00,872039.00,1695113.00,1306813.00,1551372.00,16582292.00,3488587.00,703214.00,2197777.00,1914440.00,1947405.00,1865216.00,1650218.00,1787174.00,999255.00,2069106.00,1945839.00,1933637.00,22501868.00,1863893.00,1696547.00,2136323.00,3280289.00,2778225.00,2728562.00,2469239.00,2407446.00,1055181.00,3067530.00,2148751.00,3261307.00,28893293.00,2097256.00,3326157.00,2374450.00,3914106.00,2387503.00,1984585.00,2040820.00,2170352.00,1675220.00,2636311.00,2828708.00,1613535.00,29049003.00,2624276.00,1827993.00,1387331.00,2559100.00,2190614.00,3086749.00,2382631.00,2506866.00,3485435.00,2827158.00,2822414.00,2916675.00,30617242.00,3527392.00,2816823.00,2661676.00,2410726.00,2531096.00,3140912.00,2517041.00,3347393.00,1557173.00,2768861.00,3254260.00,3032781.00,33566134.00,2073740.00,2321593.00,2259365.00,2685131.00,4097713.00,2221264.00,3636075.00,3242698.00,3122343.00,3188426.00,2696633.00,3139355.00,34684336.00,2763141.00,3462462.00,3407160.00,2851461.00,2987894.00,3118214.00,3619604.00,10850534.00,2711222.00,3484564.00,4419553.00,3506241.00,47182050.00,4665354.00,3297487.00,3279448.00,3493230.00,4019282.00,3987841.00,2701898.00,3449983.00,2640539.00,3537064.00,2929102.00,#VALUE!,#VALUE!
Czechia,63151356.00,62069550.00,67851542.00,65917420.00,61460746.00,61551838.00,67076456.00,44533095.00,63574063.00,70772521.00,67081246.00,53261866.00,748301699.00,60950604.00,61565425.00,73318924.00,71910728.00,64929873.00,76877450.00,65030243.00,65228484.00,77695614.00,76026117.00,62894695.00,52708025.00,809136184.00,68138611.00,65220944.00,70859363.00,73549098.00,73075239.00,70681351.00,53824094.00,54297878.00,66887350.00,63034165.00,67578811.00,54926889.00,782073791.00,69674733.00,67077307.00,71317772.00,65775554.00,79259645.00,73964334.00,67270461.00,64429464.00,68900599.00,77433377.00,74863660.00,60678429.00,840645335.00,81825926.00,75512189.00,76106438.00,75868547.00,76723683.00,72217335.00,77254812.00,69331112.00,76661580.00,84481694.00,82202510.00,61896760.00,910082586.00,93646081.00,74189090.00,91267625.00,91503055.00,99431123.00,84043498.00,89167831.00,75336706.00,93143742.00,106798091.00,95010991.00,68101595.00,1061639429.00,94326693.00,93446016.00,79736323.00,44241541.00,58884466.00,71418296.00,65524192.00,63879653.00,83965606.00,92026896.00,98587813.00,80981246.00,927018742.00,87194692.00,83737945.00,101360302.00,96211434.00,106046028.00,102196685.00,87201503.00,70773182.00,93888103.00,101972704.00,110985163.00,88505003.00,1130072744.00,102238013.00,97354971.00,120364911.00,105617416.00,125968091.00,130455204.00,110633481.00,113580751.00,150126602.00,136570953.00,135970534.00,104570723.00,1433451651.00,138483605.00,127919365.00,154570775.00,126016696.00,130815405.00,138165694.00,101550848.00,114964799.00,108589998.00,138227685.00,138549150.00,90054557.00,1507908580.00,148431059.00,133090427.00,135935853.00,131789607.00,131370725.00,119566919.00,106965151.00,116435937.00,134178039.00,151363650.00,154608937.00,105516369.00,1569252673.00
Germany,985389197.00,1008965076.00,1050141644.00,1000702535.00,1028779347.00,1071039185.00,1079925998.00,813873483.00,1033820050.00,1156721188.00,1046422404.00,892022505.00,12167802612.00,1003122295.00,1061078472.00,1124472478.00,1136732494.00,1110750554.00,1125375750.00,1180963642.00,862758652.00,1146891920.00,1155136779.00,1116900577.00,871584727.00,12895768340.00,971925635.00,1134965242.00,1143571682.00,1146844756.00,1126912423.00,1229683241.00,1132677543.00,993979191.00,1202946314.00,1143806006.00,1217129057.00,1022412342.00,13466853432.00,1155674669.00,1169944061.00,1302378160.00,1212348703.00,1276696497.00,1217290190.00,1227436734.00,1161494953.00,1265060567.00,1327310571.00,1421803448.00,1162087303.00,14899525856.00,1335832251.00,1293770322.00,1427433569.00,1346466443.00,1346026046.00,1424624514.00,1475529556.00,1195325835.00,1362929202.00,1491782828.00,1521623227.00,1246734786.00,16468078579.00,1543273301.00,1464878940.00,1511804286.00,1588023376.00,1511948086.00,1510023322.00,1446373940.00,1171955766.00,1563394938.00,1531057416.00,1684958789.00,1225735167.00,17753427327.00,1527277675.00,1426154416.00,1320283150.00,721469620.00,955812256.00,1151220023.00,1351286326.00,1107401514.00,1423038293.00,1537904053.00,1379789449.00,1068316615.00,14969953390.00,1309979483.00,1301653729.00,1562073587.00,1390137119.00,1370526393.00,1386749406.00,1550052921.00,1089693977.00,1394011745.00,1493765607.00,1580846148.00,1329434320.00,16758924435.00,1440753351.00,1489752494.00,1758557890.00,1593790486.00,1719896074.00,1679243039.00,1548772708.00,1478263853.00,1768975269.00,1673565302.00,1833500028.00,1539081243.00,19524151737.00,1603501715.00,1693151455.00,1909860357.00,1548379924.00,1741700504.00,1773384218.00,1520302680.00,1508578166.00,1585572696.00,1639121141.00,1724474111.00,1289644697.00,19537671664.00,1746543823.00,1789466028.00,1822578845.00,1964495120.00,1713151432.00,1665640664.00,2448135817.00,1547063839.00,1798386509.00,1792920365.00,1804563672.00,#VALUE!,#VALUE!
Denmark,65519871.00,63941947.00,50430714.00,46002364.00,41527981.00,47556239.00,58943904.00,47787157.00,40949731.00,59024964.00,47611532.00,44813966.00,614110372.00,44689579.00,41874888.00,47424092.00,40572457.00,41174115.00,46516442.00,51695945.00,42263078.00,48430864.00,49151834.00,50337910.00,47397405.00,551528611.00,43760657.00,41578311.00,46692580.00,43830109.00,45546121.00,55467416.00,53439156.00,46849709.00,48750645.00,49180890.00,55307030.00,57560076.00,587962701.00,50003715.00,42787378.00,53176676.00,42393602.00,48193814.00,54579136.00,52937029.00,54520623.00,54910683.00,56364258.00,58874705.00,45112032.00,613853651.00,53431341.00,58587224.00,65512600.00,51364639.00,64791912.00,58772002.00,60470019.00,53614496.00,44606015.00,65061231.00,56430379.00,49663172.00,682305030.00,56787908.00,51581547.00,56322922.00,60502866.00,60088532.00,63286869.00,102705617.00,55866233.00,53670996.00,56383574.00,55827348.00,42514494.00,715538907.00,68647904.00,54693295.00,82315608.00,38659652.00,60571802.00,66157278.00,73638098.00,61699590.00,60597237.00,71529652.00,57953632.00,54264902.00,750728649.00,77900605.00,61837080.00,71425076.00,57530123.00,68569713.00,68392246.00,69754621.00,56916289.00,72891503.00,80516740.00,76121646.00,55669814.00,817525461.00,77671093.00,80012003.00,87459277.00,69615536.00,77610209.00,91041781.00,85166887.00,70865930.00,93870458.00,96262570.00,85972565.00,100866902.00,1016415210.00,85374410.00,74662720.00,87405384.00,73140334.00,67916251.00,79343124.00,89473962.00,71430159.00,77902297.00,70856108.00,91204475.00,73878794.00,942588017.00,75243981.00,89788547.00,82342766.00,75573946.00,78725422.00,85545570.00,84421174.00,71719161.00,79235002.00,89648810.00,83790148.00,#VALUE!,#VALUE!
Estonia,2056042.00,1705394.00,1984364.00,2160041.00,1940454.00,1693011.00,1608036.00,1616224.00,1845092.00,1871695.00,1571130.00,2396379.00,22447862.00,1253595.00,1642380.00,1995110.00,1801888.00,1751459.00,1969906.00,2211019.00,1481182.00,2036306.00,1979342.00,1847965.00,2011942.00,21982094.00,1639296.00,2174332.00,2363409.00,2088857.00,1947100.00,1706933.00,1689905.00,1513320.00,2256272.00,1952160.00,2212297.00,1554643.00,23098524.00,1819881.00,3722903.00,2343333.00,2253103.00,1884357.00,3309106.00,1875604.00,2596005.00,2377220.00,2521232.00,2468814.00,2699080.00,29870638.00,2124330.00,2213442.00,2491815.00,2781016.00,4828964.00,2412637.00,2680175.00,2434748.00,4370470.00,3647023.00,3970188.00,2767359.00,36722167.00,5813607.00,2315246.00,3657187.00,2745842.00,3549991.00,3651318.00,3182762.00,2062402.00,4224453.00,4778911.00,2652665.00,2315377.00,40949761.00,4228662.00,4245615.00,2597308.00,2832072.00,2087291.00,2446626.00,2228678.00,2985563.00,3592523.00,3083401.00,4395082.00,2565927.00,37288748.00,3551007.00,3238495.00,3765764.00,4239682.00,4310490.00,3145842.00,3175064.00,3962103.00,5570160.00,4511573.00,5021060.00,4626353.00,49117593.00,4006080.00,5274810.00,5549143.00,5422596.00,5165878.00,4249605.00,7945171.00,5024721.00,5610373.00,4681024.00,6121405.00,6614951.00,65665757.00,4112450.00,5370019.00,6474620.00,13581644.00,5049765.00,6932324.00,6009245.00,4728580.00,5039061.00,5630513.00,5870389.00,5890710.00,74689320.00,5052217.00,11399242.00,6564880.00,7873668.00,6466683.00,8297204.00,11142888.00,12007644.00,9913846.00,7669001.00,11162729.00,8846721.00,106396723.00
Spain,2294967371.00,2127955425.00,2468814526.00,2289295047.00,2417555497.00,2492542220.00,2551349191.00,1940251074.00,2657401014.00,2645078958.00,2383190073.00,2505699784.00,28774100180.00,2208775607.00,2335555845.00,2711750738.00,2369455952.00,2503519310.00,2830940320.00,2653234503.00,1993153413.00,2686104405.00,2562728979.00,2460627816.00,2533848778.00,29849695666.00,2167957639.00,2324426835.00,2657502534.00,2418621092.00,2516489613.00,2774330623.00,2555338657.00,2136825710.00,2802491054.00,2500774675.00,2643676571.00,2654268345.00,30152703348.00,2508337277.00,2502267004.00,3118764998.00,2417334094.00,2834397706.00,2945377893.00,2582605376.00,2285599200.00,2961507691.00,2797025951.00,2947999163.00,2799991419.00,32701207772.00,2761147838.00,2640798486.00,3103853184.00,2733203693.00,3000632839.00,3127627385.00,2966616343.00,2466828032.00,2925986494.00,3117914926.00,3036244443.00,2886623136.00,34767476799.00,2896290463.00,2783286864.00,3445778891.00,2796955749.00,3118250105.00,3286797211.00,3185165690.00,2392955826.00,3328038436.00,3386597362.00,3121344954.00,3338467018.00,37079928569.00,2945438851.00,2863438548.00,2908393949.00,1743282487.00,2038862438.00,2854234900.00,2956605455.00,2267938978.00,3242097920.00,3036145448.00,3025227009.00,3119167296.00,33000833279.00,2654496612.00,2794650556.00,3723074570.00,3164521245.00,3323581781.00,3777562507.00,3465010612.00,2768407027.00,3949656158.00,3673576581.00,3936306583.00,4301426874.00,41532271106.00,3598253180.00,3827909146.00,4851084200.00,4108040115.00,4461198139.00,4906606277.00,4200837479.00,4070310522.00,5110108088.00,4265245521.00,4639037785.00,4573987517.00,52612617969.00,4161761378.00,4145902891.00,4880222661.00,3923653798.00,4647121979.00,4362962641.00,4315681974.00,3664989713.00,4319067295.00,4362390710.00,4632224640.00,4074621416.00,51490601096.00,4313644134.00,4170913988.00,4421399790.00,4256496918.00,4385423597.00,4510327303.00,4574075641.00,3587876330.00,4774533794.00,4686716698.00,4324778164.00,4449388014.00,52455574371.00
Finland,35029717.00,28599504.00,30491286.00,33716572.00,16013138.00,42325180.00,37264446.00,24982004.00,43111191.00,25062183.00,34464483.00,58162652.00,409222356.00,23784015.00,28805281.00,51483741.00,28029335.00,30363821.00,31039901.00,33073555.00,34944399.00,33955343.00,29736913.00,24786811.00,31018626.00,381021741.00,22310892.00,29481992.00,26196945.00,26687304.00,27303232.00,41878483.00,21302451.00,36272353.00,29706234.00,29004600.00,32289012.00,42425292.00,364858790.00,34264869.00,30280685.00,32646640.00,27954761.00,35205828.00,49369744.00,33060756.00,27614936.00,44919667.00,28126498.00,32800512.00,33383019.00,409627915.00,28444001.00,21648723.00,26591105.00,41710418.00,34085322.00,38305563.00,45848235.00,43673171.00,63793008.00,48403853.00,49938204.00,34107972.00,476549575.00,24131395.00,41947695.00,71599457.00,36561001.00,39038399.00,37621144.00,37044177.00,45589750.00,39655668.00,23800548.00,39161011.00,37153066.00,473303311.00,23259709.00,35868560.00,46027521.00,33724312.00,33671868.00,43510986.00,46524791.00,35807156.00,29107686.00,36230253.00,42212226.00,31926034.00,437871102.00,42044509.00,36458946.00,52852278.00,39122930.00,47794409.00,64775156.00,70304457.00,33256348.00,40911787.00,43952747.00,83624461.00,57423114.00,612521142.00,60127992.00,44093192.00,60962955.00,68986963.00,51987781.00,39469077.00,56773815.00,70967003.00,64747799.00,58359843.00,44593383.00,61173063.00,682242866.00,68256053.00,39947344.00,100838636.00,45714625.00,42222725.00,60563863.00,48379646.00,36135993.00,40381182.00,39988309.00,55076496.00,36854254.00,614359126.00,41262901.00,91128187.00,41011224.00,104898913.00,77046623.00,51963021.00,39095945.00,61983955.00,73982371.00,40053353.00,48820321.00,#VALUE!,#VALUE!
