TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,238342528.00,253638937.00,265589570.00,252714701.00,262601828.00,281202123.00,301156587.00,233883882.00,297384461.00,312546261.00,305601070.00,256519156.00,3261181104.00,230857627.00,260038553.00,291969350.00,282546854.00,261078814.00,302306012.00,314109324.00,254294801.00,304323453.00,322169607.00,338390658.00,252886370.00,3414971423.00,271021786.00,295799989.00,317247803.00,297860223.00,280285066.00,301224600.00,285888489.00,273554461.00,305354171.00,313141876.00,335667587.00,270930383.00,3547976434.00,287953519.00,295521129.00,356983771.00,289092913.00,341469872.00,306455931.00,323458818.00,322568313.00,345933478.00,362753031.00,366857412.00,294607631.00,3893655818.00,340592117.00,360635961.00,388022357.00,325110210.00,361338598.00,387295832.00,349842445.00,314700112.00,335591830.00,409499305.00,368956699.00,303481016.00,4245066482.00,341261780.00,337332423.00,358269098.00,343087211.00,355675801.00,334429830.00,368927967.00,307251267.00,355380922.00,389537180.00,361512714.00,287763140.00,4140429333.00,332872221.00,342012751.00,365399241.00,235616700.00,257815801.00,324077556.00,362588262.00,336053946.00,378804803.00,408109702.00,406165254.00,320433325.00,4069949562.00,347827839.00,390567260.00,473811559.00,436354639.00,445394606.00,472308716.00,448172408.00,436313997.00,479872045.00,440681200.00,502435177.00,428068885.00,5301808331.00,442651466.00,466792533.00,557810773.00,489145036.00,552841007.00,521102579.00,484879140.00,429130672.00,534759309.00,513363499.00,555180274.00,430000770.00,5977657058.00,476815909.00,498662299.00,576946046.00,448455163.00,511435479.00,503331908.00,503749589.00,472930300.00,491653873.00,523292738.00,522774550.00,367902969.00,5897950823.00,402837782.00,485087522.00,485041402.00,479515224.00,439090981.00,468106655.00,487184222.00,405983699.00,435751871.00,508979758.00,520642852.00,#VALUE!,#VALUE!
Belgium,177663237.00,181387065.00,180802932.00,172126979.00,157959520.00,158333128.00,197672921.00,137541470.00,191388354.00,193484133.00,177484621.00,144421456.00,2070265816.00,179505736.00,185358898.00,214672559.00,180578305.00,168169893.00,188880055.00,221344657.00,214773709.00,219358473.00,220710591.00,207408553.00,176597047.00,2377358476.00,207942272.00,225192674.00,234103390.00,221516506.00,213700932.00,199756735.00,261486119.00,219572320.00,227906935.00,256092898.00,265283666.00,193202084.00,2725756531.00,221714075.00,216272714.00,270702896.00,213141993.00,254167927.00,239920175.00,224628303.00,265296358.00,317927598.00,294724068.00,259519871.00,235179838.00,3013195816.00,268836192.00,258762650.00,277461812.00,229867609.00,262191830.00,277115024.00,268773813.00,281735803.00,261955190.00,299688057.00,300038161.00,201062885.00,3187489026.00,259246887.00,270444732.00,306138127.00,271199428.00,277357017.00,259136643.00,266466773.00,271049470.00,293652700.00,324291849.00,315233770.00,249640838.00,3363858234.00,279005608.00,295205359.00,301811479.00,159804421.00,218531907.00,242834993.00,263369624.00,245318839.00,312934987.00,297140698.00,307100874.00,273378626.00,3196437415.00,303232610.00,320272151.00,374690751.00,341977453.00,340864665.00,355077802.00,312586180.00,361871920.00,359940787.00,371354973.00,396145021.00,321778795.00,4159793108.00,365175222.00,386172777.00,421562192.00,366079658.00,448524696.00,409294114.00,339662256.00,435450175.00,506741681.00,422129014.00,437671314.00,384338391.00,4922801490.00,393999547.00,442694984.00,505390983.00,407124461.00,431346643.00,415145835.00,438459369.00,403072647.00,460682481.00,452954528.00,470656430.00,435695943.00,5257223851.00,389702485.00,429991784.00,411581964.00,410217954.00,394703677.00,367923338.00,425435462.00,358433829.00,382710083.00,455571131.00,440941714.00,#VALUE!,#VALUE!
Bulgaria,234796521.00,275085372.00,318432303.00,292793039.00,281373109.00,276156148.00,326624439.00,334710037.00,313947061.00,315451776.00,304272857.00,258452667.00,3532095327.00,235227956.00,267444957.00,323541974.00,309495122.00,292556377.00,326565770.00,357346432.00,315050186.00,317704413.00,330578312.00,318215802.00,280489896.00,3674217197.00,218803563.00,295908634.00,348651362.00,321065983.00,313851229.00,330295791.00,334859502.00,354014603.00,344742795.00,348234910.00,348654034.00,325262167.00,3884344571.00,272345937.00,324910196.00,424121014.00,323342948.00,365518126.00,369702893.00,378080587.00,387276071.00,368645403.00,379184594.00,393801261.00,326685478.00,4313614509.00,314940380.00,317092273.00,432147324.00,369420269.00,395439836.00,416040025.00,415849296.00,418485570.00,399257998.00,424281753.00,390467489.00,313479592.00,4606901806.00,329264030.00,371172830.00,447685255.00,389290548.00,420245970.00,397127395.00,442016187.00,443026917.00,456751571.00,478946590.00,463686005.00,368263459.00,5007476757.00,390674418.00,444272580.00,423854368.00,291766066.00,328368106.00,372852268.00,420059137.00,399224629.00,437455090.00,446508754.00,444954990.00,392530721.00,4792521128.00,379413054.00,436115017.00,496157015.00,493240185.00,482963030.00,543044693.00,583211711.00,555458334.00,601261071.00,607645191.00,642499378.00,646602482.00,6467611162.00,625553811.00,699464348.00,804127912.00,672193656.00,731785536.00,810539534.00,697235659.00,717255048.00,775883994.00,699077305.00,743125256.00,627165890.00,8603407948.00,592830077.00,587951771.00,690390627.00,556098479.00,623096180.00,618396579.00,597863728.00,617463593.00,635637073.00,661960502.00,661172198.00,645983727.00,7488844535.00,565670280.00,543902435.00,595977556.00,716028948.00,595487201.00,632440182.00,674620095.00,537701147.00,643472376.00,698597417.00,623135633.00,#VALUE!,#VALUE!
Cyprus,6131853.00,5835219.00,6947900.00,2655184.00,3823186.00,3219542.00,3940865.00,1847539.00,5331210.00,5505831.00,3353564.00,5424230.00,54016123.00,4956206.00,4891932.00,6745858.00,5425916.00,3937659.00,21169382.00,5655943.00,4572108.00,5457835.00,4529990.00,4740971.00,18935358.00,91019158.00,3876237.00,3539237.00,12802614.00,5394288.00,12771177.00,7079343.00,7103438.00,3612659.00,4380454.00,17949139.00,4011780.00,4172022.00,86692388.00,3292469.00,3392319.00,4580368.00,4557931.00,3775086.00,11535100.00,4166267.00,5433056.00,5418159.00,10955799.00,5697795.00,6896419.00,69700768.00,4569549.00,3767448.00,5621438.00,3750351.00,4137674.00,5512974.00,20697059.00,3431416.00,7166277.00,6335391.00,6070817.00,5620471.00,76680865.00,4888054.00,4948208.00,4158301.00,5859929.00,21388835.00,7480977.00,8827859.00,4292065.00,9732633.00,9349018.00,6487131.00,7368225.00,94781235.00,6283111.00,12904535.00,5910608.00,9808256.00,7413103.00,7079673.00,6192608.00,9413347.00,11036990.00,9287736.00,9576244.00,10232355.00,105138566.00,7939925.00,9245778.00,9754972.00,10461613.00,11081679.00,25791092.00,22381857.00,7580497.00,5676262.00,13348980.00,28415095.00,8784218.00,160461968.00,10294957.00,10474055.00,8312355.00,21024268.00,44184477.00,17546025.00,13176150.00,9621338.00,10528134.00,10687312.00,13292029.00,15345835.00,184486935.00,14575407.00,28113370.00,12211258.00,17688964.00,12423480.00,30600017.00,14520586.00,11030306.00,34373947.00,11666373.00,13117453.00,11264560.00,211585721.00,11643068.00,9672774.00,8310770.00,10583662.00,11682184.00,8906796.00,8891083.00,8981910.00,10452805.00,8189203.00,12360632.00,#VALUE!,#VALUE!
Czechia,210874111.00,216031777.00,232065832.00,226076244.00,222307508.00,228214739.00,238535828.00,184618602.00,255352925.00,270473495.00,257456956.00,203391244.00,2745399260.00,232898030.00,238931157.00,280847761.00,231056728.00,242380747.00,277245001.00,275008058.00,223139849.00,288732440.00,315662181.00,288372197.00,230578708.00,3124852856.00,246992138.00,276333989.00,296785743.00,286466474.00,287717008.00,290943142.00,235531110.00,258676252.00,302956054.00,304232097.00,304934037.00,247444018.00,3339012062.00,295011003.00,302995232.00,361857018.00,295500637.00,348918673.00,332575757.00,287672276.00,325563964.00,357383688.00,374651085.00,372067395.00,311667155.00,3965863883.00,351959960.00,360724925.00,388599818.00,357685610.00,388045346.00,402622098.00,337466751.00,376002839.00,399974858.00,462731638.00,438258738.00,298062507.00,4562135088.00,404271074.00,389091728.00,430820458.00,406723270.00,424800230.00,379461452.00,378810703.00,346353964.00,445005040.00,473134490.00,455825659.00,334636636.00,4868934706.00,422944351.00,433435271.00,364536934.00,170563165.00,264868880.00,364124019.00,394860994.00,360662699.00,432341945.00,449919001.00,439244054.00,348130566.00,4445631881.00,392236402.00,391716024.00,473663917.00,430244630.00,415424243.00,456485105.00,380714142.00,396438062.00,402554128.00,436334832.00,515798107.00,410171841.00,5101781432.00,466542108.00,457943102.00,515019156.00,457265942.00,536143223.00,519740574.00,464803158.00,463568534.00,570978229.00,576605486.00,580935278.00,437959102.00,6047503892.00,544435801.00,562279173.00,630320841.00,506578959.00,604953367.00,572736960.00,528149660.00,504205878.00,536041339.00,617646767.00,611730775.00,426893140.00,6645972661.00,535165239.00,589676154.00,591949400.00,615280869.00,599226896.00,511625978.00,536594809.00,512437326.00,595160773.00,616820568.00,599862093.00,465099819.00,6768899925.00
Germany,1520267716.00,1646494193.00,1725572553.00,1632879521.00,1704631963.00,1756872334.00,1879788063.00,1490268513.00,1821606621.00,1916442940.00,1767138279.00,1476301245.00,20338263941.00,1638315456.00,1767426164.00,1897744242.00,1798379280.00,1804377439.00,1932300127.00,1947674188.00,1719548269.00,2058485110.00,2123888855.00,2071444267.00,1619399030.00,22378982427.00,1765504193.00,2036448586.00,2183989323.00,2119489485.00,2021886721.00,2236552117.00,2094488736.00,2122101395.00,2370529777.00,2222618772.00,2407442417.00,1949796808.00,25530848330.00,2103284215.00,2381299038.00,2664494499.00,2306706806.00,2514672023.00,2458737124.00,2448267077.00,2474093205.00,2629281533.00,2618348164.00,2732372915.00,2222292770.00,29553849369.00,2496506192.00,2552029241.00,2815878265.00,2628552507.00,2646795934.00,2758244036.00,2698827617.00,2656242054.00,2653662864.00,2975666243.00,2754706883.00,2138965370.00,31776077206.00,2574517900.00,2719247718.00,2823324869.00,2643556563.00,2751811739.00,2691007592.00,2740066422.00,2538402255.00,2804439118.00,2842722005.00,2782136410.00,2222926209.00,32134158800.00,2684982749.00,2794893590.00,2565813055.00,1461706369.00,1760532470.00,2210214165.00,2483748586.00,2318980471.00,2750492798.00,2780813433.00,2775056675.00,2281640170.00,28868874531.00,2458245420.00,2700293598.00,3060787172.00,2731349724.00,2530794512.00,2718762020.00,2717205937.00,2444775479.00,2718750246.00,2783968981.00,3002104265.00,2496897000.00,32363934354.00,2822974676.00,2999416653.00,3361842744.00,2855788754.00,3313505114.00,3191255317.00,3082530733.00,3018392871.00,3514627181.00,3309028606.00,3587462500.00,2665626475.00,37722451624.00,3188251664.00,3335837599.00,3814501115.00,3032152035.00,3563373579.00,3496170480.00,3322820664.00,3211475202.00,3543460669.00,3543769898.00,3616734056.00,2710723438.00,40379270399.00,3411800877.00,3665925228.00,3910243774.00,3786449125.00,3301580562.00,3394960799.00,3468017098.00,3196883839.00,3602830715.00,3645202277.00,3369555928.00,#VALUE!,#VALUE!
Denmark,31457764.00,51760600.00,71019427.00,36183615.00,34890904.00,39570535.00,36305347.00,36299101.00,41883183.00,40174062.00,33449307.00,38553042.00,491546889.00,33217178.00,31460756.00,37863039.00,29247041.00,31874278.00,41653098.00,37306603.00,38186058.00,42146448.00,42978507.00,43591440.00,42657895.00,452182343.00,34414872.00,38750932.00,40504627.00,42095863.00,128681094.00,36278045.00,36987914.00,41446617.00,43431875.00,41740795.00,38711230.00,42344554.00,565388419.00,45633867.00,35457300.00,46119081.00,36010723.00,46715728.00,55089094.00,48032076.00,46928867.00,45027812.00,48213488.00,50158419.00,35626154.00,539012610.00,48401098.00,53199322.00,54521775.00,44549850.00,46703520.00,44416331.00,41544386.00,46892997.00,45174528.00,52304805.00,51474898.00,36019743.00,565203254.00,44062252.00,45691149.00,47916018.00,40574167.00,47448776.00,45065277.00,48405365.00,44789863.00,48423287.00,53141178.00,55919855.00,52623157.00,574060346.00,54525596.00,55837463.00,56040156.00,41247658.00,35577645.00,51261109.00,51859407.00,45187764.00,63432480.00,56042793.00,62060026.00,47348504.00,620420600.00,47432070.00,49445077.00,67564099.00,45381254.00,52409787.00,53309130.00,69344514.00,54359714.00,59770610.00,61703998.00,55722250.00,52043198.00,668485704.00,58307738.00,59122138.00,79662729.00,65959221.00,72462208.00,70340749.00,58251999.00,57419922.00,83293525.00,75768530.00,70917887.00,52240006.00,803746654.00,74251610.00,68159070.00,83466616.00,69272604.00,67545737.00,78819473.00,68198089.00,61699159.00,83893068.00,83660786.00,86694676.00,69128344.00,894789232.00,100028424.00,105767176.00,76209769.00,90434524.00,69826991.00,64853050.00,66749010.00,62588600.00,73870699.00,104998550.00,79879614.00,#VALUE!,#VALUE!
Estonia,3960658.00,3868463.00,4353025.00,4811226.00,5291253.00,7301596.00,5826028.00,5775505.00,5948180.00,7398473.00,6811263.00,10729889.00,72075559.00,5549161.00,4628274.00,5780428.00,3079584.00,7414477.00,6539014.00,3837894.00,5920766.00,7989973.00,8525133.00,5668689.00,9595501.00,74528894.00,6591048.00,3272333.00,5753663.00,6052417.00,7519652.00,8546119.00,14377696.00,15250663.00,20868709.00,22289849.00,11145623.00,8242618.00,129910390.00,11297373.00,9304744.00,13323769.00,11448843.00,14123765.00,9956088.00,10789943.00,9224568.00,10369877.00,9116006.00,10665378.00,7382966.00,127003320.00,8966650.00,13015881.00,14202662.00,14788591.00,12075960.00,15183051.00,15098780.00,11334637.00,13615917.00,10766094.00,10188501.00,6225089.00,145461813.00,7115131.00,10748154.00,8215366.00,7951050.00,9809573.00,12861398.00,10249037.00,6508120.00,6590973.00,6923553.00,8942741.00,6699726.00,102614822.00,6254321.00,6636106.00,6554096.00,4224386.00,5141408.00,7361697.00,9316455.00,8318586.00,10291547.00,9778483.00,10133718.00,6071084.00,90081887.00,8913956.00,8573175.00,8343101.00,8194072.00,15473398.00,8925647.00,8868184.00,9169161.00,10127352.00,9174532.00,11969161.00,9394633.00,117126372.00,16588378.00,13445363.00,22781456.00,20718201.00,20393370.00,20808259.00,17890133.00,15678058.00,12667547.00,11319919.00,12553511.00,9000633.00,193844828.00,9967893.00,9326562.00,16270538.00,10296347.00,12166473.00,9845967.00,10764467.00,10714477.00,10717129.00,15244484.00,19241216.00,14283421.00,148838974.00,12745089.00,13048664.00,11884375.00,16366044.00,13566085.00,12376338.00,12458177.00,12095842.00,12114247.00,13490991.00,14162751.00,8587488.00,152896091.00
Spain,182069556.00,200419680.00,229438724.00,190848111.00,223060038.00,248471961.00,232053095.00,155596049.00,323806772.00,323488880.00,270142337.00,229220773.00,2808615976.00,229936223.00,239235938.00,303618759.00,236900206.00,278998773.00,267266185.00,266680960.00,174831473.00,338461688.00,348195830.00,305165915.00,284200726.00,3273492676.00,261772341.00,284442825.00,349017277.00,402156513.00,308096937.00,298841229.00,271105837.00,200976647.00,344517330.00,380751711.00,352940067.00,290707251.00,3745325965.00,289569572.00,321540523.00,376532380.00,292608686.00,338883264.00,334789322.00,310699003.00,259712687.00,381534830.00,408718102.00,376069963.00,322316276.00,4012974608.00,338794860.00,338532102.00,456695692.00,371993817.00,355846705.00,378073922.00,318555870.00,269439344.00,418050308.00,397748634.00,350750031.00,299433233.00,4293914518.00,321755846.00,330701016.00,388280002.00,326831549.00,364497803.00,338714200.00,386832161.00,280508041.00,372924768.00,470151207.00,384236530.00,330882825.00,4296315948.00,326831466.00,367927993.00,369524188.00,155218824.00,194427179.00,299682078.00,321272557.00,246299231.00,413575607.00,383800455.00,364811955.00,362764440.00,3806135973.00,302355412.00,341465345.00,400398022.00,337416330.00,375859578.00,371301903.00,356080751.00,264741347.00,391635809.00,335665166.00,423675865.00,367758509.00,4268354037.00,372156181.00,401395871.00,511193577.00,457320668.00,467156200.00,477694235.00,405444248.00,353413455.00,484211462.00,463601769.00,512463687.00,473783405.00,5379834758.00,420816157.00,435914818.00,533098343.00,449700250.00,496593342.00,487978004.00,502906802.00,420916556.00,550129292.00,600539674.00,639819682.00,443351325.00,5981764245.00,497190579.00,560430291.00,595925630.00,585636403.00,523201772.00,574312699.00,495592484.00,377839564.00,624528887.00,575250441.00,540596534.00,489820535.00,6440325819.00
Finland,18662018.00,22020004.00,25049310.00,23624161.00,17842952.00,21849571.00,15652641.00,20406490.00,22052066.00,25352233.00,27652170.00,23013871.00,263177487.00,24042344.00,30464805.00,26775254.00,23902727.00,21974201.00,32855702.00,19575004.00,23866844.00,28854939.00,28041603.00,26040218.00,26409245.00,312802886.00,19443897.00,27193369.00,26507831.00,20203282.00,24131405.00,22851460.00,16642558.00,23332493.00,22279239.00,29199522.00,26918985.00,22012714.00,280716755.00,20551447.00,24187309.00,27910254.00,27936144.00,34306798.00,32714964.00,30253331.00,29216318.00,30783574.00,34363814.00,32475242.00,24308972.00,349008167.00,29929426.00,32460149.00,32374430.00,27103865.00,33504540.00,28230353.00,23174361.00,23242030.00,26649038.00,29704412.00,29476021.00,21846694.00,337695319.00,26298490.00,25378130.00,34111318.00,28454929.00,31996840.00,28029064.00,39558916.00,27065554.00,29142641.00,38843318.00,33400681.00,25617416.00,367897297.00,47638860.00,27893477.00,33954239.00,18932842.00,20858900.00,31870711.00,29863881.00,22351427.00,31332960.00,31064160.00,31305613.00,30590398.00,357657468.00,22418606.00,29307194.00,37455993.00,27484414.00,29205417.00,38634620.00,34834830.00,27806608.00,33161583.00,28430780.00,35605611.00,54196410.00,398542066.00,30050669.00,34908231.00,43657949.00,43754040.00,41287051.00,46748058.00,32613560.00,36601392.00,38758901.00,35343597.00,35777960.00,27745190.00,447246598.00,45388945.00,37274283.00,59177917.00,32671353.00,37188286.00,40816073.00,24657990.00,32387473.00,43097592.00,43373131.00,39274048.00,38431975.00,473739066.00,35125488.00,49780785.00,32041771.00,41192092.00,37871545.00,42254987.00,37138551.00,38680330.00,38124657.00,44533869.00,48115546.00,#VALUE!,#VALUE!
