TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,729752885.00,767418951.00,789599171.00,748839961.00,747622756.00,674681523.00,723107581.00,711623795.00,827698035.00,855632739.00,864234373.00,670774254.00,9110986024.00,733230514.00,677813882.00,831593368.00,788586298.00,718663755.00,752281963.00,784937768.00,805132523.00,904585960.00,877584872.00,903309257.00,683501212.00,9461221372.00,679576422.00,711828613.00,759310840.00,824319494.00,799491683.00,806655619.00,768755206.00,820287757.00,854674904.00,914803550.00,969461293.00,802601197.00,9711766578.00,827189015.00,798376979.00,957490390.00,895490355.00,928394491.00,893669144.00,966496692.00,959027542.00,1090932124.00,1215300036.00,1075778552.00,785527006.00,11393672326.00,1012480780.00,939644696.00,1187938897.00,965446679.00,989815572.00,969916996.00,946645122.00,905634316.00,978592723.00,1113399703.00,1112862797.00,819930570.00,11942308851.00,932463352.00,888635131.00,1079002860.00,952655829.00,876753770.00,806927789.00,874576144.00,841173188.00,939381200.00,1132733198.00,977911697.00,746650015.00,11048864173.00,819368574.00,899582338.00,1004027625.00,576533068.00,646044447.00,780771952.00,859397978.00,940053190.00,876639438.00,918616232.00,869295404.00,707888693.00,9898218939.00,870768035.00,855128387.00,1097934247.00,831319934.00,870045139.00,865433308.00,895163929.00,928288254.00,965371756.00,1017945175.00,1175826238.00,952362019.00,11325586421.00,1044193296.00,964091624.00,1273934964.00,1141957593.00,1089560027.00,1060149385.00,972623765.00,1113067600.00,1132911975.00,1234871700.00,1324382706.00,780031431.00,13131776066.00,1128306975.00,1063628050.00,1252646774.00,1080981260.00,1152070426.00,1143407143.00,1152132716.00,1080949929.00,1187689508.00,1250114766.00,1102847825.00,812751422.00,13407526794.00,1099433598.00,1089287770.00,1155248072.00,1142010123.00,1130587015.00,1211966560.00,1236259040.00,1100605273.00,1138570094.00,1410444120.00,1287239907.00,#VALUE!,#VALUE!
Belgium,158053120.00,150626544.00,160858669.00,146482506.00,149933524.00,156890920.00,133992256.00,121230517.00,147311974.00,160747309.00,142697286.00,122436594.00,1751261219.00,141158877.00,143137071.00,182100250.00,174150237.00,148136723.00,174433230.00,148593096.00,133655354.00,175069004.00,169405321.00,166950025.00,149255829.00,1906045017.00,146839406.00,164579478.00,181635421.00,170005516.00,163896198.00,177500398.00,133600533.00,144654164.00,175690840.00,177033931.00,175164792.00,153279596.00,1963880273.00,137942241.00,157224522.00,198931044.00,161974397.00,172771015.00,180925135.00,137210289.00,143134999.00,154893950.00,182884252.00,174496238.00,143318611.00,1945706693.00,159417850.00,168334372.00,192200827.00,179778961.00,181004604.00,204874573.00,181431228.00,172396339.00,166634377.00,181117001.00,179152158.00,151552133.00,2117894423.00,175374923.00,178369422.00,188205731.00,247831354.00,189896160.00,179769827.00,178614577.00,162119495.00,187631833.00,191606150.00,210454938.00,189737944.00,2279612354.00,210092669.00,206063281.00,193876210.00,136100526.00,140853215.00,193941355.00,185918247.00,174512833.00,214952510.00,204350348.00,200581092.00,188044262.00,2249286548.00,211191816.00,223766766.00,259226076.00,237053606.00,209921706.00,223207415.00,200737796.00,198736520.00,207446307.00,219325072.00,233986132.00,241097939.00,2665697151.00,249933191.00,243129337.00,267510994.00,259204881.00,297529310.00,283645683.00,217946443.00,232801328.00,280747918.00,256122314.00,264063020.00,287909584.00,3140544003.00,265730223.00,298278457.00,342783123.00,278169673.00,294926603.00,318711427.00,263490838.00,267261743.00,281821933.00,324740199.00,295806952.00,219140454.00,3450861625.00,263245615.00,286285060.00,286280138.00,309459997.00,288883887.00,257130369.00,243772570.00,194288556.00,217771150.00,303071793.00,253652399.00,#VALUE!,#VALUE!
Bulgaria,33903451.00,39306417.00,37901312.00,38848477.00,34505946.00,33537631.00,39140975.00,40278205.00,41143225.00,45437959.00,48185862.00,39928065.00,472117527.00,35678103.00,43305558.00,50010546.00,53088222.00,49671157.00,49818211.00,39337263.00,39708273.00,45192125.00,50434381.00,50239314.00,41474639.00,547957792.00,34495261.00,42097669.00,45293305.00,43549742.00,44722940.00,44326843.00,40444998.00,38668650.00,43144688.00,47558504.00,49569693.00,41766827.00,515639120.00,41849126.00,41899351.00,51177512.00,46514425.00,51116898.00,49313121.00,48681648.00,46435051.00,53403444.00,58551129.00,61285053.00,46740373.00,596967130.00,50948060.00,44397959.00,52327403.00,47716037.00,51609288.00,51002829.00,48230101.00,43078179.00,49489631.00,56067703.00,71464073.00,44563274.00,610894535.00,62359735.00,57949994.00,67788289.00,69534379.00,55061649.00,59819246.00,57046475.00,58324789.00,62267877.00,66392061.00,72911611.00,50820944.00,740277050.00,65278928.00,63998737.00,62693448.00,38694637.00,52708759.00,63080119.00,53729940.00,51148959.00,62338572.00,65301744.00,71123986.00,47792005.00,697889836.00,63758645.00,57141618.00,71743626.00,61473828.00,59461974.00,60680598.00,62843388.00,65217196.00,68777379.00,68861628.00,83046923.00,56488819.00,779495625.00,78108411.00,71875728.00,87926531.00,86068428.00,84965292.00,86181088.00,76483447.00,74239906.00,84417287.00,99552902.00,105687814.00,78888437.00,1014395271.00,89558792.00,90257160.00,105246635.00,87927279.00,93485724.00,90972186.00,86446293.00,90007493.00,91303240.00,102802089.00,103765362.00,81522017.00,1113294271.00,85282546.00,93100568.00,88642250.00,99274041.00,85130038.00,89797588.00,85597063.00,89404085.00,92058419.00,96780524.00,80317342.00,#VALUE!,#VALUE!
Cyprus,1317497.00,645981.00,3267465.00,3485927.00,3283928.00,2236232.00,3377128.00,1997360.00,3703893.00,3438424.00,4286973.00,4216565.00,35257373.00,2905849.00,3341025.00,3888958.00,4183237.00,4203684.00,4901716.00,6276757.00,2092564.00,2469780.00,4877989.00,4116780.00,5931197.00,49189536.00,4797146.00,4431602.00,6580549.00,2612806.00,5650710.00,5663844.00,4699293.00,4572327.00,1682372.00,1493914.00,5946660.00,3716234.00,51847457.00,2836144.00,4039673.00,5183356.00,6312446.00,4061266.00,2737430.00,2903647.00,7744310.00,3422302.00,3330312.00,2521587.00,5474253.00,50566726.00,5543696.00,3011638.00,3175637.00,5317037.00,2080394.00,6803787.00,6151583.00,4650649.00,2100814.00,4136634.00,8484021.00,6011847.00,57467737.00,3952641.00,1215822.00,2053872.00,1295402.00,3198556.00,2507394.00,2336411.00,834888.00,2627948.00,2273325.00,2385676.00,1806005.00,26487940.00,2279277.00,2916940.00,3163644.00,1271364.00,1878258.00,3235684.00,1767360.00,2334072.00,1424072.00,3679181.00,2526265.00,2081587.00,28557704.00,1375286.00,4315187.00,3523898.00,3703232.00,2191795.00,4251149.00,2769017.00,1465476.00,2555480.00,2990271.00,2862099.00,2168434.00,34171324.00,3794439.00,1568997.00,5798802.00,4075147.00,2857717.00,2707222.00,5362066.00,4074551.00,2935808.00,1608083.00,5219445.00,2050014.00,42052291.00,4550768.00,5330596.00,2091467.00,4681637.00,2623049.00,6398772.00,2233530.00,7884284.00,5984474.00,6132828.00,4172658.00,5962389.00,58046452.00,5975905.00,8404897.00,4884160.00,8293739.00,9652266.00,3653134.00,6757635.00,3167638.00,5451016.00,3414094.00,3811259.00,#VALUE!,#VALUE!
Czechia,1430333687.00,1418921762.00,1590284925.00,1557298248.00,1537869997.00,1559186253.00,1529754985.00,1429899102.00,1721982341.00,1808487238.00,1748486998.00,1595461906.00,18927967442.00,1471355734.00,1604097104.00,1832379343.00,1650659873.00,1628793262.00,1792849185.00,1712955986.00,1604402137.00,1889826385.00,2024593027.00,2031934609.00,1858408245.00,21102254890.00,1646721420.00,1770779657.00,1794534628.00,1666424275.00,1770305915.00,1733759746.00,1339201465.00,1627164561.00,1714076444.00,1774541132.00,1900589506.00,1659087210.00,20397185958.00,1594627338.00,1557282167.00,1842787243.00,1602111421.00,1762358193.00,1774268539.00,1449135354.00,1706819803.00,1760853388.00,1995813904.00,2009691849.00,1648644108.00,20704393308.00,1722780605.00,1653946467.00,1804259161.00,1742984348.00,1913014619.00,1916197576.00,1633846014.00,1840720626.00,1950653202.00,2243017307.00,2235960257.00,1712874220.00,22370254399.00,1802612032.00,1727832718.00,1935483760.00,1866158735.00,1931707003.00,1775154259.00,1763267377.00,1692572593.00,1954879505.00,2131370238.00,2006014286.00,1635134652.00,22222187158.00,1740180895.00,1735539616.00,1712228310.00,1220913029.00,1421225580.00,1636385985.00,1652642169.00,1668149360.00,1895438734.00,2004524934.00,2052631819.00,1830831276.00,20570691706.00,1729912621.00,1793839895.00,2176173945.00,2058595796.00,2040867865.00,2171796325.00,1957153780.00,2019163502.00,2232123321.00,2408548290.00,2718002064.00,2402347340.00,25708524747.00,2285250924.00,2315335808.00,2840648363.00,2474031969.00,2917039849.00,2767782484.00,2261964451.00,2631846198.00,2771788858.00,2754121849.00,2972996012.00,2455437538.00,31448244306.00,2488775971.00,2570318091.00,2888353157.00,2491582879.00,2757132507.00,2743201524.00,2207299733.00,2472969108.00,2495356152.00,2955435548.00,2917120224.00,2407449771.00,31394994666.00,2505903120.00,2471701944.00,2480741608.00,2682351857.00,2590413002.00,2491208603.00,2374318546.00,2400557927.00,2629796152.00,2968035174.00,2978206200.00,2461424498.00,31034658632.00
Germany,1983313520.00,2098877177.00,2128758070.00,2091074518.00,2073996209.00,2077770130.00,1976544268.00,1768855465.00,2267852406.00,2340710377.00,2171080030.00,1882528588.00,24861360758.00,2020262011.00,2146091534.00,2251976633.00,2292096077.00,2088908368.00,2316416525.00,2411377373.00,1933129764.00,2514279305.00,2561978880.00,2361133904.00,1884009805.00,26781660179.00,2066701944.00,2396285729.00,2281851058.00,2421939570.00,2302485118.00,2481177707.00,1995652670.00,2247328061.00,2511517296.00,2535831562.00,2556106757.00,2115906363.00,27912783835.00,2170214466.00,2425593862.00,2726830892.00,2392978301.00,2542495137.00,2477972998.00,2020884081.00,2374546942.00,2537291259.00,2517737351.00,2597894539.00,2020679117.00,28805118945.00,2266613751.00,2387381928.00,2841268326.00,2557332401.00,2749425274.00,2760521356.00,2514977212.00,2630877639.00,2774302555.00,3012851363.00,2877214302.00,2173974882.00,31546740989.00,2663834620.00,2751594598.00,2895047500.00,2727826396.00,2801964687.00,2809436632.00,2382784226.00,2486794923.00,2982184527.00,3169683601.00,2774220960.00,2278647922.00,32724020592.00,2463117920.00,2636415153.00,2551375285.00,1277944133.00,1676978431.00,2649878495.00,2181145115.00,2730136570.00,2942405361.00,2884560285.00,3029253043.00,2381100112.00,29404309903.00,2449719793.00,3030840626.00,3293117772.00,2725745455.00,2760153052.00,2929954116.00,2421627910.00,2104291124.00,2449317584.00,2938697297.00,3279787721.00,2814197245.00,33197449695.00,2870603293.00,3184488930.00,3377411652.00,2814932978.00,3280562442.00,3496484387.00,2798885312.00,2778263569.00,3699947648.00,3340026581.00,3709282160.00,2697253417.00,38048142369.00,2921359121.00,3241547057.00,4175811474.00,2943378281.00,3587751853.00,3574530347.00,3145763707.00,2936742110.00,3590182495.00,3430646728.00,3360139915.00,2632385415.00,39540238503.00,2986512311.00,3324433833.00,3336887866.00,3786811288.00,3430736486.00,3305436732.00,3030369932.00,3133256645.00,3422085094.00,3747616394.00,3336310951.00,#VALUE!,#VALUE!
Denmark,46639717.00,45126674.00,48048642.00,44840881.00,54714864.00,47039311.00,39439821.00,45150326.00,48358242.00,51915903.00,46767016.00,39654750.00,557696147.00,46304775.00,49698151.00,51041724.00,47179593.00,46872474.00,54053395.00,49890723.00,45569487.00,48819221.00,52299745.00,50408015.00,45533259.00,587670563.00,45726106.00,53063795.00,56981302.00,65638388.00,54769335.00,50357763.00,40572814.00,53152025.00,50834114.00,54571807.00,54578245.00,47277509.00,627523202.00,49622069.00,47028391.00,58151717.00,46601619.00,56301231.00,62014851.00,41669191.00,51856003.00,52481254.00,52815124.00,50255063.00,42192047.00,610988559.00,48468381.00,53391791.00,54609346.00,53305163.00,56454936.00,55190875.00,48134891.00,58040554.00,56070347.00,58867153.00,58173947.00,45050734.00,645758119.00,68546597.00,57889681.00,64581073.00,56272270.00,57057228.00,53915978.00,51236179.00,58526593.00,55434434.00,63589710.00,58656812.00,42066219.00,687772774.00,58482058.00,57222758.00,57164285.00,51390048.00,50339941.00,57098320.00,48338271.00,53431861.00,57126235.00,60267910.00,53996962.00,47842480.00,652701126.00,50779291.00,54742108.00,66546473.00,58110413.00,56866274.00,68703236.00,60064091.00,64381099.00,66042668.00,68172639.00,68590868.00,50363014.00,733362173.00,67670900.00,75007819.00,91136348.00,75237985.00,78672469.00,81186087.00,64194848.00,71141811.00,83237196.00,68373378.00,71935756.00,79144931.00,906939528.00,79456888.00,73894656.00,82623465.00,73124060.00,74974488.00,97828516.00,78361132.00,77993635.00,79967552.00,74694835.00,82420314.00,71925826.00,947265366.00,72751565.00,77961084.00,66678830.00,73883519.00,63089402.00,63114614.00,63750727.00,57720040.00,63349024.00,79145984.00,76800830.00,#VALUE!,#VALUE!
Estonia,8555982.00,11050838.00,12946668.00,10674076.00,9613648.00,11659534.00,8603565.00,7496424.00,9300599.00,8857516.00,6641724.00,7655128.00,113055702.00,7341452.00,7767042.00,7454507.00,7645960.00,6869211.00,14247274.00,6143552.00,7140962.00,9143533.00,6209397.00,8942589.00,6490511.00,95395990.00,8093725.00,9634683.00,8716158.00,8535894.00,10141451.00,9421197.00,6716024.00,10759843.00,10156691.00,7720648.00,10122532.00,10858392.00,110877238.00,8053155.00,8663124.00,7440724.00,10553013.00,12747988.00,13343326.00,10135632.00,12424880.00,10983160.00,15222497.00,10643354.00,12312725.00,132523578.00,8397215.00,10208499.00,11266751.00,10698790.00,13034097.00,12923186.00,12832345.00,10377262.00,9402949.00,15015850.00,11519777.00,13446261.00,139122982.00,7548906.00,5450140.00,10055632.00,10452753.00,13008884.00,8648967.00,10781248.00,9983438.00,11113698.00,12509401.00,9511141.00,12809281.00,121873489.00,6765590.00,11086393.00,11681130.00,4065543.00,8297165.00,7652221.00,6875351.00,5590752.00,12828000.00,6999284.00,8353933.00,10119091.00,100314453.00,12247505.00,11336067.00,14172312.00,11062879.00,12207559.00,12994756.00,11450181.00,13922572.00,13455827.00,16201197.00,13351910.00,12003874.00,154406639.00,12326292.00,16958206.00,17305199.00,17453865.00,13918035.00,13056173.00,15986872.00,17253841.00,12114322.00,16829550.00,14390358.00,17361348.00,184954061.00,15665787.00,15380863.00,18202607.00,21611088.00,20292696.00,16445162.00,19277601.00,17544452.00,15013552.00,13261569.00,10546918.00,9015951.00,192258246.00,8118591.00,11285393.00,13949065.00,23973913.00,16059948.00,17289508.00,18200214.00,12175391.00,25360194.00,16813832.00,15880100.00,10320597.00,189426746.00
Spain,155861068.00,153317840.00,188638918.00,172543676.00,172201892.00,189609440.00,152324573.00,95405774.00,174902256.00,174892120.00,181313496.00,157747060.00,1968758113.00,177839257.00,186074617.00,209405381.00,176301700.00,186324194.00,222090405.00,191839120.00,106768108.00,218067091.00,212343108.00,236628248.00,201580170.00,2325261399.00,184326377.00,213934164.00,238212001.00,221895653.00,227434343.00,263460430.00,178751531.00,164184718.00,244940115.00,215273835.00,257756952.00,222775953.00,2632946072.00,194658011.00,215607356.00,274306740.00,215956575.00,245762514.00,273459611.00,193249112.00,150819572.00,250664738.00,260998346.00,266078303.00,227520035.00,2769080913.00,225011298.00,231893278.00,276169933.00,237190826.00,269849850.00,272776214.00,231069480.00,169393892.00,259994055.00,257611741.00,275720283.00,206113084.00,2912793934.00,261011161.00,216574090.00,242368870.00,212822427.00,245013623.00,236382363.00,191389135.00,158607224.00,225562679.00,271618779.00,255930699.00,218431199.00,2735712249.00,216357691.00,241110246.00,217467652.00,92203011.00,123429000.00,223073392.00,208276093.00,158562352.00,258101252.00,261887730.00,277675203.00,225687009.00,2503830631.00,226073440.00,247365558.00,270214099.00,268632169.00,223906100.00,239144620.00,206793157.00,157011966.00,208117420.00,236831902.00,250989625.00,218746583.00,2753826639.00,264925158.00,302391900.00,351389494.00,289385401.00,308549164.00,319354306.00,252435777.00,229786831.00,323604059.00,330361819.00,365753088.00,295599547.00,3633536544.00,345544607.00,361825747.00,389089390.00,313916601.00,424706190.00,408124057.00,315973560.00,267071135.00,340643038.00,389490016.00,411524144.00,299447182.00,4267355667.00,342496702.00,368940999.00,386973483.00,388559229.00,417479302.00,393893485.00,328304000.00,275320119.00,412071636.00,401220721.00,391707705.00,341304103.00,4448271484.00
Finland,19971785.00,24215896.00,28207974.00,24279507.00,22042801.00,20362161.00,17646790.00,20298345.00,22746453.00,23741317.00,20870008.00,27527375.00,271910412.00,22659622.00,29174352.00,27574687.00,24697557.00,22563773.00,24442907.00,24973142.00,21863375.00,27965933.00,26872783.00,28356695.00,27157036.00,308301862.00,21947457.00,28282613.00,25122510.00,23414749.00,22498956.00,23499713.00,19188393.00,20832613.00,23487277.00,27595447.00,26250166.00,23760400.00,285880294.00,21188817.00,25100550.00,25108461.00,22312325.00,26632783.00,25659300.00,21697359.00,21951718.00,30014053.00,29543538.00,31823636.00,22183784.00,303216324.00,22817636.00,25791052.00,25342076.00,22441998.00,25241987.00,27968018.00,24507446.00,26730806.00,28872610.00,40261559.00,36099261.00,32633445.00,338707894.00,30650419.00,26844428.00,30731183.00,36964102.00,30777395.00,32675411.00,31915923.00,23531765.00,28678903.00,40749106.00,34385190.00,31434250.00,379338075.00,27950911.00,32209296.00,37929701.00,41953240.00,30887034.00,47629806.00,27794220.00,23281724.00,28588203.00,30520225.00,31126010.00,26887841.00,386758211.00,31843081.00,36830327.00,42458850.00,28688818.00,32860319.00,35930050.00,29616099.00,30586979.00,39861968.00,41946150.00,41378788.00,35451254.00,427452683.00,35334478.00,32110675.00,38533134.00,41448652.00,48064418.00,55417559.00,41939132.00,39392732.00,46072224.00,38777364.00,41111062.00,39734406.00,497935836.00,36292571.00,28822886.00,48925240.00,36422146.00,35480285.00,43584353.00,31618253.00,33880808.00,37477323.00,52708868.00,39889314.00,32379069.00,457481116.00,28123143.00,38632851.00,35193296.00,34553023.00,31336074.00,34497900.00,32518354.00,29369875.00,37515348.00,43926058.00,36404696.00,#VALUE!,#VALUE!
