TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,358094852.00,364683444.00,394517563.00,405109731.00,377412739.00,392790676.00,407341559.00,343044128.00,412260795.00,464452737.00,401223755.00,346685619.00,4667617598.00,365622998.00,365399356.00,422399634.00,411497009.00,394647880.00,424577306.00,414464404.00,350575002.00,431217412.00,430792407.00,432315953.00,399852639.00,4843362000.00,359153198.00,394987020.00,414870012.00,413631899.00,416237209.00,425396146.00,388174379.00,379500049.00,424239441.00,415376996.00,429719675.00,394942533.00,4856228557.00,403992716.00,401762654.00,473052290.00,418385927.00,478453630.00,458215670.00,440655377.00,426009326.00,448392081.00,478647669.00,475068418.00,405634979.00,5308270737.00,447015114.00,420931831.00,474513198.00,455912924.00,531600299.00,507922597.00,489398546.00,439443340.00,467429086.00,555630736.00,521417057.00,430072653.00,5741287381.00,466993745.00,449657379.00,494810628.00,531714097.00,486464745.00,481263352.00,526031504.00,448805488.00,492415696.00,538945624.00,476515173.00,419487694.00,5813105125.00,462886667.00,479140861.00,490534656.00,364891692.00,372921074.00,431946764.00,448333591.00,391769853.00,449810299.00,466516860.00,446231298.00,407039571.00,5212023186.00,402689324.00,439403913.00,538989615.00,534510505.00,501089254.00,551715074.00,552069550.00,487092229.00,608102037.00,622396520.00,648370534.00,621511370.00,6507939925.00,585933479.00,663344900.00,886780336.00,712898166.00,773050749.00,798004955.00,719160298.00,714415622.00,896749404.00,889739824.00,813689074.00,699849631.00,9153616438.00,680018485.00,701540217.00,779653279.00,661460946.00,743090114.00,662544826.00,630489564.00,599101062.00,670638757.00,718067594.00,729703147.00,619246885.00,8195554876.00,599111346.00,616962506.00,638214047.00,663858672.00,615693635.00,618222613.00,644763049.00,564840128.00,638765534.00,667883852.00,633155741.00,#VALUE!,#VALUE!
Belgium,55755126.00,56549038.00,65040952.00,61487678.00,57659616.00,61871215.00,62300867.00,53600760.00,62490148.00,66767839.00,57223776.00,58178188.00,718925203.00,60813077.00,62111644.00,61169016.00,62397371.00,72512234.00,68810289.00,64301209.00,52338484.00,75642425.00,69898538.00,61490746.00,61028500.00,772513533.00,57998977.00,68706261.00,74958576.00,85334607.00,86128533.00,73065273.00,68339794.00,64927963.00,79339287.00,71115518.00,69762526.00,69715879.00,869393194.00,66382639.00,78315409.00,91545333.00,77857313.00,85121423.00,88053314.00,74279981.00,78989425.00,88747138.00,87945654.00,95457080.00,72958885.00,985653594.00,81949602.00,83864678.00,85543437.00,73221048.00,82115367.00,83005832.00,78241454.00,70039752.00,78487909.00,82963764.00,85732922.00,63164017.00,948329782.00,84560402.00,86539193.00,93861646.00,87910296.00,89810247.00,80972739.00,81240990.00,65941707.00,84929050.00,92841004.00,82492580.00,70837901.00,1001937755.00,78358086.00,84528426.00,84126760.00,52901893.00,67446487.00,74647321.00,83867712.00,71420073.00,88128850.00,91318501.00,85541740.00,74243310.00,936529159.00,75936689.00,85929690.00,106512361.00,94162418.00,104033170.00,103508810.00,92990992.00,86320714.00,115792816.00,96990750.00,102094218.00,117993841.00,1182266469.00,107033661.00,106126675.00,127102502.00,100360712.00,120170006.00,134536709.00,103046054.00,111313227.00,121996248.00,114847560.00,110263788.00,112625545.00,1369422687.00,112343563.00,148719417.00,130464431.00,105103978.00,116780851.00,118234591.00,91137774.00,94754410.00,118927108.00,109073051.00,118706812.00,84128977.00,1348374963.00,107174440.00,116382991.00,123020250.00,108315507.00,144018665.00,110603611.00,102384875.00,87909366.00,113154368.00,112475882.00,107964684.00,#VALUE!,#VALUE!
Bulgaria,23884270.00,22050145.00,23958472.00,21671318.00,20319662.00,24900612.00,27522755.00,18773489.00,24526826.00,32660378.00,31067108.00,29276923.00,300611959.00,26284964.00,26294478.00,25570918.00,29958602.00,23359809.00,30452040.00,29256306.00,33668137.00,30339227.00,25821711.00,41881231.00,36046828.00,358934253.00,27705947.00,33244135.00,31507258.00,43752247.00,28125987.00,38226499.00,31231982.00,31120438.00,33167845.00,38617081.00,31417705.00,32123836.00,400240961.00,27863302.00,29573519.00,34191440.00,27924613.00,46026900.00,32567293.00,45129895.00,32237932.00,46308442.00,38703181.00,38730975.00,28186192.00,427443685.00,31073268.00,31105998.00,38812815.00,36447269.00,35746592.00,35924536.00,41680421.00,40175243.00,40642103.00,40290020.00,41087667.00,32325273.00,445311205.00,39174273.00,40627931.00,47160671.00,42298250.00,40108660.00,40501847.00,42992766.00,52364210.00,38542347.00,57667837.00,39209842.00,34248432.00,514897068.00,28407618.00,36791497.00,38750456.00,29607863.00,25776707.00,34278190.00,36819711.00,37002618.00,35254861.00,37995232.00,46395909.00,31591129.00,418671790.00,29831870.00,34259363.00,43358328.00,42057538.00,39459676.00,44450514.00,40284454.00,39497818.00,49395934.00,56155411.00,45016097.00,42686682.00,506453686.00,45355543.00,46835782.00,59695500.00,52645045.00,51717285.00,57200258.00,55697869.00,49920691.00,60066990.00,82447567.00,58174436.00,52911886.00,672668852.00,77479272.00,58816693.00,63913998.00,55603882.00,56727431.00,60878379.00,55310387.00,48235069.00,49314559.00,62885177.00,55181585.00,47040786.00,691387220.00,48960727.00,61937136.00,58334345.00,64090921.00,68825753.00,66802407.00,55645793.00,62049468.00,62885097.00,69501170.00,51571893.00,#VALUE!,#VALUE!
Cyprus,492689.00,619859.00,482547.00,3306424.00,676145.00,1644057.00,1227051.00,947773.00,691711.00,234469.00,494402.00,834801.00,11651928.00,203267.00,892387.00,1011001.00,666899.00,726440.00,1551995.00,907259.00,445368.00,833099.00,655518.00,356634.00,1031751.00,9281618.00,749478.00,587000.00,1319438.00,916749.00,649726.00,786244.00,394384.00,339548.00,1979148.00,14360297.00,643299.00,929527.00,23654838.00,803643.00,1076631.00,1181164.00,616537.00,738331.00,603233.00,573822.00,355779.00,456871.00,1194475.00,727374.00,941703.00,9269563.00,1001901.00,1204632.00,1809056.00,992999.00,3344805.00,1921072.00,1617234.00,936018.00,1447616.00,2571528.00,1229009.00,1408622.00,19484492.00,1491430.00,1705396.00,2649792.00,2784678.00,3545440.00,1250743.00,3489145.00,1026842.00,2117397.00,3661973.00,1499164.00,5057094.00,30279094.00,4640290.00,3445878.00,4378374.00,3744171.00,4091878.00,4254835.00,1614183.00,1249039.00,1414668.00,1585069.00,734346.00,2511901.00,33664632.00,4444191.00,4673904.00,3584859.00,4161327.00,3275802.00,4197515.00,2812516.00,3271667.00,3595067.00,2245868.00,1919430.00,3519632.00,41701778.00,2234837.00,2372216.00,4718552.00,2585114.00,4133232.00,4166252.00,4898533.00,3690043.00,2606815.00,4285012.00,2027811.00,1824441.00,39542858.00,2318853.00,3384450.00,2936618.00,1944734.00,3705569.00,3944453.00,2482141.00,2043242.00,3258583.00,2676917.00,3997831.00,5142831.00,37836222.00,7808642.00,2992681.00,2330980.00,2587366.00,3926348.00,3560346.00,3025872.00,1569726.00,2472102.00,3768155.00,4144514.00,#VALUE!,#VALUE!
Czechia,93741267.00,86710928.00,96408619.00,98586808.00,90317850.00,110490363.00,105749869.00,76404525.00,118710589.00,102910096.00,98884039.00,104202360.00,1183117315.00,86908871.00,99002585.00,107735681.00,101865154.00,102162524.00,115551420.00,110675348.00,85819257.00,112410384.00,109556277.00,114701156.00,99676513.00,1246065173.00,95306984.00,103505519.00,116596296.00,115532642.00,106831877.00,118128028.00,91638750.00,106766167.00,125694705.00,118424250.00,123498906.00,108187023.00,1330111147.00,130159465.00,119896054.00,143833991.00,117940998.00,129343256.00,128401534.00,109174753.00,124172211.00,140361393.00,152404017.00,160468219.00,116136310.00,1572292199.00,149826443.00,145111122.00,147262632.00,137379744.00,139971386.00,148787054.00,142725358.00,132328014.00,153494360.00,174934142.00,161884784.00,119090064.00,1752795100.00,153628880.00,143357110.00,151703328.00,160957982.00,162384368.00,146427153.00,140764661.00,129108226.00,154135481.00,159368552.00,161043070.00,110632880.00,1773511691.00,167839147.00,162280435.00,148767289.00,97441660.00,108713345.00,127209630.00,146651056.00,122961641.00,160290305.00,170571505.00,175333004.00,170046243.00,1758105261.00,144576168.00,170343286.00,191715099.00,175760315.00,171550842.00,165729387.00,157429255.00,138625493.00,190000009.00,193867183.00,205503042.00,169407755.00,2074507838.00,198954765.00,191489003.00,241766145.00,218553800.00,233246625.00,227975250.00,195514914.00,206060409.00,224495168.00,217362781.00,225805359.00,203296739.00,2584520960.00,192960917.00,229512178.00,263914662.00,211835367.00,223392204.00,261039201.00,212483394.00,195773095.00,215784602.00,236661020.00,270718495.00,207634189.00,2721709323.00,227849700.00,226476259.00,239025010.00,236804499.00,232283018.00,243279817.00,217567199.00,199779822.00,245199470.00,254415124.00,239322319.00,226473126.00,2788475362.00
Germany,716048542.00,722193629.00,770473652.00,773517793.00,741744828.00,744069111.00,790724271.00,667560540.00,788623204.00,839444086.00,754647139.00,683086794.00,8992133589.00,757295375.00,757393825.00,957347561.00,781723729.00,804520138.00,840416008.00,841171985.00,704515594.00,876486369.00,900565065.00,870830871.00,745829572.00,9838096092.00,778467800.00,812154292.00,886860005.00,882894063.00,829043978.00,926850672.00,832207760.00,793662356.00,931217034.00,904380496.00,917405731.00,804991014.00,10300135201.00,866251144.00,896572241.00,1009069889.00,920787784.00,965476401.00,990374459.00,923736556.00,857254304.00,973018335.00,1008988504.00,1032147668.00,846822346.00,11290499631.00,979331517.00,981995494.00,1033956486.00,1034356932.00,983749830.00,1064166805.00,1056264986.00,963456076.00,971551387.00,1106568863.00,1096469194.00,871126357.00,12142993927.00,1004288475.00,982684584.00,1105032847.00,1013972693.00,1016811528.00,967959684.00,1068827535.00,880160001.00,1073845632.00,1099712686.00,1025192888.00,841963265.00,12080451818.00,974033409.00,1030064340.00,972550522.00,670326909.00,732220037.00,906303085.00,904957496.00,792710905.00,979147075.00,992894479.00,1083706362.00,854332673.00,10893247292.00,973451503.00,1047477635.00,1237889771.00,1081802728.00,1094386727.00,1153274158.00,1061258768.00,975098419.00,1336966731.00,1232328695.00,1363663226.00,1154693372.00,13712291733.00,1179939623.00,1260836985.00,1555987991.00,1246654086.00,1326217193.00,1444308916.00,1219617877.00,1148341939.00,1672443459.00,1256315181.00,1484070808.00,1228678752.00,16023412810.00,1247944159.00,1304015094.00,1551122011.00,1216291850.00,1335579371.00,1374331984.00,1208961462.00,1083943881.00,1203094015.00,1305634763.00,1314250493.00,1090174711.00,15235343794.00,1289421123.00,1340125249.00,1313556920.00,1283974148.00,1301307253.00,1241782332.00,1342046729.00,1153759465.00,1376320333.00,1362910231.00,1303608006.00,#VALUE!,#VALUE!
Denmark,22338756.00,23564805.00,27296017.00,25808220.00,24288305.00,27234504.00,21232540.00,18124321.00,22310273.00,20080216.00,17758534.00,17913466.00,267949958.00,18826156.00,19583288.00,23343300.00,20695195.00,21121225.00,25847417.00,26501453.00,21108457.00,22039765.00,23250579.00,23570713.00,19584310.00,265471856.00,19940575.00,22672046.00,23736021.00,28131093.00,22324461.00,24836027.00,23538280.00,24945587.00,30599367.00,28181241.00,27554852.00,24033134.00,300492685.00,27566283.00,30497208.00,30785256.00,31309172.00,32936715.00,34532483.00,30089126.00,27880886.00,29687862.00,32363607.00,30208166.00,27776493.00,365633255.00,29265538.00,31271167.00,37862745.00,32284516.00,34708965.00,32947977.00,29681307.00,35593708.00,34845214.00,37132467.00,35338941.00,31951018.00,402883564.00,36568212.00,37188272.00,40205053.00,38623863.00,37416440.00,34734348.00,35712101.00,28405565.00,34110734.00,34525917.00,29431575.00,26934723.00,413856803.00,33030227.00,37961342.00,44776237.00,37362402.00,33622033.00,43852705.00,43809067.00,40019855.00,41035153.00,45980770.00,43361838.00,32113451.00,476925081.00,37130161.00,40037347.00,48899390.00,41039644.00,37800403.00,46707060.00,41340177.00,42663416.00,51392113.00,49139413.00,46703959.00,52786839.00,535639920.00,49159544.00,55270172.00,58353511.00,49886277.00,53271915.00,50786776.00,51776147.00,45332261.00,54209057.00,52182287.00,63193362.00,45541656.00,628962968.00,51117889.00,60070719.00,67744066.00,53142764.00,53366380.00,56388304.00,47116396.00,40935433.00,45780871.00,46532272.00,46206454.00,40181089.00,608582638.00,53595676.00,53401969.00,52269932.00,71316666.00,48722493.00,50397655.00,53564702.00,43613997.00,60024661.00,54243850.00,50200183.00,#VALUE!,#VALUE!
Estonia,2184263.00,2624601.00,3158491.00,3437820.00,2685970.00,2890075.00,3270142.00,1991519.00,3161389.00,3144385.00,2028515.00,2388388.00,32965558.00,1702684.00,2622373.00,2921484.00,3006339.00,2341597.00,2774689.00,2896840.00,2406302.00,2751991.00,2466764.00,2786540.00,2711108.00,31388711.00,2094414.00,2432962.00,2361153.00,2711386.00,2205119.00,2774139.00,2421347.00,2070046.00,2577564.00,3099029.00,3336802.00,3716064.00,31800025.00,2530401.00,2705662.00,3085803.00,2906137.00,2936068.00,3446364.00,3192087.00,3629622.00,2906907.00,3084836.00,3450152.00,3157026.00,37031065.00,2967671.00,3325110.00,3577357.00,3346111.00,3481568.00,3559629.00,4033025.00,2854575.00,3607513.00,4618391.00,3363903.00,3250991.00,41985844.00,3134351.00,3934869.00,4074035.00,4036474.00,3374762.00,3527767.00,3851373.00,2881045.00,3921846.00,5119633.00,4092853.00,3588159.00,45537167.00,3782921.00,3668712.00,5438680.00,6144540.00,2300128.00,3543777.00,3580916.00,3244058.00,5684722.00,3393444.00,4140824.00,4468563.00,49391285.00,4021333.00,5139214.00,4855972.00,5011662.00,6622611.00,4368810.00,5139822.00,5870504.00,5301067.00,5288311.00,4977890.00,4240741.00,60837937.00,5823891.00,6504976.00,7831831.00,9414869.00,9024690.00,8333840.00,7716858.00,6954316.00,10386197.00,7045731.00,8120496.00,9992700.00,97150395.00,8862294.00,9430920.00,9354297.00,8992832.00,7764277.00,8580592.00,10430688.00,9294233.00,7731659.00,11105655.00,8809193.00,9890783.00,110247423.00,7501568.00,8692178.00,9529600.00,10484184.00,10254419.00,9725981.00,9932248.00,9824746.00,10039233.00,10070064.00,11078634.00,10326623.00,117459478.00
Spain,45286698.00,42096918.00,56729958.00,52277521.00,87028188.00,58441392.00,80633881.00,63650697.00,59264491.00,77466088.00,105035916.00,95683389.00,823595137.00,63018627.00,62489001.00,78597617.00,60016516.00,70882478.00,75881735.00,67797215.00,36762563.00,67420372.00,100983936.00,93500730.00,64575741.00,841926531.00,61229347.00,62206584.00,74598013.00,73333542.00,70848329.00,85522863.00,70768130.00,47472623.00,83899671.00,82793696.00,89114830.00,99230194.00,901017822.00,109326569.00,77184232.00,97951455.00,73705098.00,98742992.00,103815570.00,94085038.00,61323922.00,134313516.00,131585259.00,104744597.00,96808833.00,1183587081.00,97440578.00,94071949.00,126352983.00,100942845.00,106386194.00,115391913.00,100944242.00,61892786.00,108999363.00,96330011.00,109040116.00,100662800.00,1218455780.00,91043056.00,100369130.00,122926069.00,115777957.00,133786027.00,102718515.00,108295425.00,59436913.00,103589724.00,102653017.00,105121549.00,86508547.00,1232225929.00,94905990.00,103841936.00,90105802.00,40423741.00,60647718.00,82647790.00,92915808.00,46628105.00,92538332.00,98035205.00,97837789.00,90016467.00,990544683.00,71172313.00,85934721.00,101454644.00,79809184.00,84500336.00,93798958.00,91190961.00,62462672.00,120250947.00,124465245.00,115661235.00,89328064.00,1120029280.00,91274834.00,95981799.00,133261231.00,101343724.00,114340825.00,136863521.00,91514894.00,96011666.00,122477896.00,113130999.00,116771459.00,108304598.00,1321277446.00,101296906.00,119151560.00,153796254.00,115658660.00,146643898.00,138233685.00,110951111.00,80127456.00,125744396.00,129046054.00,128910818.00,128030902.00,1477591700.00,121159463.00,161924322.00,156023854.00,144108367.00,126526708.00,144139420.00,125680625.00,96609013.00,238587223.00,170128889.00,177241957.00,168016244.00,1830146085.00
Finland,7403833.00,9176474.00,8510521.00,10870512.00,9945034.00,10151360.00,10446970.00,8118304.00,9873849.00,12125101.00,8620656.00,8454999.00,113697613.00,7803089.00,10383913.00,11438655.00,12347636.00,10826093.00,15114072.00,9764833.00,9877346.00,12554686.00,11809378.00,10132215.00,7559999.00,129611915.00,9418923.00,8761005.00,10101497.00,13222785.00,11171852.00,10772381.00,9781128.00,11465143.00,12142084.00,10778707.00,8851204.00,10136847.00,126603556.00,8357142.00,12070952.00,11670391.00,8851759.00,11504389.00,11672130.00,12165472.00,10305958.00,12162958.00,13909807.00,11714704.00,11256296.00,135641958.00,12687550.00,15300140.00,15843601.00,13895364.00,12701591.00,13468674.00,11483720.00,9546544.00,13890327.00,13406839.00,13624640.00,11642882.00,157491872.00,11058674.00,13100706.00,15009750.00,12525406.00,11808550.00,10968899.00,12607094.00,10047408.00,12092201.00,14811034.00,13837364.00,9655922.00,147523008.00,11664776.00,12707050.00,12915456.00,8092681.00,8626787.00,9553388.00,9362620.00,10088633.00,12281446.00,19526191.00,15641383.00,11129510.00,141589921.00,11938951.00,14022675.00,14739899.00,14478541.00,12135962.00,20238045.00,12104886.00,12642247.00,19850455.00,16981591.00,17048409.00,16987004.00,183168665.00,16351529.00,17081239.00,18082548.00,22580251.00,15720571.00,18649389.00,16844784.00,19585848.00,18151211.00,17141763.00,17614781.00,15429721.00,213233635.00,16063909.00,17451552.00,18889482.00,18110896.00,16284474.00,26042021.00,24080062.00,21798483.00,11556931.00,18241191.00,15491914.00,18011908.00,222022823.00,15413888.00,16277768.00,13903320.00,14718193.00,18554869.00,14159958.00,13793844.00,14765701.00,17711371.00,19626309.00,16944240.00,#VALUE!,#VALUE!
