TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,320922088.00,335375978.00,338250586.00,314588086.00,336713621.00,336071542.00,358893390.00,224156091.00,352861000.00,383549890.00,331158076.00,289462961.00,3922003309.00,329161167.00,353724482.00,399205532.00,357010761.00,351485035.00,374824386.00,401188013.00,251369386.00,357733163.00,374900062.00,377235192.00,306280670.00,4234117849.00,356272674.00,385019351.00,400068265.00,395068620.00,379689122.00,419961805.00,366847097.00,279392294.00,388192513.00,381407841.00,403852683.00,295228401.00,4451000666.00,351379561.00,380987864.00,421071303.00,327758231.00,403053919.00,420217360.00,353379290.00,290081920.00,378174219.00,422220087.00,425306019.00,331615640.00,4505245413.00,411691112.00,398521569.00,436928520.00,409975293.00,450442071.00,441910966.00,424065751.00,304425605.00,388660674.00,461027653.00,436375069.00,336439353.00,4900463636.00,441393891.00,436813838.00,472852990.00,429501053.00,461522045.00,401032700.00,427148399.00,288860578.00,375897474.00,422999038.00,395248343.00,321229772.00,4874500121.00,386475731.00,374875716.00,365822572.00,243519797.00,280569163.00,340358649.00,353671676.00,258038272.00,372181539.00,394496861.00,388306948.00,328775474.00,4087092398.00,365193135.00,390877933.00,442607519.00,404492974.00,403235971.00,433720115.00,405742143.00,309359723.00,378220575.00,365023323.00,433487384.00,392137193.00,4724097988.00,414400132.00,448545502.00,535803785.00,483999145.00,510795481.00,467341029.00,435185943.00,378445644.00,460967304.00,479272630.00,558063790.00,461394264.00,5634214649.00,523048659.00,526248068.00,589895382.00,483721511.00,555541098.00,544109577.00,479416801.00,370130098.00,513767811.00,513558783.00,517125276.00,450865119.00,6067428183.00,510428601.00,535110005.00,559478460.00,514686120.00,571778775.00,513635945.00,554784493.00,408779082.00,518620316.00,563672405.00,545600612.00,#VALUE!,#VALUE!
Belgium,1289466678.00,1203091296.00,1326850518.00,1168678989.00,1236827569.00,1269431121.00,1235096288.00,1067032437.00,1174891525.00,1328984928.00,1300206699.00,1181903533.00,14782461581.00,1172998396.00,1259509813.00,1390958529.00,1263833360.00,1281662420.00,1473621978.00,1324742787.00,1029473143.00,1343056147.00,1306767448.00,1305469858.00,1251955303.00,15404049182.00,1242097238.00,1431479363.00,1471288860.00,1472187719.00,1533604260.00,1640330910.00,1467083835.00,1214922607.00,1526451454.00,1625298525.00,1652897363.00,1348558816.00,17626200950.00,1546853412.00,1536882006.00,1764743019.00,1449399716.00,1732946799.00,1730097986.00,1496591308.00,1269502412.00,1608189718.00,1653528362.00,1736716561.00,1413773835.00,18939225134.00,1662472312.00,1554046950.00,1794393694.00,1664974272.00,1754612888.00,1801456178.00,1737581305.00,1363361065.00,1558605797.00,1757799763.00,1683588100.00,1396744281.00,19729636605.00,1639535666.00,1569125122.00,1715509497.00,1722947136.00,1788461789.00,1676754496.00,1699732979.00,1433701365.00,1697838282.00,1882094781.00,1905359919.00,1478807915.00,20209868947.00,1761902364.00,1794615431.00,1678098415.00,1079593155.00,1297949118.00,1602031388.00,1668467660.00,1324466859.00,1729415420.00,1840067406.00,1823869500.00,1643531980.00,19244008696.00,1725499289.00,1882060568.00,2244457836.00,2167732404.00,2347906675.00,2745442845.00,2475264443.00,2292768638.00,2684592609.00,2241558398.00,2797473862.00,3076874676.00,28681632243.00,2687694696.00,3119635613.00,3942925933.00,2635632605.00,3215441485.00,2772553001.00,2312166058.00,2179711514.00,4302941990.00,3845919095.00,6032502183.00,3568651369.00,40615775542.00,3042246690.00,3706393257.00,3953463032.00,2202012569.00,3249510816.00,2378715362.00,2208988151.00,2002089941.00,2452608008.00,2685752638.00,2725011295.00,2110337314.00,32717129073.00,2226445196.00,2262938097.00,2368425784.00,2775277070.00,2604020739.00,2268984473.00,2554360444.00,1992444806.00,2638922188.00,2841927652.00,2598194833.00,#VALUE!,#VALUE!
Bulgaria,144163776.00,117615627.00,72580107.00,168089637.00,73571006.00,138012148.00,175515762.00,199102550.00,169587180.00,165220421.00,148117278.00,148244036.00,1719819524.00,150614114.00,137057273.00,118396025.00,174290326.00,112545736.00,92841453.00,237626501.00,185865143.00,122899413.00,158562195.00,95139021.00,153191873.00,1739029070.00,149381028.00,101190836.00,145931322.00,70456010.00,95615703.00,118509593.00,152560398.00,199800443.00,112509965.00,247658413.00,144513556.00,162876328.00,1701003594.00,162525743.00,132048733.00,134648354.00,183853691.00,148579138.00,155860309.00,181489090.00,383607496.00,192496521.00,266045062.00,223684653.00,213539830.00,2378378621.00,215772105.00,135571067.00,248864830.00,220146560.00,195892035.00,196132820.00,211998652.00,194388786.00,171965445.00,114799986.00,165974983.00,120615448.00,2192122717.00,144094484.00,184331479.00,139645953.00,187301665.00,128181001.00,153401879.00,254092531.00,273847651.00,151790306.00,182637347.00,169463236.00,112480202.00,2081267735.00,106884648.00,99704981.00,114268932.00,79179096.00,68110647.00,92758963.00,129748397.00,99838787.00,113339701.00,131503959.00,107234675.00,112502054.00,1255074838.00,104124058.00,99961988.00,140973525.00,177217174.00,162499172.00,114296579.00,152420644.00,148644146.00,147585866.00,136693685.00,152917271.00,154702563.00,1692036674.00,166454096.00,135879717.00,237559888.00,203157516.00,190135446.00,278368675.00,250662750.00,210901944.00,221057895.00,151025799.00,166396101.00,153867357.00,2365467186.00,171706234.00,169809303.00,201385263.00,118660812.00,173476313.00,218460595.00,208120675.00,188269605.00,164952101.00,197427600.00,168088250.00,118746013.00,2099102762.00,126087362.00,129534214.00,140512188.00,157891375.00,141034693.00,138963545.00,156881687.00,143498153.00,145943116.00,151759358.00,149494212.00,#VALUE!,#VALUE!
Cyprus,20123701.00,16108221.00,57853996.00,21708237.00,18600212.00,22494676.00,31086190.00,32351874.00,17479946.00,16512072.00,18104447.00,16364552.00,288788124.00,20770019.00,13314420.00,20651018.00,12230391.00,16463361.00,16170766.00,18056518.00,14680119.00,18516248.00,14991982.00,19903520.00,18218165.00,203966527.00,16811156.00,15726685.00,17879126.00,21788151.00,21827331.00,18718713.00,19215362.00,15643514.00,17663467.00,14966402.00,18036935.00,19392112.00,217668954.00,11807810.00,14683484.00,25970158.00,25315944.00,21616766.00,21952801.00,22010922.00,15821499.00,18285147.00,19921341.00,36088332.00,19084489.00,252558693.00,34429811.00,52556565.00,25295694.00,34644706.00,35326746.00,34788031.00,49471400.00,36559416.00,32556168.00,34306545.00,31299717.00,43196803.00,444431602.00,19488060.00,43215472.00,25542206.00,30086919.00,25989839.00,38418333.00,46445991.00,17525267.00,32742120.00,21837284.00,23551847.00,19574887.00,344418225.00,21257716.00,19959335.00,17627341.00,15973301.00,14784398.00,18519480.00,30241524.00,20951204.00,30217822.00,23884119.00,21475704.00,21067666.00,255959610.00,18770717.00,20736628.00,24179305.00,21238754.00,45602779.00,30272961.00,22981540.00,22767145.00,31666840.00,25056545.00,25878135.00,27043055.00,316194404.00,45751385.00,40420636.00,43522251.00,21790726.00,36253768.00,30438684.00,48855011.00,30945258.00,22159526.00,24958274.00,43278248.00,30323190.00,418696957.00,43013823.00,82658277.00,70679723.00,32188765.00,31531695.00,91034663.00,57724645.00,83774852.00,69927202.00,29156728.00,70725094.00,49231375.00,711646842.00,43197894.00,25494470.00,51256136.00,75630404.00,36425107.00,51390004.00,75086189.00,66941255.00,46148452.00,45023341.00,58402067.00,#VALUE!,#VALUE!
Czechia,376887114.00,419896943.00,454594086.00,415029188.00,424488565.00,435897059.00,414778522.00,261037402.00,422677537.00,477647264.00,450278198.00,371001562.00,4924213442.00,444846628.00,459496265.00,486151612.00,465649579.00,465820834.00,518324412.00,501074171.00,323349627.00,506727073.00,575853785.00,550603673.00,441169379.00,5739067036.00,482753162.00,559531170.00,560180005.00,566745446.00,563424866.00,555853267.00,403358877.00,387505665.00,556643968.00,554536576.00,577302062.00,436654248.00,6204489313.00,586796379.00,596255378.00,676853605.00,519544614.00,617822213.00,602687778.00,464697304.00,455915187.00,586598107.00,647818976.00,648895175.00,487388135.00,6891272849.00,614487776.00,667380125.00,715203879.00,679241258.00,697331055.00,691089740.00,521800989.00,488764144.00,616859852.00,717557230.00,756227698.00,539360442.00,7705304189.00,715761737.00,675271223.00,737338258.00,732844659.00,757553048.00,708589728.00,621125587.00,554574796.00,720436449.00,739244555.00,740315331.00,538818292.00,8241873664.00,630400141.00,624972669.00,594636147.00,294399975.00,366329468.00,556960994.00,541058015.00,436683824.00,632766971.00,698943010.00,718355797.00,577049681.00,6672556689.00,658594008.00,687949585.00,744125520.00,692216784.00,666813234.00,674806229.00,627055419.00,470166708.00,608305336.00,615731613.00,750094168.00,591082060.00,7786940665.00,728274244.00,746888820.00,812906678.00,743946753.00,877369065.00,829496258.00,607232060.00,624389566.00,860870840.00,873860621.00,921491601.00,714654615.00,9341381119.00,904876095.00,823456592.00,950470359.00,753419735.00,873275629.00,974801652.00,735870106.00,656675626.00,816719029.00,909173011.00,920167052.00,656631085.00,9975535969.00,883655982.00,895051646.00,922940954.00,931584594.00,894452878.00,823192732.00,744084530.00,619760718.00,810790750.00,915882361.00,843946391.00,716148469.00,10001492005.00
Germany,4785557513.00,5112064521.00,4991492186.00,4914722154.00,5072860914.00,5206272318.00,5123871733.00,3746790285.00,5218443248.00,5521382459.00,5184463628.00,4831170835.00,59709091794.00,5106546658.00,5363631799.00,5653154378.00,5309878245.00,5540049705.00,5749301225.00,5946006408.00,4065133595.00,5651608393.00,5945700434.00,5704920172.00,5197968111.00,65233899123.00,5161513414.00,5761740451.00,5841898446.00,6139950951.00,5823706300.00,6103497909.00,5363835019.00,4520828366.00,5918643084.00,5660895160.00,6555052457.00,5559336608.00,68410898165.00,5832541435.00,6272304939.00,7046142096.00,5807894496.00,6516429299.00,6663894698.00,6174388600.00,5066007005.00,6436219806.00,6281257929.00,6966774333.00,5714145872.00,74778000508.00,6499282743.00,6374850570.00,6722613186.00,6855865464.00,6643001871.00,6929145688.00,6479985484.00,5186028266.00,6147189870.00,6668054479.00,6695006094.00,5766509588.00,76967533303.00,6697570231.00,6458609541.00,7129965717.00,6485722180.00,7203012361.00,6919035957.00,6554304745.00,5050737064.00,6545302780.00,6847432765.00,6468779082.00,5434684514.00,77795156937.00,6392085199.00,6479857442.00,6026908139.00,3730228325.00,4473094972.00,5981843737.00,6037154611.00,4666709170.00,6396861058.00,6577943046.00,6574753545.00,5620858119.00,68958297363.00,5770286897.00,6160118279.00,7395131242.00,6693147992.00,6673250093.00,6709076292.00,6383558625.00,5289877116.00,6234403097.00,6423277365.00,7431709088.00,6780856781.00,77944692867.00,6809512190.00,7093834630.00,7837925057.00,7057654207.00,7967438219.00,7293348937.00,7038457887.00,5986520744.00,8058110836.00,7662509519.00,8575163052.00,6704588110.00,88085063388.00,7637811895.00,8050695158.00,9120034909.00,7137723236.00,8222335842.00,8363766122.00,7647023833.00,6629493041.00,7539131239.00,7817539700.00,8819319800.00,6665719800.00,93650594575.00,8128686989.00,8092546223.00,8181800377.00,8111456975.00,8161727117.00,7933315688.00,7997667604.00,6316426979.00,7625429175.00,8010721629.00,7578010422.00,#VALUE!,#VALUE!
Denmark,306888808.00,222873250.00,238312340.00,240576766.00,216120024.00,207709712.00,294323862.00,219199739.00,235043734.00,276742175.00,233743599.00,235804181.00,2927338194.00,275266156.00,269219305.00,281195684.00,248224155.00,245278523.00,265642301.00,252095826.00,213336291.00,285041322.00,280978299.00,261783027.00,257643674.00,3135704562.00,243049453.00,265143764.00,283993719.00,264857370.00,279871229.00,270899157.00,266095781.00,230999832.00,292406050.00,261618599.00,274573704.00,283997612.00,3217506272.00,275400389.00,270714969.00,315753640.00,246992344.00,295789476.00,298410063.00,256929863.00,232619034.00,303304510.00,312900898.00,337240095.00,275922937.00,3421978218.00,316182987.00,298642199.00,292358781.00,289792986.00,320893179.00,344626265.00,267036595.00,248979911.00,270878769.00,336348988.00,342288167.00,279254430.00,3607283256.00,335718101.00,327152324.00,313696682.00,299397261.00,327865907.00,300873271.00,297873147.00,306071844.00,284281675.00,338808739.00,347373121.00,313679602.00,3792791674.00,307647403.00,329762984.00,306120347.00,253618999.00,254368543.00,292916333.00,270277457.00,264995505.00,272418641.00,299230674.00,322391600.00,293307793.00,3467056282.00,302982069.00,312111102.00,382536661.00,353176092.00,337710987.00,364889982.00,356411012.00,293744520.00,363358507.00,371709568.00,416547202.00,348053613.00,4203231313.00,357619659.00,365927133.00,434539242.00,368861332.00,425986540.00,436138097.00,384684198.00,410069736.00,483574603.00,497704789.00,537076106.00,449704321.00,5151885759.00,459217450.00,419426797.00,492958455.00,394448330.00,407399831.00,451038154.00,351786988.00,361609397.00,372848519.00,386478832.00,464136632.00,372111032.00,4933460418.00,413888651.00,449403592.00,464285198.00,484139994.00,484773939.00,463240836.00,410529038.00,381686429.00,428405727.00,519481310.00,454005586.00,#VALUE!,#VALUE!
Estonia,17557844.00,15313669.00,16224932.00,15922157.00,18693087.00,21029243.00,24470314.00,18223010.00,17710934.00,25255590.00,31431927.00,20660778.00,242493485.00,21729726.00,24837051.00,29602972.00,26367424.00,30032282.00,24175237.00,22878843.00,19616901.00,23188061.00,23536422.00,23398401.00,31024946.00,300388266.00,17507817.00,26596136.00,24779176.00,25394309.00,25491961.00,27661766.00,22877871.00,18094074.00,20805904.00,19813381.00,22031595.00,29752896.00,280806886.00,16755544.00,23449141.00,22238016.00,20687646.00,36638666.00,23950556.00,23770237.00,22069305.00,19129663.00,32839752.00,24239204.00,23427637.00,289195367.00,20421466.00,26296448.00,23610857.00,20913937.00,28895174.00,23644503.00,24616073.00,27033319.00,19294886.00,23924288.00,38116841.00,29397766.00,306165558.00,31349121.00,30510087.00,33746686.00,31769365.00,61468327.00,36680183.00,32672899.00,26078169.00,32197040.00,34127349.00,23841751.00,25745411.00,400186388.00,18035831.00,19945495.00,25553203.00,16927241.00,21033276.00,21191479.00,25639637.00,16445148.00,23637120.00,22641398.00,24240663.00,22425336.00,257715827.00,18801965.00,23740007.00,29202364.00,36465487.00,30073948.00,26311405.00,31111504.00,26172287.00,27069907.00,28610078.00,32132616.00,28703018.00,338394586.00,28101568.00,30098360.00,36724668.00,36862103.00,50815411.00,39375263.00,44648655.00,29849095.00,37903541.00,42361365.00,40955055.00,46312653.00,464007737.00,43507867.00,67876360.00,41629114.00,32368786.00,44238235.00,48210769.00,45517393.00,43135201.00,35339649.00,41312602.00,41774129.00,30742479.00,515652584.00,40995970.00,50824648.00,40996436.00,58783323.00,43032117.00,43495293.00,46680578.00,34355498.00,41048254.00,44200240.00,40198467.00,41085706.00,525696530.00
Spain,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Finland,141754809.00,136392054.00,163014416.00,152404774.00,168777300.00,137436221.00,148104072.00,124568371.00,134451297.00,143341829.00,139740451.00,167287917.00,1757273511.00,137057071.00,155274689.00,185445186.00,161868014.00,161794188.00,166569821.00,165156994.00,154804450.00,151792981.00,172080534.00,178140634.00,207190101.00,1997174663.00,152549073.00,177405490.00,195772444.00,178113259.00,214347090.00,179873421.00,166486887.00,148737979.00,160681005.00,162922971.00,174848406.00,172409612.00,2084147637.00,175870492.00,162771583.00,195819395.00,164758508.00,186999853.00,202297397.00,170485079.00,177886363.00,179440848.00,178344446.00,195882832.00,161299449.00,2151856245.00,177539072.00,181290947.00,201493663.00,182051433.00,204419497.00,165569138.00,160551929.00,165374364.00,154179421.00,190437759.00,193407467.00,179010696.00,2155325386.00,207829945.00,185221812.00,181866026.00,180042579.00,191702796.00,169687159.00,177720175.00,153563328.00,151086179.00,181322677.00,180922160.00,216906178.00,2177871014.00,171367077.00,157257494.00,246610509.00,149716113.00,140077828.00,158464711.00,178581205.00,152792643.00,144558846.00,153736330.00,170322613.00,229424071.00,2052909440.00,165716512.00,218146026.00,242455383.00,196494172.00,231242301.00,182300180.00,170838604.00,165073805.00,167896366.00,198825284.00,203311104.00,180326518.00,2322626255.00,185372291.00,177460575.00,251326811.00,208620718.00,237520402.00,285344967.00,244127781.00,236111497.00,227933289.00,186382263.00,285913595.00,242290010.00,2768404199.00,236677469.00,168564178.00,233949196.00,217635100.00,220748113.00,233813749.00,206960478.00,166913870.00,181195863.00,187153431.00,259897222.00,184102638.00,2497611307.00,177676962.00,198104008.00,172456222.00,213993615.00,255485088.00,195032039.00,230862693.00,216587386.00,214749987.00,306408522.00,267226973.00,#VALUE!,#VALUE!
