TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,247375448.00,232500826.00,253954838.00,237736552.00,240943172.00,232587677.00,201681360.00,201689004.00,242713677.00,263152202.00,232874208.00,188248713.00,2775457677.00,209454700.00,224146615.00,271125686.00,241712553.00,233613410.00,234461381.00,186361021.00,210527348.00,240742764.00,242552740.00,255780050.00,206284753.00,2756763021.00,200898458.00,244370314.00,247057394.00,256747884.00,244256373.00,236256234.00,192226519.00,199927136.00,254867473.00,228739713.00,234923902.00,209828027.00,2750099427.00,240044822.00,255759577.00,285425699.00,264800926.00,267330094.00,255562848.00,201778106.00,230851997.00,270449252.00,280188494.00,285377272.00,245764925.00,3083334012.00,262830817.00,265832163.00,301992791.00,267631612.00,281835822.00,288539764.00,243038799.00,279890434.00,296772022.00,317208243.00,299960365.00,253090263.00,3358623095.00,286980272.00,315151550.00,321063733.00,302141760.00,307357126.00,288166937.00,240116802.00,273878541.00,314817518.00,322075606.00,289596380.00,230107605.00,3491453830.00,254678673.00,264228948.00,268457501.00,246044128.00,254873446.00,248001677.00,208946087.00,220092394.00,264782610.00,300078482.00,254648809.00,231670951.00,3016503706.00,237401431.00,254372242.00,301814580.00,289598683.00,275234542.00,317290545.00,264229783.00,271353557.00,332082108.00,310494621.00,346431182.00,292049567.00,3492352841.00,306201985.00,331007898.00,378532758.00,323052211.00,361171103.00,363251745.00,285041559.00,320592130.00,348642876.00,366237593.00,366873405.00,325404851.00,4076010114.00,360912672.00,342527628.00,396925843.00,346789028.00,364758251.00,376823291.00,246527062.00,270934314.00,353074096.00,379861598.00,341364134.00,289762376.00,4070260293.00,303564795.00,333652153.00,340869337.00,338891865.00,321473395.00,325660766.00,310113488.00,276393494.00,326854326.00,363146215.00,344767493.00,#VALUE!,#VALUE!
Belgium,939311733.00,973304224.00,1069508989.00,998376070.00,1018399885.00,1030262098.00,755100647.00,792760617.00,1007694297.00,1085787469.00,954554023.00,866921803.00,11491981855.00,837050917.00,905366171.00,1050020512.00,1015834162.00,1015717905.00,1140693442.00,793338994.00,868713214.00,1064914036.00,1141607297.00,1059148021.00,1006271285.00,11898675956.00,955121224.00,1005425879.00,1137031759.00,1111659520.00,1080103202.00,1189271004.00,825961433.00,958319861.00,1258537365.00,1145448003.00,1120546629.00,1142577934.00,12930003813.00,1051631056.00,1142970045.00,1303662440.00,1150525126.00,1323313582.00,1282627123.00,895894327.00,1037588733.00,1178602191.00,1224342234.00,1237750994.00,1139557295.00,13968465146.00,1207317771.00,1146147873.00,1285595899.00,1207755933.00,1172048333.00,1230738052.00,860807827.00,1008294375.00,1023960726.00,1259710296.00,1186797033.00,1100739945.00,13689914063.00,1138675223.00,1141195154.00,1269392221.00,1177024521.00,1301829636.00,1170328377.00,941363052.00,1028384036.00,1134536602.00,1171472000.00,1091500111.00,1045457527.00,13611158460.00,1104628962.00,1041579929.00,1083046784.00,735834101.00,813049613.00,1091181354.00,880484424.00,952235386.00,1140683361.00,1176453790.00,1130840961.00,1162565502.00,12312584167.00,1073205109.00,1185214715.00,1483000895.00,1206639968.00,1174493087.00,1518167903.00,1087278792.00,1077072864.00,1255498658.00,1273451023.00,1342861955.00,1333048865.00,15009933834.00,1337293934.00,1329586815.00,1640395860.00,1459460408.00,1407881364.00,1396564649.00,1148591379.00,1281335060.00,1550168003.00,1607201445.00,1643480162.00,1615155557.00,17417114636.00,1537301871.00,1632880640.00,1757318018.00,1603228371.00,1673612460.00,1675885011.00,1156199505.00,1351969131.00,1575385946.00,1777895148.00,1527311490.00,1436589837.00,18705577428.00,1428420043.00,1706186037.00,1641217690.00,1572637082.00,1697738050.00,1536475938.00,1242316375.00,1412008695.00,1602496704.00,1715451554.00,1669831318.00,#VALUE!,#VALUE!
Bulgaria,19215829.00,22057502.00,23780001.00,20700588.00,25284171.00,28527479.00,22601445.00,30033438.00,26074874.00,30374525.00,23674928.00,16989937.00,289314717.00,21531381.00,24516006.00,24816405.00,24037181.00,26807467.00,28861466.00,27202687.00,21546366.00,27502997.00,34404169.00,30427690.00,22936213.00,314590026.00,24419752.00,25514780.00,27157795.00,25985196.00,27726120.00,29921259.00,30102275.00,25203667.00,31874712.00,34376159.00,33996671.00,30466868.00,346745252.00,27193887.00,32234216.00,38744731.00,30483249.00,37179904.00,37468580.00,30200049.00,37295364.00,37488146.00,36795038.00,35620363.00,31131681.00,411835210.00,36385169.00,33823636.00,43398807.00,38981567.00,36193546.00,40438857.00,38498954.00,36389078.00,39712113.00,42863666.00,41023767.00,30629565.00,458338726.00,43394849.00,40178754.00,36950038.00,40061342.00,39219493.00,41174779.00,37687036.00,33807589.00,35610027.00,44074342.00,40456646.00,29352042.00,461966938.00,40877577.00,43854417.00,37147872.00,28394497.00,31263451.00,36738719.00,33430872.00,32099472.00,37019673.00,40174688.00,45421103.00,29347546.00,435769887.00,36317342.00,38706535.00,43634883.00,38516128.00,39795195.00,49002070.00,44778901.00,36885481.00,44776789.00,48456917.00,60116682.00,39559535.00,520546460.00,43362422.00,47575336.00,59681416.00,59484900.00,54138757.00,61494318.00,55649957.00,58570733.00,55487584.00,79203250.00,77066584.00,58076243.00,709791498.00,66483365.00,66485740.00,76961564.00,60425098.00,67211412.00,70550945.00,62682638.00,57612802.00,66218135.00,74127179.00,74175868.00,67831506.00,810766253.00,59188276.00,63377743.00,61316497.00,67881163.00,56059905.00,49048474.00,41425990.00,59009451.00,47656313.00,55769143.00,58089356.00,#VALUE!,#VALUE!
Cyprus,3510275.00,2739615.00,5161472.00,4145183.00,3442579.00,6260114.00,3957407.00,2513802.00,3790316.00,9877679.00,4795796.00,10138997.00,60333235.00,14941491.00,2814600.00,3302954.00,5131494.00,4953501.00,6842538.00,3593226.00,2085294.00,3200879.00,3215475.00,4142861.00,4014208.00,58238521.00,164902089.00,3957218.00,5426577.00,5526772.00,5028334.00,4341301.00,7442816.00,3740664.00,3728617.00,3841559.00,3609113.00,9882654.00,221427714.00,4626623.00,4267273.00,7442796.00,5773196.00,6312373.00,8887701.00,4469011.00,4588736.00,4672387.00,4582138.00,6571382.00,4928943.00,67122559.00,9611207.00,5526533.00,6492093.00,6785595.00,73190062.00,8025217.00,6408193.00,5308380.00,5017066.00,6268608.00,5911401.00,5059028.00,143603383.00,7162007.00,5811149.00,6245620.00,7594813.00,8744059.00,8511326.00,7509784.00,4469074.00,6235560.00,7753000.00,8029881.00,5979623.00,84045896.00,6950786.00,7429731.00,6360606.00,9576096.00,5633800.00,6062041.00,7695836.00,6074864.00,6116761.00,6462239.00,6569409.00,18802518.00,93734687.00,7508451.00,7402394.00,8134356.00,6833182.00,7444850.00,8723210.00,8127341.00,4138029.00,4236341.00,16009615.00,29121368.00,6944053.00,114623190.00,7274534.00,7130175.00,6003085.00,8095135.00,14868812.00,10067087.00,9115272.00,6435091.00,8642017.00,8423622.00,8223940.00,6683840.00,100962610.00,8889603.00,7078145.00,19953225.00,10230430.00,57281006.00,8917297.00,12165847.00,5520799.00,8309851.00,7393525.00,8209937.00,8136670.00,162086335.00,9907498.00,12724798.00,31772624.00,7947349.00,8022884.00,6657195.00,9172154.00,5687569.00,7809178.00,7117675.00,7753186.00,#VALUE!,#VALUE!
Czechia,244710451.00,243108074.00,267757786.00,243373104.00,261459078.00,252595000.00,210431180.00,202882963.00,280864668.00,276474471.00,247288315.00,218514547.00,2949459639.00,241184110.00,249038764.00,276503915.00,275037145.00,262749685.00,311854261.00,232658375.00,235572705.00,318657028.00,316677082.00,308824718.00,250694884.00,3279452674.00,271690896.00,294372683.00,288516300.00,304939491.00,276661853.00,278580456.00,196484611.00,239647274.00,297496365.00,291015700.00,294999328.00,246143280.00,3280548237.00,301263033.00,295869100.00,338360255.00,279887641.00,325839289.00,336278550.00,215995269.00,291122980.00,340057159.00,372132127.00,376531435.00,307493325.00,3780830160.00,398936217.00,364170454.00,372059212.00,344992780.00,368615914.00,338238243.00,254262832.00,305937389.00,366166160.00,439644054.00,447898551.00,310958024.00,4311879829.00,389528244.00,323987848.00,393640999.00,366561225.00,371552839.00,348067271.00,272071428.00,316925501.00,363138719.00,418563602.00,387254143.00,295987474.00,4247279292.00,370434909.00,365781239.00,348629040.00,225710813.00,272408376.00,329033904.00,230852188.00,275421416.00,364384534.00,394664784.00,413099763.00,351524506.00,3941945471.00,352100277.00,361226354.00,443608519.00,421132268.00,410433262.00,440753080.00,336860045.00,334580911.00,388101243.00,437703938.00,461693855.00,376097931.00,4764291684.00,427844913.00,429663933.00,491948714.00,453652966.00,503968832.00,510438100.00,371910523.00,431011387.00,530697005.00,496814483.00,506507368.00,437531633.00,5591989857.00,514383754.00,466608443.00,570916569.00,471391731.00,478736609.00,487992528.00,320600113.00,398590345.00,490157971.00,525818879.00,478895225.00,406456936.00,5610549102.00,464949431.00,475111225.00,491052668.00,471164327.00,468584582.00,445306051.00,350355456.00,421262569.00,480548251.00,533648699.00,454129357.00,394548922.00,5450661540.00
Germany,2837807973.00,2817462969.00,3075321810.00,2970521635.00,2817333038.00,3002392823.00,2711363995.00,2766346822.00,3124710497.00,3293265930.00,3008220569.00,2681048810.00,35105796871.00,2946235450.00,2885642688.00,3287460315.00,3028571200.00,3126880377.00,3302751242.00,2935629832.00,2864899419.00,3309308623.00,3450500908.00,3268580009.00,2770656425.00,37177116488.00,2971701035.00,3222901187.00,3382511360.00,3489869083.00,3297122419.00,3321768623.00,2800604477.00,3048727046.00,3528770327.00,3509236560.00,3620969762.00,3135008151.00,39329190030.00,3268712943.00,3444855248.00,3775397983.00,3406345690.00,3508731733.00,3635177518.00,3184112148.00,3444569422.00,3609902170.00,3653464348.00,3834565186.00,3508251975.00,42274086364.00,3641124640.00,3466122915.00,3565819451.00,3576516859.00,3582638286.00,3649563269.00,3222956811.00,3293226485.00,3551760926.00,3804359676.00,3705317330.00,3037694571.00,42097101219.00,3414270671.00,3262578058.00,3584636310.00,3443040568.00,3475963143.00,3441214748.00,3127867962.00,3125878703.00,3499950330.00,3614589654.00,3525136338.00,2937784763.00,40452911248.00,3370571031.00,3549899770.00,3485783534.00,2780043437.00,2637479091.00,3079872801.00,2602392212.00,2967543022.00,3444908166.00,3542957420.00,3681839558.00,3179692066.00,38322982108.00,3098231104.00,3495683161.00,3992032149.00,3468016703.00,3693357288.00,3790449738.00,3341626086.00,3234384069.00,3907702746.00,3914066898.00,4007676573.00,3706522118.00,43649748633.00,3553294247.00,3947008063.00,4559827887.00,3863079709.00,4186359954.00,4327550350.00,3571538156.00,3837198097.00,4507320764.00,4355125948.00,4565126336.00,3754044834.00,49027474345.00,4038032650.00,4045110961.00,4569981531.00,4016316770.00,4421430821.00,4236023227.00,3384967814.00,4020238828.00,4309427426.00,4017536164.00,4315055876.00,3432782193.00,48806904261.00,4013985462.00,3988706162.00,4285780413.00,4118548411.00,3959062414.00,3883402802.00,3481783179.00,3562587174.00,4076646763.00,4310491498.00,3919136167.00,#VALUE!,#VALUE!
Denmark,1547344780.00,1478443795.00,1625998127.00,1617591139.00,1610039982.00,1627550896.00,1508078253.00,1562822600.00,1676653168.00,1725402433.00,1592643611.00,1647923582.00,19220492365.00,1466477582.00,1522918228.00,1680609979.00,1566526687.00,1535930407.00,1736416926.00,1545244290.00,1571277526.00,1718435002.00,1733782691.00,1708991365.00,1632838883.00,19419449564.00,1492316551.00,1538004538.00,1629573438.00,1553252434.00,1668142750.00,1599487035.00,1380180202.00,1611420253.00,1740175245.00,1704386948.00,1837303311.00,1745892925.00,19500135629.00,1711922201.00,1628785742.00,1886585407.00,1563017033.00,1673071783.00,1670273227.00,1483330775.00,1646938707.00,1692760250.00,1754807639.00,1894553911.00,1675274378.00,20281321055.00,1727015578.00,1587843126.00,1697154347.00,1696508698.00,1877794437.00,1738820055.00,1441210835.00,1759136339.00,1708159391.00,1930802001.00,2020978225.00,1614305927.00,20799728962.00,1798640990.00,1609066948.00,1799458540.00,1762968891.00,1745866376.00,1731132454.00,1592704491.00,1671332313.00,1815352901.00,1892637627.00,1853423448.00,1703353295.00,20975938271.00,1767849702.00,1572961743.00,1696284585.00,1403370669.00,1478980980.00,1631982782.00,1451939668.00,1580939951.00,1734399236.00,1823875802.00,1917035490.00,1732552430.00,19792173040.00,1720365149.00,1778688442.00,2122164024.00,1921711553.00,1956079363.00,2034264743.00,1750117686.00,1867949632.00,2135686167.00,2206216335.00,2355038788.00,2277999140.00,24126281021.00,2060258723.00,2025160548.00,2587082116.00,2258032773.00,2428122475.00,2451397324.00,1967562317.00,2386625680.00,2419043147.00,2164706675.00,2380780051.00,2213985959.00,27342757788.00,2204483126.00,2072913995.00,2331769472.00,1889576833.00,2081701437.00,2184837640.00,1689149357.00,2015379291.00,2092905796.00,2156359506.00,2375517839.00,2111038376.00,25205632667.00,2001857088.00,1969466865.00,1988452284.00,2063538523.00,1973607370.00,1985072681.00,1799767331.00,1938336882.00,2035165108.00,2178590726.00,2239901793.00,#VALUE!,#VALUE!
Estonia,253342890.00,244796109.00,276751228.00,276055599.00,259043360.00,269965784.00,258951285.00,266378362.00,355152580.00,333401429.00,311360116.00,268882845.00,3374081587.00,273882911.00,247341528.00,303480337.00,274532760.00,262778768.00,303182294.00,259748989.00,261134272.00,289880580.00,282637409.00,281619185.00,245806295.00,3286025328.00,257016293.00,280603671.00,298089721.00,294615693.00,301642014.00,266881109.00,223083727.00,265457783.00,281397896.00,270604276.00,274090058.00,245104829.00,3258587070.00,232814609.00,235598032.00,290393136.00,259103422.00,270068552.00,260598779.00,225632894.00,247591916.00,260544116.00,251228943.00,247181996.00,213257872.00,2994014267.00,240171765.00,238982320.00,268362109.00,240789050.00,277317505.00,241714818.00,206666009.00,245724738.00,261238400.00,274675633.00,279386316.00,215989731.00,2991018394.00,238876009.00,246135555.00,272211779.00,274801092.00,293859486.00,278121312.00,231306539.00,247116162.00,233782732.00,252216021.00,242450639.00,207631345.00,3018508671.00,202055983.00,200752748.00,276805893.00,176328818.00,198640983.00,256413309.00,188222980.00,225976663.00,242161066.00,243118505.00,235823292.00,203788726.00,2650088966.00,215113102.00,220615474.00,266953696.00,257958943.00,261383278.00,280309709.00,227067780.00,253440195.00,295930089.00,264769843.00,273304825.00,261738717.00,3078585651.00,266585183.00,257449948.00,312993374.00,310246578.00,349711185.00,366052943.00,242941818.00,332523667.00,324711121.00,310132492.00,292794311.00,303089499.00,3669232119.00,288429291.00,283942543.00,324165723.00,274602382.00,310215462.00,296476179.00,215468149.00,271104359.00,284244299.00,274333924.00,261772022.00,243028443.00,3327782776.00,253273377.00,245764075.00,268771851.00,273081175.00,289772330.00,245796896.00,215466174.00,261967263.00,276999704.00,286580737.00,301316567.00,254299524.00,3173089673.00
Spain,375084857.00,365397998.00,470140342.00,319129496.00,389360345.00,409699487.00,399846969.00,279215116.00,452167449.00,387706389.00,455726395.00,349710155.00,4653184998.00,356160907.00,349600936.00,467377150.00,364240506.00,425068669.00,455681824.00,390498955.00,302973181.00,436354074.00,413981387.00,403184239.00,424538183.00,4789660011.00,330500115.00,365797853.00,414927492.00,383948656.00,400022861.00,443133154.00,334479609.00,307769778.00,410526631.00,382677169.00,413155253.00,413256302.00,4600194873.00,440243490.00,389512360.00,456482977.00,374772784.00,426976951.00,480620674.00,390847286.00,296633719.00,416637627.00,419458949.00,407170727.00,453931701.00,4953289245.00,409682006.00,411499249.00,537080340.00,509471237.00,510635441.00,510391207.00,390430690.00,346559794.00,422631979.00,568615096.00,430637416.00,439056102.00,5486690557.00,433835443.00,408765874.00,484154320.00,438603631.00,457857964.00,450640385.00,457822518.00,324007079.00,437937084.00,472857964.00,431944905.00,436161095.00,5234588262.00,430595896.00,473401651.00,511554706.00,313766259.00,407252419.00,500325719.00,400645939.00,362610157.00,460792112.00,451085863.00,501942241.00,471411754.00,5285384716.00,557616075.00,490481193.00,584827008.00,506531576.00,486483796.00,585971042.00,461443066.00,410713880.00,553741893.00,546433778.00,554511110.00,611584038.00,6350338455.00,519583403.00,566650980.00,728566015.00,615581262.00,705804314.00,887760913.00,658916793.00,534139742.00,700957217.00,645072284.00,684424318.00,771235250.00,8018692491.00,637364515.00,663742959.00,813008178.00,649299205.00,799811551.00,787481634.00,587600138.00,493895135.00,681073982.00,695506314.00,695643207.00,594054057.00,8098480875.00,616140037.00,627979827.00,782442991.00,640811095.00,623321310.00,645600586.00,621066788.00,508516658.00,685518631.00,746265910.00,633898877.00,604586726.00,7736149436.00
Finland,1320951295.00,1184250526.00,1314459167.00,1255337747.00,1342876235.00,1259835940.00,1116164647.00,1220780549.00,1370608697.00,1431827714.00,1215902851.00,1180458738.00,15213454106.00,1049788779.00,1095691024.00,1257555858.00,1163744457.00,1114611303.00,1203947045.00,1051215422.00,1165207819.00,1289537395.00,1377811675.00,1243378391.00,1197648827.00,14210137995.00,1034391909.00,1080855462.00,1181461922.00,1203753199.00,1257074168.00,1254928573.00,1019666873.00,1160686585.00,1295428105.00,1285935257.00,1280303808.00,1267341975.00,14321827836.00,1269846057.00,1217445924.00,1411474743.00,1257073307.00,1378774250.00,1314345086.00,1129212638.00,1295590417.00,1377326970.00,1496051785.00,1452461044.00,1312024283.00,15911626504.00,1341895644.00,1276437411.00,1382329655.00,1351795172.00,1443744996.00,1421837980.00,1315812871.00,1390142824.00,1405540753.00,1643857761.00,1576664285.00,1329859483.00,16879918835.00,1477488813.00,1280732636.00,1461111082.00,1442047649.00,1518169194.00,1352307423.00,1310911598.00,1500754484.00,1532935618.00,1573133928.00,1495795407.00,1418637928.00,17364025760.00,1393617691.00,1284347742.00,1399065698.00,1179388579.00,1224862517.00,1284229576.00,1217162187.00,1311828495.00,1441789171.00,1435027393.00,1427192113.00,1352758481.00,15951269643.00,1313353022.00,1356011739.00,1560029760.00,1478210292.00,1499539471.00,1526367541.00,1473795369.00,1595559513.00,1778037836.00,1684761215.00,1929800077.00,1921197258.00,19116663093.00,1789182807.00,1730807815.00,2074964428.00,1837267041.00,2082864961.00,2235049106.00,2018269267.00,2254733692.00,2154569811.00,2134450831.00,2300242621.00,1998186291.00,24610588671.00,1819629170.00,1650356612.00,2012848624.00,1699397198.00,1717596112.00,1699417028.00,1481083320.00,1725160753.00,1893208950.00,1933343927.00,1897735472.00,1721488357.00,21251265523.00,1765406310.00,1592631457.00,1807359347.00,1870934091.00,1838034389.00,1547931283.00,1582885892.00,1706858930.00,1670327346.00,1887809960.00,1806242041.00,#VALUE!,#VALUE!
